<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACGL.US,5,20260126,153000,93.43,94.3954,93.23,94.17,47498,0
ACGL.US,5,20260126,153500,94.0825,94.45,93.95,94.45,9806,0
ACGL.US,5,20260126,154000,94.4,94.4,94.05,94.05,8424,0
ACGL.US,5,20260126,154500,94.04,94.3,94.04,94.22,83814,0
ACGL.US,5,20260126,155000,94.32,94.35,94.095,94.095,17783,0
ACGL.US,5,20260126,155500,94.02,94.0665,93.84,93.97,3664,0
ACGL.US,5,20260126,160000,93.98,94.14,93.98,94,12663,0
ACGL.US,5,20260126,160500,94.02,94.0894,94,94.02,6270,0
ACGL.US,5,20260126,161000,94.025,94.1399,93.96,93.97,6455,0
ACGL.US,5,20260126,161500,93.97,94.02,93.82,93.975,112500,0
ACGL.US,5,20260126,162000,93.98,94,93.92,93.92,11689,0
ACGL.US,5,20260126,162500,93.915,93.97,93.9,93.9,5633,0
ACGL.US,5,20260126,163000,93.9,93.99,93.9,93.96,21922,0
ACGL.US,5,20260126,163500,93.95,93.98,93.91,93.95,10216,0
ACGL.US,5,20260126,164000,93.9699,93.9699,93.855,93.91,9540,0
ACGL.US,5,20260126,164500,93.88,93.915,93.81,93.84,4374,0
ACGL.US,5,20260126,165000,93.83,93.85,93.75,93.8,6861,0
ACGL.US,5,20260126,165500,93.79381,93.83,93.75,93.76,3855,0
ACGL.US,5,20260126,170000,93.725,93.8599,93.725,93.81,5988,0
ACGL.US,5,20260126,170500,93.815,93.815,93.68,93.695,10330,0
ACGL.US,5,20260126,171000,93.695,93.695,93.66,93.685,6485,0
ACGL.US,5,20260126,171500,93.685,93.72,93.535,93.6,23320,0
ACGL.US,5,20260126,172000,93.605,93.605,93.54,93.58,8771,0
ACGL.US,5,20260126,172500,93.6,93.615,93.56,93.6,2074,0
ACGL.US,5,20260126,173000,93.61,93.65,93.565,93.57,8316,0
ACGL.US,5,20260126,173500,93.58,93.609,93.39,93.39,21159,0
ACGL.US,5,20260126,174000,93.425,93.45,93.36,93.37,5371,0
ACGL.US,5,20260126,174500,93.37,93.445,93.35,93.43,6550,0
ACGL.US,5,20260126,175000,93.43,93.47,93.395,93.395,6317,0
ACGL.US,5,20260126,175500,93.41,93.41,93.32,93.32,8347,0
ACGL.US,5,20260126,180000,93.3,93.31,93.23,93.29,5465,0
ACGL.US,5,20260126,180500,93.295,93.509,93.295,93.465,13501,0
ACGL.US,5,20260126,181000,93.46,93.515,93.43,93.445,16048,0
ACGL.US,5,20260126,181500,93.45,93.53,93.44,93.465,6165,0
ACGL.US,5,20260126,182000,93.49696,93.505,93.17,93.325,71714,0
ACGL.US,5,20260126,182500,93.32,93.44,93.32,93.375,28306,0
ACGL.US,5,20260126,183000,93.37,93.37,93.34,93.35,5889,0
ACGL.US,5,20260126,183500,93.36,93.42,93.34,93.35,11058,0
ACGL.US,5,20260126,184000,93.37,93.42,93.37,93.415,3501,0
ACGL.US,5,20260126,184500,93.42,93.43,93.275,93.28,9644,0
ACGL.US,5,20260126,185000,93.28,93.4,93.28,93.34,11110,0
ACGL.US,5,20260126,185500,93.35,93.41,93.34,93.39,2761,0
ACGL.US,5,20260126,190000,93.37,93.41,93.35,93.39,3159,0
ACGL.US,5,20260126,190500,93.395,93.3999,93.35,93.37,3573,0
ACGL.US,5,20260126,191000,93.39,93.405,93.34,93.37,11964,0
ACGL.US,5,20260126,191500,93.36,93.395,93.34,93.385,4036,0
ACGL.US,5,20260126,192000,93.3737,93.43,93.3737,93.41,11560,0
ACGL.US,5,20260126,192500,93.405,93.435,93.38,93.41,5883,0
ACGL.US,5,20260126,193000,93.41,93.44,93.38,93.43,12934,0
ACGL.US,5,20260126,193500,93.43,93.5,93.4,93.49,37328,0
ACGL.US,5,20260126,194000,93.49,93.69,93.49,93.62,35570,0
ACGL.US,5,20260126,194500,93.63,93.69,93.63,93.67,4703,0
ACGL.US,5,20260126,195000,93.65,93.73,93.6216,93.715,7971,0
ACGL.US,5,20260126,195500,93.72,93.72,93.56,93.57,5837,0
ACGL.US,5,20260126,200000,93.58,93.6,93.51,93.54,5831,0
ACGL.US,5,20260126,200500,93.535,93.5721,93.5,93.57,6919,0
ACGL.US,5,20260126,201000,93.59,93.71,93.59,93.68,7597,0
ACGL.US,5,20260126,201500,93.68,93.72,93.68,93.71,3051,0
ACGL.US,5,20260126,202000,93.7,93.73,93.66,93.7035,4873,0
ACGL.US,5,20260126,202500,93.7094,93.77,93.69,93.765,4715,0
ACGL.US,5,20260126,203000,93.765,93.8,93.765,93.77,8207,0
ACGL.US,5,20260126,203500,93.765,93.79,93.7,93.79,9436,0
ACGL.US,5,20260126,204000,93.8,93.81,93.77,93.7875,4973,0
ACGL.US,5,20260126,204500,93.8,93.9,93.79,93.895,5924,0
ACGL.US,5,20260126,205000,93.895,93.95,93.86,93.9392,6869,0
ACGL.US,5,20260126,205500,93.95,93.99,93.91,93.965,7815,0
ACGL.US,5,20260126,210000,93.97,94.015,93.95,94.01,7005,0
ACGL.US,5,20260126,210500,94,94.01,93.95,93.95,7943,0
ACGL.US,5,20260126,211000,93.95,93.99,93.93,93.94,9759,0
ACGL.US,5,20260126,211500,93.935,93.9599,93.88,93.91,11771,0
ACGL.US,5,20260126,212000,93.92,93.94,93.89,93.93,11252,0
ACGL.US,5,20260126,212500,93.94,93.96,93.86,93.92,11845,0
ACGL.US,5,20260126,213000,93.94,94.01,93.94,94,15327,0
ACGL.US,5,20260126,213500,94.01,94.05,93.84,93.84,14489,0
ACGL.US,5,20260126,214000,93.83,93.845,93.755,93.84,22096,0
ACGL.US,5,20260126,214500,93.84,93.85,93.675,93.75,30400,0
ACGL.US,5,20260126,215000,93.75,93.79,93.68,93.69,44275,0
ACGL.US,5,20260126,215500,93.69,93.76,93.55,93.7,442634,0
ACGL.US,5,20260127,153000,93.62,93.64,92.6,92.875,38939,0
ACGL.US,5,20260127,153500,93.08,93.21,92.645,93.06,18276,0
ACGL.US,5,20260127,154000,93.24,93.27,92.93,93.1,15760,0
ACGL.US,5,20260127,154500,92.945,93.3388,92.945,93.17,8549,0
ACGL.US,5,20260127,155000,93.105,93.17,93.06,93.09,3906,0
ACGL.US,5,20260127,155500,93.08,93.08,92.985,93.05,8363,0
ACGL.US,5,20260127,160000,92.97,93.095,92.925,93.02,27597,0
ACGL.US,5,20260127,160500,92.965,93.06,92.92,92.94,12920,0
ACGL.US,5,20260127,161000,92.9,92.98,92.73,92.95,29142,0
ACGL.US,5,20260127,161500,92.915,92.915,92.815,92.855,13243,0
ACGL.US,5,20260127,162000,92.845,92.927,92.83,92.9,4039,0
ACGL.US,5,20260127,162500,92.9,92.9,92.7801,92.815,13319,0
ACGL.US,5,20260127,163000,92.815,92.86,92.755,92.785,11944,0
ACGL.US,5,20260127,163500,92.75,92.785,92.725,92.74,12997,0
ACGL.US,5,20260127,164000,92.76,92.895,92.625,92.65,10762,0
ACGL.US,5,20260127,164500,92.6,92.72,92.45,92.69,10121,0
ACGL.US,5,20260127,165000,92.75,92.75,92.65,92.67,5887,0
ACGL.US,5,20260127,165500,92.705,92.7102,92.56,92.56,3256,0
ACGL.US,5,20260127,170000,92.59,92.755,92.59,92.63,7670,0
ACGL.US,5,20260127,170500,92.635,92.64,92.55,92.575,5088,0
ACGL.US,5,20260127,171000,92.575,92.72,92.575,92.66,4873,0
ACGL.US,5,20260127,171500,92.68,92.73,92.63,92.72,5484,0
ACGL.US,5,20260127,172000,92.77,92.81,92.74,92.79,5869,0
ACGL.US,5,20260127,172500,92.77,92.95,92.77,92.935,5403,0
ACGL.US,5,20260127,173000,92.95,92.98,92.83,92.91,26536,0
ACGL.US,5,20260127,173500,92.91,93.01,92.91,93.01,1940,0
ACGL.US,5,20260127,174000,93.03,93.07,93.03,93.05,2179,0
ACGL.US,5,20260127,174500,93.065,93.1,93.05,93.065,3503,0
ACGL.US,5,20260127,175000,93.05,93.05,93,93,4170,0
ACGL.US,5,20260127,175500,93.005,93.09,93.005,93.085,3701,0
ACGL.US,5,20260127,180000,93.1,93.1499,93.09,93.1102,6374,0
ACGL.US,5,20260127,180500,93.125,93.15,93.01,93.08,18739,0
ACGL.US,5,20260127,181000,93.08,93.08,93.01,93.01,1807,0
ACGL.US,5,20260127,181500,93,93.07,92.95,93.05,10022,0
ACGL.US,5,20260127,182000,93.041,93.09,93.041,93.08,2052,0
ACGL.US,5,20260127,182500,93.06,93.07,93.03,93.05,7339,0
ACGL.US,5,20260127,183000,93.045,93.06,93.015,93.05,6334,0
ACGL.US,5,20260127,183500,93.04,93.05,93,93.025,5662,0
ACGL.US,5,20260127,184000,93.01,93.1,93.01,93.095,7751,0
ACGL.US,5,20260127,184500,93.12,93.22,93.12,93.18,3929,0
ACGL.US,5,20260127,185000,93.19,93.23,93.18,93.22,1632,0
ACGL.US,5,20260127,185500,93.21,93.34,93.21,93.33,15805,0
ACGL.US,5,20260127,190000,93.32,93.37,93.32,93.34,11300,0
ACGL.US,5,20260127,190500,93.3499,93.3803,93.34,93.36,4575,0
ACGL.US,5,20260127,191000,93.34,93.38,93.32,93.32,5390,0
ACGL.US,5,20260127,191500,93.365,93.44,93.36,93.42,5737,0
ACGL.US,5,20260127,192000,93.44,93.53,93.44,93.53,8452,0
ACGL.US,5,20260127,192500,93.5292,93.54,93.47,93.51,10088,0
ACGL.US,5,20260127,193000,93.51,93.54,93.5,93.515,5139,0
ACGL.US,5,20260127,193500,93.5194,93.5456,93.49,93.51,6198,0
ACGL.US,5,20260127,194000,93.52,93.63,93.52,93.63,7953,0
ACGL.US,5,20260127,194500,93.63,93.66,93.605,93.63,7585,0
ACGL.US,5,20260127,195000,93.64,93.67,93.615,93.62,4500,0
ACGL.US,5,20260127,195500,93.6,93.62,93.58,93.61,6226,0
ACGL.US,5,20260127,200000,93.61,93.695,93.59,93.695,14792,0
ACGL.US,5,20260127,200500,93.7,93.72,93.62,93.67,7972,0
ACGL.US,5,20260127,201000,93.675,93.685,93.62,93.65,13108,0
ACGL.US,5,20260127,201500,93.65,93.66,93.584,93.6,9620,0
ACGL.US,5,20260127,202000,93.6,93.645,93.585,93.585,5798,0
