<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACIC.US,5,20260126,153000,11.08,11.095,11.06,11.095,1873,0
ACIC.US,5,20260126,153500,11.06,11.125,11.06,11.125,652,0
ACIC.US,5,20260126,154000,11.09,11.1,11.09,11.1,400,0
ACIC.US,5,20260126,154500,11.12,11.15,11.12,11.15,200,0
ACIC.US,5,20260126,155000,11.155,11.155,11.143,11.143,350,0
ACIC.US,5,20260126,155500,11.14,11.14,11.1,11.1,650,0
ACIC.US,5,20260126,160000,11.11,11.13,11.11,11.13,500,0
ACIC.US,5,20260126,161000,11.12,11.13,11.095,11.13,600,0
ACIC.US,5,20260126,161500,11.13,11.13,11.1001,11.1001,570,0
ACIC.US,5,20260126,162000,11.11,11.11,11.11,11.11,600,0
ACIC.US,5,20260126,162500,11.09,11.105,11.075,11.08,1160,0
ACIC.US,5,20260126,163500,11.07,11.07,11.06,11.06,400,0
ACIC.US,5,20260126,164000,11.05,11.05,11.04,11.04,200,0
ACIC.US,5,20260126,164500,11.03,11.03,11.03,11.03,100,0
ACIC.US,5,20260126,165000,11.03,11.03,11.02,11.02,800,0
ACIC.US,5,20260126,165500,11.02,11.02,11.02,11.02,100,0
ACIC.US,5,20260126,170000,11.01,11.01,11,11,300,0
ACIC.US,5,20260126,170500,11,11,10.985,10.985,347,0
ACIC.US,5,20260126,171000,10.98,10.98,10.97,10.97,354,0
ACIC.US,5,20260126,171500,10.97,10.97,10.95,10.95,1481,0
ACIC.US,5,20260126,172000,10.95,10.95,10.95,10.95,100,0
ACIC.US,5,20260126,172500,10.95,10.95,10.95,10.95,100,0
ACIC.US,5,20260126,173000,10.96,10.98,10.96,10.975,1020,0
ACIC.US,5,20260126,173500,10.98,10.98,10.98,10.98,396,0
ACIC.US,5,20260126,174000,10.98,10.98,10.98,10.98,370,0
ACIC.US,5,20260126,174500,10.95,10.955,10.95,10.955,1133,0
ACIC.US,5,20260126,175000,10.955,10.955,10.94,10.94,800,0
ACIC.US,5,20260126,175500,10.945,10.945,10.945,10.945,100,0
ACIC.US,5,20260126,180000,10.95,10.99,10.945,10.99,1427,0
ACIC.US,5,20260126,181000,10.985,11,10.985,10.995,800,0
ACIC.US,5,20260126,181500,11,11,10.99,10.99,770,0
ACIC.US,5,20260126,182000,10.995,10.995,10.9801,10.9801,202,0
ACIC.US,5,20260126,183500,10.99,10.99,10.99,10.99,100,0
ACIC.US,5,20260126,184000,11,11.01,11,11.01,700,0
ACIC.US,5,20260126,184500,11.0001,11.01,11.0001,11.01,376,0
ACIC.US,5,20260126,185000,11,11,11,11,600,0
ACIC.US,5,20260126,190500,10.97,10.99,10.97,10.99,500,0
ACIC.US,5,20260126,191000,10.9951,11.01,10.99,10.995,3661,0
ACIC.US,5,20260126,193000,11.01,11.01,11.01,11.01,200,0
ACIC.US,5,20260126,193500,11.01,11.01,11.01,11.01,500,0
ACIC.US,5,20260126,194000,11.01,11.01,11.01,11.01,100,0
ACIC.US,5,20260126,194500,11.01,11.011,11.01,11.01,1369,0
ACIC.US,5,20260126,195000,11.005,11.005,11.005,11.005,100,0
ACIC.US,5,20260126,195500,11,11,10.995,11,900,0
ACIC.US,5,20260126,200500,11.01,11.01,11.01,11.01,100,0
ACIC.US,5,20260126,201000,11.02,11.02,11.02,11.02,200,0
