<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADV.US,5,20260126,153000,21.415,21.415,21.23,21.25,254.92000000000002,0
ADV.US,5,20260126,154000,21.75,21.75,21.0025,21.525,105.2,0
ADV.US,5,20260126,154500,21.0525,21.0525,21.0525,21.0525,19.52,0
ADV.US,5,20260126,155000,21.3,21.5,21.3,21.5,8,0
ADV.US,5,20260126,155500,21.2388,21.75,21.2388,21.7475,58.120000000000005,0
ADV.US,5,20260126,160500,21.7475,22.22,21.745,22.1725,700.6800000000001,0
ADV.US,5,20260126,161000,22.065,22.5,22.065,22.4975,1249.84,0
ADV.US,5,20260126,161500,22.495,22.71,22.295,22.57,1475.88,0
ADV.US,5,20260126,162000,22.5725,22.5725,22.5725,22.5725,4,0
ADV.US,5,20260126,162500,22.5625,22.5625,22.34,22.495,252,0
ADV.US,5,20260126,163000,22.3375,22.4925,22.095,22.2575,317.12,0
ADV.US,5,20260126,163500,22.2462,22.5,22.2462,22.5,152.16,0
ADV.US,5,20260126,164000,22.3525,22.595,22.34,22.5925,1592.28,0
ADV.US,5,20260126,164500,22.5275,23.155,22.5275,23.0125,1013.2,0
ADV.US,5,20260126,165000,22.865,23.2475,22.865,22.92,520.44,0
ADV.US,5,20260126,165500,23.08,23.24,23,23,85.48,0
ADV.US,5,20260126,170000,23.0475,23.05,23.0475,23.05,32,0
ADV.US,5,20260126,170500,23.05,23.0575,23.05,23.05,24,0
ADV.US,5,20260126,171000,23.0525,23.375,23.0525,23.185,159.28,0
ADV.US,5,20260126,171500,23.055,23.185,23.0525,23.1188,100.32000000000001,0
ADV.US,5,20260126,172000,23.0525,23.175,23.0525,23.1275,85.96000000000001,0
ADV.US,5,20260126,172500,23.12,23.375,23.12,23.2775,973.72,0
ADV.US,5,20260126,173000,23.1425,23.1425,22.9775,23.0675,265.16,0
ADV.US,5,20260126,173500,23.125,23.125,23.125,23.125,20,0
ADV.US,5,20260126,174000,23.14,23.2475,23.0275,23.2325,68,0
ADV.US,5,20260126,175000,23.1225,23.22,23.0275,23.0875,125.28,0
ADV.US,5,20260126,175500,23.025,23.045,22.9775,23.045,119.08,0
ADV.US,5,20260126,180000,22.975,23.065,22.7775,23.0305,266.96,0
ADV.US,5,20260126,180500,22.78,23.245,22.78,23.245,354,0
ADV.US,5,20260126,181000,23.21,23.245,23.1752,23.2425,63.04,0
ADV.US,5,20260126,181500,23.21,23.245,22.9882,23.1808,267.52,0
ADV.US,5,20260126,182000,22.9828,23.1825,22.9828,23.1825,118.88,0
ADV.US,5,20260126,182500,23.0825,23.0825,23.0825,23.0825,8,0
ADV.US,5,20260126,183000,23.0825,23.0825,23.0825,23.0825,8,0
ADV.US,5,20260126,183500,23.0775,23.0775,22.7875,22.79,134.48,0
ADV.US,5,20260126,184000,22.79,22.8425,22.75,22.7525,157.64000000000001,0
ADV.US,5,20260126,184500,22.7775,22.8425,22.5625,22.7975,627.4,0
ADV.US,5,20260126,185000,22.9488,22.9488,22.775,22.7775,56,0
ADV.US,5,20260126,185500,23.1225,23.1225,22.7975,22.9488,79,0
ADV.US,5,20260126,190000,22.7775,23.1225,22.7775,23.1225,12,0
ADV.US,5,20260126,190500,23.02,23.2475,23.02,23.2475,177.72,0
ADV.US,5,20260126,191000,23.2475,23.375,23.2475,23.335,884.9200000000001,0
ADV.US,5,20260126,191500,23.2975,23.3275,23.2975,23.3187,96.72,0
ADV.US,5,20260126,192000,23.34,23.34,23.3187,23.3187,13.280000000000001,0
ADV.US,5,20260126,192500,23.3187,23.3187,23.2825,23.295,16,0
ADV.US,5,20260126,193000,23.195,23.2575,23.1925,23.2475,172.04,0
ADV.US,5,20260126,193500,23.25,23.25,23.1879,23.25,61.160000000000004,0
ADV.US,5,20260126,194000,23.2475,23.2475,23.2475,23.2475,4,0
ADV.US,5,20260126,194500,23.245,23.2475,23.1925,23.1925,61.120000000000005,0
ADV.US,5,20260126,195000,23.2475,23.25,23.2475,23.25,38.96,0
ADV.US,5,20260126,200000,23.295,23.39,23.29,23.375,1984.28,0
ADV.US,5,20260126,200500,23.375,23.835,23.375,23.725,612.92,0
ADV.US,5,20260126,201000,23.51,23.6625,23.51,23.6625,8.68,0
ADV.US,5,20260126,201500,23.6625,23.74,23.6275,23.74,176.24,0
ADV.US,5,20260126,202000,23.74,23.74,23.74,23.74,12,0
ADV.US,5,20260126,202500,23.74,23.74,23.74,23.74,8,0
ADV.US,5,20260126,203000,23.6616,23.74,23.6616,23.695,42.64,0
ADV.US,5,20260126,203500,23.695,23.74,23.695,23.74,12.040000000000001,0
ADV.US,5,20260126,204000,23.7425,23.985,23.7325,23.86,757.96,0
ADV.US,5,20260126,204500,23.86,23.86,23.7325,23.7325,60.24,0
ADV.US,5,20260126,205000,23.735,23.86,23.65,23.6737,231.36,0
ADV.US,5,20260126,205500,23.505,23.505,23.5,23.5,20,0
ADV.US,5,20260126,210000,23.635,23.675,23.2675,23.2675,346.12,0
ADV.US,5,20260126,210500,23.56,23.56,23.4138,23.4138,8,0
ADV.US,5,20260126,211000,23.4138,23.56,23.4138,23.56,8,0
ADV.US,5,20260126,211500,23.4138,23.5475,23.4138,23.4138,13.120000000000001,0
ADV.US,5,20260126,212000,23.555,23.555,23.415,23.415,9.28,0
ADV.US,5,20260126,212500,23.5575,23.5575,23.4125,23.555,14,0
ADV.US,5,20260126,213000,23.4112,23.5425,23.2675,23.2675,12.36,0
ADV.US,5,20260126,213500,23.5075,23.74,23.27,23.69,288,0
ADV.US,5,20260126,214000,23.8225,26,23.7025,25.75,19003.88,0
ADV.US,5,20260126,214500,25.5025,25.75,25.015,25.125,3624.12,0
ADV.US,5,20260126,215000,25.25,25.25,24.655,24.9825,4186.4800000000005,0
ADV.US,5,20260126,215500,24.9,25.5,24.6325,24.75,5765.12,0
ADV.US,5,20260127,153000,25.5,25.75,24.25,24.655,3195.92,0
ADV.US,5,20260127,153500,24.6538,25,24.3075,24.75,223.64000000000001,0
ADV.US,5,20260127,154000,24.5025,24.75,24,24.0225,1541.2,0
ADV.US,5,20260127,154500,23.9,24.01,23.805,23.965,177.64000000000001,0
ADV.US,5,20260127,155000,23.9925,24.5,23.75,23.98,2441.4,0
ADV.US,5,20260127,155500,24.1225,24.1225,23.5625,23.7,679.6800000000001,0
ADV.US,5,20260127,160000,23.375,23.5,23.2525,23.4975,316,0
ADV.US,5,20260127,160500,23.4925,23.4975,23.375,23.4182,152,0
ADV.US,5,20260127,161000,23.495,23.6925,23.3375,23.6625,461.68,0
ADV.US,5,20260127,161500,23.75,23.9875,23.72,23.9875,143.20000000000002,0
ADV.US,5,20260127,162000,23.8438,23.9975,23.8325,23.85,1025.68,0
ADV.US,5,20260127,162500,23.7125,23.8525,23.6625,23.7475,756.6800000000001,0
ADV.US,5,20260127,163000,23.67,23.6975,23.4475,23.62,101.2,0
ADV.US,5,20260127,164000,23.675,23.845,23.675,23.845,88.16,0
ADV.US,5,20260127,164500,23.4425,23.8425,23.4425,23.8425,64.4,0
ADV.US,5,20260127,165000,23.675,23.895,23.675,23.865,134,0
ADV.US,5,20260127,165500,23.755,23.755,23.6025,23.6025,12,0
ADV.US,5,20260127,170000,23.7425,23.765,23.6025,23.6025,46,0
ADV.US,5,20260127,170500,23.74,23.74,23.445,23.4525,120.12,0
ADV.US,5,20260127,171000,23.45,23.4675,23.3,23.3,111,0
ADV.US,5,20260127,171500,23.465,23.465,23.3367,23.385,42,0
ADV.US,5,20260127,172000,23.3862,23.3862,23.305,23.3825,52,0
ADV.US,5,20260127,172500,23.3025,23.3275,23.0025,23.145,741.48,0
ADV.US,5,20260127,173000,23.145,23.2725,23.0025,23.1925,1518.8,0
ADV.US,5,20260127,173500,23.19,23.1925,23.0975,23.1875,619.4,0
ADV.US,5,20260127,174000,23.1512,23.2825,23.1475,23.2825,100.4,0
ADV.US,5,20260127,174500,23.19,23.25,23.18,23.2475,357.32,0
ADV.US,5,20260127,175000,23.2075,23.2675,23.1625,23.2,955.4,0
ADV.US,5,20260127,175500,23.0025,23.095,22.7725,22.9062,355.88,0
ADV.US,5,20260127,180000,22.9062,23.0375,22.905,23.0375,58.800000000000004,0
ADV.US,5,20260127,180500,22.91,23.0375,22.91,23.035,28,0
ADV.US,5,20260127,181000,23.035,23.195,23.0325,23.195,70.60000000000001,0
ADV.US,5,20260127,181500,23.1025,23.1025,23.1025,23.1025,8.36,0
ADV.US,5,20260127,182000,23.1025,23.1925,23.1025,23.1925,24,0
ADV.US,5,20260127,182500,23.19,23.1925,23.19,23.19,38.28,0
ADV.US,5,20260127,183500,23.19,23.19,23.1875,23.1875,12,0
ADV.US,5,20260127,184000,23.029,23.42,23.029,23.42,131.96,0
ADV.US,5,20260127,185000,23.42,23.5775,23.2262,23.5525,84.04,0
ADV.US,5,20260127,185500,23.4075,23.4075,23.27,23.4075,18.8,0
ADV.US,5,20260127,190000,23.525,23.525,23.41,23.41,91.2,0
ADV.US,5,20260127,190500,23.41,23.5475,23.41,23.5125,26,0
ADV.US,5,20260127,191000,23.515,23.515,23.2725,23.3125,108.56,0
ADV.US,5,20260127,191500,23.3,23.3575,23.2875,23.3525,134.8,0
ADV.US,5,20260127,192500,23.395,23.44,23.395,23.4125,163.20000000000002,0
ADV.US,5,20260127,193000,23.4425,23.66,23.4425,23.65,86.96000000000001,0
