<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEC.US,5,20260126,153000,9.11,9.2,8.86,8.87,14714,0
AEC.US,5,20260126,153500,8.9796,9.0899,8.88,8.97,16350,0
AEC.US,5,20260126,154000,9.08,9.1232,8.97,8.98,12799,0
AEC.US,5,20260126,154500,9.01,9.01,8.85,8.9705,3620,0
AEC.US,5,20260126,155000,8.99,9,8.745,8.745,10936,0
AEC.US,5,20260126,155500,8.745,8.89,8.745,8.825,1800,0
AEC.US,5,20260126,160000,9,9.23,8.82,8.82,13181,0
AEC.US,5,20260126,160500,8.9516,8.9516,8.935,8.935,550,0
AEC.US,5,20260126,161000,8.88,8.9142,8.66,8.67,21200,0
AEC.US,5,20260126,161500,8.6273,8.675,8.6,8.675,1272,0
AEC.US,5,20260126,162000,8.7,8.7,8.62,8.6856,811,0
AEC.US,5,20260126,162500,8.64,8.64,8.48,8.615,37877,0
AEC.US,5,20260126,163000,8.635,8.635,8.5301,8.5301,733,0
AEC.US,5,20260126,163500,8.7499,8.7499,8.44,8.5545,2266,0
AEC.US,5,20260126,164000,8.55,8.55,8.55,8.55,300,0
AEC.US,5,20260126,164500,8.6309,8.6309,8.625,8.625,1200,0
AEC.US,5,20260126,165000,8.56,8.5659,8.56,8.5659,233,0
AEC.US,5,20260126,165500,8.6,8.6,8.55,8.55,1000,0
AEC.US,5,20260126,170500,8.5902,8.5902,8.5902,8.5902,2000,0
AEC.US,5,20260126,172000,8.51,8.5101,8.4,8.4398,9431,0
AEC.US,5,20260126,172500,8.4,8.4,8.37,8.37,800,0
AEC.US,5,20260126,173000,8.457,8.52,8.457,8.52,506,0
AEC.US,5,20260126,173500,8.495,8.5644,8.495,8.5644,350,0
AEC.US,5,20260126,174000,8.3701,8.3701,8.26,8.3,1834,0
AEC.US,5,20260126,174500,8.4,8.41,8.4,8.41,3500,0
AEC.US,5,20260126,175000,8.43,8.44,8.3,8.44,1400,0
AEC.US,5,20260126,175500,8.4932,8.5,8.48,8.5,1900,0
AEC.US,5,20260126,180000,8.6,8.6,8.53,8.53,300,0
AEC.US,5,20260126,180500,8.52,8.55,8.52,8.55,800,0
AEC.US,5,20260126,181000,8.55,8.6,8.55,8.6,500,0
AEC.US,5,20260126,181500,8.61,8.61,8.59,8.59,1100,0
AEC.US,5,20260126,182000,8.63,8.63,8.63,8.63,100,0
AEC.US,5,20260126,183000,8.63,8.63,8.6015,8.6015,300,0
AEC.US,5,20260126,183500,8.62,8.63,8.62,8.63,300,0
AEC.US,5,20260126,184000,8.59,8.59,8.59,8.59,400,0
AEC.US,5,20260126,184500,8.555,8.57,8.555,8.555,300,0
AEC.US,5,20260126,190000,8.62,8.62,8.53,8.53,200,0
AEC.US,5,20260126,190500,8.645,8.645,8.645,8.645,100,0
AEC.US,5,20260126,191500,8.75,8.75,8.47,8.47,639,0
AEC.US,5,20260126,192500,8.6424,8.6424,8.6424,8.6424,575,0
AEC.US,5,20260126,193000,8.47,8.47,8.47,8.47,100,0
AEC.US,5,20260126,193500,8.51,8.51,8.51,8.51,300,0
AEC.US,5,20260126,194000,8.37,8.37,8.37,8.37,100,0
AEC.US,5,20260126,194500,8.54,8.54,8.535,8.54,1500,0
AEC.US,5,20260126,195000,8.42,8.42,8.42,8.42,100,0
AEC.US,5,20260126,195500,8.49,8.565,8.49,8.52,400,0
AEC.US,5,20260126,200000,8.52,8.58,8.51,8.51,400,0
AEC.US,5,20260126,200500,8.51,8.56,8.51,8.56,200,0
AEC.US,5,20260126,201000,8.56,8.56,8.515,8.515,661,0
AEC.US,5,20260126,201500,8.53,8.53,8.52,8.525,1088,0
AEC.US,5,20260126,202000,8.565,8.565,8.465,8.465,1600,0
AEC.US,5,20260126,202500,8.49,8.49,8.465,8.465,400,0
AEC.US,5,20260126,203000,8.4794,8.53,8.4794,8.53,1000,0
AEC.US,5,20260126,203500,8.5,8.65,8.5,8.62,900,0
AEC.US,5,20260126,204000,8.635,8.635,8.61,8.61,300,0
AEC.US,5,20260126,204500,8.6,8.6,8.58,8.58,400,0
AEC.US,5,20260126,205000,8.52,8.52,8.495,8.495,1470,0
AEC.US,5,20260126,205500,8.47,8.48,8.47,8.48,400,0
AEC.US,5,20260126,210000,8.39,8.49,8.39,8.43,4994,0
AEC.US,5,20260126,210500,8.46,8.55,8.44,8.495,7874,0
AEC.US,5,20260126,211000,8.495,8.505,8.495,8.495,1625,0
AEC.US,5,20260126,211500,8.495,8.495,8.495,8.495,200,0
AEC.US,5,20260126,212000,8.51,8.51,8.5,8.5,1200,0
AEC.US,5,20260126,212500,8.52,8.63,8.52,8.63,1100,0
AEC.US,5,20260126,213000,8.6036,8.6036,8.6036,8.6036,200,0
AEC.US,5,20260126,213500,8.61,8.618,8.48,8.48,1980,0
AEC.US,5,20260126,214000,8.47,8.52,8.47,8.52,500,0
AEC.US,5,20260126,214500,8.605,8.605,8.52,8.52,844,0
AEC.US,5,20260126,215500,8.56,8.595,8.48,8.53,4978,0
AEC.US,5,20260127,153000,8.45,8.45,8,8.22,47676,0
AEC.US,5,20260127,153500,8.25,8.41,8.2,8.41,6008,0
AEC.US,5,20260127,154500,8.26,8.26,8.26,8.26,100,0
AEC.US,5,20260127,155000,8.64,8.64,8.64,8.64,530,0
AEC.US,5,20260127,155500,8.64,8.64,8.29,8.41,800,0
AEC.US,5,20260127,160000,8.405,8.41,8.28,8.4,1642,0
AEC.US,5,20260127,160500,8.19,8.19,8.19,8.19,300,0
AEC.US,5,20260127,161000,8.29,8.29,8.29,8.29,100,0
AEC.US,5,20260127,162000,8.41,8.4344,8.36,8.4344,1300,0
AEC.US,5,20260127,162500,8.37,8.405,8.37,8.405,508,0
AEC.US,5,20260127,163000,8.35,8.435,8.04,8.04,17244,0
AEC.US,5,20260127,163500,8.2,8.22,8.2,8.22,5100,0
AEC.US,5,20260127,164500,8.19,8.26,8.12,8.12,599,0
AEC.US,5,20260127,165000,8.26,8.26,8.12,8.25,1100,0
AEC.US,5,20260127,170000,8.3222,8.4,8.315,8.4,3135,0
AEC.US,5,20260127,170500,8.33,8.43,8.33,8.43,2437,0
AEC.US,5,20260127,172000,8.61,8.61,8.46,8.46,200,0
AEC.US,5,20260127,172500,8.64,8.65,8.63,8.64,1553,0
AEC.US,5,20260127,173000,8.69,8.69,8.69,8.69,1100,0
AEC.US,5,20260127,173500,8.56,8.69,8.56,8.69,4286,0
AEC.US,5,20260127,174000,8.57,8.57,8.57,8.57,100,0
AEC.US,5,20260127,174500,8.69,8.69,8.69,8.69,200,0
AEC.US,5,20260127,175000,8.58,8.58,8.58,8.58,100,0
AEC.US,5,20260127,175500,8.7,8.7,8.7,8.7,115,0
AEC.US,5,20260127,180000,8.6171,8.6171,8.6171,8.6171,100,0
AEC.US,5,20260127,181000,8.63,8.63,8.56,8.56,2243,0
AEC.US,5,20260127,181500,8.56,8.56,8.56,8.56,1457,0
AEC.US,5,20260127,182000,8.5,8.6,8.5,8.6,11740,0
AEC.US,5,20260127,182500,8.6,8.6,8.6,8.6,100,0
AEC.US,5,20260127,183000,8.68,8.69,8.52,8.69,900,0
AEC.US,5,20260127,183500,8.69,8.85,8.52,8.84,8262,0
AEC.US,5,20260127,184000,8.84,8.85,8.81,8.81,4880,0
AEC.US,5,20260127,185000,8.88,8.88,8.7687,8.805,300,0
AEC.US,5,20260127,185500,8.94,8.94,8.842,8.842,700,0
AEC.US,5,20260127,190000,8.8331,8.865,8.78,8.85,1400,0
AEC.US,5,20260127,190500,8.85,8.85,8.85,8.85,200,0
AEC.US,5,20260127,191000,8.93,8.93,8.93,8.93,100,0
AEC.US,5,20260127,191500,8.93,8.93,8.93,8.93,200,0
AEC.US,5,20260127,192000,8.775,8.88,8.775,8.88,300,0
AEC.US,5,20260127,193000,8.9374,8.9374,8.9374,8.9374,500,0
AEC.US,5,20260127,193500,8.84,8.84,8.775,8.775,437,0
AEC.US,5,20260127,194500,8.87,8.87,8.73,8.73,200,0
AEC.US,5,20260127,195000,8.92,8.93,8.92,8.93,991,0
AEC.US,5,20260127,195500,8.92,8.94,8.92,8.94,600,0
AEC.US,5,20260127,200000,8.75,8.93,8.75,8.93,200,0
AEC.US,5,20260127,200500,8.93,8.97,8.81,8.97,1700,0
AEC.US,5,20260127,201000,8.97,8.98,8.94,8.94,1000,0
AEC.US,5,20260127,201500,8.89,8.97,8.79,8.97,980,0
AEC.US,5,20260127,202000,8.96,8.97,8.96,8.97,200,0
AEC.US,5,20260127,202500,8.99,8.99,8.89,8.89,600,0
AEC.US,5,20260127,203000,8.96,8.96,8.96,8.96,100,0
AEC.US,5,20260127,203500,8.895,8.95,8.86,8.86,1443,0
AEC.US,5,20260127,204000,8.99,8.99,8.99,8.99,100,0
AEC.US,5,20260127,204500,8.99,9.1,8.99,9.04,3200,0
AEC.US,5,20260127,205000,9.1,9.14,9.03,9.09,1000,0
AEC.US,5,20260127,205500,9.13,9.13,8.97,8.97,300,0
AEC.US,5,20260127,210000,9.005,9.005,8.98,8.98,264,0
AEC.US,5,20260127,210500,9.1,9.12,8.97,9.043,950,0
AEC.US,5,20260127,211000,9.05,9.05,8.98,9,1100,0
AEC.US,5,20260127,211500,9.045,9.12,9.045,9.12,200,0
AEC.US,5,20260127,212000,9.012,9.02,9.012,9.02,1200,0
AEC.US,5,20260127,212500,9.02,9.02,8.97,8.97,225,0
AEC.US,5,20260127,213000,9.09,9.09,9.09,9.09,200,0
AEC.US,5,20260127,213500,9.0446,9.0446,9.0446,9.0446,150,0
AEC.US,5,20260127,214000,9.09,9.1,9.04,9.1,3765,0
AEC.US,5,20260127,214500,9.16,9.17,9.04,9.11,1300,0
AEC.US,5,20260127,215000,9.23,9.24,9.105,9.24,600,0
AEC.US,5,20260127,215500,9.1,9.31,9.1,9.21,7566,0
AEC.US,5,20260128,153000,9.6,9.87,9.4,9.85,8524,0
AEC.US,5,20260128,153500,9.8,9.86,9.635,9.675,9390,0
AEC.US,5,20260128,154000,9.675,9.9,9.675,9.9,8609,0
AEC.US,5,20260128,154500,9.88,9.9,9.86,9.9,890,0
AEC.US,5,20260128,155000,9.882,9.9,9.755,9.81,6643,0
AEC.US,5,20260128,155500,9.77,9.8,9.46,9.51,16795,0
AEC.US,5,20260128,160000,9.6,9.6597,9.39,9.5,14210,0
AEC.US,5,20260128,160500,9.48,9.53,9.48,9.53,400,0
AEC.US,5,20260128,161000,9.5,9.5,9.5,9.5,500,0
AEC.US,5,20260128,161500,9.53,9.53,9.53,9.53,100,0
AEC.US,5,20260128,162000,9.52,9.52,9.52,9.52,200,0
AEC.US,5,20260128,162500,9.5,9.53,9.5,9.5271,1000,0
AEC.US,5,20260128,163000,9.53,9.5651,9.47,9.54,6195,0
AEC.US,5,20260128,163500,9.665,9.665,9.665,9.665,100,0
AEC.US,5,20260128,164000,9.66,9.66,9.625,9.66,857,0
AEC.US,5,20260128,164500,9.6001,9.765,9.6001,9.765,5858,0
AEC.US,5,20260128,165000,9.7766,9.7766,9.7766,9.7766,200,0
AEC.US,5,20260128,165500,9.65,9.8008,9.645,9.645,3400,0
AEC.US,5,20260128,170000,9.6536,9.6536,9.6536,9.6536,400,0
AEC.US,5,20260128,170500,9.58,9.5995,9.53,9.585,1550,0
AEC.US,5,20260128,171500,9.65,9.8,9.65,9.71,2340,0
AEC.US,5,20260128,172000,9.57,9.59,9.57,9.59,200,0
AEC.US,5,20260128,172500,9.625,9.625,9.6175,9.625,1224,0
AEC.US,5,20260128,173000,9.69,9.69,9.69,9.69,200,0
AEC.US,5,20260128,173500,9.6201,9.6201,9.6201,9.6201,3648,0
AEC.US,5,20260128,174000,9.75,9.75,9.66,9.66,700,0
AEC.US,5,20260128,174500,9.67,9.67,9.67,9.67,100,0
AEC.US,5,20260128,175000,9.715,9.715,9.715,9.715,401,0
AEC.US,5,20260128,175500,9.72,9.89,9.72,9.82,5896,0
AEC.US,5,20260128,180000,9.77,9.85,9.76,9.807173,500,0
AEC.US,5,20260128,180500,9.86,9.94,9.83,9.92,10719,0
AEC.US,5,20260128,181000,9.86,9.86,9.86,9.86,200,0
AEC.US,5,20260128,181500,9.9322,9.9322,9.9322,9.9322,507,0
AEC.US,5,20260128,182000,9.85,9.85,9.8101,9.8101,410,0
AEC.US,5,20260128,182500,9.82,9.885,9.81,9.82,2792,0
AEC.US,5,20260128,183000,9.894,9.894,9.845,9.845,350,0
AEC.US,5,20260128,183500,9.85,9.85,9.85,9.85,1500,0
AEC.US,5,20260128,184000,9.8299,9.97,9.8299,9.93,5370,0
AEC.US,5,20260128,184500,9.955,9.955,9.955,9.955,200,0
AEC.US,5,20260128,185000,10,10.01,9.96,10.01,14395,0
AEC.US,5,20260128,185500,10.0177,10.24,10.0177,10.07,12100,0
AEC.US,5,20260128,190000,10.098,10.135,10.02,10.02,820,0
AEC.US,5,20260128,190500,10.04,10.115,10.04,10.115,1900,0
AEC.US,5,20260128,191000,10.115,10.115,9.98,10.025,1249,0
AEC.US,5,20260128,191500,10.025,10.025,9.82,9.9198,6879,0
AEC.US,5,20260128,192000,9.85,9.9,9.8,9.835,1410,0
AEC.US,5,20260128,192500,9.795,9.83,9.72,9.729,1971,0
AEC.US,5,20260128,193000,9.74,9.75,9.7347,9.75,900,0
AEC.US,5,20260128,193500,9.745,9.745,9.745,9.745,200,0
AEC.US,5,20260128,194000,9.73,9.73,9.73,9.73,200,0
AEC.US,5,20260128,195000,9.7,9.7,9.65,9.7,1835,0
AEC.US,5,20260128,195500,9.71,9.72,9.52,9.595,44624,0
AEC.US,5,20260128,200000,9.65,9.7,9.63,9.7,4303,0
AEC.US,5,20260128,200500,9.66,9.79,9.65,9.7025,2100,0
AEC.US,5,20260128,201000,9.7,9.71,9.61,9.68,8400,0
AEC.US,5,20260128,201500,9.67,9.71,9.665,9.665,2100,0
AEC.US,5,20260128,202000,9.68,9.69,9.47,9.575,28061,0
AEC.US,5,20260128,202500,9.71,9.73,9.6,9.62,2000,0
