<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEHR.US,5,20260126,153000,27.82,27.885,26.8,26.9818,50038,0
AEHR.US,5,20260126,153500,27.16,27.4156,26.83,27.175,18619,0
AEHR.US,5,20260126,154000,27.145,27.94,27,27.91,21380,0
AEHR.US,5,20260126,154500,27.85,28.2955,27.5465,27.9981,16456,0
AEHR.US,5,20260126,155000,27.905,27.9986,27.745,27.745,8387,0
AEHR.US,5,20260126,155500,27.69,27.8765,27.6344,27.857,10586,0
AEHR.US,5,20260126,160000,27.75,27.7922,27.66,27.66,2621,0
AEHR.US,5,20260126,160500,27.72,27.75,27.55,27.5797,7128,0
AEHR.US,5,20260126,161000,27.5,27.56,27.4152,27.56,5315,0
AEHR.US,5,20260126,161500,27.59,27.78,27.56,27.5628,18541,0
AEHR.US,5,20260126,162000,27.63,27.72,27.55,27.6287,4317,0
AEHR.US,5,20260126,162500,27.55,27.62,27.3868,27.46,19253,0
AEHR.US,5,20260126,163000,27.38,27.58,27.32,27.58,11652,0
AEHR.US,5,20260126,163500,27.5,27.5,27.32,27.3501,12985,0
AEHR.US,5,20260126,164000,27.3101,27.3101,27.23,27.27,3967,0
AEHR.US,5,20260126,164500,27.26,27.511,27.26,27.42,6031,0
AEHR.US,5,20260126,165000,27.49,27.58,27.49,27.505,1900,0
AEHR.US,5,20260126,165500,27.49,27.49,27.2849,27.2849,1406,0
AEHR.US,5,20260126,170000,27.24,27.31,27.2,27.21,6467,0
AEHR.US,5,20260126,170500,27.2079,27.25,27.2001,27.2032,6881,0
AEHR.US,5,20260126,171000,27.2306,27.2306,27.0418,27.0418,3646,0
AEHR.US,5,20260126,171500,27.1211,27.1211,26.9837,27.04,4407,0
AEHR.US,5,20260126,172000,27.035,27.15,26.99,26.99,10990,0
AEHR.US,5,20260126,172500,27.03,27.08,27,27.08,8055,0
AEHR.US,5,20260126,173000,27.09,27.16,27.0477,27.16,6465,0
AEHR.US,5,20260126,173500,27.14,27.16,27.1,27.15,2700,0
AEHR.US,5,20260126,174000,27.1424,27.1424,27.05,27.07,3356,0
AEHR.US,5,20260126,174500,27.03,27.11,27.01,27.11,2400,0
AEHR.US,5,20260126,175000,27.14,27.17,27.1,27.1,1934,0
AEHR.US,5,20260126,175500,27.1199,27.1227,27.06,27.06,4651,0
AEHR.US,5,20260126,180000,27.095,27.14,27.06,27.06,7338,0
AEHR.US,5,20260126,180500,27.0632,27.0632,26.95,26.98,4563,0
AEHR.US,5,20260126,181000,27.0078,27.0078,26.94,26.98,3599,0
AEHR.US,5,20260126,181500,26.9329,26.9778,26.92,26.9778,1834,0
AEHR.US,5,20260126,182000,26.945,26.99,26.945,26.99,1150,0
AEHR.US,5,20260126,182500,26.9797,26.9797,26.95,26.95,1700,0
AEHR.US,5,20260126,183000,26.955,27.13,26.955,27.13,9541,0
AEHR.US,5,20260126,183500,27.084,27.14,26.95,26.95,10717,0
AEHR.US,5,20260126,184000,26.94,26.98,26.935,26.945,3949,0
AEHR.US,5,20260126,184500,26.94,27.01,26.89,27.005,5102,0
AEHR.US,5,20260126,185000,27.02,27.0703,26.89,26.9271,2074,0
AEHR.US,5,20260126,185500,26.92,26.97,26.92,26.97,3971,0
AEHR.US,5,20260126,190000,26.989,26.989,26.81,26.84,5335,0
AEHR.US,5,20260126,190500,26.8,26.86,26.76,26.85,8488,0
AEHR.US,5,20260126,191000,26.8019,26.84,26.8019,26.8384,2450,0
AEHR.US,5,20260126,191500,26.84,27.01,26.82,26.96,11186,0
AEHR.US,5,20260126,192000,26.9502,26.9599,26.89,26.89,744,0
AEHR.US,5,20260126,192500,26.865,26.95,26.78,26.95,6413,0
AEHR.US,5,20260126,193000,26.95,26.95,26.85,26.85,2694,0
AEHR.US,5,20260126,193500,26.85,26.89,26.85,26.89,700,0
AEHR.US,5,20260126,194000,26.85,26.87,26.81,26.8276,1980,0
AEHR.US,5,20260126,194500,26.82,26.97,26.805,26.97,3286,0
AEHR.US,5,20260126,195000,26.91,26.92,26.91,26.92,400,0
AEHR.US,5,20260126,195500,26.9295,26.98,26.88,26.936,880,0
AEHR.US,5,20260126,200000,26.89,26.98,26.863,26.89,4170,0
