<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEI.US,5,20260126,153000,2.92,2.92,2.92,2.92,619,0
AEI.US,5,20260126,154000,3.025,3.025,3.025,3.025,1000,0
AEI.US,5,20260126,154500,3.01,3.01,3.01,3.01,112,0
AEI.US,5,20260126,155500,3.01,3.01,3.01,3.01,500,0
AEI.US,5,20260126,160500,3.01,3.01,3.01,3.01,600,0
AEI.US,5,20260126,162000,2.9201,2.9201,2.9201,2.9201,185,0
AEI.US,5,20260126,164000,2.954,2.954,2.954,2.954,266,0
AEI.US,5,20260126,165000,2.92,2.92,2.92,2.92,1000,0
AEI.US,5,20260126,172500,2.96,2.96,2.96,2.96,100,0
AEI.US,5,20260126,174500,3.0494,3.0494,3.0494,3.0494,949,0
AEI.US,5,20260126,180000,3.025,3.025,2.96,3.025,1200,0
AEI.US,5,20260126,184500,2.98,2.98,2.98,2.98,123,0
AEI.US,5,20260126,192000,2.97,2.97,2.97,2.97,100,0
AEI.US,5,20260126,205000,3.0578,3.0578,3.0578,3.0578,161,0
AEI.US,5,20260126,210000,3.025,3.025,2.985,3.0218,857,0
AEI.US,5,20260126,215500,3.036,3.036,3,3,495,0
AEI.US,5,20260127,153000,3.05,3.05,3.05,3.05,452,0
AEI.US,5,20260127,154500,3.055,3.055,3.05,3.05,200,0
AEI.US,5,20260127,160000,3.055,3.055,3.055,3.055,100,0
AEI.US,5,20260127,162000,3.0739,3.14,3.055,3.1364,6554,0
AEI.US,5,20260127,162500,3.19,3.1999,3.145,3.1999,10145,0
AEI.US,5,20260127,163000,3.184,3.23,3.15,3.23,7236,0
AEI.US,5,20260127,163500,3.2416,3.29,3.2101,3.28,3584,0
AEI.US,5,20260127,164000,3.28,3.28,3.2142,3.2142,1305,0
AEI.US,5,20260127,165500,3.2334,3.2334,3.2334,3.2334,250,0
AEI.US,5,20260127,170500,3.27,3.28,3.27,3.28,332,0
AEI.US,5,20260127,172500,3.2,3.2,3.2,3.2,100,0
AEI.US,5,20260127,173000,3.29,3.3,3.2869,3.3,1600,0
AEI.US,5,20260127,173500,3.34,3.34,3.3249,3.3249,1100,0
AEI.US,5,20260127,174000,3.33,3.33,3.1816,3.1816,500,0
AEI.US,5,20260127,174500,3.33,3.33,3.33,3.33,100,0
AEI.US,5,20260127,180500,3.3106,3.3106,3.3106,3.3106,1000,0
AEI.US,5,20260127,181500,3.16,3.24,3.16,3.24,300,0
AEI.US,5,20260127,182000,3.3,3.3,3.3,3.3,100,0
AEI.US,5,20260127,183500,3.27,3.29,3.27,3.29,1600,0
AEI.US,5,20260127,184000,3.25,3.25,3.1514,3.1514,1778,0
AEI.US,5,20260127,184500,3.25,3.25,3.25,3.25,591,0
AEI.US,5,20260127,192000,3.215,3.215,3.215,3.215,100,0
AEI.US,5,20260127,192500,3.2067,3.25,3.2067,3.25,5034,0
AEI.US,5,20260127,193000,3.2,3.2,3.2,3.2,100,0
AEI.US,5,20260127,194500,3.2809,3.2809,3.2809,3.2809,100,0
AEI.US,5,20260127,195000,3.275,3.275,3.275,3.275,100,0
AEI.US,5,20260127,195500,3.33,3.33,3.28,3.28,200,0
AEI.US,5,20260127,200000,3.2927,3.38,3.2927,3.375,1807,0
AEI.US,5,20260127,201000,3.3674,3.38,3.3674,3.38,1500,0
AEI.US,5,20260127,201500,3.4601,3.4601,3.4601,3.4601,902,0
AEI.US,5,20260127,205000,3.45,3.45,3.45,3.45,100,0
AEI.US,5,20260127,210000,3.39,3.43,3.39,3.43,895,0
AEI.US,5,20260127,210500,3.45,3.45,3.45,3.45,345,0
AEI.US,5,20260127,211500,3.46,3.46,3.46,3.46,100,0
AEI.US,5,20260127,214000,3.475,3.51,3.4188,3.425,2360,0
AEI.US,5,20260127,214500,3.425,3.425,3.425,3.425,5839,0
AEI.US,5,20260127,215500,3.48,3.495,3.48,3.48,531,0
AEI.US,5,20260128,153000,3.55,3.55,3.425,3.425,1612,0
AEI.US,5,20260128,154500,3.55,3.55,3.55,3.55,500,0
AEI.US,5,20260128,155000,3.66,3.66,3.66,3.66,100,0
AEI.US,5,20260128,162000,3.5631,3.6388,3.5631,3.6388,1125,0
AEI.US,5,20260128,162500,3.72,3.72,3.72,3.72,100,0
AEI.US,5,20260128,163000,3.572,3.64,3.5421,3.5421,717,0
AEI.US,5,20260128,163500,3.57,3.57,3.57,3.57,120,0
AEI.US,5,20260128,164000,3.675,3.69,3.65,3.69,600,0
AEI.US,5,20260128,164500,3.7,3.7,3.7,3.7,100,0
AEI.US,5,20260128,165000,3.625,3.625,3.56,3.56,350,0
AEI.US,5,20260128,170000,3.73,3.73,3.73,3.73,100,0
AEI.US,5,20260128,172000,3.6173,3.6173,3.6173,3.6173,100,0
