<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIFF.US,5,20260126,153000,1.03,1.03,1.03,1.03,1213,0
AIFF.US,5,20260126,153500,1.025,1.025,1.025,1.025,381,0
AIFF.US,5,20260126,154000,1.03,1.03,1.0109,1.0109,2100,0
AIFF.US,5,20260126,155000,1.015,1.015,1.015,1.015,220,0
AIFF.US,5,20260126,161000,1.015,1.015,1.015,1.015,100,0
AIFF.US,5,20260126,162000,1.0186,1.03,1.0186,1.02,1900,0
AIFF.US,5,20260126,162500,1.02,1.02,1.02,1.02,100,0
AIFF.US,5,20260126,164000,1.02,1.02,1.02,1.02,100,0
AIFF.US,5,20260126,164500,1.02,1.02,1.02,1.02,222,0
AIFF.US,5,20260126,165000,1.025,1.03,1.025,1.03,2100,0
AIFF.US,5,20260126,172500,1.0113,1.0113,1.0113,1.0113,400,0
AIFF.US,5,20260126,180500,1.015,1.02,1.015,1.0199,1800,0
AIFF.US,5,20260126,181500,1.0113,1.0154,1.0113,1.0154,944,0
AIFF.US,5,20260126,182000,1.02,1.02,1.02,1.02,497,0
AIFF.US,5,20260126,182500,1.0117,1.0117,1.0117,1.0117,231,0
AIFF.US,5,20260126,190000,1.0117,1.0117,1.0117,1.0117,100,0
AIFF.US,5,20260126,190500,1.01,1.02,1.01,1.01,1174,0
AIFF.US,5,20260126,191000,1.02,1.02,1.0199,1.0199,1000,0
AIFF.US,5,20260126,195000,1.01,1.01,1.01,1.01,2500,0
AIFF.US,5,20260126,195500,1.01,1.01,1.01,1.01,251,0
AIFF.US,5,20260126,200000,1.0151,1.0151,1.0151,1.0151,900,0
AIFF.US,5,20260126,200500,1.01,1.0103,1.01,1.0103,500,0
AIFF.US,5,20260126,202500,1.015,1.015,1.015,1.015,100,0
AIFF.US,5,20260126,203500,1.0146,1.0146,1.0146,1.0146,250,0
AIFF.US,5,20260126,210000,1.01,1.01,1.01,1.01,300,0
AIFF.US,5,20260126,211000,1.0099,1.0099,1.0099,1.0099,500,0
AIFF.US,5,20260126,212500,1.0015,1.0015,1.0015,1.0015,2000,0
AIFF.US,5,20260126,213500,1.0002,1.0002,1.0002,1.0002,1000,0
AIFF.US,5,20260126,215500,1.005,1.01,1.0021,1.01,1784,0
AIFF.US,5,20260127,153000,1,1,0.991,0.991,1059,0
AIFF.US,5,20260127,154000,0.98,0.9801,0.98,0.98,400,0
AIFF.US,5,20260127,154500,0.9892,0.99,0.9892,0.99,200,0
AIFF.US,5,20260127,160000,0.995,0.995,0.995,0.995,235,0
AIFF.US,5,20260127,161000,0.999,0.999,0.999,0.999,1327,0
AIFF.US,5,20260127,161500,0.9803,0.99,0.9803,0.99,1600,0
AIFF.US,5,20260127,162000,0.9898,0.9898,0.9898,0.9898,477,0
AIFF.US,5,20260127,162500,0.985,0.985,0.9801,0.9801,600,0
AIFF.US,5,20260127,163000,0.98,0.98,0.98,0.98,500,0
AIFF.US,5,20260127,164500,0.98,0.98,0.98,0.98,5000,0
AIFF.US,5,20260127,165000,0.97,0.97,0.97,0.97,230,0
AIFF.US,5,20260127,165500,0.97,0.978,0.97,0.978,1604,0
AIFF.US,5,20260127,170500,0.979899,0.979899,0.975,0.975,350,0
AIFF.US,5,20260127,171000,0.970852,0.970852,0.970852,0.970852,500,0
AIFF.US,5,20260127,172000,0.9701,0.9701,0.9701,0.9701,103,0
AIFF.US,5,20260127,172500,0.9799,0.9799,0.9799,0.9799,410,0
AIFF.US,5,20260127,173000,0.9739,0.9739,0.9739,0.9739,612,0
AIFF.US,5,20260127,173500,0.9799,0.9799,0.9799,0.9799,200,0
AIFF.US,5,20260127,174000,0.98,0.98,0.98,0.98,300,0
AIFF.US,5,20260127,180000,0.9899,0.9899,0.9899,0.9899,175,0
AIFF.US,5,20260127,181500,0.9898,0.9898,0.9801,0.9898,919,0
AIFF.US,5,20260127,182500,0.9896,0.9896,0.9896,0.9896,100,0
AIFF.US,5,20260127,183500,0.9896,0.9896,0.9896,0.9896,162,0
AIFF.US,5,20260127,184000,0.9842,0.9842,0.9842,0.9842,100,0
AIFF.US,5,20260127,184500,0.9801,0.984801,0.980001,0.980001,1600,0
AIFF.US,5,20260127,185000,0.9801,0.9801,0.9801,0.9801,900,0
AIFF.US,5,20260127,185500,0.983317,0.983317,0.983317,0.983317,100,0
AIFF.US,5,20260127,190000,0.9894,0.9894,0.9894,0.9894,101,0
AIFF.US,5,20260127,190500,0.98,0.9803,0.98,0.98,500,0
AIFF.US,5,20260127,192000,0.9893,0.9893,0.9893,0.9893,500,0
AIFF.US,5,20260127,195000,0.983,0.983,0.983,0.983,100,0
AIFF.US,5,20260127,201500,0.970101,0.970101,0.970101,0.970101,250,0
AIFF.US,5,20260127,202000,0.98,0.98,0.98,0.98,600,0
