<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIP.US,5,20260126,153000,15.99,15.99,15.77,15.89,6879,0
AIP.US,5,20260126,153500,15.97,16.05,15.91,15.91,2609,0
AIP.US,5,20260126,154000,16,16.22,15.99,16.22,2350,0
AIP.US,5,20260126,155000,16.29,16.29,16.29,16.29,100,0
AIP.US,5,20260126,155500,16.225,16.225,16.225,16.225,200,0
AIP.US,5,20260126,160000,16.27,16.28,16.22,16.28,2149,0
AIP.US,5,20260126,160500,16.215,16.215,16.215,16.215,1100,0
AIP.US,5,20260126,161000,16.27,16.29,16.16,16.16,600,0
AIP.US,5,20260126,161500,16.3,16.42,16.186,16.303,2295,0
AIP.US,5,20260126,162000,16.23,16.23,16.23,16.23,185,0
AIP.US,5,20260126,162500,16.225,16.28,16.16,16.16,2911,0
AIP.US,5,20260126,163000,16.19,16.19,16.19,16.19,200,0
AIP.US,5,20260126,163500,16.2,16.2,16.19,16.19,636,0
AIP.US,5,20260126,164000,16.18,16.18,15.9418,15.9825,13390,0
AIP.US,5,20260126,164500,15.95,16.06,15.94,16.06,1755,0
AIP.US,5,20260126,165000,16.08,16.08,16.06,16.06,200,0
AIP.US,5,20260126,165500,16.08,16.08,16.05,16.05,400,0
AIP.US,5,20260126,170000,16.015,16.015,16,16,200,0
AIP.US,5,20260126,171000,15.975,16.045,15.97,16,2480,0
AIP.US,5,20260126,171500,15.94,15.94,15.91,15.91,680,0
AIP.US,5,20260126,172000,15.89,15.89,15.88,15.88,1000,0
AIP.US,5,20260126,172500,15.86,15.87,15.8001,15.87,6173,0
AIP.US,5,20260126,173000,15.85,15.85,15.85,15.85,100,0
AIP.US,5,20260126,173500,15.865,15.867,15.84,15.865,1100,0
AIP.US,5,20260126,174000,15.842,15.842,15.82,15.82,803,0
AIP.US,5,20260126,174500,15.82,15.82,15.82,15.82,100,0
AIP.US,5,20260126,175000,15.835,15.84,15.82,15.83,2935,0
AIP.US,5,20260126,175500,15.83,15.84,15.8,15.84,1300,0
AIP.US,5,20260126,180000,15.825,15.84,15.825,15.835,1900,0
AIP.US,5,20260126,180500,15.83,15.83,15.81,15.81,749,0
AIP.US,5,20260126,181000,15.8,15.82,15.762,15.79,6523,0
AIP.US,5,20260126,181500,15.805,15.805,15.78,15.78,4140,0
AIP.US,5,20260126,182000,15.805,15.805,15.805,15.805,1200,0
AIP.US,5,20260126,182500,15.805,15.855,15.805,15.82,3185,0
AIP.US,5,20260126,183500,15.828916,15.84,15.81,15.81,327,0
AIP.US,5,20260126,184000,15.81,15.82,15.78,15.78,5070,0
AIP.US,5,20260126,184500,15.77,15.78,15.76,15.78,2000,0
AIP.US,5,20260126,185000,15.76,15.79,15.76,15.775,8669,0
AIP.US,5,20260126,185500,15.76,15.765,15.74,15.74,2420,0
AIP.US,5,20260126,190000,15.73,15.75,15.72,15.74,1691,0
AIP.US,5,20260126,190500,15.73,15.74,15.73,15.74,1400,0
AIP.US,5,20260126,191000,15.735,15.77,15.735,15.75,1970,0
AIP.US,5,20260126,191500,15.775,15.79,15.77,15.77,400,0
AIP.US,5,20260126,192000,15.75,15.75,15.75,15.75,100,0
AIP.US,5,20260126,192500,15.745,15.745,15.745,15.745,250,0
AIP.US,5,20260126,193000,15.745,15.745,15.745,15.745,100,0
AIP.US,5,20260126,193500,15.73,15.765,15.73,15.765,800,0
AIP.US,5,20260126,194000,15.765,15.84,15.765,15.825,6600,0
AIP.US,5,20260126,194500,15.81,15.825,15.81,15.825,400,0
AIP.US,5,20260126,195000,15.83,15.85,15.83,15.85,400,0
AIP.US,5,20260126,195500,15.8443,15.8443,15.84,15.84,200,0
AIP.US,5,20260126,200000,15.83,15.83,15.83,15.83,100,0
AIP.US,5,20260126,200500,15.83,15.83,15.8,15.8,910,0
AIP.US,5,20260126,201000,15.81,15.81,15.81,15.81,1500,0
AIP.US,5,20260126,201500,15.8232,15.8232,15.78,15.78,1561,0
AIP.US,5,20260126,202000,15.76,15.76,15.75,15.75,300,0
AIP.US,5,20260126,202500,15.74,15.77,15.74,15.76,1532,0
AIP.US,5,20260126,203000,15.76,15.78,15.76,15.78,200,0
AIP.US,5,20260126,203500,15.7608,15.77,15.75,15.75,714,0
AIP.US,5,20260126,204000,15.73,15.73,15.73,15.73,300,0
AIP.US,5,20260126,204500,15.72,15.725,15.665,15.72,8101,0
AIP.US,5,20260126,205000,15.71,15.72,15.7,15.7,1422,0
AIP.US,5,20260126,205500,15.7,15.71,15.7,15.71,200,0
AIP.US,5,20260126,210000,15.71,15.71,15.71,15.71,100,0
AIP.US,5,20260126,210500,15.71,15.72,15.665,15.6675,1700,0
AIP.US,5,20260126,211000,15.665,15.665,15.665,15.665,748,0
AIP.US,5,20260126,211500,15.665,15.71,15.65,15.655,8278,0
AIP.US,5,20260126,212000,15.7,15.77,15.68,15.76,3464,0
AIP.US,5,20260126,212500,15.76,15.86,15.76,15.84,4455,0
AIP.US,5,20260126,213000,15.84,15.86,15.8,15.81,5967,0
AIP.US,5,20260126,213500,15.81,15.82,15.79,15.8,7550,0
AIP.US,5,20260126,214000,15.8,15.84,15.795,15.81,13204,0
AIP.US,5,20260126,214500,15.815,15.819,15.785,15.785,8770,0
AIP.US,5,20260126,215000,15.78,15.78,15.715,15.76,12305,0
AIP.US,5,20260126,215500,15.75,15.76,15.72,15.76,67033,0
