<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALLO.US,5,20260126,153000,1.71,1.72,1.645,1.645,154081,0
ALLO.US,5,20260126,153500,1.64,1.6497,1.61,1.6101,96814,0
ALLO.US,5,20260126,154000,1.6103,1.62,1.6,1.62,123170,0
ALLO.US,5,20260126,154500,1.62,1.625,1.61,1.62,126860,0
ALLO.US,5,20260126,155000,1.6202,1.6299,1.605,1.605,92663,0
ALLO.US,5,20260126,155500,1.61,1.61,1.57,1.5706,257886,0
ALLO.US,5,20260126,160000,1.5773,1.58,1.56,1.575,223507,0
ALLO.US,5,20260126,160500,1.57,1.5713,1.55,1.565,190921,0
ALLO.US,5,20260126,161000,1.565,1.57,1.56,1.56,77856,0
ALLO.US,5,20260126,161500,1.5645,1.57,1.56,1.57,51160,0
ALLO.US,5,20260126,162000,1.57,1.57,1.55,1.565,218546,0
ALLO.US,5,20260126,162500,1.565,1.57,1.555,1.5642,172618,0
ALLO.US,5,20260126,163000,1.5599,1.575,1.555,1.575,429155,0
ALLO.US,5,20260126,163500,1.5714,1.5794,1.57,1.5786,16952,0
ALLO.US,5,20260126,164000,1.57,1.575,1.56,1.575,135521,0
ALLO.US,5,20260126,164500,1.575,1.58,1.57,1.5761,6223,0
ALLO.US,5,20260126,165000,1.5733,1.595,1.5733,1.5893,282178,0
ALLO.US,5,20260126,165500,1.585,1.59,1.58,1.5845,29895,0
ALLO.US,5,20260126,170000,1.585,1.595,1.585,1.595,91468,0
ALLO.US,5,20260126,170500,1.595,1.6,1.59,1.5987,76829,0
ALLO.US,5,20260126,171000,1.59,1.6,1.585,1.585,29950,0
ALLO.US,5,20260126,171500,1.585,1.585,1.585,1.585,1397,0
ALLO.US,5,20260126,172000,1.589,1.5893,1.585,1.5893,2028,0
ALLO.US,5,20260126,172500,1.5893,1.59,1.58,1.585,4492,0
ALLO.US,5,20260126,173000,1.58,1.585,1.57,1.58,90741,0
ALLO.US,5,20260126,173500,1.58,1.5897,1.575,1.585,98878,0
ALLO.US,5,20260126,174000,1.59,1.59,1.581,1.59,13462,0
ALLO.US,5,20260126,174500,1.585,1.5897,1.58,1.585,47359,0
ALLO.US,5,20260126,175000,1.585,1.5997,1.5813,1.59,215239,0
ALLO.US,5,20260126,175500,1.5901,1.595,1.585,1.585,54214,0
ALLO.US,5,20260126,180000,1.5899,1.59,1.58,1.5878,46106,0
ALLO.US,5,20260126,180500,1.58,1.59,1.57,1.575,30971,0
ALLO.US,5,20260126,181000,1.57,1.5799,1.57,1.5788,12233,0
ALLO.US,5,20260126,181500,1.575,1.58,1.57,1.575,13395,0
ALLO.US,5,20260126,182000,1.575,1.58,1.57,1.57,138189,0
ALLO.US,5,20260126,182500,1.565,1.5681,1.56,1.5681,1698,0
ALLO.US,5,20260126,183000,1.5605,1.5685,1.5605,1.565,8940,0
ALLO.US,5,20260126,183500,1.565,1.57,1.545,1.545,133358,0
ALLO.US,5,20260126,184000,1.545,1.5581,1.5414,1.553,47926,0
ALLO.US,5,20260126,184500,1.555,1.5599,1.5501,1.555,12289,0
ALLO.US,5,20260126,185000,1.555,1.56,1.55,1.55,27534,0
ALLO.US,5,20260126,185500,1.55,1.56,1.54,1.54,39914,0
ALLO.US,5,20260126,190000,1.54,1.54,1.53,1.535,19477,0
ALLO.US,5,20260126,190500,1.535,1.54,1.5345,1.535,93705,0
ALLO.US,5,20260126,191000,1.535,1.545,1.53,1.5386,207335,0
ALLO.US,5,20260126,191500,1.535,1.5399,1.535,1.5399,2701,0
ALLO.US,5,20260126,192000,1.5388,1.54,1.53,1.54,43858,0
