<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APPN.US,5,20260126,153000,29.7,30.18,29.53,29.95,14883,0
APPN.US,5,20260126,153500,29.955,29.96,29.82,29.83,3801,0
APPN.US,5,20260126,154000,29.93,30.13,29.85,29.91,3700,0
APPN.US,5,20260126,154500,29.83,30.035,29.79,30,6136,0
APPN.US,5,20260126,155000,30,30.195,29.99,30.195,2628,0
APPN.US,5,20260126,155500,30,30.07,29.92,29.93,3241,0
APPN.US,5,20260126,160000,29.92,29.935,29.88,29.935,1688,0
APPN.US,5,20260126,160500,29.925,30.09,29.925,30.03,2430,0
APPN.US,5,20260126,161000,29.98,30.08,29.98,30.02,4312,0
APPN.US,5,20260126,161500,30.11,30.24,30.11,30.225,2254,0
APPN.US,5,20260126,162000,30.25,30.41,30.25,30.41,950,0
APPN.US,5,20260126,162500,30.39,30.48,30.315,30.33,7695,0
APPN.US,5,20260126,163000,30.28,30.3548,30.28,30.3475,1800,0
APPN.US,5,20260126,163500,30.345,30.37,30.22,30.23,2100,0
APPN.US,5,20260126,164000,30.17,30.17,30.08,30.14,4536,0
APPN.US,5,20260126,164500,30.17,30.17,30.11,30.11,1033,0
APPN.US,5,20260126,165000,30.15,30.19,30.08,30.105,1450,0
APPN.US,5,20260126,165500,30.14,30.233,30.0701,30.15,14100,0
APPN.US,5,20260126,170000,30.18,30.21,30.1201,30.1899,2140,0
APPN.US,5,20260126,170500,30.155,30.16,30.09,30.09,1898,0
APPN.US,5,20260126,171000,30.08,30.11,30.05,30.05,5794,0
APPN.US,5,20260126,171500,30.045,30.06,30.015,30.03,2323,0
APPN.US,5,20260126,172000,30.02,30.03,29.995,30.03,600,0
APPN.US,5,20260126,172500,30.02,30.0848,30.01,30.0848,2505,0
APPN.US,5,20260126,173000,30.1,30.1,30.07,30.07,500,0
APPN.US,5,20260126,173500,30.08,30.1,30.08,30.09,400,0
APPN.US,5,20260126,174000,30.08,30.09,30.05,30.09,1597,0
APPN.US,5,20260126,174500,30.0835,30.11,30.07,30.11,1638,0
APPN.US,5,20260126,175000,30.09,30.1,30.035,30.06,2087,0
APPN.US,5,20260126,175500,30.035,30.035,29.95,29.96,3565,0
APPN.US,5,20260126,180000,29.945,30,29.94,30,8075,0
APPN.US,5,20260126,180500,30,30.04,30,30.04,858,0
APPN.US,5,20260126,181000,30.03,30.03,29.95,29.95,3557,0
APPN.US,5,20260126,181500,29.955,29.99,29.955,29.99,1100,0
APPN.US,5,20260126,182000,30,30.04,30,30.025,2369,0
APPN.US,5,20260126,182500,30.05,30.05,30.04,30.04,696,0
APPN.US,5,20260126,183000,30.05,30.12,30.05,30.11,1400,0
APPN.US,5,20260126,183500,30.1,30.35,30.1,30.19,12436,0
APPN.US,5,20260126,184000,30.16,30.22,30.15,30.17,1875,0
APPN.US,5,20260126,184500,30.17,30.2,30.16,30.1824,2961,0
APPN.US,5,20260126,185000,30.15,30.19,30.15,30.16,1086,0
APPN.US,5,20260126,185500,30.11,30.11,30.09,30.095,400,0
APPN.US,5,20260126,190000,30.07,30.09,30.04,30.065,1164,0
APPN.US,5,20260126,190500,30.03,30.05,30.02,30.04,1123,0
APPN.US,5,20260126,191000,30.03,30.035,30.015,30.035,800,0
APPN.US,5,20260126,191500,30.02,30.06,30.02,30.05,2672,0
APPN.US,5,20260126,192000,30.06,30.07,30.01,30.01,2359,0
APPN.US,5,20260126,192500,30.02,30.06,30.02,30.05,2920,0
APPN.US,5,20260126,193000,30.03,30.05,29.9924,30.02,1000,0
APPN.US,5,20260126,193500,30,30.01,29.95,29.95,2198,0
APPN.US,5,20260126,194000,29.92,29.95,29.9,29.935,4916,0
APPN.US,5,20260126,194500,29.92,29.92,29.86,29.86,2401,0
APPN.US,5,20260126,195000,29.865,29.89,29.85,29.85,1655,0
APPN.US,5,20260126,195500,29.84,29.86,29.78,29.78,1390,0
APPN.US,5,20260126,200000,29.78,29.83,29.755,29.79,2726,0
APPN.US,5,20260126,200500,29.79,29.82,29.77,29.82,2260,0
APPN.US,5,20260126,201000,29.86,29.86,29.83,29.86,2965,0
APPN.US,5,20260126,201500,29.86,29.8874,29.8275,29.8874,1300,0
APPN.US,5,20260126,202000,29.865,29.87,29.82,29.86,1432,0
APPN.US,5,20260126,202500,29.86,29.86,29.83,29.86,1562,0
APPN.US,5,20260126,203000,29.84,29.91,29.84,29.8965,5118,0
APPN.US,5,20260126,203500,29.8935,30.07,29.8935,29.99,6008,0
APPN.US,5,20260126,204000,30.04,30.04,29.955,29.955,1200,0
APPN.US,5,20260126,204500,29.95,29.98,29.93,29.98,1651,0
APPN.US,5,20260126,205000,29.98,29.99,29.93,29.96,1500,0
APPN.US,5,20260126,205500,29.96,29.98,29.932,29.96,2154,0
APPN.US,5,20260126,210000,29.965,30.11,29.95,30.11,5559,0
APPN.US,5,20260126,210500,30.11,30.13,30.095,30.11,900,0
APPN.US,5,20260126,211000,30.12,30.16,30.09,30.145,4696,0
APPN.US,5,20260126,211500,30.13,30.16,30.0801,30.11,3154,0
APPN.US,5,20260126,212000,30.13,30.15,30.02,30.071,5651,0
APPN.US,5,20260126,212500,30.075,30.09,30.04,30.08,2300,0
APPN.US,5,20260126,213000,30.063,30.11,30.063,30.11,3081,0
APPN.US,5,20260126,213500,30.11,30.11,30.04,30.06,5811,0
APPN.US,5,20260126,214000,30.07,30.07,30.04,30.04,4120,0
APPN.US,5,20260126,214500,30.0427,30.07,30,30,9171,0
APPN.US,5,20260126,215000,30,30.02,29.94,30.003,15283,0
APPN.US,5,20260126,215500,30.03,30.09,30.02,30.06,155873,0
APPN.US,5,20260127,153000,30.99,31.2,30.66,30.99,40791,0
APPN.US,5,20260127,153500,30.91,30.91,29.795,29.795,14809,0
APPN.US,5,20260127,154000,29.79,29.79,29.52,29.52,620,0
APPN.US,5,20260127,154500,29.52,29.64,29.2,29.63,11141,0
APPN.US,5,20260127,155000,29.61,29.67,29.5551,29.615,4802,0
APPN.US,5,20260127,155500,29.57,29.57,29.24,29.28,4050,0
APPN.US,5,20260127,160000,29.275,29.535,29.275,29.48,7847,0
APPN.US,5,20260127,160500,29.5,29.57,29.49,29.56,1737,0
APPN.US,5,20260127,161000,29.59,29.84,29.59,29.83,2641,0
APPN.US,5,20260127,161500,29.73,29.73,29.69,29.7,850,0
APPN.US,5,20260127,162000,29.74,29.74,29.7053,29.72,1600,0
APPN.US,5,20260127,162500,29.685,29.7,29.6,29.61,2410,0
APPN.US,5,20260127,163000,29.595,29.66,29.5,29.66,2203,0
APPN.US,5,20260127,163500,29.635,29.69,29.58,29.69,1420,0
APPN.US,5,20260127,164000,29.69,29.755,29.62,29.62,2044,0
APPN.US,5,20260127,164500,29.5701,29.69,29.5701,29.67,2454,0
APPN.US,5,20260127,165000,29.6,29.67,29.6,29.64,1178,0
APPN.US,5,20260127,165500,29.63,29.65,29.6275,29.63,407,0
APPN.US,5,20260127,170000,29.6,29.64,29.59,29.6,1720,0
APPN.US,5,20260127,170500,29.638,29.7,29.62,29.67,2100,0
APPN.US,5,20260127,171000,29.66,29.68,29.65,29.65,1200,0
APPN.US,5,20260127,171500,29.66,29.705,29.62,29.63,3353,0
APPN.US,5,20260127,172000,29.7,29.7,29.62,29.62,4710,0
APPN.US,5,20260127,172500,29.62,29.66,29.585,29.66,8893,0
APPN.US,5,20260127,173000,29.63,29.635,29.63,29.635,600,0
APPN.US,5,20260127,173500,29.62,29.68,29.62,29.68,1100,0
APPN.US,5,20260127,174000,29.7,29.77,29.68,29.77,2469,0
APPN.US,5,20260127,174500,29.8,29.83,29.79,29.83,2200,0
APPN.US,5,20260127,175000,29.8,29.85,29.79,29.85,650,0
APPN.US,5,20260127,175500,29.85,29.91,29.85,29.855,1776,0
APPN.US,5,20260127,180000,29.88,29.9,29.87,29.9,2804,0
APPN.US,5,20260127,180500,29.9,29.9,29.845,29.845,1100,0
APPN.US,5,20260127,181000,29.845,29.845,29.71,29.71,3255,0
APPN.US,5,20260127,181500,29.73,29.79,29.73,29.775,2163,0
APPN.US,5,20260127,182000,29.76,29.79,29.75,29.76,1367,0
APPN.US,5,20260127,182500,29.75,29.78,29.75,29.76,352,0
APPN.US,5,20260127,183000,29.73,29.76,29.73,29.75,600,0
APPN.US,5,20260127,183500,29.75,29.77,29.71,29.71,800,0
APPN.US,5,20260127,184000,29.7,29.72,29.69,29.69,775,0
APPN.US,5,20260127,184500,29.666,29.72,29.666,29.71,1686,0
APPN.US,5,20260127,185000,29.73,29.74,29.66,29.66,800,0
APPN.US,5,20260127,185500,29.68,29.68,29.67,29.67,300,0
APPN.US,5,20260127,190000,29.68,29.72,29.68,29.72,1100,0
APPN.US,5,20260127,190500,29.7,29.72,29.7,29.72,1042,0
APPN.US,5,20260127,191000,29.72,29.73,29.675,29.72,2001,0
APPN.US,5,20260127,191500,29.725,29.73,29.725,29.73,490,0
APPN.US,5,20260127,192000,29.73,29.8,29.72,29.8,3358,0
APPN.US,5,20260127,192500,29.815,29.815,29.78,29.79,3382,0
APPN.US,5,20260127,193000,29.8,29.8,29.79,29.79,352,0
APPN.US,5,20260127,193500,29.81,29.81,29.755,29.755,1634,0
APPN.US,5,20260127,194000,29.76,29.81,29.76,29.79,1820,0
APPN.US,5,20260127,194500,29.795,29.795,29.75,29.75,1000,0
APPN.US,5,20260127,195000,29.77,29.77,29.75,29.77,2098,0
APPN.US,5,20260127,195500,29.76,29.78,29.75,29.755,2802,0
APPN.US,5,20260127,200000,29.73,29.73,29.57,29.63,6180,0
APPN.US,5,20260127,200500,29.63,29.6324,29.565,29.565,1500,0
APPN.US,5,20260127,201000,29.565,29.565,29.565,29.565,2000,0
APPN.US,5,20260127,201500,29.585,29.59,29.56,29.58,1005,0
APPN.US,5,20260127,202000,29.56,29.56,29.555,29.555,500,0
APPN.US,5,20260127,202500,29.555,29.675,29.54,29.66,5386,0
APPN.US,5,20260127,203000,29.63,29.66,29.62,29.66,1600,0
APPN.US,5,20260127,203500,29.64,29.64,29.46,29.52,19229,0
APPN.US,5,20260127,204000,29.535,29.58,29.535,29.58,1925,0
APPN.US,5,20260127,204500,29.5679,29.57,29.54,29.57,2837,0
APPN.US,5,20260127,205000,29.58,29.63,29.58,29.61,2485,0
APPN.US,5,20260127,205500,29.61,29.66,29.61,29.6566,1418,0
APPN.US,5,20260127,210000,29.65,29.72,29.625,29.7,8226,0
APPN.US,5,20260127,210500,29.71,29.73,29.7,29.72,11827,0
APPN.US,5,20260127,211000,29.7,29.73,29.66,29.67,4578,0
APPN.US,5,20260127,211500,29.69,29.74,29.69,29.695,1615,0
APPN.US,5,20260127,212000,29.695,29.72,29.69,29.7,2146,0
APPN.US,5,20260127,212500,29.7,29.7,29.65,29.67,3573,0
APPN.US,5,20260127,213000,29.64,29.68,29.64,29.68,2000,0
APPN.US,5,20260127,213500,29.6706,29.74,29.65,29.74,7005,0
APPN.US,5,20260127,214000,29.74,29.84,29.74,29.81,11909,0
APPN.US,5,20260127,214500,29.795,29.85,29.78,29.825,8272,0
APPN.US,5,20260127,215000,29.81,29.82,29.75,29.795,14850,0
APPN.US,5,20260127,215500,29.81,29.955,29.78,29.89,159605,0
APPN.US,5,20260128,153000,30.2,30.59,30.125,30.59,18463,0
APPN.US,5,20260128,153500,30.46,30.79,30.34,30.785,20375,0
APPN.US,5,20260128,154000,30.87,31.08,30.77,30.89,13189,0
APPN.US,5,20260128,154500,31,31.06,30.78,30.95,38328,0
APPN.US,5,20260128,155000,31,31.15,30.9,31.025,43265,0
APPN.US,5,20260128,155500,31.03,31.06,30.845,30.925,2550,0
APPN.US,5,20260128,160000,30.809,31,30.73,30.86,4840,0
APPN.US,5,20260128,160500,30.71,30.93,30.71,30.865,1713,0
APPN.US,5,20260128,161000,30.8,30.8845,30.7168,30.805,22300,0
APPN.US,5,20260128,161500,30.6786,30.94,30.66,30.73,8200,0
APPN.US,5,20260128,162000,30.7502,30.81,30.59,30.59,4086,0
APPN.US,5,20260128,162500,30.56,30.78,30.55,30.72,2430,0
APPN.US,5,20260128,163000,30.67,30.68,30.45,30.52,3047,0
APPN.US,5,20260128,163500,30.44,30.48,30.29,30.395,5522,0
APPN.US,5,20260128,164000,30.44,30.49,30.34,30.4,8157,0
APPN.US,5,20260128,164500,30.34,30.4,30.16,30.16,5124,0
APPN.US,5,20260128,165000,30.1,30.245,30.06,30.245,5562,0
APPN.US,5,20260128,165500,30.24,30.28,30.17,30.22,1844,0
APPN.US,5,20260128,170000,30.22,30.22,30.14,30.14,3192,0
APPN.US,5,20260128,170500,30.105,30.19,30.1,30.16,2669,0
APPN.US,5,20260128,171000,30.13,30.25,30.13,30.25,1049,0
APPN.US,5,20260128,171500,30.21,30.23,30.17,30.17,2602,0
APPN.US,5,20260128,172000,30.17,30.27,30.17,30.26,3890,0
APPN.US,5,20260128,172500,30.25,30.28,30.25,30.26,1671,0
APPN.US,5,20260128,173000,30.23,30.26,30.15,30.26,3614,0
APPN.US,5,20260128,173500,30.2775,30.28,30.23,30.23,3015,0
APPN.US,5,20260128,174000,30.22,30.22,30.16,30.165,1420,0
APPN.US,5,20260128,174500,30.19,30.21,30.18,30.205,1339,0
APPN.US,5,20260128,175000,30.23,30.24,30.23,30.24,400,0
APPN.US,5,20260128,175500,30.26,30.285,30.26,30.27,2306,0
APPN.US,5,20260128,180000,30.3,30.315,30.26,30.27,2110,0
APPN.US,5,20260128,180500,30.28,30.31,30.28,30.28,2232,0
APPN.US,5,20260128,181000,30.27,30.42,30.27,30.4,4540,0
APPN.US,5,20260128,181500,30.35,30.39,30.35,30.39,800,0
APPN.US,5,20260128,182000,30.375,30.41,30.3,30.3,2164,0
APPN.US,5,20260128,182500,30.34,30.34,30.255,30.28,925,0
APPN.US,5,20260128,183000,30.265,30.265,30.135,30.21,4209,0
APPN.US,5,20260128,183500,30.21,30.21,30.18,30.21,860,0
APPN.US,5,20260128,184000,30.185,30.21,30.16,30.185,970,0
APPN.US,5,20260128,184500,30.2,30.255,30.2,30.255,1100,0
APPN.US,5,20260128,185000,30.258,30.26,30.25,30.25,2061,0
APPN.US,5,20260128,185500,30.255,30.35,30.23,30.35,5338,0
APPN.US,5,20260128,190000,30.36,30.38,30.34,30.38,3846,0
APPN.US,5,20260128,190500,30.36,30.375,30.34,30.35,1700,0
APPN.US,5,20260128,191000,30.37,30.39,30.34,30.34,800,0
APPN.US,5,20260128,191500,30.36,30.37,30.35,30.37,800,0
APPN.US,5,20260128,192000,30.38,30.39,30.37,30.37,1400,0
APPN.US,5,20260128,192500,30.36,30.37,30.35,30.37,2500,0
APPN.US,5,20260128,193000,30.38,30.4,30.3701,30.4,729,0
APPN.US,5,20260128,193500,30.43,30.475,30.43,30.475,2916,0
APPN.US,5,20260128,194000,30.45,30.56,30.45,30.55,1700,0
APPN.US,5,20260128,194500,30.54,30.55,30.49,30.5,3917,0
APPN.US,5,20260128,195000,30.505,30.54,30.49,30.49,4200,0
APPN.US,5,20260128,195500,30.48,30.48,30.41,30.41,2648,0
APPN.US,5,20260128,200000,30.39,30.46,30.31,30.37,6125,0
APPN.US,5,20260128,200500,30.38,30.41,30.36,30.37,2000,0
APPN.US,5,20260128,201000,30.33,30.33,30.3,30.325,1399,0
APPN.US,5,20260128,201500,30.345,30.36,30.32,30.36,800,0
APPN.US,5,20260128,202000,30.365,30.365,30.29,30.315,1620,0
APPN.US,5,20260128,202500,30.28,30.31,30.12,30.13,6029,0
APPN.US,5,20260128,203000,30.12,30.45,30.04,30.14,14489,0
APPN.US,5,20260128,203500,30.135,30.25,30.06,30.21,9750,0
APPN.US,5,20260128,204000,30.24,30.28,30.21,30.21,3872,0
APPN.US,5,20260128,204500,30.24,30.37,30.24,30.33,1989,0
APPN.US,5,20260128,205000,30.34,30.42,30.34,30.39,1157,0
APPN.US,5,20260128,205500,30.4,30.405,30.35,30.365,2540,0
APPN.US,5,20260128,210000,30.365,30.365,30.27,30.34,2182,0
APPN.US,5,20260128,210500,30.31,30.33,30.3,30.3,2306,0
APPN.US,5,20260128,211000,30.3,30.34,30.28,30.305,2841,0
APPN.US,5,20260128,211500,30.27,30.28,30.255,30.27,918,0
APPN.US,5,20260128,212000,30.26,30.27,30.24,30.25,7886,0
APPN.US,5,20260128,212500,30.24,30.24,30.18,30.185,3499,0
APPN.US,5,20260128,213000,30.19,30.2,30.09,30.09,5426,0
APPN.US,5,20260128,213500,30.08,30.125,30.06,30.125,8102,0
APPN.US,5,20260128,214000,30.125,30.14,30.085,30.14,3838,0
APPN.US,5,20260128,214500,30.145,30.15,30.04,30.1,6378,0
APPN.US,5,20260128,215000,30.1,30.18,30.0577,30.18,16017,0
APPN.US,5,20260128,215500,30.19,30.225,30.16,30.21,176235,0
APPN.US,5,20260129,153000,29.64,29.64,28.31,28.955,30869,0
APPN.US,5,20260129,153500,28.955,29.4,28.61,29.3,21320,0
APPN.US,5,20260129,154000,29.095,29.095,28.37,28.4,12483,0
APPN.US,5,20260129,154500,28.435,29.06,28.4,28.9,39050,0
APPN.US,5,20260129,155000,28.87,29.01,28.75,28.87,17592,0
APPN.US,5,20260129,155500,28.7827,28.91,28.47,28.485,4132,0
APPN.US,5,20260129,160000,28.485,29.16,28.48,29.01,40265,0
APPN.US,5,20260129,160500,29.06,29.32,29.06,29.27,12295,0
APPN.US,5,20260129,161000,29.395,29.46,29.24,29.46,1400,0
APPN.US,5,20260129,161500,29.45,29.47,29.1,29.1,10759,0
APPN.US,5,20260129,162000,29.09,29.17,29.09,29.11,1600,0
APPN.US,5,20260129,162500,29.105,29.18,28.96,28.96,11705,0
APPN.US,5,20260129,163000,28.94,28.97,28.94,28.965,1431,0
APPN.US,5,20260129,163500,28.93,28.99,28.88,28.925,9743,0
APPN.US,5,20260129,164000,28.925,29.0138,28.875,29.01,3400,0
APPN.US,5,20260129,164500,28.98,28.98,28.775,28.82,31131,0
APPN.US,5,20260129,165000,28.79,28.79,28.63,28.67,8688,0
APPN.US,5,20260129,165500,28.68,28.84,28.68,28.745,8390,0
APPN.US,5,20260129,170000,28.72,28.76,28.71,28.75,2640,0
APPN.US,5,20260129,170500,28.7427,28.745,28.6789,28.745,7412,0
APPN.US,5,20260129,171000,28.74,28.78,28.645,28.655,8662,0
APPN.US,5,20260129,171500,28.65,28.72,28.6,28.65,22723,0
APPN.US,5,20260129,172000,28.6116,28.64,28.56,28.6,6090,0
APPN.US,5,20260129,172500,28.6,28.61,28.43,28.52,6482,0
APPN.US,5,20260129,173000,28.505,28.53,28.45,28.45,5187,0
APPN.US,5,20260129,173500,28.43,28.57,28.43,28.51,12253,0
APPN.US,5,20260129,174000,28.54,28.62,28.52,28.62,3741,0
APPN.US,5,20260129,174500,28.68,28.81,28.68,28.77,4565,0
APPN.US,5,20260129,175000,28.77,28.77,28.645,28.69,10819,0
APPN.US,5,20260129,175500,28.63,28.635,28.63,28.635,300,0
APPN.US,5,20260129,180000,28.65,28.68,28.63,28.64,614,0
APPN.US,5,20260129,180500,28.64,28.68,28.63,28.665,1600,0
APPN.US,5,20260129,181000,28.64,28.79,28.62,28.7775,6907,0
APPN.US,5,20260129,181500,28.78,28.84,28.76,28.8205,3323,0
APPN.US,5,20260129,182000,28.825,28.825,28.8,28.82,900,0
APPN.US,5,20260129,182500,28.845,28.845,28.585,28.645,10046,0
APPN.US,5,20260129,183000,28.665,28.69,28.6,28.6,3930,0
APPN.US,5,20260129,183500,28.6,28.67,28.58,28.64,5320,0
APPN.US,5,20260129,184000,28.62,28.625,28.54,28.545,6528,0
APPN.US,5,20260129,184500,28.51,28.51,28.39,28.39,5479,0
APPN.US,5,20260129,185000,28.41,28.51,28.41,28.45,6160,0
APPN.US,5,20260129,185500,28.4196,28.45,28.4196,28.445,2944,0
APPN.US,5,20260129,190000,28.445,28.58,28.38,28.54,16866,0
APPN.US,5,20260129,190500,28.55,28.58,28.525,28.58,2500,0
APPN.US,5,20260129,191000,28.5999,28.6,28.535,28.59,1745,0
APPN.US,5,20260129,191500,28.555,28.69,28.555,28.68,5651,0
APPN.US,5,20260129,192000,28.665,28.71,28.66,28.66,3403,0
APPN.US,5,20260129,192500,28.69,28.79,28.6781,28.79,3400,0
APPN.US,5,20260129,193000,28.77,28.89,28.74,28.78,23222,0
APPN.US,5,20260129,193500,28.795,28.81,28.7,28.75,3945,0
APPN.US,5,20260129,194000,28.75,28.77,28.72,28.75,1900,0
APPN.US,5,20260129,194500,28.75,28.75,28.69,28.73,4738,0
APPN.US,5,20260129,195000,28.74,28.78,28.73,28.755,4248,0
APPN.US,5,20260129,195500,28.77,28.82,28.72,28.72,3060,0
APPN.US,5,20260129,200000,28.675,28.76,28.675,28.72,4395,0
APPN.US,5,20260129,200500,28.73,28.79,28.73,28.79,1100,0
APPN.US,5,20260129,201000,28.76,28.82,28.76,28.81,2200,0
APPN.US,5,20260129,201500,28.81,28.84,28.78,28.81,4078,0
APPN.US,5,20260129,202000,28.78,28.78,28.73,28.74,7098,0
APPN.US,5,20260129,202500,28.75,28.76,28.72,28.76,5028,0
APPN.US,5,20260129,203000,28.74,28.75,28.66,28.7,13868,0
APPN.US,5,20260129,203500,28.7,28.7876,28.7,28.75,1972,0
APPN.US,5,20260129,204000,28.735,28.735,28.665,28.7168,6348,0
APPN.US,5,20260129,204500,28.74,28.745,28.67,28.67,3871,0
APPN.US,5,20260129,205000,28.67,28.72,28.65,28.6625,6154,0
APPN.US,5,20260129,205500,28.68,28.85,28.665,28.825,6741,0
APPN.US,5,20260129,210000,28.825,28.86,28.78,28.83,18270,0
APPN.US,5,20260129,210500,28.83,28.84,28.81,28.84,5147,0
APPN.US,5,20260129,211000,28.82,28.9,28.52,28.5216,71866,0
APPN.US,5,20260129,211500,28.51,28.53,28.445,28.49,16752,0
APPN.US,5,20260129,212000,28.485,28.525,28.46,28.5,8777,0
APPN.US,5,20260129,212500,28.485,28.55,28.485,28.55,7530,0
APPN.US,5,20260129,213000,28.54,28.64,28.495,28.508,8467,0
APPN.US,5,20260129,213500,28.505,28.54,28.435,28.485,25368,0
APPN.US,5,20260129,214000,28.4709,28.625,28.4709,28.5625,22475,0
APPN.US,5,20260129,214500,28.59,28.64,28.57,28.58,6076,0
APPN.US,5,20260129,215000,28.59,28.86,28.59,28.85,19215,0
APPN.US,5,20260129,215500,28.855,28.87,28.78,28.85,59133,0
APPN.US,5,20260130,153000,28.66,28.7,28.5,28.61,3567,0
APPN.US,5,20260130,153500,28.57,28.57,28.57,28.57,975,0
APPN.US,5,20260130,154000,28.39,28.4,28.1,28.223,5006,0
APPN.US,5,20260130,154500,28.15,28.15,27.77,28,8265,0
