<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASPCR.US,5,20260126,160000,0.2605,0.2605,0.2605,0.2605,220,0
ASPCR.US,5,20260126,161500,0.216851,0.216851,0.216851,0.216851,170,0
ASPCR.US,5,20260126,192500,0.2057,0.2057,0.2057,0.2057,100,0
ASPCR.US,5,20260127,175500,0.1901,0.1901,0.1901,0.1901,522,0
ASPCR.US,5,20260127,181000,0.1913,0.1913,0.1913,0.1913,522,0
ASPCR.US,5,20260127,185000,0.1913,0.2,0.1913,0.2,522,0
ASPCR.US,5,20260127,190000,0.2,0.2,0.2,0.2,20000,0
ASPCR.US,5,20260127,202500,0.2,0.2,0.2,0.2,1000,0
ASPCR.US,5,20260128,202500,0.199899,0.199899,0.199899,0.199899,250,0
ASPCR.US,5,20260129,162000,0.18,0.18,0.18,0.18,100,0
ASPCR.US,5,20260129,165500,0.18,0.1952,0.18,0.1952,200,0
ASPCR.US,5,20260129,211000,0.1913,0.1913,0.1913,0.1913,409,0
ASPCR.US,5,20260129,214500,0.1952,0.1952,0.1952,0.1952,100,0
ASPCR.US,5,20260130,153000,0.199,0.235,0.1949,0.2038,1000,0
ASPCR.US,5,20260202,153000,0.2357,0.2357,0.2357,0.2357,714,0
ASPCR.US,5,20260202,173000,0.2,0.2,0.1782,0.1782,428,0
ASPCR.US,5,20260202,213000,0.2,0.2,0.2,0.2,100,0
ASPCR.US,5,20260203,162500,0.25219,0.25219,0.25219,0.25219,396,0
ASPCR.US,5,20260203,175000,0.2295,0.2295,0.22,0.22,400,0
ASPCR.US,5,20260203,180000,0.2357,0.2357,0.2357,0.2357,100,0
ASPCR.US,5,20260203,201000,0.2357,0.249899,0.2357,0.249899,288,0
ASPCR.US,5,20260203,202500,0.2399,0.2399,0.2399,0.2399,400,0
ASPCR.US,5,20260203,204500,0.236,0.236,0.236,0.236,300,0
ASPCR.US,5,20260203,205500,0.236,0.236,0.236,0.236,1000,0
ASPCR.US,5,20260203,211000,0.235599,0.235599,0.235599,0.235599,104,0
ASPCR.US,5,20260203,212000,0.2,0.2,0.2,0.2,100,0
ASPCR.US,5,20260210,204000,0.18,0.1999,0.18,0.1801,400,0
ASPCR.US,5,20260211,164500,0.2387,0.2387,0.2387,0.2387,288,0
ASPCR.US,5,20260211,205000,0.1772,0.1772,0.1772,0.1772,100,0
ASPCR.US,5,20260212,181000,0.22,0.22,0.16755,0.1762,46485,0
ASPCR.US,5,20260217,153000,0.1225,0.1225,0.1225,0.1225,288,0
ASPCR.US,5,20260217,154500,0.13,0.1523,0.1228,0.14505,914,0
ASPCR.US,5,20260217,155500,0.1305,0.1305,0.1305,0.1305,100,0
ASPCR.US,5,20260217,210500,0.18,0.18,0.18,0.18,300,0
ASPCR.US,5,20260217,215500,0.1663,0.1663,0.1527,0.1527,200,0
ASPCR.US,5,20260219,212500,0.1276,0.1276,0.1276,0.1276,100,0
ASPCR.US,5,20260220,171500,0.1898,0.19,0.13,0.1306,9346,0
ASPCR.US,5,20260220,185000,0.1498,0.1498,0.1498,0.1498,415,0
ASPCR.US,5,20260225,210500,0.23,0.23,0.23,0.23,500,0
ASPCR.US,5,20260225,215500,0.2299,0.2299,0.2299,0.2299,166,0
ASPCR.US,5,20260226,215500,0.21,0.21,0.21,0.21,100,0
ASPCR.US,5,20260302,153000,0.24,0.24,0.24,0.24,199,0
ASPCR.US,5,20260302,173000,0.1653,0.1653,0.159591,0.159591,1007,0
ASPCR.US,5,20260302,193000,0.2,0.2,0.2,0.2,100,0
ASPCR.US,5,20260303,201000,0.2,0.2,0.2,0.2,100,0
ASPCR.US,5,20260303,201500,0.2,0.2,0.2,0.2,100,0
ASPCR.US,5,20260304,183000,0.1512,0.1512,0.1512,0.1512,252,0
ASPCR.US,5,20260312,205500,0.1999,0.21,0.1994,0.21,590,0
ASPCR.US,5,20260313,155000,0.2,0.2,0.2,0.2,100,0
ASPCR.US,5,20260318,165000,0.1565,0.1565,0.1565,0.1565,7100,0
ASPCR.US,5,20260318,204500,0.188,0.188,0.188,0.188,417,0
ASPCR.US,5,20260327,191000,0.1201,0.1201,0.1201,0.1201,685,0
ASPCR.US,5,20260330,184000,0.12,0.1201,0.12,0.1201,304,0
ASPCR.US,5,20260331,192500,0.175,0.18,0.175,0.18,238,0
ASPCR.US,5,20260401,212000,0.1849,0.1849,0.1849,0.1849,100,0
ASPCR.US,5,20260401,212500,0.1849,0.1849,0.1849,0.1849,100,0
ASPCR.US,5,20260401,213000,0.1849,0.185,0.184899,0.185,300,0
ASPCR.US,5,20260407,153000,0.18,0.18,0.18,0.18,25000,0
ASPCR.US,5,20260416,184000,0.18,0.18,0.18,0.18,50637,0
ASPCR.US,5,20260422,212000,0.1829,0.1829,0.1829,0.1829,546,0
ASPCR.US,5,20260429,153000,0.2011,0.2011,0.2011,0.2011,170,0
ASPCR.US,5,20260429,195500,0.1829,0.1829,0.1828,0.1828,20000,0
ASPCR.US,5,20260429,200500,0.1828,0.1828,0.1828,0.1828,5000,0
ASPCR.US,5,20260501,180000,0.1829,0.1829,0.1829,0.1829,1108,0
ASPCR.US,5,20260501,190000,0.1829,0.1829,0.1829,0.1829,1000,0
ASPCR.US,5,20260501,192000,0.1829,0.1829,0.1829,0.1829,900,0
ASPCR.US,5,20260501,193500,0.1829,0.183,0.1829,0.183,2100,0
ASPCR.US,5,20260507,155500,0.1829,0.1829,0.1829,0.1829,100,0
ASPCR.US,5,20260508,164500,0.1829,0.1829,0.1829,0.1829,100,0
ASPCR.US,5,20260511,165000,0.18289,0.18289,0.18289,0.18289,109,0
ASPCR.US,5,20260511,173500,0.1829,0.1829,0.1829,0.1829,100,0
ASPCR.US,5,20260526,164500,0.149,0.149,0.149,0.149,400,0
ASPCR.US,5,20260527,160500,0.1,0.1,0.1,0.1,50000,0
ASPCR.US,5,20260527,161000,0.1201,0.1201,0.1,0.1,97671,0
ASPCR.US,5,20260527,183000,0.11,0.11,0.11,0.11,10000,0
ASPCR.US,5,20260527,211500,0.11,0.11,0.1099,0.1099,200,0
ASPCR.US,5,20260528,185000,0.159,0.159,0.159,0.159,1000,0
ASPCR.US,5,20260528,210500,0.082,0.082,0.082,0.082,1000,0
ASPCR.US,5,20260529,172000,0.15,0.15,0.15,0.15,100,0
ASPCR.US,5,20260529,190000,0.081,0.081,0.081,0.081,800,0
ASPCR.US,5,20260601,154500,0.1265,0.1265,0.1265,0.1265,100,0
ASPCR.US,5,20260601,193000,0.149049,0.149049,0.149049,0.149049,163,0
ASPCR.US,5,20260601,195000,0.07011,0.15,0.07011,0.15,866,0
ASPCR.US,5,20260602,153000,0.12,0.12,0.12,0.12,1381,0
ASPCR.US,5,20260602,170500,0.072,0.072,0.0702,0.0702,666,0
ASPCR.US,5,20260602,182500,0.0997,0.1,0.0997,0.1,8024,0
ASPCR.US,5,20260602,213000,0.101,0.101,0.1001,0.1001,1333,0
ASPCR.US,5,20260605,155000,0.132,0.132,0.132,0.132,153,0
ASPCR.US,5,20260605,203500,0.1288,0.1288,0.1288,0.1288,300,0
ASPCR.US,5,20260608,163500,0.1155,0.1155,0.1155,0.1155,300,0
ASPCR.US,5,20260612,153000,0.1288,0.1728,0.1288,0.163,569,0
ASPCR.US,5,20260612,161000,0.1533,0.1533,0.1533,0.1533,100,0
ASPCR.US,5,20260612,173500,0.183,0.183,0.183,0.183,965,0
ASPCR.US,5,20260612,174500,0.183,0.183,0.183,0.183,1174,0
ASPCR.US,5,20260612,175000,0.11,0.11,0.101,0.101,1147,0
ASPCR.US,5,20260615,164000,0.1001,0.1011,0.1001,0.1001,679,0
ASPCR.US,5,20260615,175500,0.1072,0.1072,0.1,0.1,30493,0
ASPCR.US,5,20260615,204500,0.09,0.09,0.09,0.09,265,0
ASPCR.US,5,20260618,201000,0.0901,0.0901,0.0901,0.0901,900,0
