<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATEX.US,5,20260126,153000,24.35,24.35,23.54,23.54,1468,0
ATEX.US,5,20260126,153500,23.54,23.6505,23.53,23.6505,878,0
ATEX.US,5,20260126,154500,23.49,23.49,23.49,23.49,101,0
ATEX.US,5,20260126,155000,23.41,23.44,23.41,23.44,200,0
ATEX.US,5,20260126,155500,23.545,23.63,23.545,23.62,725,0
ATEX.US,5,20260126,160000,23.515,23.515,23.43,23.5,2000,0
ATEX.US,5,20260126,160500,23.6,23.63,23.515,23.63,1255,0
ATEX.US,5,20260126,161000,23.48,23.48,23.46,23.46,200,0
ATEX.US,5,20260126,161500,23.501,23.575,23.495,23.575,834,0
ATEX.US,5,20260126,162000,23.58,23.58,23.58,23.58,100,0
ATEX.US,5,20260126,162500,23.5,23.52,23.37,23.37,3626,0
ATEX.US,5,20260126,163000,23.37,23.37,23.2001,23.33,2100,0
ATEX.US,5,20260126,163500,23.445,23.45,23.445,23.45,600,0
ATEX.US,5,20260126,164500,23.3539,23.4,23.3539,23.4,200,0
ATEX.US,5,20260126,165500,23.31,23.31,23.28,23.28,906,0
ATEX.US,5,20260126,170000,23.335,23.335,23.335,23.335,500,0
ATEX.US,5,20260126,170500,23.2901,23.2901,23.28,23.28,855,0
ATEX.US,5,20260126,171000,23.26,23.26,23.26,23.26,300,0
ATEX.US,5,20260126,171500,23.27,23.28,23.24,23.26,1539,0
ATEX.US,5,20260126,172000,23.29,23.29,23.29,23.29,100,0
ATEX.US,5,20260126,172500,23.27,23.27,23.25,23.25,300,0
ATEX.US,5,20260126,173000,23.286,23.46,23.286,23.46,3663,0
ATEX.US,5,20260126,173500,23.54,23.56,23.49,23.56,1007,0
ATEX.US,5,20260126,174500,23.435,23.435,23.4082,23.4082,655,0
ATEX.US,5,20260126,175000,23.42,23.55,23.42,23.54,700,0
ATEX.US,5,20260126,175500,23.565,23.565,23.565,23.565,100,0
ATEX.US,5,20260126,180000,23.55,23.55,23.51,23.51,1120,0
ATEX.US,5,20260126,181000,23.51,23.51,23.45,23.45,2000,0
ATEX.US,5,20260126,182500,23.43,23.43,23.43,23.43,250,0
ATEX.US,5,20260126,183000,23.43,23.43,23.41,23.41,371,0
ATEX.US,5,20260126,183500,23.43,23.46,23.43,23.46,507,0
ATEX.US,5,20260126,184000,23.48,23.48,23.48,23.48,200,0
ATEX.US,5,20260126,184500,23.47,23.47,23.47,23.47,100,0
ATEX.US,5,20260126,185000,23.4625,23.495,23.4625,23.495,850,0
ATEX.US,5,20260126,185500,23.48,23.48,23.48,23.48,300,0
ATEX.US,5,20260126,190000,23.49,23.49,23.46,23.48,1636,0
ATEX.US,5,20260126,191500,23.445,23.4485,23.445,23.4485,435,0
ATEX.US,5,20260126,192000,23.5,23.5,23.5,23.5,119,0
ATEX.US,5,20260126,193000,23.47,23.48,23.45,23.45,1145,0
ATEX.US,5,20260126,193500,23.458,23.4598,23.458,23.4598,500,0
ATEX.US,5,20260126,194000,23.425,23.59,23.425,23.54,1951,0
ATEX.US,5,20260126,194500,23.525,23.525,23.525,23.525,100,0
ATEX.US,5,20260126,195000,23.525,23.525,23.525,23.525,209,0
ATEX.US,5,20260126,200500,23.535,23.535,23.415,23.415,13333,0
ATEX.US,5,20260126,201000,23.4548,23.49,23.45,23.49,407,0
ATEX.US,5,20260126,201500,23.39,23.39,23.39,23.39,100,0
ATEX.US,5,20260126,202000,23.49,23.49,23.455,23.455,400,0
ATEX.US,5,20260126,202500,23.45,23.45,23.45,23.45,100,0
ATEX.US,5,20260126,203000,23.45,23.45,23.39,23.39,520,0
ATEX.US,5,20260126,203500,23.43,23.52,23.43,23.5,1400,0
ATEX.US,5,20260126,204000,23.5,23.5,23.48,23.48,500,0
ATEX.US,5,20260126,204500,23.505,23.505,23.505,23.505,100,0
ATEX.US,5,20260126,205000,23.51,23.51,23.51,23.51,100,0
ATEX.US,5,20260126,210000,23.48,23.48,23.42,23.42,852,0
ATEX.US,5,20260126,210500,23.45,23.46,23.435,23.435,602,0
ATEX.US,5,20260126,211000,23.49,23.49,23.44,23.44,650,0
ATEX.US,5,20260126,211500,23.42,23.455,23.42,23.455,420,0
ATEX.US,5,20260126,212500,23.45,23.455,23.445,23.445,778,0
ATEX.US,5,20260126,213000,23.445,23.445,23.445,23.445,300,0
ATEX.US,5,20260126,213500,23.47,23.52,23.445,23.52,600,0
ATEX.US,5,20260126,214000,23.52,23.58,23.52,23.58,2502,0
ATEX.US,5,20260126,214500,23.575,23.59,23.575,23.59,2159,0
ATEX.US,5,20260126,215000,23.58,23.635,23.54,23.54,4299,0
ATEX.US,5,20260126,215500,23.5,23.54,23.48,23.5,66842,0
ATEX.US,5,20260127,153000,23.5,23.5,23.5,23.5,309,0
ATEX.US,5,20260127,154500,23.36,23.36,23.23,23.23,2108,0
ATEX.US,5,20260127,155000,23.24,23.44,23.202,23.25,1444,0
ATEX.US,5,20260127,155500,23.25,23.258,23.25,23.258,800,0
ATEX.US,5,20260127,160500,23.16,23.175,23.03,23.16,2976,0
ATEX.US,5,20260127,161000,23.17,23.205,23.17,23.19,9685,0
ATEX.US,5,20260127,161500,23.195,23.32,23.19,23.22,1032,0
ATEX.US,5,20260127,162000,23.26,23.32,23.24,23.32,1550,0
ATEX.US,5,20260127,162500,23.29,23.29,23.24,23.24,700,0
ATEX.US,5,20260127,163500,23.25,23.26,23.25,23.26,728,0
ATEX.US,5,20260127,165000,23.2,23.2,23.2,23.2,534,0
ATEX.US,5,20260127,165500,23.28,23.28,23.28,23.28,100,0
ATEX.US,5,20260127,170000,23.195,23.38,23.195,23.34,514,0
ATEX.US,5,20260127,171000,23.45,23.49,23.36,23.49,800,0
