<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATLC.US,5,20260126,153000,57.07,57.08,57.02,57.02,842,0
ATLC.US,5,20260126,153500,57.03,57.68,57.01,57.68,500,0
ATLC.US,5,20260126,154000,57.48,57.7,57.48,57.7,300,0
ATLC.US,5,20260126,154500,57.7,58.0437,57.7,58.0437,1200,0
ATLC.US,5,20260126,155000,58.3024,58.3024,58.3024,58.3024,100,0
ATLC.US,5,20260126,155500,57.02,57.02,57.02,57.02,100,0
ATLC.US,5,20260126,161000,57.03,57.03,57.03,57.03,137,0
ATLC.US,5,20260126,161500,57.33,57.35,57.33,57.35,441,0
ATLC.US,5,20260126,162000,57.55,57.61,57.55,57.61,200,0
ATLC.US,5,20260126,163000,57.605,57.605,57.31,57.52,300,0
ATLC.US,5,20260126,163500,57.505,57.505,57.505,57.505,350,0
ATLC.US,5,20260126,164000,57.02,57.02,57.01,57.01,200,0
ATLC.US,5,20260126,165000,57.29,57.29,57.29,57.29,100,0
ATLC.US,5,20260126,171000,56.86,56.86,56.86,56.86,100,0
ATLC.US,5,20260126,171500,56.73,56.78,56.73,56.78,200,0
ATLC.US,5,20260126,184000,57.02,57.15,57.02,57.15,400,0
ATLC.US,5,20260126,184500,56.93,57.12,56.92,57.12,300,0
ATLC.US,5,20260126,191500,56.91,57.04,56.87,56.89,600,0
ATLC.US,5,20260126,194000,56.905,56.905,56.905,56.905,123,0
ATLC.US,5,20260126,195500,56.75,56.75,56.64,56.64,300,0
ATLC.US,5,20260126,201500,56.79,56.8,56.79,56.8,300,0
ATLC.US,5,20260126,205000,56.8,56.8,56.79,56.79,273,0
ATLC.US,5,20260126,205500,56.73,56.73,56.68,56.68,200,0
ATLC.US,5,20260126,210000,56.86,56.8691,56.82,56.8691,490,0
ATLC.US,5,20260126,211500,57.01,57.03,56.96,56.96,600,0
ATLC.US,5,20260126,212500,56.92,56.92,56.82,56.82,600,0
ATLC.US,5,20260126,214000,56.82,56.82,56.66,56.75,577,0
ATLC.US,5,20260126,215000,56.63,56.63,56.63,56.63,100,0
ATLC.US,5,20260126,215500,56.38,56.54,56.28,56.28,7478,0
ATLC.US,5,20260127,153500,56.76,56.76,55.325,55.325,1200,0
ATLC.US,5,20260127,154500,54.78,54.78,54.78,54.78,100,0
ATLC.US,5,20260127,155000,56.145,56.145,56.145,56.145,103,0
ATLC.US,5,20260127,155500,55.2,55.345,55.2,55.21,300,0
ATLC.US,5,20260127,160000,55.27,55.27,55.27,55.27,100,0
ATLC.US,5,20260127,160500,54.94,54.94,54.94,54.94,100,0
ATLC.US,5,20260127,161500,55.16,55.16,55.16,55.16,100,0
ATLC.US,5,20260127,162500,54.55,54.55,54.55,54.55,100,0
ATLC.US,5,20260127,163000,54.66,54.77,53.98,53.98,4748,0
ATLC.US,5,20260127,163500,54.75,54.75,54.38,54.38,200,0
