<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVAV.US,5,20260126,153000,307.75,307.75,301.92,306.58,20775,0
AVAV.US,5,20260126,153500,305.675,309.9299,305,305.5851,19562,0
AVAV.US,5,20260126,154000,305.69,308.625,305.43,306.1078,5698,0
AVAV.US,5,20260126,154500,306.5,308.7699,306.5,307.42,14663,0
AVAV.US,5,20260126,155000,307.209,308.29,304.68,304.68,11826,0
AVAV.US,5,20260126,155500,305.14,305.34,300.18,301.13,24315,0
AVAV.US,5,20260126,160000,301.13,303.99,301.13,302.945,19358,0
AVAV.US,5,20260126,160500,303.13,305,302.4,303.37,11762,0
AVAV.US,5,20260126,161000,303.0001,305.21,302.961,304.71,17044,0
AVAV.US,5,20260126,161500,304.695,305.18,304.2,304.66,4641,0
AVAV.US,5,20260126,162000,304.63,304.8197,303.12,303.295,4520,0
AVAV.US,5,20260126,162500,303.1,303.1,300.58,301.19,9309,0
AVAV.US,5,20260126,163000,300.98,302.2499,300.171,301.7,10888,0
AVAV.US,5,20260126,163500,302.04,303.7599,300.74,300.74,10845,0
AVAV.US,5,20260126,164000,300.6,300.66,298.53,299.365,21034,0
AVAV.US,5,20260126,164500,299.73,302.58,299.331,301.38,15624,0
AVAV.US,5,20260126,165000,301.8,302.2999,301,301.99,14247,0
AVAV.US,5,20260126,165500,301.6,301.6,299.82,300.66,6290,0
AVAV.US,5,20260126,170000,300.14,301.45,299.86,301.15,10322,0
AVAV.US,5,20260126,170500,301.15,302.27,300.8,301.62,14133,0
AVAV.US,5,20260126,171000,301.63,302.22,300.585,300.585,4681,0
AVAV.US,5,20260126,171500,300.4,300.59,299.16,299.2,18948,0
AVAV.US,5,20260126,172000,299.44,300.25,298.63,298.93,7955,0
AVAV.US,5,20260126,172500,299,299.77,298.53,299.53,4951,0
AVAV.US,5,20260126,173000,299.525,300.37,299.09,300.19,13778,0
AVAV.US,5,20260126,173500,300.3699,301.9499,299.81,301.545,29689,0
AVAV.US,5,20260126,174000,301.545,301.719,299.54,300.4,27922,0
AVAV.US,5,20260126,174500,300.43,302.19,300.237,301.83,14798,0
AVAV.US,5,20260126,175000,301.67,302.72,301.1501,301.6901,10862,0
AVAV.US,5,20260126,175500,301.71,302.44,301.56,301.71,10650,0
AVAV.US,5,20260126,180000,301.71,302.49,301.1438,302.44,16647,0
AVAV.US,5,20260126,180500,302.49,302.9,301.99,302.16,12448,0
AVAV.US,5,20260126,181000,302.005,303.7628,301.77,303.45,9343,0
AVAV.US,5,20260126,181500,303.45,303.8499,302.28,302.28,10332,0
AVAV.US,5,20260126,182000,302.34,303.1982,302.2301,302.7,17929,0
AVAV.US,5,20260126,182500,302.8496,303.0099,301.98,302,15973,0
AVAV.US,5,20260126,183000,302.21,302.42,301.69,301.69,2119,0
AVAV.US,5,20260126,183500,302.115,302.24,301.52,301.73,3827,0
AVAV.US,5,20260126,184000,301.97,301.97,301.11,301.34,5689,0
AVAV.US,5,20260126,184500,301.11,301.67,300.8,301.4467,7166,0
AVAV.US,5,20260126,185000,301.19,302.34,301.04,302.15,5274,0
AVAV.US,5,20260126,185500,302.391,302.69,302.005,302.275,3442,0
AVAV.US,5,20260126,190000,302.16,302.49,301.8801,302.225,5258,0
AVAV.US,5,20260126,190500,302.14,302.77,301.7,302.59,2908,0
AVAV.US,5,20260126,191000,302.55,302.56,302.07,302.16,1490,0
AVAV.US,5,20260126,191500,302.1,303.56,302.1,303.465,4581,0
