<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBLG.US,5,20260126,154000,1.69,1.7,1.69,1.69,12684,0
BBLG.US,5,20260126,155000,1.69,1.69,1.69,1.69,600,0
BBLG.US,5,20260126,155500,1.69,1.69,1.69,1.69,307,0
BBLG.US,5,20260126,160000,1.69,1.69,1.69,1.69,200,0
BBLG.US,5,20260126,161000,1.688,1.688,1.688,1.688,138,0
BBLG.US,5,20260126,161500,1.69,1.69,1.69,1.69,600,0
BBLG.US,5,20260126,162000,1.69,1.69,1.69,1.69,611,0
BBLG.US,5,20260126,162500,1.685,1.685,1.685,1.685,1198,0
BBLG.US,5,20260126,163500,1.685,1.685,1.685,1.685,200,0
BBLG.US,5,20260126,170500,1.69,1.69,1.69,1.69,2153,0
BBLG.US,5,20260126,174000,1.69,1.69,1.6801,1.6801,3408,0
BBLG.US,5,20260126,181500,1.69,1.69,1.69,1.69,200,0
BBLG.US,5,20260126,184500,1.69,1.69,1.69,1.69,100,0
BBLG.US,5,20260126,185000,1.68,1.685,1.68,1.68,7987,0
BBLG.US,5,20260126,185500,1.68,1.6842,1.675,1.676,3274,0
BBLG.US,5,20260126,190500,1.68,1.71,1.6775,1.71,11067,0
BBLG.US,5,20260126,194500,1.69,1.69,1.69,1.69,300,0
BBLG.US,5,20260126,204000,1.69,1.69,1.69,1.69,1065,0
BBLG.US,5,20260126,213500,1.685,1.685,1.685,1.685,855,0
BBLG.US,5,20260126,215000,1.7,1.7,1.7,1.7,999,0
BBLG.US,5,20260126,215500,1.72,1.72,1.72,1.72,303,0
BBLG.US,5,20260127,154000,1.67,1.67,1.6606,1.6606,354,0
BBLG.US,5,20260127,154500,1.69,1.69,1.69,1.69,250,0
BBLG.US,5,20260127,161000,1.71,1.72,1.71,1.72,1447,0
BBLG.US,5,20260127,171500,1.6601,1.6601,1.6601,1.6601,3369,0
BBLG.US,5,20260127,174500,1.7,1.7,1.7,1.7,281,0
BBLG.US,5,20260127,182000,1.685,1.6999,1.685,1.6999,200,0
BBLG.US,5,20260127,185500,1.68,1.68,1.68,1.68,128,0
BBLG.US,5,20260127,213000,1.68,1.68,1.68,1.68,100,0
BBLG.US,5,20260127,214500,1.67,1.6716,1.67,1.6716,300,0
BBLG.US,5,20260127,215500,1.67,1.67,1.67,1.67,100,0
BBLG.US,5,20260128,153000,1.67,1.6709,1.67,1.6709,655,0
BBLG.US,5,20260128,154500,1.695,1.695,1.695,1.695,500,0
BBLG.US,5,20260128,161500,1.695,1.695,1.695,1.695,100,0
BBLG.US,5,20260128,165500,1.7014,1.7014,1.7014,1.7014,333,0
BBLG.US,5,20260128,172000,1.7,1.7,1.7,1.7,931,0
BBLG.US,5,20260128,180500,1.7,1.7,1.7,1.7,100,0
BBLG.US,5,20260128,193500,1.69,1.69,1.69,1.69,497,0
BBLG.US,5,20260128,202000,1.69,1.69,1.69,1.69,100,0
BBLG.US,5,20260128,205000,1.7,1.71,1.7,1.71,735,0
BBLG.US,5,20260128,210000,1.6937,1.6937,1.6937,1.6937,598,0
BBLG.US,5,20260128,214500,1.6805,1.6805,1.6805,1.6805,184,0
BBLG.US,5,20260128,215500,1.69,1.69,1.69,1.69,223,0
BBLG.US,5,20260129,163000,1.68,1.68,1.68,1.68,259,0
BBLG.US,5,20260129,165000,1.69,1.69,1.69,1.69,599,0
BBLG.US,5,20260129,165500,1.7499,1.7499,1.7499,1.7499,1000,0
BBLG.US,5,20260129,171500,1.6884,1.6884,1.6884,1.6884,500,0
BBLG.US,5,20260129,172000,1.74,1.74,1.71,1.71,600,0
BBLG.US,5,20260129,175500,1.695,1.695,1.695,1.695,200,0
BBLG.US,5,20260129,182500,1.695,1.695,1.695,1.695,100,0
BBLG.US,5,20260129,190500,1.71,1.71,1.71,1.71,196,0
BBLG.US,5,20260129,193500,1.7099,1.71,1.7099,1.71,345,0
BBLG.US,5,20260129,195500,1.7,1.7,1.7,1.7,995,0
BBLG.US,5,20260129,212500,1.69,1.69,1.68,1.69,1220,0
BBLG.US,5,20260129,215500,1.69,1.69,1.68,1.68,307,0
BBLG.US,5,20260130,153000,1.67,1.67,1.665,1.665,1577,0
BBLG.US,5,20260130,155500,1.65,1.65,1.64,1.64,1801,0
BBLG.US,5,20260130,160000,1.64,1.64,1.64,1.64,432,0
BBLG.US,5,20260130,162500,1.64,1.64,1.64,1.64,137,0
BBLG.US,5,20260130,163000,1.64,1.64,1.64,1.64,5000,0
BBLG.US,5,20260130,171500,1.64,1.64,1.64,1.64,200,0
BBLG.US,5,20260130,173000,1.6535,1.6535,1.6535,1.6535,100,0
BBLG.US,5,20260130,180500,1.655,1.655,1.655,1.655,140,0
BBLG.US,5,20260130,181000,1.655,1.655,1.655,1.655,500,0
BBLG.US,5,20260130,183500,1.64,1.64,1.64,1.64,775,0
BBLG.US,5,20260130,190500,1.6416,1.6416,1.6416,1.6416,100,0
BBLG.US,5,20260130,191500,1.65,1.65,1.65,1.65,100,0
BBLG.US,5,20260130,192500,1.635,1.635,1.635,1.635,100,0
BBLG.US,5,20260130,193500,1.6456,1.6456,1.6456,1.6456,125,0
BBLG.US,5,20260130,201000,1.645,1.645,1.645,1.645,200,0
BBLG.US,5,20260130,202000,1.635,1.635,1.635,1.635,107,0
