<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCYC.US,5,20260126,153000,7.01,7.185,6.95,7.105,6944,0
BCYC.US,5,20260126,153500,7.22,7.22,6.96,7.06,1860,0
BCYC.US,5,20260126,154000,7.05,7.1,7.03,7.1,4448,0
BCYC.US,5,20260126,154500,7.1,7.11,7.0113,7.11,1997,0
BCYC.US,5,20260126,155000,7.065,7.065,7.055,7.055,1500,0
BCYC.US,5,20260126,155500,7.05,7.05,6.9,6.9,4937,0
BCYC.US,5,20260126,160000,6.85,6.97,6.85,6.97,3996,0
BCYC.US,5,20260126,160500,6.95,6.98,6.92,6.925,1087,0
BCYC.US,5,20260126,161000,6.93,6.93,6.93,6.93,350,0
BCYC.US,5,20260126,161500,6.98,7.04,6.98,7.04,200,0
BCYC.US,5,20260126,162000,7.0379,7.0379,6.97,6.97,2689,0
BCYC.US,5,20260126,162500,6.980615,7,6.97,7,686,0
BCYC.US,5,20260126,163000,7,7.02,7,7.018,542,0
BCYC.US,5,20260126,163500,7.025,7.025,7.01,7.01,541,0
BCYC.US,5,20260126,164000,7,7.045,7,7.045,422,0
BCYC.US,5,20260126,170000,7.09,7.11,7.07,7.07,3824,0
BCYC.US,5,20260126,170500,7.07,7.07,7.05,7.07,1995,0
BCYC.US,5,20260126,171500,7.07,7.07,7.07,7.07,200,0
BCYC.US,5,20260126,172000,7.07,7.07,7.07,7.07,300,0
BCYC.US,5,20260126,172500,7.08,7.08,7.07,7.07,602,0
BCYC.US,5,20260126,173500,7.08,7.095,7.08,7.095,1100,0
BCYC.US,5,20260126,174000,7.09,7.09,7.09,7.09,100,0
BCYC.US,5,20260126,174500,7.08,7.09,7.08,7.09,708,0
BCYC.US,5,20260126,175000,7.07,7.075,7.07,7.075,400,0
BCYC.US,5,20260126,175500,7.08,7.09,7.08,7.09,1575,0
BCYC.US,5,20260126,180000,7.07,7.07,7.07,7.07,300,0
BCYC.US,5,20260126,180500,7.06,7.06,7.06,7.06,100,0
BCYC.US,5,20260126,181000,7.0772,7.0772,7.0772,7.0772,100,0
BCYC.US,5,20260126,181500,7.07,7.07,7.055,7.065,1372,0
BCYC.US,5,20260126,182000,7.08,7.08,7.08,7.08,100,0
BCYC.US,5,20260126,182500,7.08,7.09,7.08,7.09,1200,0
BCYC.US,5,20260126,183000,7.08,7.08,7.07,7.07,314,0
BCYC.US,5,20260126,183500,7.08,7.08,7.08,7.08,100,0
BCYC.US,5,20260126,184500,7.08,7.08,7.08,7.08,100,0
BCYC.US,5,20260126,185000,7.08,7.1,7.08,7.1,1217,0
BCYC.US,5,20260126,185500,7.1072,7.1072,7.1,7.1,268,0
BCYC.US,5,20260126,190000,7.09,7.09,7.09,7.09,400,0
BCYC.US,5,20260126,190500,7.09,7.09,7.09,7.09,200,0
BCYC.US,5,20260126,191000,7.0886,7.0886,7.0886,7.0886,137,0
BCYC.US,5,20260126,191500,7.08,7.09,7.07,7.09,309,0
BCYC.US,5,20260126,192000,7.0901,7.0902,7.06,7.065,2000,0
BCYC.US,5,20260126,193000,7.07,7.07,7.07,7.07,100,0
BCYC.US,5,20260126,193500,7.0786,7.0786,7.07,7.07,300,0
BCYC.US,5,20260126,194000,7.07,7.07,7.07,7.07,200,0
BCYC.US,5,20260126,194500,7.06,7.07,7.06,7.07,500,0
BCYC.US,5,20260126,195000,7.07,7.07,7.06,7.06,300,0
BCYC.US,5,20260126,195500,7.05,7.07,7.05,7.06,975,0
BCYC.US,5,20260126,200000,7.045,7.05,7.04,7.04,4896,0
BCYC.US,5,20260126,200500,7.03,7.04,7.01,7.01,6600,0
BCYC.US,5,20260126,201000,7.01,7.02,7,7,700,0
BCYC.US,5,20260126,201500,6.98,6.98,6.96,6.97,2334,0
BCYC.US,5,20260126,203000,6.98,6.98,6.98,6.98,399,0
BCYC.US,5,20260126,203500,6.98,6.98,6.965,6.965,500,0
BCYC.US,5,20260126,204000,6.965,6.97,6.965,6.97,1019,0
BCYC.US,5,20260126,204500,6.965,6.97,6.95,6.95,2545,0
BCYC.US,5,20260126,205000,6.95,6.95,6.95,6.95,200,0
BCYC.US,5,20260126,205500,6.94,6.94,6.94,6.94,100,0
BCYC.US,5,20260126,210500,6.945,6.955,6.945,6.955,725,0
BCYC.US,5,20260126,211000,6.95,6.95,6.95,6.95,200,0
BCYC.US,5,20260126,212000,6.97,6.985,6.96,6.985,3285,0
BCYC.US,5,20260126,212500,6.989,6.989,6.98,6.98,700,0
BCYC.US,5,20260126,213000,6.98,6.99,6.98,6.99,710,0
BCYC.US,5,20260126,213500,6.98,6.98,6.965,6.9686,334,0
BCYC.US,5,20260126,214000,6.97,6.98,6.97,6.98,823,0
BCYC.US,5,20260126,214500,6.99,6.99,6.99,6.99,100,0
BCYC.US,5,20260126,215000,6.99,7,6.985,6.985,1848,0
BCYC.US,5,20260126,215500,6.985,7,6.98,7,16379,0
BCYC.US,5,20260127,153000,7.03,7.19,7.03,7.165,3286,0
BCYC.US,5,20260127,153500,7.11,7.11,7.1,7.1,200,0
BCYC.US,5,20260127,154000,7.04,7.05,7.02,7.02,419,0
BCYC.US,5,20260127,154500,7.02,7.1104,7.01,7.07,2126,0
BCYC.US,5,20260127,155500,7.02,7.02,7,7,1095,0
BCYC.US,5,20260127,160000,6.94,6.94,6.94,6.94,100,0
BCYC.US,5,20260127,160500,6.98,7.03,6.98,7.02,1141,0
BCYC.US,5,20260127,161000,7.005,7.05,7.005,7.05,994,0
BCYC.US,5,20260127,161500,7.07,7.07,7.07,7.07,100,0
BCYC.US,5,20260127,162000,7.07,7.08,7.07,7.08,900,0
BCYC.US,5,20260127,162500,7.06,7.07,7.055,7.07,1100,0
BCYC.US,5,20260127,163000,7.06,7.06,7.06,7.06,100,0
BCYC.US,5,20260127,163500,7.0529,7.0529,7.0529,7.0529,100,0
BCYC.US,5,20260127,164000,7.07,7.075,7.07,7.075,403,0
BCYC.US,5,20260127,164500,7.065,7.07,7.065,7.07,450,0
BCYC.US,5,20260127,165000,7.12,7.145,7.105,7.11,3640,0
BCYC.US,5,20260127,165500,7.135,7.15,7.12,7.145,3430,0
BCYC.US,5,20260127,170000,7.11,7.11,7.11,7.11,100,0
BCYC.US,5,20260127,170500,7.14,7.14,7.12,7.14,2400,0
BCYC.US,5,20260127,171000,7.14,7.14,7.1,7.11,800,0
BCYC.US,5,20260127,171500,7.11,7.11,7.11,7.11,774,0
BCYC.US,5,20260127,172500,7.11,7.11,7.11,7.11,611,0
BCYC.US,5,20260127,173000,7.115,7.13,7.115,7.13,1151,0
BCYC.US,5,20260127,173500,7.12,7.12,7.12,7.12,250,0
BCYC.US,5,20260127,174000,7.13,7.13,7.11,7.11,1200,0
BCYC.US,5,20260127,174500,7.1009,7.125,7.1009,7.125,700,0
BCYC.US,5,20260127,175000,7.12,7.1225,7.105,7.1225,700,0
BCYC.US,5,20260127,175500,7.125,7.125,7.11,7.11,235,0
BCYC.US,5,20260127,180000,7.105,7.105,7.105,7.105,200,0
BCYC.US,5,20260127,180500,7.11,7.115,7.105,7.11,1380,0
BCYC.US,5,20260127,181000,7.1,7.1,7.1,7.1,300,0
BCYC.US,5,20260127,182000,7.09,7.095,7.06,7.095,22481,0
BCYC.US,5,20260127,182500,7.08,7.1,7.08,7.1,2070,0
BCYC.US,5,20260127,183000,7.11,7.14,7.11,7.12,1056,0
BCYC.US,5,20260127,183500,7.1,7.1,7.1,7.1,310,0
BCYC.US,5,20260127,184000,7.105,7.105,7.09,7.09,542,0
