<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BESO.US,5,20260423,153000,25.25,25.25,25.25,25.25,552,0
BESO.US,5,20260423,153500,25.36,25.42,25.36,25.42,300,0
BESO.US,5,20260423,154000,25.32,25.32,25.32,25.32,100,0
BESO.US,5,20260423,163000,25.4889,25.4889,25.435,25.435,200,0
BESO.US,5,20260423,171500,25.56,25.56,25.56,25.56,100,0
BESO.US,5,20260423,172500,25.59,25.59,25.56,25.56,200,0
BESO.US,5,20260423,173000,25.5,25.58,25.5,25.58,200,0
BESO.US,5,20260423,173500,25.53,25.53,25.53,25.53,100,0
BESO.US,5,20260423,174000,25.58,25.595,25.58,25.58,300,0
BESO.US,5,20260423,175000,25.575,25.575,25.55,25.55,300,0
BESO.US,5,20260423,175500,25.54,25.54,25.54,25.54,100,0
BESO.US,5,20260423,180000,25.55,25.55,25.53,25.53,300,0
BESO.US,5,20260423,181000,25.55,25.55,25.52,25.52,300,0
BESO.US,5,20260423,182000,25.525,25.525,25.51,25.51,224,0
BESO.US,5,20260423,182500,25.55,25.55,25.52,25.52,200,0
BESO.US,5,20260423,183000,25.515,25.515,25.515,25.515,100,0
BESO.US,5,20260423,183500,25.525,25.525,25.51,25.51,200,0
BESO.US,5,20260423,184000,25.5,25.5,25.5,25.5,100,0
BESO.US,5,20260423,184500,25.5,25.5,25.5,25.5,100,0
BESO.US,5,20260423,185000,25.5,25.5,25.48,25.48,200,0
BESO.US,5,20260423,185500,25.43,25.43,25.43,25.43,100,0
BESO.US,5,20260423,190000,25.46,25.46,25.43,25.43,200,0
BESO.US,5,20260423,190500,25.36,25.36,25.33,25.33,200,0
BESO.US,5,20260423,191000,25.36,25.36,25.33,25.33,200,0
BESO.US,5,20260423,191500,25.29,25.29,25.29,25.29,100,0
BESO.US,5,20260423,192000,25.27,25.27,25.25,25.25,200,0
BESO.US,5,20260423,192500,25.29,25.29,25.29,25.29,100,0
BESO.US,5,20260423,193000,25.23,25.23,25.23,25.23,200,0
BESO.US,5,20260423,193500,25.25,25.25,25.16,25.16,200,0
BESO.US,5,20260423,194000,25.05,25.05,25.05,25.05,100,0
BESO.US,5,20260423,194500,25.09,25.09,25.07,25.07,200,0
BESO.US,5,20260423,195000,25.11,25.13,25.11,25.13,200,0
BESO.US,5,20260423,195500,25.31,25.31,25.28,25.28,200,0
BESO.US,5,20260423,200000,25.31,25.31,25.31,25.31,100,0
BESO.US,5,20260423,200500,25.35,25.35,25.32,25.32,225,0
BESO.US,5,20260423,201000,25.35,25.35,25.35,25.35,100,0
BESO.US,5,20260423,201500,25.34,25.34,25.32,25.32,5984,0
BESO.US,5,20260423,202000,25.34,25.34,25.295,25.295,200,0
BESO.US,5,20260423,202500,25.28,25.285,25.28,25.285,200,0
BESO.US,5,20260423,203000,25.34,25.34,25.34,25.34,100,0
BESO.US,5,20260423,203500,25.59,25.59,25.59,25.59,100,0
BESO.US,5,20260423,204000,25.37,25.37,25.37,25.37,200,0
BESO.US,5,20260423,204500,25.36,25.36,25.36,25.36,100,0
BESO.US,5,20260423,205000,25.28,25.34,25.28,25.34,200,0
BESO.US,5,20260423,205500,25.3,25.3,25.3,25.3,100,0
BESO.US,5,20260423,210000,25.25,25.25,25.25,25.25,200,0
BESO.US,5,20260423,210500,25.29,25.29,25.29,25.29,100,0
BESO.US,5,20260423,211000,25.275,25.275,25.275,25.275,100,0
BESO.US,5,20260423,211500,25.3,25.34,25.3,25.34,200,0
BESO.US,5,20260423,212000,25.304,25.35,25.304,25.35,1905,0
BESO.US,5,20260423,212500,25.33,25.33,25.33,25.33,100,0
BESO.US,5,20260423,213000,25.33,25.33,25.31,25.31,300,0
BESO.US,5,20260423,213500,25.28,25.28,25.28,25.28,200,0
BESO.US,5,20260423,214000,25.31,25.31,25.3,25.3,200,0
BESO.US,5,20260423,214500,25.32,25.33,25.32,25.33,600,0
BESO.US,5,20260423,215000,25.33,25.36,25.33,25.36,500,0
BESO.US,5,20260423,215500,25.35,25.36,25.35,25.36,200,0
BESO.US,5,20260424,153000,25.33,25.41,25.33,25.41,683,0
BESO.US,5,20260424,154000,25.5,25.5,25.5,25.5,100,0
BESO.US,5,20260424,154500,25.47,25.47,25.47,25.47,100,0
BESO.US,5,20260424,155000,25.405,25.43,25.405,25.43,200,0
BESO.US,5,20260424,155500,25.39,25.45,25.39,25.45,208,0
BESO.US,5,20260424,160000,25.4,25.4,25.4,25.4,100,0
BESO.US,5,20260424,160500,25.36,25.36,25.36,25.36,100,0
BESO.US,5,20260424,161000,25.41,25.41,25.41,25.41,100,0
BESO.US,5,20260424,161500,25.42,25.42,25.42,25.42,100,0
BESO.US,5,20260424,162000,25.39,26.85,25.39,26.85,200,0
BESO.US,5,20260424,162500,25.34,25.35,25.31,25.31,700,0
BESO.US,5,20260424,163000,25.35,25.38,25.35,25.38,200,0
BESO.US,5,20260424,163500,25.43,25.43,25.43,25.43,100,0
BESO.US,5,20260424,164000,25.44,25.44,25.44,25.44,100,0
BESO.US,5,20260424,164500,25.46,25.46,25.46,25.46,100,0
BESO.US,5,20260424,165000,25.42,25.42,25.42,25.42,600,0
BESO.US,5,20260424,165500,25.42,25.42,25.42,25.42,100,0
BESO.US,5,20260424,170000,25.4,25.4,25.4,25.4,100,0
BESO.US,5,20260424,170500,25.35,25.35,25.35,25.35,200,0
BESO.US,5,20260424,171000,25.34,25.34,25.34,25.34,100,0
BESO.US,5,20260424,171500,25.34,25.34,25.34,25.34,100,0
BESO.US,5,20260424,172000,25.34,25.34,25.34,25.34,100,0
BESO.US,5,20260424,172500,25.4,25.4,25.4,25.4,100,0
BESO.US,5,20260424,173000,25.44,25.44,25.44,25.44,100,0
BESO.US,5,20260424,174500,25.51,25.51,25.49,25.49,200,0
BESO.US,5,20260424,175000,25.52,25.52,25.52,25.52,100,0
BESO.US,5,20260424,175500,25.54,25.54,25.54,25.54,100,0
BESO.US,5,20260424,180000,25.53,25.53,25.53,25.53,100,0
BESO.US,5,20260424,180500,25.5078,25.5078,25.4823,25.4823,561,0
BESO.US,5,20260424,181000,25.4906,25.499,25.47,25.49,557,0
BESO.US,5,20260424,181500,25.43,25.43,25.43,25.43,100,0
BESO.US,5,20260424,182000,25.46,25.46,25.46,25.46,100,0
