<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFLX.US,5,20260526,164000,25.6686,25.67,25.64,25.64,500,0
BFLX.US,5,20260527,153000,25.64,25.64,25.64,25.64,104,0
BFLX.US,5,20260527,181000,25.53,25.53,25.5299,25.5299,400,0
BFLX.US,5,20260528,212000,25.6,25.6,25.5999,25.5999,200,0
BFLX.US,5,20260529,170500,25.6299,25.63,25.6299,25.63,200,0
BFLX.US,5,20260529,205000,25.58,25.58,25.58,25.58,118,0
BFLX.US,5,20260602,153000,25.56,25.56,25.56,25.56,340,0
BFLX.US,5,20260602,155000,25.625,25.625,25.625,25.625,400,0
BFLX.US,5,20260602,175000,25.84,25.85,25.77,25.85,3880,0
BFLX.US,5,20260605,210000,25.18,25.18,25.18,25.18,400,0
BFLX.US,5,20260617,155500,25.81,25.81,25.78,25.8,2058,0
BFLX.US,5,20260617,160000,25.81,25.83,25.8,25.83,572,0
BFLX.US,5,20260617,160500,25.79,25.79,25.79,25.79,154,0
BFLX.US,5,20260617,161000,25.81,25.83,25.81,25.83,5399535,0
BFLX.US,5,20260617,161500,25.845,25.89,25.84,25.87,214230,0
BFLX.US,5,20260617,162000,25.873,25.9,25.87,25.87,85157,0
BFLX.US,5,20260617,162500,25.9,25.91,25.88,25.88,44538,0
BFLX.US,5,20260617,163000,25.865,25.87,25.86,25.86,12688,0
BFLX.US,5,20260617,163500,25.87,25.87,25.84,25.84,38798,0
BFLX.US,5,20260617,164000,25.859,25.87,25.859,25.86,23100,0
BFLX.US,5,20260617,164500,25.81,25.81,25.81,25.81,416,0
BFLX.US,5,20260617,165000,25.8498,25.85,25.84,25.84,5850,0
BFLX.US,5,20260617,165500,25.835,25.86,25.83,25.83,2639583,0
BFLX.US,5,20260617,170000,25.815,25.815,25.815,25.815,4885,0
BFLX.US,5,20260617,171000,25.83,25.85,25.83,25.85,1100,0
BFLX.US,5,20260617,171500,25.87,25.88,25.85,25.88,37190,0
BFLX.US,5,20260617,173000,25.8996,25.8996,25.8996,25.8996,2032,0
BFLX.US,5,20260617,173500,25.94,25.94,25.915,25.94,10000,0
BFLX.US,5,20260617,174000,25.92,25.9296,25.915,25.9296,2246,0
BFLX.US,5,20260617,174500,25.93,25.93,25.9299,25.9299,2244,0
BFLX.US,5,20260617,175000,25.942,25.942,25.942,25.942,128,0
BFLX.US,5,20260617,175500,25.943,25.95,25.9389,25.95,21114,0
BFLX.US,5,20260617,180000,25.935,25.95,25.935,25.95,2889,0
BFLX.US,5,20260617,180500,25.96,25.96,25.94,25.95,4687,0
BFLX.US,5,20260617,181000,25.94,25.94,25.94,25.94,614,0
BFLX.US,5,20260617,181500,25.95,25.95,25.9,25.9378,24980,0
BFLX.US,5,20260617,182000,25.95,25.959,25.935,25.959,2901,0
BFLX.US,5,20260617,183000,25.9352,25.95,25.91,25.95,26708,0
BFLX.US,5,20260617,184000,25.96,26.67,25.91,25.936,102316,0
BFLX.US,5,20260617,184500,25.94,25.94,25.94,25.94,1158,0
BFLX.US,5,20260617,185500,25.95,25.95,25.94,25.94,25946,0
BFLX.US,5,20260617,191000,25.925,25.925,25.925,25.925,1191,0
BFLX.US,5,20260617,191500,25.925,25.925,25.925,25.925,416,0
BFLX.US,5,20260617,192500,25.93,25.93,25.93,25.93,185,0
BFLX.US,5,20260617,193000,25.93,25.931,25.93,25.93,10317,0
BFLX.US,5,20260617,193500,25.93,25.94,25.929,25.93,2728,0
BFLX.US,5,20260617,194000,25.94,25.94,25.93,25.94,48981,0
BFLX.US,5,20260617,194500,25.94,25.94,25.9,25.91,89156,0
BFLX.US,5,20260617,195000,25.94,25.94,25.9399,25.94,148585,0
BFLX.US,5,20260617,195500,25.945,25.9499,25.944,25.9499,835,0
BFLX.US,5,20260617,200000,25.86,25.86,25.81,25.82,16882,0
BFLX.US,5,20260617,200500,25.7996,25.815,25.77,25.815,945,0
BFLX.US,5,20260617,201000,25.84,25.84,25.83,25.83,3578,0
BFLX.US,5,20260617,201500,25.87,25.87,25.87,25.87,5761,0
BFLX.US,5,20260617,202000,25.859,25.87,25.83,25.85,56884,0
BFLX.US,5,20260617,202500,25.8199,25.83,25.8,25.82,21733,0
BFLX.US,5,20260617,203000,25.819,25.88,25.8,25.81,73211,0
BFLX.US,5,20260617,203500,25.859,25.859,25.835,25.845,2842,0
BFLX.US,5,20260617,204500,25.9162,25.96,25.91,25.94,338882,0
BFLX.US,5,20260617,205000,25.925,25.95,25.9,25.93,838667,0
BFLX.US,5,20260617,205500,25.84,25.88,25.8,25.81,148892,0
BFLX.US,5,20260617,210000,25.84,25.9,25.81,25.83,713813,0
BFLX.US,5,20260617,210500,25.83,25.865,25.825,25.825,6375,0
BFLX.US,5,20260617,211000,25.839,25.839,25.795,25.8,2882,0
BFLX.US,5,20260617,211500,25.82,25.9384,25.81,25.81,554558,0
BFLX.US,5,20260617,212000,25.715,25.715,25.715,25.715,1308,0
BFLX.US,5,20260617,212500,25.7015,25.72,25.67,25.67,166748,0
BFLX.US,5,20260617,213000,25.64,25.67,25.64,25.67,2438,0
BFLX.US,5,20260617,213500,25.68,25.69,25.62,25.62,20569,0
BFLX.US,5,20260617,214000,25.61,25.62,25.58,25.61,13890,0
BFLX.US,5,20260617,214500,25.62,25.66,25.62,25.64,8780,0
BFLX.US,5,20260617,215000,25.64,25.65,25.6,25.61,13868,0
BFLX.US,5,20260617,215500,25.63,25.66,25.62,25.66,47588,0
BFLX.US,5,20260618,153000,26.08,26.08,25.99,25.99,26726,0
BFLX.US,5,20260618,153500,25.84,25.84,25.84,25.84,1500,0
BFLX.US,5,20260618,155000,25.84,25.8799,25.84,25.8799,1419,0
BFLX.US,5,20260618,160000,25.83,25.8599,25.8,25.8599,3787,0
BFLX.US,5,20260618,161000,25.82,25.82,25.8,25.8075,2744,0
BFLX.US,5,20260618,161500,25.84,25.8899,25.84,25.8899,2033,0
BFLX.US,5,20260618,162500,25.93,25.93,25.87,25.8999,14222,0
BFLX.US,5,20260618,163000,25.855,25.8887,25.855,25.88,9469,0
BFLX.US,5,20260618,163500,25.875,25.903,25.875,25.88,14574,0
