<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIRD.US,5,20260126,153000,4.16,4.17,4.13,4.13,4348,0
BIRD.US,5,20260126,154000,4.11,4.12,4.09,4.09,900,0
BIRD.US,5,20260126,154500,4.0733,4.1,4.06,4.07,1000,0
BIRD.US,5,20260126,155000,4.07,4.07,4.07,4.07,100,0
BIRD.US,5,20260126,160000,4.1817,4.1817,4.1817,4.1817,438,0
BIRD.US,5,20260126,161000,4.07,4.07,4.06,4.06,2575,0
BIRD.US,5,20260126,162500,4.1185,4.1185,4.1185,4.1185,1000,0
BIRD.US,5,20260126,170500,4.06,4.06,4.06,4.06,524,0
BIRD.US,5,20260126,171000,4.06,4.06,4.06,4.06,1947,0
BIRD.US,5,20260126,185000,4.02,4.02,4.02,4.02,127,0
BIRD.US,5,20260126,192000,4.0174,4.0174,4.0174,4.0174,146,0
BIRD.US,5,20260126,193000,4.134,4.134,4.134,4.134,100,0
BIRD.US,5,20260126,203500,4.1,4.1,4.1,4.1,200,0
BIRD.US,5,20260126,213000,4.01,4.01,4.01,4.01,400,0
BIRD.US,5,20260126,213500,4.05,4.05,4.05,4.05,1000,0
BIRD.US,5,20260126,214500,4.01,4.01,4.01,4.01,203,0
BIRD.US,5,20260126,215000,4.04,4.04,4.035,4.035,1250,0
BIRD.US,5,20260126,215500,4.025,4.03,4.02,4.02,1224,0
BIRD.US,5,20260127,153000,4.03,4.0928,4.02,4.0928,578,0
BIRD.US,5,20260127,153500,4.02,4.02,3.97,3.97,2453,0
BIRD.US,5,20260127,154000,4,4.03,4,4.03,2350,0
BIRD.US,5,20260127,154500,4.07,4.08,3.98,4.04,900,0
BIRD.US,5,20260127,155000,4.03,4.03,4.03,4.03,996,0
BIRD.US,5,20260127,155500,4.07,4.07,4.07,4.07,100,0
BIRD.US,5,20260127,160500,3.99,3.99,3.96,3.96,813,0
BIRD.US,5,20260127,161000,3.96,3.96,3.96,3.96,128,0
BIRD.US,5,20260127,161500,3.9501,3.9501,3.9501,3.9501,184,0
BIRD.US,5,20260127,163000,3.9814,3.9814,3.9814,3.9814,200,0
BIRD.US,5,20260127,163500,3.9513,3.99,3.9513,3.99,202,0
BIRD.US,5,20260127,164500,3.99,4.03,3.99,4.03,9780,0
BIRD.US,5,20260127,165000,4.03,4.09,4.02,4.08,4335,0
BIRD.US,5,20260127,170500,4.04,4.04,4.04,4.04,742,0
BIRD.US,5,20260127,171000,4.05,4.05,4.05,4.05,100,0
BIRD.US,5,20260127,173000,4.05,4.06,4.05,4.06,475,0
BIRD.US,5,20260127,182000,4,4.025,4,4.025,200,0
BIRD.US,5,20260127,183000,4.04,4.065,4.04,4.065,200,0
BIRD.US,5,20260127,183500,4.03,4.03,4.02,4.02,575,0
BIRD.US,5,20260127,184000,4.065,4.065,4.065,4.065,100,0
BIRD.US,5,20260127,185000,4.03,4.03,4.02,4.0201,1202,0
BIRD.US,5,20260127,190500,4.03,4.03,4,4.01,1700,0
BIRD.US,5,20260127,191000,4.01,4.02,3.893,3.95,11991,0
BIRD.US,5,20260127,191500,3.96,4.02,3.955,3.995,1428,0
BIRD.US,5,20260127,192000,3.995,3.995,3.9,3.9,1200,0
BIRD.US,5,20260127,192500,3.95,3.955,3.95,3.955,600,0
BIRD.US,5,20260127,193000,3.95,3.95,3.95,3.95,200,0
BIRD.US,5,20260127,193500,3.9588,3.9588,3.9588,3.9588,1300,0
BIRD.US,5,20260127,194000,3.96,3.96,3.93,3.94,2700,0
BIRD.US,5,20260127,194500,3.91,3.91,3.91,3.91,100,0
BIRD.US,5,20260127,195000,3.92,3.92,3.92,3.92,332,0
BIRD.US,5,20260127,195500,3.9532,3.9532,3.865,3.91,3306,0
BIRD.US,5,20260127,200000,3.9,3.9,3.9,3.9,100,0
BIRD.US,5,20260127,200500,3.93,3.93,3.93,3.93,100,0
BIRD.US,5,20260127,201500,3.932,3.932,3.932,3.932,500,0
BIRD.US,5,20260127,202500,3.95,3.975,3.95,3.975,600,0
BIRD.US,5,20260127,204000,3.9302,3.9302,3.9302,3.9302,200,0
BIRD.US,5,20260127,204500,3.9516,3.98,3.91,3.92,5900,0
BIRD.US,5,20260127,205000,3.945,3.945,3.945,3.945,700,0
BIRD.US,5,20260127,210500,3.95,3.95,3.95,3.95,100,0
BIRD.US,5,20260127,211000,3.95,3.95,3.95,3.95,100,0
BIRD.US,5,20260127,212000,3.94,3.94,3.94,3.94,100,0
BIRD.US,5,20260127,212500,3.9261,3.9261,3.92,3.92,470,0
BIRD.US,5,20260127,213000,3.93,3.93,3.93,3.93,100,0
BIRD.US,5,20260127,214000,3.92,3.94,3.92,3.935,1403,0
BIRD.US,5,20260127,214500,3.94,3.94,3.94,3.94,100,0
BIRD.US,5,20260127,215000,3.9384,3.9384,3.9384,3.9384,750,0
BIRD.US,5,20260127,215500,3.94,3.94,3.92,3.92,1031,0
BIRD.US,5,20260128,153000,3.94,4.15,3.94,4.03,4496,0
BIRD.US,5,20260128,153500,4,4.025,4,4.025,1100,0
BIRD.US,5,20260128,154000,4.095,4.095,4.095,4.095,100,0
BIRD.US,5,20260128,154500,4.025,4.025,3.94,3.95,856,0
BIRD.US,5,20260128,155000,3.95,3.95,3.95,3.95,300,0
BIRD.US,5,20260128,155500,3.93,3.94,3.9203,3.93,799,0
BIRD.US,5,20260128,160500,3.91,3.9729,3.91,3.9729,753,0
BIRD.US,5,20260128,161000,3.92,3.93,3.9,3.93,3396,0
BIRD.US,5,20260128,170000,3.9504,3.9504,3.9504,3.9504,125,0
BIRD.US,5,20260128,171000,3.91,3.92,3.91,3.91,1199,0
BIRD.US,5,20260128,171500,3.92,3.92,3.92,3.92,100,0
BIRD.US,5,20260128,172500,3.91,3.92,3.91,3.92,1674,0
BIRD.US,5,20260128,173000,3.95,3.995,3.95,3.995,400,0
BIRD.US,5,20260128,174000,3.955,3.955,3.955,3.955,200,0
BIRD.US,5,20260128,174500,3.9514,3.9514,3.9514,3.9514,200,0
BIRD.US,5,20260128,175500,3.93,3.95,3.93,3.9323,1313,0
BIRD.US,5,20260128,181000,3.955,3.955,3.955,3.955,100,0
BIRD.US,5,20260128,182000,3.955,3.955,3.955,3.955,8583,0
BIRD.US,5,20260128,182500,3.955,3.955,3.92,3.92,300,0
BIRD.US,5,20260128,183500,3.95,3.95,3.92,3.92,2200,0
BIRD.US,5,20260128,190000,3.92,3.92,3.92,3.92,126,0
BIRD.US,5,20260128,191000,3.94,3.94,3.94,3.94,200,0
BIRD.US,5,20260128,191500,3.95,3.95,3.94,3.94,300,0
BIRD.US,5,20260128,194000,3.96,3.96,3.96,3.96,200,0
BIRD.US,5,20260128,194500,3.95,3.95,3.94,3.94,300,0
BIRD.US,5,20260128,200500,3.94,3.94,3.93,3.93,500,0
BIRD.US,5,20260128,202500,3.94,3.94,3.91,3.92,3097,0
BIRD.US,5,20260128,203000,3.93,3.97,3.93,3.96,500,0
BIRD.US,5,20260128,203500,3.945,3.98,3.94,3.95,5450,0
BIRD.US,5,20260128,204500,3.94,3.94,3.91,3.92,2400,0
BIRD.US,5,20260128,205500,3.97,3.97,3.9592,3.97,1026,0
BIRD.US,5,20260128,210000,3.97,3.97,3.97,3.97,100,0
BIRD.US,5,20260128,211000,3.9638,3.9638,3.9638,3.9638,125,0
BIRD.US,5,20260128,211500,3.95,3.9501,3.95,3.9501,1127,0
BIRD.US,5,20260128,212000,3.9407,3.98,3.9407,3.9618,1448,0
BIRD.US,5,20260128,212500,3.99,3.99,3.96,3.99,3206,0
BIRD.US,5,20260128,213000,3.97,3.97,3.97,3.97,101,0
BIRD.US,5,20260128,215500,3.96,4,3.95,3.97,1469,0
BIRD.US,5,20260129,153000,3.98,3.99,3.98,3.99,529,0
BIRD.US,5,20260129,153500,4.07,4.1,4.07,4.09,567,0
BIRD.US,5,20260129,154000,4.12,4.12,4.0659,4.0659,330,0
BIRD.US,5,20260129,155000,4.05,4.12,4.05,4.12,200,0
BIRD.US,5,20260129,160000,4.12,4.12,4.113,4.113,439,0
BIRD.US,5,20260129,160500,4.125,4.17,4.125,4.17,470,0
BIRD.US,5,20260129,161000,4.1677,4.1677,4.1677,4.1677,101,0
BIRD.US,5,20260129,161500,4.1112,4.19,4.06,4.06,3200,0
BIRD.US,5,20260129,162000,4.1507,4.1507,4.1507,4.1507,100,0
BIRD.US,5,20260129,162500,4.05,4.065,4.05,4.05,905,0
BIRD.US,5,20260129,163000,4.08,4.08,4.04,4.04,1596,0
BIRD.US,5,20260129,164000,4,4.045,4,4,1100,0
BIRD.US,5,20260129,164500,4,4,4,4,300,0
BIRD.US,5,20260129,165000,4,4.045,3.99,4.045,1549,0
BIRD.US,5,20260129,171000,4.05,4.05,4.0275,4.0275,200,0
BIRD.US,5,20260129,174000,4.05,4.05,4.05,4.05,100,0
BIRD.US,5,20260129,174500,4.05,4.05,4,4,300,0
BIRD.US,5,20260129,175500,4.035,4.035,4.03,4.03,200,0
BIRD.US,5,20260129,180000,4.07,4.07,4.07,4.07,100,0
BIRD.US,5,20260129,180500,4.11,4.11,4.11,4.11,100,0
