<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKHAR.US,5,20260127,153500,1.47,1.47,1.47,1.47,100,0
BKHAR.US,5,20260127,154000,1.47,1.47,1.47,1.47,100,0
BKHAR.US,5,20260127,154500,1.47,1.47,1.47,1.47,400,0
BKHAR.US,5,20260127,155000,1.47,1.47,1.47,1.47,100,0
BKHAR.US,5,20260127,155500,1.47,1.47,1.47,1.47,100,0
BKHAR.US,5,20260127,161500,1.47,1.47,1.47,1.47,100,0
BKHAR.US,5,20260127,163500,1.47,1.47,1.47,1.47,100,0
BKHAR.US,5,20260127,210500,1.39,1.39,1.35,1.38,300,0
BKHAR.US,5,20260203,200500,1.7,1.75,1.7,1.75,700,0
BKHAR.US,5,20260203,201000,1.75,1.75,1.75,1.75,1000,0
BKHAR.US,5,20260203,202000,1.7,1.99,1.7,1.99,3486,0
BKHAR.US,5,20260203,210500,1.7,1.7,1.5,1.55,13394,0
BKHAR.US,5,20260203,211000,1.6,1.6,1.6,1.6,10671,0
BKHAR.US,5,20260203,211500,1.6,1.6,1.6,1.6,1006,0
BKHAR.US,5,20260203,212000,1.6,1.6,1.6,1.6,3000,0
BKHAR.US,5,20260203,212500,1.67,1.67,1.67,1.67,5000,0
BKHAR.US,5,20260203,214000,1.6,1.65,1.6,1.65,4800,0
BKHAR.US,5,20260203,214500,1.65,1.65,1.65,1.65,1000,0
BKHAR.US,5,20260203,215000,1.65,1.7,1.6,1.7,7500,0
BKHAR.US,5,20260203,215500,1.65,1.75,1.62,1.65,45378,0
BKHAR.US,5,20260204,153000,1.8,1.8001,1.8,1.8001,2000,0
BKHAR.US,5,20260204,170500,1.85,1.85,1.71,1.71,2444,0
BKHAR.US,5,20260204,182000,1.7501,1.79,1.7501,1.7501,437,0
BKHAR.US,5,20260204,183000,1.9,1.9,1.81,1.8101,1500,0
BKHAR.US,5,20260204,193000,1.82,1.82,1.81,1.81,6100,0
BKHAR.US,5,20260204,210500,1.8,1.8,1.8,1.8,400,0
BKHAR.US,5,20260209,213000,1.76,1.76,1.76,1.76,1109,0
BKHAR.US,5,20260211,161000,1.76,1.76,1.64,1.68,4100,0
BKHAR.US,5,20260211,161500,1.79,1.8,1.79,1.8,2100,0
BKHAR.US,5,20260211,162500,1.79,1.79,1.77,1.77,2900,0
BKHAR.US,5,20260211,181500,1.76,1.76,1.76,1.76,300,0
BKHAR.US,5,20260212,213500,1.71,1.71,1.6,1.6,2900,0
BKHAR.US,5,20260212,214000,1.61,1.62,1.61,1.61,1153,0
BKHAR.US,5,20260213,215500,1.62,1.7,1.6,1.64,7200,0
BKHAR.US,5,20260217,153000,1.64,1.64,1.64,1.64,700,0
BKHAR.US,5,20260217,210000,1.62,1.62,1.62,1.62,300,0
BKHAR.US,5,20260217,213000,1.61,1.61,1.61,1.61,1116,0
BKHAR.US,5,20260218,210000,1.64,1.64,1.61,1.61,700,0
BKHAR.US,5,20260218,213000,1.57,1.57,1.57,1.57,1675,0
BKHAR.US,5,20260218,213500,1.57,1.57,1.57,1.57,625,0
BKHAR.US,5,20260219,213000,1.61,1.61,1.6,1.6,2524,0
BKHAR.US,5,20260224,213000,1.56,1.57,1.56,1.57,859,0
BKHAR.US,5,20260225,153000,1.7,1.7,1.7,1.7,100,0
BKHAR.US,5,20260225,160000,1.57,1.57,1.56,1.56,1277,0
BKHAR.US,5,20260225,214500,1.58,1.58,1.58,1.58,1000,0
BKHAR.US,5,20260225,215000,1.5618,1.5618,1.51,1.52,4800,0
BKHAR.US,5,20260226,210500,1.51,1.51,1.51,1.51,200,0
BKHAR.US,5,20260226,215500,1.52,1.52,1.5,1.5,2510,0
BKHAR.US,5,20260303,190500,1.4875,1.4875,1.4875,1.4875,1142,0
BKHAR.US,5,20260303,210500,1.5,1.5,1.45,1.45,500,0
BKHAR.US,5,20260303,214500,1.4,1.4,1.4,1.4,1000,0
BKHAR.US,5,20260304,154500,1.48,1.4999,1.4,1.4,2878,0
BKHAR.US,5,20260304,155000,1.49,1.55,1.432,1.5,4305,0
BKHAR.US,5,20260304,193500,1.51,1.51,1.5,1.5,702,0
BKHAR.US,5,20260304,203000,1.5,1.5,1.5,1.5,150,0
BKHAR.US,5,20260304,210500,1.45,1.45,1.45,1.45,100,0
BKHAR.US,5,20260306,164500,1.4,1.4,1.4,1.4,100,0
BKHAR.US,5,20260309,203000,1.41,1.41,1.41,1.41,100,0
BKHAR.US,5,20260310,200500,1.4,1.4,1.4,1.4,400,0
BKHAR.US,5,20260310,202500,1.5,1.5,1.5,1.5,1000,0
BKHAR.US,5,20260310,203000,1.45,1.45,1.45,1.45,857,0
BKHAR.US,5,20260310,205500,1.4501,1.4501,1.45,1.45,464,0
BKHAR.US,5,20260311,164000,1.4,1.4,1.4,1.4,434,0
BKHAR.US,5,20260311,165000,1.3915,1.44,1.39,1.44,1832,0
BKHAR.US,5,20260312,164000,1.32,1.375,1.32,1.375,1100,0
BKHAR.US,5,20260312,184000,1.38,1.3802,1.38,1.3802,800,0
BKHAR.US,5,20260312,185000,1.4,1.4,1.4,1.4,100,0
BKHAR.US,5,20260312,185500,1.4236,1.4236,1.4,1.41,400,0
BKHAR.US,5,20260312,192500,1.3,1.3,1.3,1.3,100,0
BKHAR.US,5,20260312,204500,1.35,1.35,1.31,1.31,1400,0
BKHAR.US,5,20260312,205500,1.375,1.375,1.375,1.375,600,0
BKHAR.US,5,20260313,193000,1.35,1.35,1.35,1.35,410,0
BKHAR.US,5,20260316,200500,1.39,1.39,1.32,1.32,300,0
BKHAR.US,5,20260316,205500,1.4,1.4,1.3,1.3,2181,0
BKHAR.US,5,20260318,193000,1.31,1.31,1.3,1.3,3000,0
BKHAR.US,5,20260318,202500,1.3,1.3,1.3,1.3,400,0
BKHAR.US,5,20260318,205500,1.31,1.31,1.31,1.31,400,0
BKHAR.US,5,20260323,165500,1.31,1.31,1.31,1.31,100,0
BKHAR.US,5,20260323,204000,1.3,1.3,1.27,1.27,600,0
BKHAR.US,5,20260324,153000,1.35,1.35,1.35,1.35,100,0
BKHAR.US,5,20260324,191000,1.28,1.28,1.28,1.28,500,0
BKHAR.US,5,20260324,192500,1.315,1.315,1.28,1.3038,1200,0
BKHAR.US,5,20260325,150500,1.3494,1.3494,1.315,1.315,740,0
BKHAR.US,5,20260325,151500,1.315,1.35,1.315,1.35,1480,0
BKHAR.US,5,20260326,154500,1.39,1.4,1.39,1.3999,1328,0
BKHAR.US,5,20260326,155500,1.35,1.35,1.35,1.35,1000,0
BKHAR.US,5,20260330,174500,1.3,1.3001,1.3,1.3001,1800,0
BKHAR.US,5,20260330,175000,1.35,1.35,1.35,1.35,465,0
BKHAR.US,5,20260406,193000,1.39,1.42,1.39,1.4,5953,0
BKHAR.US,5,20260406,194000,1.4,1.4,1.4,1.4,225,0
BKHAR.US,5,20260408,160000,1.385,1.385,1.385,1.385,2112,0
BKHAR.US,5,20260415,191000,1.35,1.3501,1.35,1.3501,2249,0
BKHAR.US,5,20260415,193500,1.35,1.35,1.35,1.35,251,0
BKHAR.US,5,20260420,195500,1.3,1.3,1.3,1.3,365,0
BKHAR.US,5,20260420,215500,1.28,1.28,1.28,1.28,149,0
BKHAR.US,5,20260429,211500,1.28,1.29,1.28,1.28,995,0
BKHAR.US,5,20260429,215000,1.25,1.25,1.25,1.25,200,0
BKHAR.US,5,20260429,215500,1.25,1.25,1.25,1.25,200,0
BKHAR.US,5,20260501,171000,1.3,1.34,1.3,1.316,1400,0
BKHAR.US,5,20260501,173000,1.34,1.37,1.335,1.3699,16968,0
BKHAR.US,5,20260501,173500,1.4,1.445,1.3999,1.437,7019,0
BKHAR.US,5,20260501,174000,1.425,1.45,1.425,1.433,1300,0
BKHAR.US,5,20260501,174500,1.45,1.55,1.4499,1.55,5672,0
BKHAR.US,5,20260501,175000,1.55,1.6401,1.55,1.6401,8642,0
BKHAR.US,5,20260501,175500,1.62,1.65,1.62,1.65,2631,0
BKHAR.US,5,20260501,180000,1.63,1.64,1.6,1.6,8772,0
BKHAR.US,5,20260501,181000,1.6,1.6,1.6,1.6,1864,0
BKHAR.US,5,20260501,182000,1.56,1.5601,1.55,1.55,3200,0
BKHAR.US,5,20260501,183000,1.565,1.565,1.51,1.51,900,0
