<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLKB.US,5,20260126,153000,56.18,56.18,56.18,56.18,1430,0
BLKB.US,5,20260126,154500,56.65,56.65,56.55,56.55,1026,0
BLKB.US,5,20260126,155000,56.65,56.65,56.6,56.65,812,0
BLKB.US,5,20260126,160000,56.65,56.7,56.65,56.7,521,0
BLKB.US,5,20260126,160500,56.7,56.7,56.7,56.7,194,0
BLKB.US,5,20260126,161000,56.695,57.385,56.695,57.385,5829,0
BLKB.US,5,20260126,161500,57.09,57.155,56.85,57.02,2942,0
BLKB.US,5,20260126,162500,57.26,57.59,57.125,57.39,2986,0
BLKB.US,5,20260126,163000,57.0084,57.11,57.0084,57.11,381,0
BLKB.US,5,20260126,163500,57.23,57.41,56.9975,57.19,5815,0
BLKB.US,5,20260126,164000,57.2,57.2,56.86,57.085,1256,0
BLKB.US,5,20260126,164500,57.2,57.2,57.095,57.095,630,0
BLKB.US,5,20260126,165000,57.095,57.095,57.095,57.095,210,0
BLKB.US,5,20260126,165500,57.02,57.02,56.9,56.94,758,0
BLKB.US,5,20260126,170000,56.84,56.9495,56.84,56.9495,305,0
BLKB.US,5,20260126,170500,56.84,56.84,56.47,56.725,7971,0
BLKB.US,5,20260126,171500,56.65,56.77,56.54,56.64,3768,0
BLKB.US,5,20260126,172000,56.705,56.725,56.705,56.725,200,0
BLKB.US,5,20260126,172500,56.725,56.745,56.725,56.745,300,0
BLKB.US,5,20260126,173000,56.8,56.8,56.78,56.78,300,0
BLKB.US,5,20260126,173500,56.825,56.825,56.825,56.825,100,0
BLKB.US,5,20260126,174000,56.81,56.92,56.75,56.75,862,0
BLKB.US,5,20260126,174500,56.8,56.8,56.755,56.76,300,0
BLKB.US,5,20260126,175000,56.75,56.75,56.75,56.75,100,0
BLKB.US,5,20260126,175500,56.75,56.83,56.715,56.8,5234,0
BLKB.US,5,20260126,180000,56.795,56.795,56.72,56.72,1000,0
BLKB.US,5,20260126,180500,56.715,56.715,56.715,56.715,100,0
BLKB.US,5,20260126,181000,56.71,56.73,56.64,56.675,3505,0
BLKB.US,5,20260126,181500,56.71,56.72,56.71,56.72,655,0
BLKB.US,5,20260126,182000,56.73,56.77,56.73,56.77,300,0
BLKB.US,5,20260126,182500,56.79,56.79,56.76,56.76,790,0
BLKB.US,5,20260126,183000,56.77,56.92,56.77,56.92,1651,0
BLKB.US,5,20260126,183500,56.79,56.835,56.79,56.835,680,0
BLKB.US,5,20260126,184000,56.8065,56.845,56.74,56.845,1383,0
BLKB.US,5,20260126,184500,56.85,56.85,56.738,56.74,2324,0
BLKB.US,5,20260126,185000,56.825,56.825,56.825,56.825,419,0
BLKB.US,5,20260126,185500,56.78,56.78,56.78,56.78,300,0
BLKB.US,5,20260126,190000,56.77,56.79,56.77,56.78,713,0
BLKB.US,5,20260126,190500,56.715,56.715,56.665,56.665,200,0
BLKB.US,5,20260126,191000,56.6401,56.6401,56.6401,56.6401,100,0
BLKB.US,5,20260126,191500,56.64,56.67,56.64,56.67,920,0
BLKB.US,5,20260126,192000,56.7,56.7,56.7,56.7,953,0
BLKB.US,5,20260126,192500,56.7,56.765,56.7,56.75,1599,0
BLKB.US,5,20260126,193000,56.75,56.75,56.75,56.75,200,0
BLKB.US,5,20260126,193500,56.69,56.695,56.62,56.65,941,0
BLKB.US,5,20260126,194000,56.5601,56.5601,56.5601,56.5601,288,0
BLKB.US,5,20260126,194500,56.56,56.57,56.465,56.465,1660,0
BLKB.US,5,20260126,195500,56.51,56.51,56.482,56.482,266,0
BLKB.US,5,20260126,200500,56.47,56.47,56.47,56.47,102,0
BLKB.US,5,20260126,201000,56.55,56.64,56.55,56.64,2365,0
BLKB.US,5,20260126,201500,56.575,56.67,56.575,56.6,1201,0
BLKB.US,5,20260126,202000,56.64,56.64,56.64,56.64,449,0
BLKB.US,5,20260126,202500,56.58,56.65,56.575,56.61,1000,0
BLKB.US,5,20260126,203000,56.67,56.67,56.6201,56.6201,989,0
BLKB.US,5,20260126,203500,56.605,56.635,56.6,56.635,1222,0
BLKB.US,5,20260126,204000,56.65,56.7,56.65,56.67,2900,0
BLKB.US,5,20260126,204500,56.7305,56.7305,56.7305,56.7305,170,0
BLKB.US,5,20260126,205000,56.725,56.73,56.725,56.73,300,0
BLKB.US,5,20260126,205500,56.73,56.735,56.73,56.735,500,0
BLKB.US,5,20260126,210000,56.79,56.84,56.79,56.83,900,0
BLKB.US,5,20260126,210500,56.9,56.915,56.84,56.84,304,0
BLKB.US,5,20260126,211000,56.84,56.84,56.8,56.8,646,0
BLKB.US,5,20260126,211500,56.8,56.89,56.77,56.89,7445,0
BLKB.US,5,20260126,212000,56.89,57.04,56.89,56.99,1900,0
BLKB.US,5,20260126,212500,56.97,56.9805,56.92,56.92,1287,0
BLKB.US,5,20260126,213000,56.96,56.96,56.96,56.96,100,0
BLKB.US,5,20260126,213500,56.95,57.03,56.93,56.93,6800,0
BLKB.US,5,20260126,214000,56.9,56.96,56.825,56.825,2600,0
BLKB.US,5,20260126,214500,56.7826,56.9,56.7826,56.79,1006,0
BLKB.US,5,20260126,215000,56.8,56.84,56.67,56.67,1068,0
BLKB.US,5,20260126,215500,56.675,56.825,56.675,56.82,46104,0
BLKB.US,5,20260127,153000,56.55,56.565,56.26,56.565,2596,0
BLKB.US,5,20260127,153500,56.47,56.505,55.7501,55.7501,1225,0
BLKB.US,5,20260127,154000,55.79,55.79,55.54,55.58,1200,0
BLKB.US,5,20260127,154500,55.87,55.875,55.62,55.875,502,0
BLKB.US,5,20260127,155000,55.45,55.45,55.45,55.45,100,0
BLKB.US,5,20260127,155500,55.71,55.71,55.71,55.71,120,0
BLKB.US,5,20260127,160000,55.29,55.29,55.19,55.19,540,0
BLKB.US,5,20260127,160500,55.13,55.13,55.11,55.11,200,0
BLKB.US,5,20260127,161000,55.415,55.415,55.24,55.24,550,0
BLKB.US,5,20260127,161500,55.415,55.415,55.415,55.415,100,0
