<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLNK.US,5,20260126,153000,0.89,0.898,0.8725,0.8751,65327,0
BLNK.US,5,20260126,153500,0.8797,0.8799,0.8512,0.860001,130853,0
BLNK.US,5,20260126,154000,0.8648,0.8695,0.86,0.8667,47185,0
BLNK.US,5,20260126,154500,0.8673,0.8684,0.865,0.865,53065,0
BLNK.US,5,20260126,155000,0.8651,0.8798,0.86,0.860664,59627,0
BLNK.US,5,20260126,155500,0.8619,0.8622,0.8565,0.8565,70747,0
BLNK.US,5,20260126,160000,0.857799,0.8586,0.855,0.8573,35686,0
BLNK.US,5,20260126,160500,0.8573,0.857899,0.8543,0.8557,23623,0
BLNK.US,5,20260126,161000,0.8548,0.856,0.8475,0.8475,93682,0
BLNK.US,5,20260126,161500,0.85,0.8611,0.8451,0.8611,57811,0
BLNK.US,5,20260126,162000,0.8585,0.8585,0.8489,0.8489,24468,0
BLNK.US,5,20260126,162500,0.8489,0.8489,0.8475,0.8487,67627,0
BLNK.US,5,20260126,163000,0.8483,0.8485,0.8402,0.8429,43619,0
BLNK.US,5,20260126,163500,0.8456,0.8456,0.838,0.8397,63044,0
BLNK.US,5,20260126,164000,0.84,0.8411,0.8355,0.8383,35601,0
BLNK.US,5,20260126,164500,0.8383,0.8425,0.8369,0.841301,15954,0
BLNK.US,5,20260126,165000,0.8413,0.8426,0.8401,0.841,13266,0
BLNK.US,5,20260126,165500,0.8418,0.8418,0.838,0.8415,34478,0
BLNK.US,5,20260126,170000,0.8415,0.841523,0.8406,0.8411,34119,0
BLNK.US,5,20260126,170500,0.8411,0.8412,0.84,0.8405,12795,0
BLNK.US,5,20260126,171000,0.8409,0.8409,0.84,0.8408,12081,0
BLNK.US,5,20260126,171500,0.8408,0.8408,0.8356,0.83715,75764,0
BLNK.US,5,20260126,172000,0.8374,0.8426,0.8374,0.84185,11987,0
BLNK.US,5,20260126,172500,0.8425,0.8425,0.8401,0.8412,19443,0
BLNK.US,5,20260126,173000,0.8421,0.8479,0.8402,0.8403,37843,0
BLNK.US,5,20260126,173500,0.84415,0.8479,0.8404,0.84395,28900,0
