<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMOP.US,5,20260126,153000,24.81,24.855,24.81,24.855,2855,0
BMOP.US,5,20260126,153500,24.92,24.96,24.92,24.96,6225,0
BMOP.US,5,20260126,155500,24.8775,24.93,24.8775,24.93,1061,0
BMOP.US,5,20260126,162500,24.9,24.9,24.9,24.9,100,0
BMOP.US,5,20260126,164000,24.93,24.93,24.93,24.93,297,0
BMOP.US,5,20260126,180500,24.9237,24.9237,24.9237,24.9237,140,0
BMOP.US,5,20260126,182000,24.87,24.93,24.87,24.93,5257,0
BMOP.US,5,20260126,184500,24.9164,24.9164,24.9164,24.9164,100,0
BMOP.US,5,20260126,190500,24.9,24.9,24.9,24.9,1230,0
BMOP.US,5,20260126,213500,24.9164,24.9164,24.9164,24.9164,174,0
BMOP.US,5,20260126,214000,24.9,24.9,24.9,24.9,100,0
BMOP.US,5,20260126,214500,24.9,24.9,24.874,24.9,6225,0
BMOP.US,5,20260126,215500,24.9,24.9,24.9,24.9,1095,0
BMOP.US,5,20260127,153000,24.925,24.925,24.925,24.925,120,0
BMOP.US,5,20260127,153500,24.91,24.91,24.84,24.84,46816,0
BMOP.US,5,20260127,171500,24.8933,24.8933,24.8933,24.8933,397,0
BMOP.US,5,20260127,183500,24.91,24.91,24.84,24.84,40566,0
BMOP.US,5,20260127,184000,24.8911,24.8911,24.8911,24.8911,252,0
BMOP.US,5,20260127,185500,24.92,24.92,24.89,24.89,200,0
BMOP.US,5,20260127,190000,24.93,24.94,24.86,24.94,4248,0
BMOP.US,5,20260127,190500,24.915,24.915,24.88,24.88,1025,0
BMOP.US,5,20260127,191000,24.91,24.91,24.91,24.91,100,0
BMOP.US,5,20260127,192500,24.9267,24.9267,24.9267,24.9267,400,0
BMOP.US,5,20260127,193000,24.91,24.91,24.91,24.91,129,0
BMOP.US,5,20260127,202500,24.88,24.88,24.88,24.88,100,0
BMOP.US,5,20260127,204000,24.9265,24.9265,24.9265,24.9265,290,0
BMOP.US,5,20260127,204500,24.94,24.94,24.89,24.92,2425,0
BMOP.US,5,20260127,205500,24.9255,24.9255,24.9255,24.9255,301,0
BMOP.US,5,20260127,210500,24.92,24.92,24.92,24.92,400,0
BMOP.US,5,20260127,212000,24.9145,24.92,24.91,24.92,902,0
BMOP.US,5,20260127,213500,24.92,24.92,24.91,24.91,496,0
BMOP.US,5,20260127,214000,24.93,24.95,24.93,24.935,804,0
BMOP.US,5,20260127,214500,24.9214,24.9214,24.9214,24.9214,300,0
BMOP.US,5,20260127,215000,24.91,24.935,24.91,24.935,200,0
BMOP.US,5,20260127,215500,24.925,24.925,24.89,24.89,459,0
BMOP.US,5,20260128,153000,24.81,24.81,24.81,24.81,3639,0
BMOP.US,5,20260128,153500,24.86,24.86,24.85,24.85,29065,0
BMOP.US,5,20260128,154500,24.86,24.86,24.86,24.86,100,0
BMOP.US,5,20260128,162000,24.9099,24.9099,24.9099,24.9099,197,0
BMOP.US,5,20260128,171000,24.88,24.88,24.88,24.88,100,0
BMOP.US,5,20260128,175000,24.8869,24.8869,24.8869,24.8869,400,0
BMOP.US,5,20260128,181000,24.8869,24.8869,24.8869,24.8869,400,0
BMOP.US,5,20260128,182500,24.887,24.887,24.887,24.887,400,0
BMOP.US,5,20260128,185500,24.91,24.98,24.89,24.98,14438,0
BMOP.US,5,20260128,200000,24.905,24.905,24.905,24.905,2091,0
BMOP.US,5,20260128,201000,24.91,24.91,24.91,24.91,1946,0
BMOP.US,5,20260128,211000,24.9,24.9,24.9,24.9,1000,0
BMOP.US,5,20260128,212000,24.9257,24.9257,24.9257,24.9257,175,0
BMOP.US,5,20260128,213000,24.9177,24.9177,24.9177,24.9177,254,0
BMOP.US,5,20260128,215500,24.89,24.89,24.89,24.89,200,0
BMOP.US,5,20260129,153000,24.89,24.89,24.89,24.89,119,0
BMOP.US,5,20260129,153500,24.899,24.98,24.899,24.98,131505,0
BMOP.US,5,20260129,154500,24.89,24.91,24.89,24.9005,1166,0
BMOP.US,5,20260129,155500,24.91,24.91,24.89,24.89,500,0
BMOP.US,5,20260129,160000,24.94,24.94,24.89,24.89,2965,0
BMOP.US,5,20260129,163000,24.89,24.89,24.88,24.89,912,0
BMOP.US,5,20260129,163500,24.9,24.91,24.9,24.91,415,0
BMOP.US,5,20260129,164000,24.89,24.89,24.89,24.89,300,0
BMOP.US,5,20260129,164500,24.89,24.89,24.89,24.89,300,0
BMOP.US,5,20260129,165000,24.89,24.89,24.89,24.89,200,0
BMOP.US,5,20260129,165500,24.89,24.89,24.88,24.88,200,0
BMOP.US,5,20260129,170000,24.88,24.88,24.88,24.88,600,0
BMOP.US,5,20260129,170500,24.88,24.88,24.87,24.87,576,0
BMOP.US,5,20260129,174500,24.8702,24.8702,24.8702,24.8702,1492,0
BMOP.US,5,20260129,180000,24.8824,24.8824,24.8824,24.8824,400,0
BMOP.US,5,20260129,183500,24.905,24.93,24.89,24.89,17774,0
BMOP.US,5,20260129,184000,24.93,24.97,24.9,24.94,10923,0
BMOP.US,5,20260129,184500,24.91,24.91,24.9,24.9,1342,0
BMOP.US,5,20260129,190000,24.9,24.9,24.9,24.9,100,0
BMOP.US,5,20260129,195000,24.95,24.95,24.94,24.94,238,0
BMOP.US,5,20260129,195500,24.94,24.94,24.94,24.94,100,0
BMOP.US,5,20260129,200000,24.94,24.95,24.94,24.95,200,0
BMOP.US,5,20260129,200500,24.9378,24.94,24.9378,24.94,500,0
BMOP.US,5,20260129,201000,24.95,24.95,24.94,24.95,400,0
BMOP.US,5,20260129,201500,24.95,24.95,24.95,24.95,100,0
BMOP.US,5,20260129,202000,24.95,24.95,24.94,24.94,200,0
BMOP.US,5,20260129,202500,24.95,24.95,24.95,24.95,100,0
BMOP.US,5,20260129,212000,24.9455,24.9455,24.9455,24.9455,361,0
BMOP.US,5,20260130,154000,24.96,24.98,24.96,24.98,910,0
BMOP.US,5,20260130,160000,24.92,24.93,24.92,24.92,1600,0
BMOP.US,5,20260130,164500,24.92,24.92,24.92,24.92,100,0
BMOP.US,5,20260130,181000,24.9347,24.9347,24.9347,24.9347,300,0
BMOP.US,5,20260130,184000,24.93,24.98,24.91,24.98,31887,0
BMOP.US,5,20260130,184500,24.97,24.97,24.96,24.96,600,0
BMOP.US,5,20260130,211500,24.9343,24.9343,24.9343,24.9343,200,0
BMOP.US,5,20260130,213500,24.92,24.92,24.91,24.91,4826,0
BMOP.US,5,20260130,214000,24.9019,24.9019,24.9019,24.9019,240,0
BMOP.US,5,20260130,215500,24.89,24.89,24.89,24.89,100,0
BMOP.US,5,20260202,153500,24.89,24.89,24.89,24.89,1485,0
BMOP.US,5,20260202,155000,24.94,24.94,24.88,24.88,1100,0
BMOP.US,5,20260202,160000,24.94,24.95,24.94,24.95,200,0
BMOP.US,5,20260202,160500,24.94,24.96,24.94,24.96,1986,0
BMOP.US,5,20260202,161500,24.94,24.94,24.94,24.94,200,0
BMOP.US,5,20260202,163500,24.95,24.95,24.95,24.95,200,0
BMOP.US,5,20260202,165000,24.9,24.9,24.9,24.9,202,0
BMOP.US,5,20260202,171500,24.95,24.95,24.95,24.95,400,0
BMOP.US,5,20260202,172000,24.91,24.91,24.91,24.91,1000,0
BMOP.US,5,20260202,172500,24.89,24.905,24.89,24.905,1300,0
BMOP.US,5,20260202,180000,24.8993,24.8993,24.8993,24.8993,150,0
