<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNKK.US,5,20260126,153000,6.15,6.15,6,6.02,4435,0
BNKK.US,5,20260126,153500,6.15,6.209,5.94,5.94,4121,0
BNKK.US,5,20260126,154000,5.98,6.09,5.9444,6.07,12205,0
BNKK.US,5,20260126,154500,6.095,6.175,5.9417,6.1449,1424,0
BNKK.US,5,20260126,155000,6.0384,6.23,6.02,6.02,2319,0
BNKK.US,5,20260126,155500,6.02,6.23,5.72,6.0479,23787,0
BNKK.US,5,20260126,160000,5.73,5.79,5.65,5.79,2997,0
BNKK.US,5,20260126,160500,5.705,5.79,5.61,5.695,10656,0
BNKK.US,5,20260126,161000,5.71,5.865,5.6641,5.7602,4401,0
BNKK.US,5,20260126,161500,5.81,5.95,5.806,5.95,6868,0
BNKK.US,5,20260126,162000,5.885,5.9,5.82,5.82,950,0
BNKK.US,5,20260126,162500,5.81,5.93,5.6814,5.85,2340,0
BNKK.US,5,20260126,163000,5.9164,6,5.9,6,500,0
BNKK.US,5,20260126,163500,5.82,5.82,5.82,5.82,185,0
BNKK.US,5,20260126,164000,6,6,5.81,5.98,577,0
BNKK.US,5,20260126,164500,6,6.055,5.928,5.928,2219,0
BNKK.US,5,20260126,165000,5.8001,6.04,5.8001,5.972,3389,0
BNKK.US,5,20260126,165500,5.87,5.87,5.87,5.87,100,0
BNKK.US,5,20260126,170000,5.83,6.08,5.82,5.82,3600,0
BNKK.US,5,20260126,170500,5.86,5.94,5.86,5.9,1297,0
BNKK.US,5,20260126,171000,5.995,6.036,5.995,6.036,200,0
BNKK.US,5,20260126,171500,5.97,5.97,5.97,5.97,400,0
BNKK.US,5,20260126,172000,5.87,5.96,5.83,5.83,1163,0
BNKK.US,5,20260126,172500,5.88,6.08,5.88,6.08,2106,0
BNKK.US,5,20260126,173000,6.005,6.09,5.975,5.975,16498,0
BNKK.US,5,20260126,173500,6,6.03,5.99,6.03,1050,0
BNKK.US,5,20260126,174000,5.99,6,5.9,5.9,3075,0
BNKK.US,5,20260126,174500,5.92,5.995,5.85,5.89,10450,0
BNKK.US,5,20260126,175000,5.8401,5.95,5.8401,5.95,4820,0
BNKK.US,5,20260126,175500,5.9478,5.955,5.91,5.9101,600,0
BNKK.US,5,20260126,180000,5.91,5.91,5.83,5.89,5813,0
BNKK.US,5,20260126,180500,5.84,5.84,5.76,5.76,556,0
BNKK.US,5,20260126,181000,5.77,5.82,5.76,5.79,1349,0
BNKK.US,5,20260126,181500,5.78,5.79,5.71,5.71,1509,0
BNKK.US,5,20260126,182000,5.72,5.72,5.72,5.72,198,0
BNKK.US,5,20260126,182500,5.71,5.73,5.71,5.73,322,0
BNKK.US,5,20260126,183000,5.69,5.69,5.69,5.69,700,0
BNKK.US,5,20260126,183500,5.69,5.73,5.69,5.729,3994,0
BNKK.US,5,20260126,184000,5.65,5.6516,5.65,5.6516,855,0
BNKK.US,5,20260126,184500,5.56,5.56,5.5004,5.5004,2867,0
BNKK.US,5,20260126,185000,5.5,5.5,5.3418,5.37,4707,0
BNKK.US,5,20260126,185500,5.405,5.405,5.4,5.4,1243,0
BNKK.US,5,20260126,190000,5.37,5.37,5.37,5.37,100,0
BNKK.US,5,20260126,190500,5.35,5.4,5.22,5.3826,6356,0
BNKK.US,5,20260126,191000,5.31,5.39,5.24,5.39,766,0
BNKK.US,5,20260126,191500,5.3256,5.3256,5.3256,5.3256,228,0
BNKK.US,5,20260126,192000,5.26,5.275,5.12,5.205,2850,0
BNKK.US,5,20260126,192500,5.13,5.133,5.13,5.133,644,0
BNKK.US,5,20260126,193000,5.12,5.12,5.0347,5.05,8698,0
BNKK.US,5,20260126,193500,5.06,5.08,5.06,5.08,510,0
BNKK.US,5,20260126,194000,5.085,5.1799,5.07,5.1799,1870,0
BNKK.US,5,20260126,194500,5.1352,5.1352,5.1352,5.1352,250,0
BNKK.US,5,20260126,195000,5.13,5.17,5.13,5.17,335,0
BNKK.US,5,20260126,195500,5.1,5.2,5.1,5.2,2073,0
BNKK.US,5,20260126,200000,5.13,5.175,5.08,5.12,4416,0
BNKK.US,5,20260126,200500,5.05,5.05,5.04,5.04,5450,0
BNKK.US,5,20260126,201000,5.08,5.165,5.08,5.165,1887,0
BNKK.US,5,20260126,201500,5.09,5.09,5.09,5.09,100,0
BNKK.US,5,20260126,202000,5.25,5.25,5.22,5.22,300,0
BNKK.US,5,20260126,202500,5.1201,5.22,5.1201,5.19,342,0
BNKK.US,5,20260126,203000,5.19,5.19,5.16,5.16,300,0
BNKK.US,5,20260126,203500,5.17,5.17,5.16,5.16,670,0
BNKK.US,5,20260126,204000,5.17,5.1827,5.16,5.16,500,0
BNKK.US,5,20260126,204500,5.15,5.15,5.05,5.0878,8391,0
BNKK.US,5,20260126,205000,5.11,5.1848,5.07,5.1848,2207,0
