<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOSC.US,5,20260126,153000,4.8381,4.8381,4.8381,4.8381,249,0
BOSC.US,5,20260126,153500,4.86,4.9,4.84,4.9,5142,0
BOSC.US,5,20260126,154000,4.905,4.905,4.905,4.905,200,0
BOSC.US,5,20260126,154500,4.92,4.92,4.92,4.92,100,0
BOSC.US,5,20260126,155500,4.92,4.92,4.92,4.92,100,0
BOSC.US,5,20260126,160500,4.9,4.9,4.8901,4.8901,300,0
BOSC.US,5,20260126,163000,4.892,4.892,4.892,4.892,264,0
BOSC.US,5,20260126,163500,4.89,4.89,4.89,4.89,200,0
BOSC.US,5,20260126,164000,4.89,4.89,4.89,4.89,1679,0
BOSC.US,5,20260126,164500,4.89,4.89,4.89,4.89,200,0
BOSC.US,5,20260126,165000,4.89,4.8901,4.89,4.8901,321,0
BOSC.US,5,20260126,165500,4.89,4.89,4.89,4.89,300,0
BOSC.US,5,20260126,170000,4.89,4.89,4.89,4.89,510,0
BOSC.US,5,20260126,170500,4.89,4.89,4.89,4.89,100,0
BOSC.US,5,20260126,172000,4.89,4.89,4.89,4.89,100,0
BOSC.US,5,20260126,172500,4.9,4.9,4.9,4.9,150,0
BOSC.US,5,20260126,174500,4.89,4.89,4.835,4.835,4100,0
BOSC.US,5,20260126,175000,4.835,4.835,4.835,4.835,100,0
BOSC.US,5,20260126,180000,4.84,4.84,4.84,4.84,127,0
BOSC.US,5,20260126,182000,4.84,4.84,4.84,4.84,357,0
BOSC.US,5,20260126,183000,4.8,4.8,4.8,4.8,500,0
BOSC.US,5,20260126,183500,4.9,4.9,4.86,4.8704,1450,0
BOSC.US,5,20260126,184000,4.8701,4.8701,4.8701,4.8701,390,0
BOSC.US,5,20260126,185000,4.87,4.87,4.87,4.87,100,0
BOSC.US,5,20260126,195500,4.81,4.85,4.81,4.85,2300,0
BOSC.US,5,20260126,200500,4.85,4.85,4.85,4.85,200,0
