<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRCB.US,5,20260126,153000,17.61,17.61,17.465,17.465,3020,0
BRCB.US,5,20260126,153500,17.4,17.4699,17.35,17.37,700,0
BRCB.US,5,20260126,154000,17.435,17.52,17.42,17.47,4470,0
BRCB.US,5,20260126,154500,17.4,17.57,17.4,17.565,7647,0
BRCB.US,5,20260126,155000,17.555,17.555,17.555,17.555,100,0
BRCB.US,5,20260126,155500,17.543,17.555,17.44,17.485,2492,0
BRCB.US,5,20260126,160000,17.41,17.41,17.31,17.31,300,0
BRCB.US,5,20260126,160500,17.35,17.41,17.35,17.41,200,0
BRCB.US,5,20260126,161000,17.39,17.39,17.31,17.31,1200,0
BRCB.US,5,20260126,161500,17.31,17.3712,17.29,17.31,1836,0
BRCB.US,5,20260126,162000,17.31,17.4,17.28,17.3999,856,0
BRCB.US,5,20260126,162500,17.27,17.305,17.2175,17.2389,6468,0
BRCB.US,5,20260126,163000,17.17,17.25,17.17,17.2425,1255,0
BRCB.US,5,20260126,163500,17.29,17.29,17.29,17.29,100,0
BRCB.US,5,20260126,164000,17.25,17.255,17.25,17.255,900,0
BRCB.US,5,20260126,164500,17.2286,17.2286,17.19,17.19,280,0
BRCB.US,5,20260126,165000,17.2,17.2,17.2,17.2,300,0
BRCB.US,5,20260126,165500,17.2214,17.4,17.196,17.2845,9077,0
BRCB.US,5,20260126,170000,17.4,17.4,17.2866,17.365,1948,0
BRCB.US,5,20260126,170500,17.365,17.365,17.33,17.335,600,0
BRCB.US,5,20260126,171000,17.335,17.34,17.29,17.32,2407,0
BRCB.US,5,20260126,171500,17.265,17.32,17.265,17.32,400,0
BRCB.US,5,20260126,172000,17.28,17.4,17.2594,17.4,3900,0
BRCB.US,5,20260126,172500,17.365,17.41,17.365,17.4086,500,0
BRCB.US,5,20260126,173000,17.41,17.41,17.38,17.38,700,0
BRCB.US,5,20260126,173500,17.33,17.33,17.27,17.27,1300,0
BRCB.US,5,20260126,174000,17.23,17.34,17.18,17.18,6008,0
BRCB.US,5,20260126,174500,17.17,17.17,17.1414,17.1414,671,0
BRCB.US,5,20260126,175000,17.145,17.165,17.11,17.165,450,0
BRCB.US,5,20260126,175500,17.15,17.19,17.15,17.19,300,0
BRCB.US,5,20260126,180000,17.15,17.27,17.04,17.04,13233,0
BRCB.US,5,20260126,180500,17.1295,17.13,17.05,17.13,1948,0
BRCB.US,5,20260126,181000,17.11,17.1145,17.11,17.11,2681,0
BRCB.US,5,20260126,181500,17.18,17.18,17.18,17.18,100,0
BRCB.US,5,20260126,182000,17.1899,17.21,17.14,17.205,795,0
BRCB.US,5,20260126,182500,17.17,17.17,17.16,17.16,300,0
BRCB.US,5,20260126,183000,17.16,17.16,17.16,17.16,582,0
BRCB.US,5,20260126,183500,17.14,17.14,17.14,17.14,100,0
BRCB.US,5,20260126,184500,17.11,17.1552,17.0956,17.0956,990,0
BRCB.US,5,20260126,185000,17.14,17.26,17.14,17.21,4545,0
BRCB.US,5,20260126,190500,17.195,17.27,17.195,17.195,400,0
BRCB.US,5,20260126,191500,17.165,17.17,17.165,17.17,1700,0
BRCB.US,5,20260126,192000,17.22,17.22,17.22,17.22,200,0
BRCB.US,5,20260126,192500,17.25,17.25,17.25,17.25,100,0
BRCB.US,5,20260126,193000,17.25,17.26,17.25,17.26,200,0
BRCB.US,5,20260126,193500,17.17,17.22,17.17,17.215,1903,0
BRCB.US,5,20260126,194000,17.21,17.21,17.17,17.205,1002,0
BRCB.US,5,20260126,194500,17.17,17.19,17.098,17.19,2320,0
BRCB.US,5,20260126,195500,17.169,17.205,17.169,17.205,200,0
BRCB.US,5,20260126,200500,17.23,17.23,17.23,17.23,135,0
BRCB.US,5,20260126,201000,17.24,17.24,17.24,17.24,100,0
BRCB.US,5,20260126,201500,17.205,17.3,17.205,17.27,8606,0
BRCB.US,5,20260126,202000,17.28,17.39,17.27,17.39,1400,0
BRCB.US,5,20260126,202500,17.38,17.4,17.35,17.36,2900,0
BRCB.US,5,20260126,203500,17.39,17.39,17.335,17.335,300,0
BRCB.US,5,20260126,204000,17.335,17.49,17.33,17.44,5132,0
BRCB.US,5,20260126,204500,17.375,17.375,17.375,17.375,120,0
BRCB.US,5,20260126,205000,17.375,17.48,17.375,17.48,400,0
BRCB.US,5,20260126,205500,17.48,17.48,17.41,17.41,4000,0
BRCB.US,5,20260126,210000,17.38,17.46,17.38,17.385,400,0
BRCB.US,5,20260126,210500,17.385,17.385,17.385,17.385,830,0
BRCB.US,5,20260126,211000,17.385,17.44,17.38,17.43,800,0
BRCB.US,5,20260126,211500,17.38,17.41,17.375,17.41,400,0
BRCB.US,5,20260126,212000,17.375,17.45,17.37,17.37,5283,0
BRCB.US,5,20260126,212500,17.37,17.37,17.315,17.315,1029,0
BRCB.US,5,20260126,213000,17.36,17.36,17.31,17.31,1100,0
BRCB.US,5,20260126,213500,17.36,17.365,17.31,17.345,2078,0
BRCB.US,5,20260126,214000,17.31,17.31,17.28,17.29,1700,0
BRCB.US,5,20260126,214500,17.29,17.31,17.29,17.29,500,0
BRCB.US,5,20260126,215000,17.34,17.34,17.255,17.32,5341,0
BRCB.US,5,20260126,215500,17.31,17.36,17.275,17.35,48214,0
BRCB.US,5,20260127,153000,17.38,17.535,17.13,17.13,8502,0
BRCB.US,5,20260127,153500,17.055,17.08,16.984,17.06,2564,0
BRCB.US,5,20260127,154000,17.07,17.075,17.01,17.06,1730,0
BRCB.US,5,20260127,154500,17,17.06,16.87,16.87,1403,0
BRCB.US,5,20260127,155000,16.995,17.12,16.995,17.015,3254,0
BRCB.US,5,20260127,155500,16.95,16.952,16.95,16.952,200,0
BRCB.US,5,20260127,160000,17.015,17.015,17,17.015,300,0
BRCB.US,5,20260127,160500,16.985,17.07,16.985,17.07,1321,0
BRCB.US,5,20260127,161000,17.09,17.12,17.07,17.12,900,0
BRCB.US,5,20260127,161500,17.11,17.12,17.01,17.01,1294,0
BRCB.US,5,20260127,162000,17.065,17.065,17.065,17.065,1100,0
BRCB.US,5,20260127,162500,17.02,17.03,17.02,17.03,300,0
BRCB.US,5,20260127,163000,16.95,17.015,16.94,17.015,341,0
BRCB.US,5,20260127,163500,16.975,16.975,16.92,16.92,356,0
BRCB.US,5,20260127,164500,16.92,16.92,16.92,16.92,100,0
BRCB.US,5,20260127,165000,16.9,16.9,16.9,16.9,1000,0
BRCB.US,5,20260127,165500,16.94,17.16,16.94,17.15,4737,0
BRCB.US,5,20260127,170000,17.16,17.18,17.1,17.1,2505,0
BRCB.US,5,20260127,170500,17.13,17.18,17,17,3151,0
BRCB.US,5,20260127,171000,17.02,17.025,17.02,17.02,17379,0
BRCB.US,5,20260127,171500,16.94,16.97,16.8,16.8,7846,0
BRCB.US,5,20260127,172000,16.76,16.84,16.72,16.8,10964,0
BRCB.US,5,20260127,172500,16.795,16.84,16.795,16.84,2900,0
BRCB.US,5,20260127,173000,16.86,16.86,16.77,16.77,7130,0
BRCB.US,5,20260127,173500,16.79,16.79,16.79,16.79,200,0
BRCB.US,5,20260127,174000,16.825,16.825,16.77,16.825,630,0
BRCB.US,5,20260127,174500,16.81,16.845,16.78,16.78,1716,0
BRCB.US,5,20260127,175000,16.8475,16.8599,16.78,16.8599,1176,0
BRCB.US,5,20260127,175500,16.77,16.77,16.77,16.77,100,0
BRCB.US,5,20260127,180000,16.785617,16.81,16.71,16.72,6835,0
BRCB.US,5,20260127,180500,16.755,16.85,16.75,16.815,11620,0
BRCB.US,5,20260127,181000,16.77,16.77,16.755,16.77,600,0
BRCB.US,5,20260127,181500,16.75,16.75,16.73,16.73,300,0
BRCB.US,5,20260127,182000,16.73,16.73,16.69,16.69,1591,0
BRCB.US,5,20260127,182500,16.68,16.72,16.68,16.695,1152,0
BRCB.US,5,20260127,183000,16.715,16.72,16.715,16.72,900,0
BRCB.US,5,20260127,183500,16.74,16.78,16.725,16.74,3991,0
BRCB.US,5,20260127,184000,16.7799,16.7799,16.735,16.735,700,0
BRCB.US,5,20260127,184500,16.735,16.735,16.62,16.67,5461,0
BRCB.US,5,20260127,185000,16.69,16.71,16.675,16.7,1519,0
BRCB.US,5,20260127,185500,16.68,16.68,16.66,16.68,2083,0
BRCB.US,5,20260127,190000,16.66,16.7,16.62,16.7,1300,0
BRCB.US,5,20260127,190500,16.705,16.705,16.695,16.695,300,0
BRCB.US,5,20260127,191000,16.67,16.67,16.61,16.61,1359,0
BRCB.US,5,20260127,191500,16.6,16.61,16.58,16.6,2954,0
BRCB.US,5,20260127,192000,16.6,16.72,16.6,16.685,10389,0
BRCB.US,5,20260127,192500,16.7,16.72,16.7,16.72,500,0
BRCB.US,5,20260127,193000,16.72,16.72,16.69,16.69,2823,0
BRCB.US,5,20260127,193500,16.69,16.69,16.655,16.655,2000,0
BRCB.US,5,20260127,194000,16.655,16.685,16.6301,16.67,2407,0
BRCB.US,5,20260127,195000,16.645,16.67,16.64,16.65,3954,0
BRCB.US,5,20260127,195500,16.66,16.67,16.655,16.655,747,0
BRCB.US,5,20260127,200000,16.64,16.66,16.62,16.66,1500,0
BRCB.US,5,20260127,200500,16.67,16.68,16.67,16.68,400,0
BRCB.US,5,20260127,201000,16.68,16.71,16.67,16.71,1399,0
BRCB.US,5,20260127,201500,16.72,16.74,16.715,16.725,696,0
BRCB.US,5,20260127,202000,16.77,16.85,16.73,16.73,8828,0
BRCB.US,5,20260127,202500,16.74,16.77,16.74,16.77,930,0
BRCB.US,5,20260127,203000,16.77,16.95,16.77,16.92,16896,0
BRCB.US,5,20260127,203500,16.915,16.915,16.88,16.88,4100,0
BRCB.US,5,20260127,204000,16.86,16.875,16.84,16.84,963,0
BRCB.US,5,20260127,204500,16.84,16.8699,16.84,16.84,800,0
BRCB.US,5,20260127,205000,16.81,16.81,16.81,16.81,100,0
BRCB.US,5,20260127,205500,16.835,16.835,16.81,16.835,608,0
BRCB.US,5,20260127,210000,16.81,16.81,16.76,16.79,3190,0
BRCB.US,5,20260127,210500,16.78,16.81,16.76,16.8,5699,0
BRCB.US,5,20260127,211000,16.8,16.82,16.785,16.79,2247,0
BRCB.US,5,20260127,211500,16.805,16.84,16.805,16.84,1600,0
BRCB.US,5,20260127,212000,16.84,16.84,16.825,16.825,800,0
BRCB.US,5,20260127,212500,16.84,16.87,16.81,16.86,4433,0
