<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTMD.US,5,20260126,153000,2.19,2.19,2.19,2.19,12105,0
BTMD.US,5,20260126,154500,2.19,2.205,2.185,2.2,16053,0
BTMD.US,5,20260126,155000,2.2066,2.2066,2.19,2.19,14430,0
BTMD.US,5,20260126,155500,2.19,2.19,2.19,2.19,1164,0
BTMD.US,5,20260126,160000,2.19,2.19,2.19,2.19,127,0
BTMD.US,5,20260126,160500,2.1806,2.19,2.17,2.17,11300,0
BTMD.US,5,20260126,161000,2.17,2.17,2.17,2.17,100,0
BTMD.US,5,20260126,161500,2.17,2.17,2.155,2.16,995,0
BTMD.US,5,20260126,162000,2.17,2.17,2.17,2.17,254,0
BTMD.US,5,20260126,162500,2.16,2.16,2.145,2.15,3463,0
BTMD.US,5,20260126,163000,2.145,2.16,2.145,2.16,720,0
BTMD.US,5,20260126,163500,2.16,2.16,2.16,2.16,945,0
BTMD.US,5,20260126,164000,2.155,2.155,2.155,2.155,200,0
BTMD.US,5,20260126,164500,2.155,2.155,2.155,2.155,100,0
BTMD.US,5,20260126,165500,2.145,2.145,2.14,2.1408,2205,0
BTMD.US,5,20260126,170500,2.14,2.14,2.12,2.12,1181,0
BTMD.US,5,20260126,171000,2.1391,2.1391,2.12,2.12,983,0
BTMD.US,5,20260126,171500,2.11,2.1195,2.11,2.115,1152,0
BTMD.US,5,20260126,173500,2.11,2.11,2.11,2.11,100,0
BTMD.US,5,20260126,174000,2.115,2.115,2.115,2.115,100,0
BTMD.US,5,20260126,175500,2.11,2.115,2.11,2.115,386,0
BTMD.US,5,20260126,180500,2.11,2.11,2.11,2.11,100,0
BTMD.US,5,20260126,181000,2.1114,2.115,2.11,2.11,410,0
BTMD.US,5,20260126,182000,2.11,2.11,2.09,2.09,1811,0
BTMD.US,5,20260126,182500,2.1,2.1,2.1,2.1,2100,0
BTMD.US,5,20260126,183000,2.1,2.12,2.1,2.11,7200,0
BTMD.US,5,20260126,183500,2.125,2.125,2.125,2.125,100,0
BTMD.US,5,20260126,185000,2.1208,2.1208,2.12,2.12,354,0
BTMD.US,5,20260126,185500,2.125,2.125,2.125,2.125,380,0
BTMD.US,5,20260126,190500,2.125,2.125,2.125,2.125,300,0
BTMD.US,5,20260126,191000,2.125,2.125,2.115,2.1198,1364,0
BTMD.US,5,20260126,191500,2.12,2.12,2.115,2.12,2190,0
BTMD.US,5,20260126,192000,2.115,2.139,2.115,2.1386,2559,0
BTMD.US,5,20260126,192500,2.13,2.13,2.13,2.13,1528,0
BTMD.US,5,20260126,193000,2.13,2.13,2.13,2.13,374,0
BTMD.US,5,20260126,193500,2.125,2.125,2.125,2.125,100,0
BTMD.US,5,20260126,194000,2.125,2.1301,2.125,2.1301,7544,0
BTMD.US,5,20260126,194500,2.1497,2.1497,2.1497,2.1497,2325,0
BTMD.US,5,20260126,195500,2.1302,2.1302,2.1302,2.1302,200,0
BTMD.US,5,20260126,200000,2.15,2.15,2.14,2.14,200,0
BTMD.US,5,20260126,201000,2.1401,2.1401,2.1401,2.1401,272,0
BTMD.US,5,20260126,202000,2.1496,2.1496,2.145,2.145,768,0
BTMD.US,5,20260126,203000,2.14,2.14,2.14,2.14,200,0
BTMD.US,5,20260126,203500,2.145,2.145,2.145,2.145,300,0
BTMD.US,5,20260126,204000,2.145,2.145,2.14,2.145,565,0
BTMD.US,5,20260126,204500,2.145,2.18,2.145,2.17,5023,0
BTMD.US,5,20260126,205000,2.17,2.18,2.17,2.18,1077,0
BTMD.US,5,20260126,205500,2.1701,2.18,2.1701,2.175,463,0
BTMD.US,5,20260126,210500,2.175,2.185,2.175,2.185,740,0
BTMD.US,5,20260126,211000,2.185,2.185,2.185,2.185,100,0
