<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BWEN.US,5,20260126,153000,3.24,3.27,3.24,3.27,1900,0
BWEN.US,5,20260126,153500,3.27,3.27,3.27,3.27,670,0
BWEN.US,5,20260126,154000,3.2955,3.3,3.2,3.2,25220,0
BWEN.US,5,20260126,154500,3.21,3.31,3.2,3.27,10415,0
BWEN.US,5,20260126,155000,3.238,3.28,3.238,3.28,900,0
BWEN.US,5,20260126,160000,3.26,3.26,3.2528,3.2528,673,0
BWEN.US,5,20260126,160500,3.271,3.275,3.25,3.25,8581,0
BWEN.US,5,20260126,161000,3.2832,3.2832,3.2516,3.28,6609,0
BWEN.US,5,20260126,161500,3.2601,3.2601,3.2601,3.2601,424,0
BWEN.US,5,20260126,162000,3.26,3.296,3.26,3.285,8300,0
BWEN.US,5,20260126,162500,3.3,3.3,3.3,3.3,100,0
BWEN.US,5,20260126,163000,3.28,3.29,3.28,3.29,440,0
BWEN.US,5,20260126,163500,3.3,3.305,3.29,3.29,1329,0
BWEN.US,5,20260126,164000,3.2781,3.28,3.2781,3.28,500,0
BWEN.US,5,20260126,164500,3.293,3.293,3.293,3.293,200,0
BWEN.US,5,20260126,165500,3.28,3.288,3.28,3.288,200,0
BWEN.US,5,20260126,170000,3.275,3.275,3.27,3.27,420,0
BWEN.US,5,20260126,170500,3.28,3.28,3.28,3.28,100,0
BWEN.US,5,20260126,172500,3.282,3.2858,3.28,3.28,2501,0
BWEN.US,5,20260126,173000,3.2827,3.32,3.28,3.32,5728,0
BWEN.US,5,20260126,173500,3.3092,3.355,3.3092,3.355,3120,0
BWEN.US,5,20260126,174500,3.34,3.34,3.33,3.33,1251,0
BWEN.US,5,20260126,180000,3.345,3.345,3.345,3.345,100,0
BWEN.US,5,20260126,180500,3.35,3.35,3.35,3.35,333,0
BWEN.US,5,20260126,181000,3.3487,3.36,3.3487,3.36,11024,0
BWEN.US,5,20260126,181500,3.36,3.37,3.36,3.37,3431,0
BWEN.US,5,20260126,182000,3.3708,3.38,3.37,3.378,895,0
BWEN.US,5,20260126,182500,3.38,3.38,3.38,3.38,1683,0
BWEN.US,5,20260126,183000,3.38,3.39,3.38,3.389,1900,0
BWEN.US,5,20260126,183500,3.39,3.39,3.39,3.39,501,0
BWEN.US,5,20260126,184000,3.3892,3.39,3.3892,3.39,600,0
BWEN.US,5,20260126,184500,3.4,3.4,3.4,3.4,100,0
BWEN.US,5,20260126,185000,3.39,3.39,3.39,3.39,400,0
BWEN.US,5,20260126,185500,3.39,3.39,3.39,3.39,369,0
BWEN.US,5,20260126,190500,3.38,3.39,3.375,3.39,2342,0
BWEN.US,5,20260126,191500,3.38,3.38,3.38,3.38,100,0
BWEN.US,5,20260126,192000,3.38,3.4,3.38,3.4,800,0
BWEN.US,5,20260126,192500,3.38,3.38,3.38,3.38,109,0
BWEN.US,5,20260126,193000,3.4,3.4,3.4,3.4,100,0
BWEN.US,5,20260126,193500,3.385,3.385,3.38,3.38,200,0
BWEN.US,5,20260126,194000,3.39,3.39,3.3792,3.3792,200,0
BWEN.US,5,20260126,195000,3.3746,3.38,3.3746,3.38,700,0
BWEN.US,5,20260126,195500,3.39,3.39,3.39,3.39,100,0
BWEN.US,5,20260126,200000,3.375,3.375,3.37,3.37,500,0
BWEN.US,5,20260126,200500,3.39,3.4,3.38,3.4,1400,0
BWEN.US,5,20260126,201000,3.4,3.4,3.4,3.4,300,0
BWEN.US,5,20260126,201500,3.4,3.4,3.39,3.39,2444,0
BWEN.US,5,20260126,202000,3.3892,3.3892,3.375,3.375,1525,0
BWEN.US,5,20260126,202500,3.39,3.39,3.39,3.39,100,0
BWEN.US,5,20260126,203000,3.375,3.375,3.375,3.375,100,0
BWEN.US,5,20260126,203500,3.37,3.37,3.36,3.36,308,0
BWEN.US,5,20260126,204000,3.356,3.37,3.356,3.37,382,0
BWEN.US,5,20260126,204500,3.35,3.36,3.35,3.36,300,0
BWEN.US,5,20260126,205500,3.34,3.34,3.32,3.33,424,0
BWEN.US,5,20260126,210000,3.323,3.35,3.323,3.35,4305,0
BWEN.US,5,20260126,210500,3.335,3.335,3.335,3.335,397,0
BWEN.US,5,20260126,211000,3.34,3.355,3.34,3.355,5321,0
BWEN.US,5,20260126,212000,3.3203,3.3203,3.3203,3.3203,100,0
BWEN.US,5,20260126,212500,3.35,3.35,3.3271,3.3271,300,0
BWEN.US,5,20260126,213500,3.345,3.345,3.3294,3.3294,229,0
BWEN.US,5,20260126,214000,3.345,3.345,3.345,3.345,200,0
BWEN.US,5,20260126,214500,3.345,3.345,3.345,3.345,100,0
BWEN.US,5,20260126,215000,3.3699,3.3699,3.33,3.35,3186,0
BWEN.US,5,20260126,215500,3.345,3.365,3.34,3.36,12193,0
BWEN.US,5,20260127,153000,3.39,3.39,3.3,3.303,20329,0
BWEN.US,5,20260127,153500,3.302,3.34,3.302,3.34,556,0
BWEN.US,5,20260127,154000,3.31,3.31,3.27,3.27,1400,0
BWEN.US,5,20260127,154500,3.28,3.28,3.28,3.28,100,0
BWEN.US,5,20260127,155000,3.28,3.285,3.28,3.285,300,0
BWEN.US,5,20260127,155500,3.3,3.3,3.3,3.3,4705,0
BWEN.US,5,20260127,160000,3.27,3.275,3.27,3.275,983,0
BWEN.US,5,20260127,160500,3.2601,3.2601,3.2101,3.225,9637,0
BWEN.US,5,20260127,161000,3.25,3.26,3.25,3.25,30566,0
BWEN.US,5,20260127,161500,3.26,3.26,3.26,3.26,200,0
BWEN.US,5,20260127,162000,3.25,3.25,3.25,3.25,943,0
BWEN.US,5,20260127,162500,3.24,3.24,3.24,3.24,200,0
BWEN.US,5,20260127,163000,3.24,3.24,3.24,3.24,100,0
BWEN.US,5,20260127,163500,3.24,3.2462,3.24,3.2462,672,0
BWEN.US,5,20260127,164000,3.2498,3.2498,3.2498,3.2498,500,0
BWEN.US,5,20260127,164500,3.2444,3.2444,3.24,3.24,200,0
BWEN.US,5,20260127,165000,3.241,3.241,3.233,3.24,1200,0
BWEN.US,5,20260127,165500,3.24,3.24,3.24,3.24,190,0
BWEN.US,5,20260127,170000,3.235,3.235,3.235,3.235,100,0
BWEN.US,5,20260127,170500,3.235,3.235,3.235,3.235,464,0
BWEN.US,5,20260127,171000,3.235,3.235,3.235,3.235,100,0
BWEN.US,5,20260127,172500,3.24,3.24,3.24,3.24,624,0
BWEN.US,5,20260127,173000,3.235,3.24,3.23,3.24,4016,0
BWEN.US,5,20260127,173500,3.2354,3.24,3.2354,3.24,869,0
BWEN.US,5,20260127,174000,3.2343,3.24,3.2343,3.2392,2400,0
BWEN.US,5,20260127,174500,3.235,3.24,3.235,3.24,400,0
BWEN.US,5,20260127,175000,3.241,3.241,3.24,3.24,1225,0
BWEN.US,5,20260127,175500,3.24,3.24,3.24,3.24,100,0
BWEN.US,5,20260127,180000,3.24,3.24,3.24,3.24,100,0
BWEN.US,5,20260127,180500,3.23,3.23,3.23,3.23,100,0
BWEN.US,5,20260127,181000,3.23,3.26,3.2,3.24,20419,0
BWEN.US,5,20260127,181500,3.215,3.24,3.215,3.24,1600,0
BWEN.US,5,20260127,182000,3.215,3.24,3.215,3.23,6438,0
BWEN.US,5,20260127,182500,3.225,3.24,3.225,3.24,600,0
BWEN.US,5,20260127,183000,3.225,3.25,3.225,3.225,7103,0
BWEN.US,5,20260127,183500,3.24,3.24,3.225,3.225,1400,0
BWEN.US,5,20260127,184500,3.225,3.225,3.225,3.225,100,0
BWEN.US,5,20260127,185000,3.21,3.25,3.21,3.215,7927,0
BWEN.US,5,20260127,185500,3.23,3.23,3.23,3.23,200,0
BWEN.US,5,20260127,190000,3.23,3.23,3.23,3.23,300,0
BWEN.US,5,20260127,190500,3.22,3.22,3.22,3.22,100,0
BWEN.US,5,20260127,191500,3.2199,3.2199,3.2199,3.2199,400,0
BWEN.US,5,20260127,192500,3.2,3.2,3.2,3.2,100,0
BWEN.US,5,20260127,193000,3.22,3.23,3.22,3.23,400,0
