<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BZ.US,5,20260126,153000,19.29,19.29,18.98,19.15,39749,0
BZ.US,5,20260126,153500,19.17,19.18,19.08,19.1125,14632,0
BZ.US,5,20260126,154000,19.12,19.16,19.12,19.14,12295,0
BZ.US,5,20260126,154500,19.1306,19.15,19.05,19.06,14436,0
BZ.US,5,20260126,155000,19.075,19.145,19.03,19.145,33287,0
BZ.US,5,20260126,155500,19.145,19.165,19.1,19.14,8169,0
BZ.US,5,20260126,160000,19.16,19.23,19.14,19.215,19239,0
BZ.US,5,20260126,160500,19.2,19.21,19.17,19.19,10181,0
BZ.US,5,20260126,161000,19.19,19.19,19.11,19.17,110513,0
BZ.US,5,20260126,161500,19.16,19.16,19.1,19.125,9511,0
BZ.US,5,20260126,162000,19.125,19.125,19.07,19.105,18134,0
BZ.US,5,20260126,162500,19.09,19.16,19.07,19.13,45053,0
BZ.US,5,20260126,163000,19.13,19.16,19.13,19.155,4837,0
BZ.US,5,20260126,163500,19.15,19.15,19.12,19.15,5960,0
BZ.US,5,20260126,164000,19.15,19.17,19.12,19.14,16948,0
BZ.US,5,20260126,164500,19.14,19.1424,19.11,19.11,6121,0
BZ.US,5,20260126,165000,19.13,19.145,19.12,19.13,7877,0
BZ.US,5,20260126,165500,19.13,19.135,19.115,19.115,9526,0
BZ.US,5,20260126,170000,19.11,19.11,19.08,19.09,7056,0
BZ.US,5,20260126,170500,19.09,19.1,19.08,19.09,9787,0
BZ.US,5,20260126,171000,19.1,19.1,19.08,19.09,6779,0
BZ.US,5,20260126,171500,19.08,19.08,19.04,19.04,6622,0
BZ.US,5,20260126,172000,19.04,19.06,19.03,19.04,4661,0
BZ.US,5,20260126,172500,19.05,19.05,19.04,19.04,3019,0
BZ.US,5,20260126,173000,19.05,19.055,19.01,19.03,19747,0
BZ.US,5,20260126,173500,19.03,19.05,19.03,19.04,3186,0
BZ.US,5,20260126,174000,19.04,19.04,19.03,19.03,1661,0
BZ.US,5,20260126,174500,19.03,19.03,19.01,19.015,2487,0
BZ.US,5,20260126,175000,19.015,19.035,19.015,19.025,7560,0
BZ.US,5,20260126,175500,19.02,19.023,19.01,19.015,7908,0
BZ.US,5,20260126,180000,19.015,19.05,19.015,19.03,7777,0
BZ.US,5,20260126,180500,19.03,19.05,19.01,19.01,18374,0
BZ.US,5,20260126,181000,19.02,19.02,19,19.01,101118,0
BZ.US,5,20260126,181500,19.015,19.06,19.015,19.055,2614,0
BZ.US,5,20260126,182000,19.06,19.06,19.035,19.04,5220,0
BZ.US,5,20260126,182500,19.04,19.05,19.03,19.04,6729,0
BZ.US,5,20260126,183000,19.035,19.0548,19.035,19.04,5310,0
BZ.US,5,20260126,183500,19.045,19.075,19.04,19.065,13320,0
BZ.US,5,20260126,184000,19.07,19.07,19.05,19.05,7299,0
BZ.US,5,20260126,184500,19.06,19.06,19.04,19.05,3033,0
BZ.US,5,20260126,185000,19.06,19.07,19.04,19.04,4697,0
BZ.US,5,20260126,185500,19.03,19.055,19.03,19.055,2488,0
BZ.US,5,20260126,190000,19.05,19.07,19.04,19.04,5856,0
BZ.US,5,20260126,190500,19.045,19.06,19.045,19.05,2370,0
BZ.US,5,20260126,191000,19.05,19.055,19.04,19.04,748,0
BZ.US,5,20260126,191500,19.035,19.045,19.02,19.02,3708,0
BZ.US,5,20260126,192000,19.02,19.02,19,19,4782,0
BZ.US,5,20260126,192500,19.0091,19.015,19,19.005,24346,0
BZ.US,5,20260126,193000,19.005,19.015,19,19,10539,0
BZ.US,5,20260126,193500,19,19.015,18.98,18.99,10084,0
BZ.US,5,20260126,194000,18.99,19.005,18.985,19,10007,0
BZ.US,5,20260126,194500,19.005,19.005,19,19,400,0
BZ.US,5,20260126,195000,19.005,19.005,19,19,987,0
BZ.US,5,20260126,195500,19,19.005,19,19,4609,0
BZ.US,5,20260126,200000,19,19.015,18.99,19,19157,0
BZ.US,5,20260126,200500,18.995,19,18.99,18.99,3119,0
BZ.US,5,20260126,201000,19,19.01,19,19.005,15458,0
BZ.US,5,20260126,201500,19.005,19.005,18.995,19,8922,0
BZ.US,5,20260126,202000,19,19.01,18.99,19,9909,0
BZ.US,5,20260126,202500,19,19.005,19,19,4429,0
BZ.US,5,20260126,203000,19,19.01,19,19,3187,0
BZ.US,5,20260126,203500,19.005,19.005,18.995,19.005,19011,0
BZ.US,5,20260126,204000,19,19.005,18.99,19.005,14020,0
BZ.US,5,20260126,204500,19,19,18.98,18.99,112375,0
BZ.US,5,20260126,205000,18.99,19.025,18.98,19.015,17759,0
BZ.US,5,20260126,205500,19.03,19.05,19.01,19.045,42642,0
BZ.US,5,20260126,210000,19.045,19.045,19.01,19.035,44878,0
BZ.US,5,20260126,210500,19.03,19.07,19,19.04,163878,0
BZ.US,5,20260126,211000,19.04,19.06,19.02,19.06,76868,0
BZ.US,5,20260126,211500,19.05,19.08,19.04,19.06,44880,0
BZ.US,5,20260126,212000,19.055,19.06,19.03,19.06,10946,0
BZ.US,5,20260126,212500,19.03,19.045,19.01,19.02,9529,0
BZ.US,5,20260126,213000,19.01,19.03,18.97,19.02,52390,0
BZ.US,5,20260126,213500,19.02,19.06,19,19.01,111412,0
BZ.US,5,20260126,214000,19.015,19.02,19,19,49124,0
BZ.US,5,20260126,214500,19,19.005,19,19,11261,0
BZ.US,5,20260126,215000,19,19.02,18.95,18.995,294728,0
BZ.US,5,20260126,215500,19,19.025,18.96,18.993,706576,0
BZ.US,5,20260127,153000,19.09,19.14,18.955,19.07,48330,0
BZ.US,5,20260127,153500,19.08,19.12,19.03,19.11,44399,0
BZ.US,5,20260127,154000,19.11,19.21,19.1,19.21,86930,0
BZ.US,5,20260127,154500,19.21,19.31,19.12,19.31,114076,0
BZ.US,5,20260127,155000,19.31,19.43,19.3,19.3601,74273,0
BZ.US,5,20260127,155500,19.3602,19.3602,19.19,19.21,47676,0
BZ.US,5,20260127,160000,19.195,19.38,19.195,19.36,89488,0
BZ.US,5,20260127,160500,19.35,19.35,19.3,19.345,24490,0
BZ.US,5,20260127,161000,19.345,19.37,19.315,19.325,32935,0
BZ.US,5,20260127,161500,19.325,19.34,19.235,19.25,23405,0
BZ.US,5,20260127,162000,19.25,19.265,19.195,19.245,13150,0
BZ.US,5,20260127,162500,19.245,19.25,19.16,19.225,185339,0
BZ.US,5,20260127,163000,19.225,19.23,19.17,19.17,11255,0
BZ.US,5,20260127,163500,19.18,19.19,19.165,19.18,8667,0
BZ.US,5,20260127,164000,19.18,19.18,19.155,19.175,14593,0
BZ.US,5,20260127,164500,19.17,19.2,19.145,19.2,10689,0
BZ.US,5,20260127,165000,19.195,19.245,19.195,19.2,21463,0
BZ.US,5,20260127,165500,19.19,19.23,19.18,19.22,12249,0
BZ.US,5,20260127,170000,19.215,19.22,19.205,19.215,10156,0
BZ.US,5,20260127,170500,19.215,19.225,19.195,19.205,22753,0
BZ.US,5,20260127,171000,19.205,19.21,19.19,19.2,12416,0
BZ.US,5,20260127,171500,19.2,19.2,19.19,19.2,12359,0
BZ.US,5,20260127,172000,19.2,19.215,19.18,19.21,23855,0
BZ.US,5,20260127,172500,19.205,19.215,19.18,19.19,14902,0
BZ.US,5,20260127,173000,19.195,19.2,19.19,19.195,4529,0
BZ.US,5,20260127,173500,19.195,19.2,19.17,19.17,25240,0
BZ.US,5,20260127,174000,19.175,19.19,19.17,19.185,6519,0
BZ.US,5,20260127,174500,19.18,19.18,19.14,19.145,12479,0
BZ.US,5,20260127,175000,19.145,19.145,19.105,19.115,11989,0
