<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAII.US,5,20260622,155500,9.92,9.92,9.9,9.9,25000,0
CAII.US,5,20260622,161000,9.95,9.95,9.95,9.95,100,0
CAII.US,5,20260622,173500,9.92,9.92,9.92,9.92,400,0
CAII.US,5,20260622,175500,9.94,9.94,9.94,9.94,429,0
CAII.US,5,20260622,180500,9.94,9.94,9.94,9.94,1500,0
CAII.US,5,20260622,190500,9.93,9.93,9.93,9.93,500,0
CAII.US,5,20260622,192500,9.93,9.93,9.93,9.93,10000,0
CAII.US,5,20260622,193000,9.93,9.93,9.93,9.93,500,0
CAII.US,5,20260622,195000,9.93,9.93,9.93,9.93,500,0
CAII.US,5,20260622,203000,9.93,9.93,9.93,9.93,500,0
CAII.US,5,20260622,204000,9.93,9.93,9.93,9.93,2000,0
CAII.US,5,20260622,210000,9.93,9.93,9.93,9.93,100,0
CAII.US,5,20260622,211500,9.93,9.93,9.93,9.93,1000,0
CAII.US,5,20260622,213000,9.92,9.93,9.92,9.93,3400,0
CAII.US,5,20260622,214000,9.93,9.93,9.93,9.93,1500,0
CAII.US,5,20260622,215500,9.93,9.93,9.93,9.93,3500,0
