<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAST.US,5,20260310,163500,33,33,29.7229,29.7229,368,0
CAST.US,5,20260310,165000,30,33,30,33,300,0
CAST.US,5,20260310,170500,24,24,24,24,721,0
CAST.US,5,20260310,174000,13,13,11.24,11.24,5089,0
CAST.US,5,20260310,175000,9.88,10.11,8.08,9.2,14764,0
CAST.US,5,20260310,175500,9.3899,9.77,9.3899,9.77,1959,0
CAST.US,5,20260310,180000,10,11,10,11,13868,0
CAST.US,5,20260310,180500,11.54,13.4,11.45,13.4,15764,0
CAST.US,5,20260310,181000,12.4,13,11.275,11.57,15527,0
CAST.US,5,20260310,181500,12,12.8,11,11.51,12232,0
CAST.US,5,20260310,182000,11.9196,12.1999,11.04,11.9,8845,0
CAST.US,5,20260310,182500,11.7101,11.7101,11,11.5899,5069,0
CAST.US,5,20260310,183000,11,11,10.19,10.19,1695,0
CAST.US,5,20260310,183500,10.3,11,10,10.52,11043,0
CAST.US,5,20260310,184000,10.52,11,9.7801,10,34025,0
CAST.US,5,20260310,184500,10.015,10.015,9.3,9.3,2957,0
CAST.US,5,20260310,185000,9.1,9.1,8.59,8.59,1015,0
CAST.US,5,20260310,185500,8.6,10,8.6,9.25,3510,0
CAST.US,5,20260310,190000,9.25,9.35,8.6,9.25,5115,0
CAST.US,5,20260310,190500,8.91,9.4999,8.91,9.4999,2822,0
CAST.US,5,20260310,191000,9.0049,9.4945,9.0049,9.4945,673,0
CAST.US,5,20260310,191500,9.41,9.41,8.45,8.45,1872,0
CAST.US,5,20260310,192000,8.12,8.5,7.885,8.02,6929,0
CAST.US,5,20260310,192500,8.02,8.35,7.5001,7.5001,10188,0
CAST.US,5,20260310,193000,7.53,8.62,7.3,8.62,10205,0
CAST.US,5,20260310,193500,9,9,8.62,8.62,6634,0
CAST.US,5,20260310,194000,8.7,8.9,7.78,7.78,15164,0
CAST.US,5,20260310,194500,8.66,8.8,8.05,8.5244,4965,0
CAST.US,5,20260310,195000,8.8999,9.64,8.8,9.1901,20873,0
CAST.US,5,20260310,195500,9.01,9.3,8.65,8.65,1938,0
CAST.US,5,20260310,200000,8.88,8.98,7.91,7.95,14783,0
CAST.US,5,20260310,200500,8.15,8.246,7.66,8.246,3857,0
CAST.US,5,20260310,201000,7.75,8.218,7.75,8.15,2889,0
CAST.US,5,20260310,201500,8.15,8.4944,8.15,8.4,676,0
CAST.US,5,20260310,202000,8.39,8.52,8.04,8.46,4791,0
CAST.US,5,20260310,202500,8.5,8.99,8.5,8.5,3937,0
CAST.US,5,20260310,203000,8.7125,9.4925,8.7125,9.2,3920,0
CAST.US,5,20260310,203500,9.4999,10,8.69,8.69,6393,0
CAST.US,5,20260310,204000,8.6,9.2,8.4,8.73,2850,0
CAST.US,5,20260310,204500,8.7375,8.95,8.5,8.73,9100,0
CAST.US,5,20260310,205000,8.8,9.2,8.75,8.9,10852,0
CAST.US,5,20260310,205500,8.8,9.2,8.77,8.86,20806,0
CAST.US,5,20260311,143000,9.14,9.3,8.51,8.51,8162,0
CAST.US,5,20260311,143500,8.6365,8.6365,8.6,8.63,1826,0
CAST.US,5,20260311,144000,8.64,8.8429,8.64,8.8429,1164,0
CAST.US,5,20260311,144500,9.18,9.3096,9.08,9.08,723,0
CAST.US,5,20260311,145000,9.2986,9.3,9.15,9.3,4409,0
CAST.US,5,20260311,145500,9.0615,9.1989,9.0615,9.1989,850,0
CAST.US,5,20260311,150000,9.2255,9.2255,8.9916,8.9916,1700,0
CAST.US,5,20260311,150500,8.87,8.87,8.87,8.87,100,0
CAST.US,5,20260311,151500,8.86,8.86,8.86,8.86,200,0
CAST.US,5,20260311,152000,8.6,8.6005,8.5,8.51,2248,0
CAST.US,5,20260311,152500,8.265,8.265,8.08,8.08,1772,0
CAST.US,5,20260311,153000,8.0527,8.0527,8.0527,8.0527,121,0
CAST.US,5,20260311,153500,8.0814,8.6,8.0814,8.58,3212,0
CAST.US,5,20260311,154000,8.45,8.45,8.45,8.45,296,0
CAST.US,5,20260311,154500,8.1,8.1,8.01,8.01,1100,0
CAST.US,5,20260311,155000,8.055,8.055,8.01,8.01,200,0
CAST.US,5,20260311,155500,8.1,8.21,8.065,8.065,1072,0
CAST.US,5,20260311,160500,8.44,8.44,8.44,8.44,212,0
CAST.US,5,20260311,161500,8.25,8.25,8.25,8.25,100,0
CAST.US,5,20260311,162000,8.14,8.2,8.06,8.0601,3010,0
CAST.US,5,20260311,164000,8.01,8.01,8.01,8.01,175,0
CAST.US,5,20260311,165000,8.22,8.4218,8.15,8.15,690,0
CAST.US,5,20260311,170500,8.05,8.06,8.05,8.06,735,0
CAST.US,5,20260311,171000,8.0001,8.0001,8.0001,8.0001,500,0
CAST.US,5,20260311,172000,8.2199,8.2199,8,8,5464,0
CAST.US,5,20260311,172500,8,8,7.8,7.8,815,0
CAST.US,5,20260311,173000,7.8,7.97,7.8,7.97,1362,0
CAST.US,5,20260311,174500,7.8,7.81,7.8,7.8001,1060,0
CAST.US,5,20260311,175000,7.8001,7.8001,7.6501,7.6501,8058,0
CAST.US,5,20260311,180500,7.835,7.835,7.6853,7.71,468,0
CAST.US,5,20260311,181500,7.8086,7.8086,7.8086,7.8086,3072,0
CAST.US,5,20260311,182000,7.755,7.83,7.755,7.83,1250,0
CAST.US,5,20260311,182500,7.83,7.83,7.8151,7.8151,225,0
CAST.US,5,20260311,183000,7.82,7.82,7.8,7.8199,616,0
CAST.US,5,20260311,183500,7.745,7.78,7.745,7.76,300,0
CAST.US,5,20260311,184000,7.76,7.82,7.76,7.82,667,0
CAST.US,5,20260311,184500,7.76,7.76,7.75,7.76,600,0
CAST.US,5,20260311,185000,7.71,7.8096,7.71,7.8096,390,0
CAST.US,5,20260311,185500,7.6801,7.76,7.68,7.76,1298,0
CAST.US,5,20260311,190000,7.8099,7.8099,7.8099,7.8099,100,0
CAST.US,5,20260311,191000,7.7669,7.7669,7.76,7.76,200,0
CAST.US,5,20260311,191500,7.8,7.8,7.76,7.76,630,0
CAST.US,5,20260311,192000,7.8,7.8,7.8,7.8,100,0
CAST.US,5,20260311,192500,7.7377,7.7377,7.71,7.71,248,0
CAST.US,5,20260311,193000,7.68,7.77,7.67,7.67,516,0
CAST.US,5,20260311,193500,7.735,7.7476,7.65,7.7476,355,0
CAST.US,5,20260311,194000,7.6,7.67,7.6,7.67,300,0
CAST.US,5,20260311,195000,7.65,7.74,7.65,7.655,450,0
CAST.US,5,20260311,195500,7.5601,7.655,7.5601,7.655,384,0
CAST.US,5,20260311,201500,7.55,7.56,7.54,7.54,1617,0
CAST.US,5,20260311,202000,7.5,7.54,7.44,7.5392,2196,0
CAST.US,5,20260311,202500,7.53,7.54,7.53,7.54,2553,0
CAST.US,5,20260311,203000,7.53,7.53,7.53,7.53,340,0
CAST.US,5,20260311,203500,7.59,7.75,7.59,7.725,8243,0
CAST.US,5,20260311,204000,7.8,7.815,7.57,7.6,4667,0
CAST.US,5,20260311,204500,7.6,7.765,7.5857,7.765,7374,0
CAST.US,5,20260311,205000,7.83,7.98,7.79,7.97,10727,0
CAST.US,5,20260311,205500,7.99,8,7.8515,8,4196,0
CAST.US,5,20260312,143000,7.6,7.6,7.1,7.215,19895,0
CAST.US,5,20260312,143500,7.24,7.6473,7.2001,7.6473,3465,0
CAST.US,5,20260312,144000,7.65,8.33,7.575,8.33,8423,0
CAST.US,5,20260312,144500,8.17,8.2,8.17,8.17,1105,0
CAST.US,5,20260312,145000,8.1897,9.3636,8.1897,9.0698,32138,0
CAST.US,5,20260312,145500,9.07,9.1,8.2,8.35,15058,0
CAST.US,5,20260312,150000,8.35,8.35,8.2397,8.26,1074,0
CAST.US,5,20260312,150500,8.48,8.48,8.21,8.305,4227,0
CAST.US,5,20260312,151000,8.3,8.3,8.29,8.3,1000,0
CAST.US,5,20260312,151500,8.3,8.3,7.61,7.8,3760,0
CAST.US,5,20260312,152000,7.8,8.39,7.8,8.39,1639,0
CAST.US,5,20260312,152500,8.24,8.8,8.2301,8.405,16719,0
CAST.US,5,20260312,153000,8.5,8.5,8.4001,8.41,4300,0
CAST.US,5,20260312,153500,8.45,8.45,8.0101,8.14,2798,0
CAST.US,5,20260312,154000,8.14,8.2,8.14,8.2,1488,0
CAST.US,5,20260312,154500,8.19,8.19,8.19,8.19,100,0
CAST.US,5,20260312,155000,8.24,8.53,8.24,8.415,3509,0
