<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBAN.US,5,20260126,153000,18.65,18.65,18.65,18.65,100,0
CBAN.US,5,20260126,154000,18.97,18.97,18.66,18.715,500,0
CBAN.US,5,20260126,154500,18.88,19.28,18.88,19.28,200,0
CBAN.US,5,20260126,155500,18.9,18.935,18.68,18.75,7248,0
CBAN.US,5,20260126,160000,18.62,18.76,18.62,18.76,200,0
CBAN.US,5,20260126,160500,18.76,18.76,18.76,18.76,100,0
CBAN.US,5,20260126,163000,18.62,18.62,18.62,18.62,100,0
CBAN.US,5,20260126,164000,18.63,18.66,18.6,18.61,1792,0
CBAN.US,5,20260126,164500,18.67,18.68,18.67,18.68,626,0
CBAN.US,5,20260126,165000,18.66,18.66,18.66,18.66,300,0
CBAN.US,5,20260126,171500,18.46,18.66,18.46,18.66,2698,0
CBAN.US,5,20260126,172000,18.51,18.58,18.505,18.58,400,0
CBAN.US,5,20260126,172500,18.505,18.505,18.505,18.505,100,0
CBAN.US,5,20260126,173000,18.63,18.63,18.63,18.63,100,0
CBAN.US,5,20260126,174500,18.51,18.53,18.5,18.53,3463,0
CBAN.US,5,20260126,175000,18.4501,18.4501,18.4501,18.4501,542,0
CBAN.US,5,20260126,175500,18.54,18.55,18.54,18.55,252,0
CBAN.US,5,20260126,180000,18.5499,18.5499,18.5499,18.5499,542,0
CBAN.US,5,20260126,180500,18.55,18.55,18.54,18.55,415,0
CBAN.US,5,20260126,181000,18.55,18.565,18.55,18.565,200,0
CBAN.US,5,20260126,183000,18.58,18.58,18.51,18.58,400,0
CBAN.US,5,20260126,183500,18.51,18.51,18.4801,18.4801,741,0
CBAN.US,5,20260126,184500,18.52,18.52,18.516,18.516,226,0
CBAN.US,5,20260126,185000,18.48,18.4827,18.41,18.4827,1039,0
CBAN.US,5,20260126,190500,18.49,18.49,18.49,18.49,100,0
CBAN.US,5,20260126,191500,18.5,18.6199,18.5,18.52,1516,0
CBAN.US,5,20260126,193000,18.54,18.54,18.54,18.54,300,0
CBAN.US,5,20260126,193500,18.48,18.52,18.48,18.52,700,0
CBAN.US,5,20260126,194000,18.565,18.565,18.565,18.565,154,0
CBAN.US,5,20260126,200000,18.55,18.55,18.55,18.55,200,0
CBAN.US,5,20260126,200500,18.545,18.56,18.545,18.56,200,0
CBAN.US,5,20260126,201000,18.6,18.61,18.6,18.61,200,0
CBAN.US,5,20260126,203000,18.625,18.68,18.625,18.645,300,0
CBAN.US,5,20260126,203500,18.6922,18.6922,18.6922,18.6922,262,0
CBAN.US,5,20260126,204500,18.565,18.67,18.565,18.61,700,0
CBAN.US,5,20260126,205000,18.65,18.65,18.65,18.65,100,0
CBAN.US,5,20260126,205500,18.645,18.645,18.645,18.645,100,0
CBAN.US,5,20260126,210000,18.67,18.68,18.67,18.68,200,0
CBAN.US,5,20260126,210500,18.71,18.76,18.71,18.71,500,0
CBAN.US,5,20260126,211000,18.71,18.71,18.71,18.71,250,0
CBAN.US,5,20260126,211500,18.71,18.71,18.71,18.71,100,0
CBAN.US,5,20260126,212500,18.65,18.65,18.65,18.65,200,0
CBAN.US,5,20260126,213000,18.66,18.66,18.66,18.66,100,0
CBAN.US,5,20260126,213500,18.66,18.66,18.66,18.66,100,0
CBAN.US,5,20260126,214000,18.65,18.67,18.65,18.67,300,0
CBAN.US,5,20260126,214500,18.69,18.69,18.67,18.67,800,0
CBAN.US,5,20260126,215000,18.69,18.7,18.601,18.61,10533,0
CBAN.US,5,20260126,215500,18.6,18.61,18.551,18.59,17743,0
CBAN.US,5,20260127,153000,18.5362,18.74,18.529,18.69,3300,0
CBAN.US,5,20260127,153500,18.68,18.68,18.68,18.68,100,0
CBAN.US,5,20260127,154000,18.7,18.74,18.7,18.74,479,0
CBAN.US,5,20260127,155000,18.68,18.68,18.68,18.68,100,0
CBAN.US,5,20260127,155500,18.55,18.61,18.55,18.61,300,0
CBAN.US,5,20260127,161500,18.62,18.62,18.605,18.605,1000,0
CBAN.US,5,20260127,162000,18.645,18.645,18.645,18.645,100,0
CBAN.US,5,20260127,163000,18.6,18.6,18.6,18.6,100,0
CBAN.US,5,20260127,172000,18.59,18.59,18.59,18.59,100,0
CBAN.US,5,20260127,173000,18.55,18.58,18.55,18.58,200,0
CBAN.US,5,20260127,175000,18.555,18.555,18.555,18.555,130,0
CBAN.US,5,20260127,180000,18.55,18.55,18.55,18.55,100,0
CBAN.US,5,20260127,182000,18.52,18.52,18.52,18.52,100,0
CBAN.US,5,20260127,183000,18.52,18.54,18.52,18.54,204,0
CBAN.US,5,20260127,183500,18.53,18.54,18.53,18.54,818,0
CBAN.US,5,20260127,185000,18.55,18.55,18.55,18.55,100,0
CBAN.US,5,20260127,185500,18.56,18.56,18.56,18.56,100,0
CBAN.US,5,20260127,190500,18.53,18.53,18.51,18.51,1717,0
CBAN.US,5,20260127,191000,18.56,18.56,18.56,18.56,100,0
CBAN.US,5,20260127,192000,18.5348,18.6,18.5348,18.6,1531,0
CBAN.US,5,20260127,192500,18.625,18.625,18.62,18.62,200,0
CBAN.US,5,20260127,194000,18.62,18.62,18.62,18.62,200,0
CBAN.US,5,20260127,194500,18.5689,18.5689,18.5689,18.5689,296,0
CBAN.US,5,20260127,195000,18.56,18.57,18.5139,18.5139,1051,0
CBAN.US,5,20260127,195500,18.57,18.57,18.53,18.54,850,0
CBAN.US,5,20260127,201000,18.535,18.535,18.535,18.535,285,0
CBAN.US,5,20260127,203500,18.535,18.535,18.49,18.4911,1248,0
CBAN.US,5,20260127,204000,18.53,18.5698,18.53,18.565,1314,0
CBAN.US,5,20260127,210500,18.57,18.57,18.57,18.57,100,0
CBAN.US,5,20260127,211000,18.57,18.57,18.57,18.57,100,0
