<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CELUW.US,5,20260128,161500,0.0161,0.0161,0.0161,0.0161,200,0
CELUW.US,5,20260128,180000,0.0161,0.0161,0.0161,0.0161,100,0
CELUW.US,5,20260128,214500,0.0186,0.0186,0.0185,0.0185,400,0
CELUW.US,5,20260129,163500,0.0145,0.0145,0.0145,0.0145,250,0
CELUW.US,5,20260129,182000,0.0183,0.0183,0.0182,0.0182,400,0
CELUW.US,5,20260130,165000,0.0132,0.0145,0.0074,0.0074,43243,0
CELUW.US,5,20260130,165500,0.0077,0.0078,0.0077,0.0078,1300,0
CELUW.US,5,20260130,170000,0.009,0.009,0.009,0.009,100,0
CELUW.US,5,20260130,170500,0.009,0.01,0.009,0.0095,800,0
CELUW.US,5,20260130,171000,0.0097,0.01,0.0096,0.01,10632,0
CELUW.US,5,20260130,171500,0.0109,0.0109,0.0106,0.0106,1300,0
CELUW.US,5,20260130,172500,0.0111,0.0111,0.01,0.01,40266,0
CELUW.US,5,20260130,173500,0.0088,0.0089,0.0088,0.0089,1000,0
CELUW.US,5,20260130,174000,0.009,0.0092,0.009,0.00919,2000,0
CELUW.US,5,20260130,174500,0.0099,0.0099,0.0089,0.0093,10800,0
CELUW.US,5,20260130,175000,0.01,0.01,0.0088,0.009,30200,0
CELUW.US,5,20260130,180000,0.0094,0.01,0.0094,0.00975,500,0
CELUW.US,5,20260130,183000,0.0095,0.01,0.009,0.01,9100,0
CELUW.US,5,20260130,183500,0.0091,0.01,0.009,0.009,6830,0
CELUW.US,5,20260130,184000,0.00945,0.01,0.0093,0.01,3000,0
CELUW.US,5,20260130,190000,0.01,0.01,0.01,0.01,100,0
CELUW.US,5,20260130,190500,0.01,0.01,0.0093,0.0093,2100,0
CELUW.US,5,20260130,193500,0.01,0.01,0.01,0.01,100,0
CELUW.US,5,20260130,202500,0.01,0.01,0.0088,0.0099,4160,0
CELUW.US,5,20260130,203000,0.01,0.01,0.0092,0.0092,10200,0
CELUW.US,5,20260130,204500,0.0094,0.0094,0.0094,0.0094,100,0
CELUW.US,5,20260130,205500,0.01,0.01,0.0099,0.01,800,0
CELUW.US,5,20260130,210000,0.01,0.01,0.0088,0.0088,14700,0
CELUW.US,5,20260130,210500,0.01,0.01,0.0099,0.0099,200,0
CELUW.US,5,20260130,214000,0.01,0.01,0.01,0.01,100,0
CELUW.US,5,20260130,214500,0.00876,0.0093,0.00876,0.0093,200,0
CELUW.US,5,20260202,155500,0.0131,0.0131,0.0131,0.0131,3000,0
CELUW.US,5,20260202,164000,0.009,0.009,0.009,0.009,800,0
CELUW.US,5,20260202,164500,0.01,0.01,0.0089,0.0089,900,0
CELUW.US,5,20260202,170000,0.01,0.01,0.0099,0.0099,600,0
CELUW.US,5,20260202,170500,0.01,0.0114,0.01,0.01,2500,0
CELUW.US,5,20260202,194500,0.0115,0.0131,0.0115,0.0131,822,0
CELUW.US,5,20260202,195000,0.0131,0.0131,0.013,0.013,2000,0
CELUW.US,5,20260202,212000,0.013,0.0131,0.013,0.0131,1100,0
CELUW.US,5,20260203,155000,0.0129,0.013,0.0129,0.013,200,0
CELUW.US,5,20260203,172500,0.013,0.013,0.0129,0.0129,300,0
CELUW.US,5,20260203,175000,0.013,0.013,0.0129,0.0129,280,0
CELUW.US,5,20260203,211500,0.0085,0.0085,0.008,0.008,3000,0
CELUW.US,5,20260204,153000,0.0082,0.0131,0.0082,0.013001,1150,0
CELUW.US,5,20260204,161500,0.0099,0.01,0.0099,0.0099,970,0
CELUW.US,5,20260204,162000,0.0091,0.0091,0.0082,0.0082,1130,0
CELUW.US,5,20260204,163500,0.0091,0.0091,0.0083,0.0083,1250,0
CELUW.US,5,20260204,174500,0.01,0.01,0.0099,0.0099,1300,0
CELUW.US,5,20260204,180500,0.01,0.01,0.01,0.01,100,0
CELUW.US,5,20260204,203000,0.01,0.01,0.01,0.01,100,0
CELUW.US,5,20260205,160500,0.011,0.0121,0.011,0.0121,1230,0
CELUW.US,5,20260205,162500,0.011,0.0111,0.0085,0.0086,41200,0
CELUW.US,5,20260205,163000,0.0083,0.01,0.0083,0.01,2000,0
CELUW.US,5,20260205,163500,0.0083,0.0084,0.0083,0.0084,500,0
CELUW.US,5,20260205,164500,0.01,0.01,0.0099,0.0099,636,0
CELUW.US,5,20260205,170000,0.01,0.01,0.01,0.01,100,0
CELUW.US,5,20260205,170500,0.00964,0.00964,0.00964,0.00964,188,0
CELUW.US,5,20260205,173500,0.01,0.01,0.0084,0.0084,12927,0
CELUW.US,5,20260205,174000,0.0085,0.0085,0.0081,0.0082,14427,0
CELUW.US,5,20260205,181500,0.0082,0.0082,0.0082,0.0082,200,0
CELUW.US,5,20260205,184000,0.0082,0.0083,0.0082,0.0083,200,0
CELUW.US,5,20260206,155000,0.00904,0.00904,0.00904,0.00904,506,0
CELUW.US,5,20260206,181500,0.0104,0.0104,0.0104,0.0104,250,0
CELUW.US,5,20260209,174500,0.0105,0.0122,0.0088,0.0122,1800,0
CELUW.US,5,20260209,175000,0.0088,0.0121,0.0088,0.0121,500,0
CELUW.US,5,20260210,160000,0.0084,0.0084,0.0084,0.0084,6000,0
CELUW.US,5,20260210,160500,0.0081,0.0081,0.0081,0.0081,100,0
CELUW.US,5,20260210,161000,0.0084,0.0084,0.0083,0.0083,8000,0
CELUW.US,5,20260210,163500,0.0108,0.0108,0.0108,0.0108,750,0
CELUW.US,5,20260212,174500,0.0081,0.0081,0.0081,0.0081,11694,0
CELUW.US,5,20260212,180000,0.0077,0.0081,0.0077,0.0081,11600,0
CELUW.US,5,20260212,181000,0.0078,0.0078,0.0077,0.0077,12412,0
CELUW.US,5,20260212,181500,0.0077,0.0078,0.0077,0.0077,6500,0
CELUW.US,5,20260212,182000,0.0077,0.0078,0.0077,0.0077,14929,0
CELUW.US,5,20260212,185500,0.0077,0.0077,0.0077,0.0077,3177,0
CELUW.US,5,20260212,203500,0.0077,0.0086,0.0077,0.0086,1700,0
CELUW.US,5,20260212,204000,0.0079,0.0088,0.0077,0.0087,2300,0
CELUW.US,5,20260212,211000,0.0085,0.0085,0.0076,0.0085,2300,0
CELUW.US,5,20260212,212500,0.0076,0.0077,0.0076,0.0076,1900,0
CELUW.US,5,20260212,213000,0.0085,0.0085,0.0065,0.0065,1363,0
CELUW.US,5,20260212,214000,0.0066,0.0066,0.0066,0.0066,600,0
CELUW.US,5,20260212,215000,0.0073,0.0073,0.0073,0.0073,100,0
CELUW.US,5,20260212,215500,0.0068,0.0068,0.0068,0.0068,400,0
CELUW.US,5,20260213,193000,0.007,0.007,0.007,0.007,10000,0
CELUW.US,5,20260218,174500,0.0071,0.0071,0.007,0.007,4944,0
CELUW.US,5,20260218,181000,0.007,0.007,0.007,0.007,2000,0
CELUW.US,5,20260219,190500,0.0099,0.01,0.007,0.007,3315,0
CELUW.US,5,20260219,191000,0.007,0.0071,0.007,0.007,5650,0
CELUW.US,5,20260219,192000,0.007,0.007,0.0067,0.0067,12214,0
CELUW.US,5,20260220,210000,0.0091,0.0091,0.009,0.009,400,0
CELUW.US,5,20260223,160500,0.0067,0.0067,0.0067,0.0067,500,0
CELUW.US,5,20260224,194000,0.0069,0.0069,0.0069,0.0069,4624,0
CELUW.US,5,20260225,175000,0.0087,0.0087,0.0087,0.0087,1000,0
CELUW.US,5,20260226,161500,0.0088,0.0099,0.0088,0.0098,900,0
CELUW.US,5,20260227,182500,0.007,0.007,0.007,0.007,145,0
CELUW.US,5,20260302,214500,0.00845,0.00845,0.00845,0.00845,100,0
CELUW.US,5,20260304,164000,0.0072,0.0072,0.0072,0.0072,1000,0
CELUW.US,5,20260304,170000,0.0081,0.0081,0.0081,0.0081,100,0
CELUW.US,5,20260304,204500,0.0075,0.01,0.0075,0.01,16800,0
CELUW.US,5,20260304,205000,0.0072,0.0072,0.0072,0.0072,200,0
CELUW.US,5,20260304,205500,0.01,0.01,0.01,0.01,11600,0
CELUW.US,5,20260304,210000,0.0074,0.0075,0.0074,0.0074,1100,0
CELUW.US,5,20260304,215000,0.0099,0.01,0.0099,0.01,49918,0
CELUW.US,5,20260304,215500,0.0075,0.0075,0.0074,0.0074,3400,0
CELUW.US,5,20260305,153000,0.0075,0.0075,0.0075,0.0075,600,0
CELUW.US,5,20260305,215500,0.0087,0.0087,0.0087,0.0087,5000,0
CELUW.US,5,20260316,152500,0.0077,0.0077,0.0077,0.0077,10000,0
CELUW.US,5,20260317,152500,0.0097,0.0097,0.0097,0.0097,2945,0
CELUW.US,5,20260317,193000,0.0079,0.0079,0.0079,0.0079,1000,0
CELUW.US,5,20260317,195000,0.0094,0.0094,0.0094,0.0094,100,0
CELUW.US,5,20260318,170000,0.0079,0.0079,0.0079,0.0079,300,0
CELUW.US,5,20260318,170500,0.008,0.008,0.008,0.008,2000,0
CELUW.US,5,20260323,200500,0.008,0.0083,0.008,0.0081,7208,0
CELUW.US,5,20260323,203000,0.0083,0.0083,0.0083,0.0083,100,0
CELUW.US,5,20260324,181500,0.008,0.0082,0.008,0.0082,1000,0
CELUW.US,5,20260325,163000,0.0075,0.0075,0.0075,0.0075,1000,0
CELUW.US,5,20260327,201500,0.0075,0.0075,0.0075,0.0075,6600,0
CELUW.US,5,20260327,202000,0.01,0.01,0.0075,0.0087,8200,0
CELUW.US,5,20260327,203000,0.0075,0.0075,0.0075,0.0075,4000,0
