<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CERS.US,5,20260126,153000,2.46,2.46,2.44,2.44,8878,0
CERS.US,5,20260126,153500,2.44,2.45,2.43,2.435,5893,0
CERS.US,5,20260126,154000,2.44,2.455,2.44,2.4492,10702,0
CERS.US,5,20260126,154500,2.46,2.46,2.46,2.46,229,0
CERS.US,5,20260126,155000,2.47,2.47,2.47,2.47,200,0
CERS.US,5,20260126,155500,2.46,2.47,2.45,2.455,2259,0
CERS.US,5,20260126,160000,2.45,2.45,2.43,2.445,5225,0
CERS.US,5,20260126,160500,2.44,2.44,2.421,2.425,6851,0
CERS.US,5,20260126,161000,2.43,2.44,2.43,2.435,3250,0
CERS.US,5,20260126,161500,2.435,2.435,2.435,2.435,200,0
CERS.US,5,20260126,162000,2.435,2.435,2.425,2.425,9550,0
CERS.US,5,20260126,162500,2.43,2.445,2.43,2.43,25638,0
CERS.US,5,20260126,163000,2.425,2.43,2.4201,2.43,5855,0
CERS.US,5,20260126,163500,2.435,2.435,2.42,2.43,18794,0
CERS.US,5,20260126,164000,2.42,2.42,2.41,2.42,4004,0
CERS.US,5,20260126,164500,2.42,2.435,2.42,2.43,2104,0
CERS.US,5,20260126,165000,2.435,2.435,2.43,2.435,2177,0
CERS.US,5,20260126,165500,2.435,2.435,2.43,2.435,300,0
CERS.US,5,20260126,170000,2.43,2.44,2.43,2.44,1618,0
CERS.US,5,20260126,170500,2.43,2.435,2.43,2.435,4600,0
CERS.US,5,20260126,171000,2.43,2.43,2.425,2.425,810,0
CERS.US,5,20260126,171500,2.425,2.425,2.415,2.42,1630,0
CERS.US,5,20260126,172000,2.42,2.425,2.42,2.425,1954,0
CERS.US,5,20260126,172500,2.425,2.425,2.42,2.42,800,0
CERS.US,5,20260126,173000,2.425,2.425,2.42,2.425,785,0
CERS.US,5,20260126,173500,2.425,2.43,2.425,2.425,4048,0
CERS.US,5,20260126,174000,2.425,2.43,2.42,2.425,629,0
CERS.US,5,20260126,174500,2.4201,2.4225,2.42,2.4225,4970,0
CERS.US,5,20260126,175000,2.4252,2.4252,2.4233,2.4233,7663,0
CERS.US,5,20260126,175500,2.42,2.42,2.4116,2.4116,8362,0
CERS.US,5,20260126,180000,2.415,2.415,2.415,2.415,166,0
CERS.US,5,20260126,180500,2.42,2.4297,2.42,2.4297,7440,0
CERS.US,5,20260126,181000,2.425,2.425,2.425,2.425,1330,0
CERS.US,5,20260126,181500,2.43,2.43,2.425,2.425,200,0
CERS.US,5,20260126,182000,2.425,2.43,2.4215,2.425,1288,0
CERS.US,5,20260126,182500,2.425,2.43,2.425,2.43,2900,0
CERS.US,5,20260126,183000,2.429,2.43,2.4215,2.4215,936,0
CERS.US,5,20260126,183500,2.43,2.435,2.43,2.43,8281,0
CERS.US,5,20260126,184000,2.435,2.44,2.435,2.44,850,0
CERS.US,5,20260126,184500,2.435,2.44,2.435,2.435,691,0
CERS.US,5,20260126,185000,2.44,2.44,2.435,2.435,707,0
CERS.US,5,20260126,185500,2.435,2.44,2.435,2.44,2729,0
CERS.US,5,20260126,190000,2.44,2.44,2.435,2.435,5361,0
CERS.US,5,20260126,190500,2.435,2.435,2.435,2.435,682,0
CERS.US,5,20260126,191000,2.43,2.435,2.43,2.43,310,0
CERS.US,5,20260126,191500,2.435,2.435,2.4302,2.435,4499,0
CERS.US,5,20260126,192000,2.435,2.44,2.435,2.44,1521,0
CERS.US,5,20260126,192500,2.44,2.44,2.43,2.44,1565,0
CERS.US,5,20260126,193000,2.44,2.44,2.435,2.435,387,0
CERS.US,5,20260126,193500,2.435,2.435,2.43,2.43,262,0
CERS.US,5,20260126,194000,2.435,2.435,2.43,2.43,300,0
