<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHAR.US,5,20260126,153000,10.55,10.55,10.55,10.55,605,0
CHAR.US,5,20260126,153500,10.52,10.52,10.52,10.52,200,0
CHAR.US,5,20260126,154000,10.52,10.52,10.52,10.52,4200,0
CHAR.US,5,20260126,165000,10.55,10.55,10.55,10.55,100,0
CHAR.US,5,20260126,165500,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,174000,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,182500,10.55,10.55,10.55,10.55,100,0
CHAR.US,5,20260126,183000,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,192000,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,201000,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,202000,10.55,10.55,10.55,10.55,100,0
CHAR.US,5,20260126,205000,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,210500,10.55,10.55,10.55,10.55,100,0
CHAR.US,5,20260126,212000,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,213000,10.55,10.55,10.55,10.55,100,0
CHAR.US,5,20260126,214000,10.52,10.52,10.52,10.52,100,0
CHAR.US,5,20260126,214500,10.52,10.52,10.52,10.52,1362,0
CHAR.US,5,20260129,171000,10.54,10.54,10.54,10.54,100,0
CHAR.US,5,20260202,185500,10.52,10.52,10.52,10.52,200000,0
CHAR.US,5,20260202,215500,10.5452,10.5452,10.5452,10.5452,100,0
CHAR.US,5,20260203,161500,10.55,10.55,10.55,10.55,100,0
CHAR.US,5,20260203,190500,10.53,10.53,10.53,10.53,1000,0
CHAR.US,5,20260209,153500,10.538,10.538,10.538,10.538,760,0
CHAR.US,5,20260209,155000,10.54,10.56,10.54,10.5599,1223,0
CHAR.US,5,20260209,185500,10.54,10.54,10.54,10.54,100,0
CHAR.US,5,20260210,163500,10.55,10.55,10.53,10.53,973,0
CHAR.US,5,20260210,201500,10.53,10.53,10.53,10.53,39974,0
CHAR.US,5,20260210,211000,10.53,10.53,10.53,10.53,1000,0
