<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHRN.US,5,20260126,153000,8.62,8.708,8.52,8.565,8496,0
CHRN.US,5,20260126,153500,8.62,8.85,8.56,8.85,2165,0
CHRN.US,5,20260126,154000,8.7701,9.2,8.7701,9.125,8820,0
CHRN.US,5,20260126,154500,9.2,9.47,9.0501,9.27,25307,0
CHRN.US,5,20260126,155000,9.289,9.45,9.27,9.37,6819,0
CHRN.US,5,20260126,155500,9.3585,9.3585,8.7201,8.73,26549,0
CHRN.US,5,20260126,160000,8.86,9.155,8.86,9.1434,4191,0
CHRN.US,5,20260126,160500,9.01,9.01,8.71,8.71,8237,0
CHRN.US,5,20260126,161000,8.67,8.73,8.6,8.715,10117,0
CHRN.US,5,20260126,161500,8.6946,8.71,8.694,8.694,1169,0
CHRN.US,5,20260126,162000,8.55,8.55,8.33,8.41,28600,0
CHRN.US,5,20260126,162500,8.5,8.5,8.32,8.4067,7230,0
CHRN.US,5,20260126,163000,8.39,8.46,8.3,8.36,13343,0
CHRN.US,5,20260126,163500,8.35,8.43,8.34,8.43,10980,0
CHRN.US,5,20260126,164000,8.43,8.45,8.345,8.4,8675,0
CHRN.US,5,20260126,164500,8.41,8.565,8.3861,8.44,13704,0
CHRN.US,5,20260126,165000,8.65,8.65,8.55,8.55,9100,0
CHRN.US,5,20260126,165500,8.6,8.6,8.39,8.6,2600,0
CHRN.US,5,20260126,170000,8.55,8.6,8.5,8.6,3413,0
CHRN.US,5,20260126,170500,8.62,8.65,8.52,8.563,6837,0
CHRN.US,5,20260126,171000,8.55,8.59,8.45,8.57,12039,0
CHRN.US,5,20260126,172000,8.55,8.7,8.55,8.7,4169,0
CHRN.US,5,20260126,172500,8.55,8.55,8.55,8.55,1000,0
CHRN.US,5,20260126,174500,8.6,8.6,8.6,8.6,300,0
CHRN.US,5,20260126,175000,8.58,8.61,8.58,8.61,850,0
CHRN.US,5,20260126,175500,8.675,8.72,8.675,8.72,3434,0
CHRN.US,5,20260126,180000,8.68,8.68,8.68,8.68,100,0
CHRN.US,5,20260126,180500,8.61,8.62,8.55,8.55,2089,0
CHRN.US,5,20260126,181000,8.55,8.58,8.5,8.58,2100,0
CHRN.US,5,20260126,182000,8.55,8.63,8.55,8.63,724,0
CHRN.US,5,20260126,183000,8.54,8.54,8.53,8.53,1695,0
CHRN.US,5,20260126,184500,8.52,8.52,8.4,8.49,2122,0
CHRN.US,5,20260126,185000,8.45,8.45,8.45,8.45,300,0
CHRN.US,5,20260126,185500,8.4,8.408,8.4,8.4,800,0
CHRN.US,5,20260126,190000,8.48,8.48,8.48,8.48,100,0
CHRN.US,5,20260126,191000,8.4899,8.4899,8.4899,8.4899,1500,0
CHRN.US,5,20260126,192500,8.3801,8.3801,8.38,8.38,200,0
CHRN.US,5,20260126,193000,8.35,8.35,8.34,8.35,815,0
CHRN.US,5,20260126,193500,8.46,8.46,8.46,8.46,200,0
CHRN.US,5,20260126,194000,8.4695,8.4695,8.4598,8.4598,1765,0
CHRN.US,5,20260126,194500,8.358,8.38,8.358,8.38,873,0
CHRN.US,5,20260126,195000,8.35,8.35,8.22,8.22,9049,0
CHRN.US,5,20260126,195500,8.1543,8.33,8.11,8.2342,3139,0
CHRN.US,5,20260126,200000,8.225,8.225,8.225,8.225,600,0
CHRN.US,5,20260126,200500,8.1905,8.1905,8.1905,8.1905,100,0
CHRN.US,5,20260126,201500,8.155,8.2,8.155,8.19,5791,0
CHRN.US,5,20260126,202000,8.11,8.19,8.11,8.19,6900,0
CHRN.US,5,20260126,202500,8.11,8.11,8.1,8.105,690,0
CHRN.US,5,20260126,203000,8.06,8.1,8.02,8.0452,8429,0
CHRN.US,5,20260126,203500,8.02,8.06,8,8.01,14130,0
CHRN.US,5,20260126,204000,8.01,8.1,8.01,8.06,4517,0
CHRN.US,5,20260126,204500,8.085,8.085,8.085,8.085,100,0
CHRN.US,5,20260126,205000,8.0363,8.0363,8.0363,8.0363,220,0
CHRN.US,5,20260126,205500,8.065,8.065,8.065,8.065,440,0
CHRN.US,5,20260126,210000,8.03,8.03,8.03,8.03,100,0
CHRN.US,5,20260126,210500,8.065,8.065,8.03,8.03,200,0
CHRN.US,5,20260126,211000,8.04,8.07,8.04,8.0416,1043,0
CHRN.US,5,20260126,211500,8.04,8.045,8.04,8.045,1278,0
CHRN.US,5,20260126,212000,8.05,8.05,7.97,8,2800,0
CHRN.US,5,20260126,212500,8.03,8.03,7.9101,7.9101,1500,0
CHRN.US,5,20260126,213000,7.9101,7.975,7.9101,7.975,1800,0
CHRN.US,5,20260126,213500,7.975,8.03,7.9685,8.03,1061,0
CHRN.US,5,20260126,214000,8,8,7.93,7.93,2500,0
CHRN.US,5,20260126,214500,7.98,8.04,7.92,7.945,6387,0
CHRN.US,5,20260126,215000,7.91,7.94,7.9,7.94,3818,0
CHRN.US,5,20260126,215500,7.95,8.06,7.92,7.92,6730,0
CHRN.US,5,20260127,153000,7.92,8.025,7.89,7.8938,8589,0
CHRN.US,5,20260127,153500,7.9,8.08,7.9,7.9001,1512,0
CHRN.US,5,20260127,154500,8,8.0136,7.9296,7.9296,1200,0
CHRN.US,5,20260127,155000,8.0177,8.0177,8,8,1122,0
CHRN.US,5,20260127,160000,8,8,7.9,7.93,1523,0
CHRN.US,5,20260127,160500,7.9,7.9,7.645,7.67,11840,0
CHRN.US,5,20260127,161000,7.67,7.69,7.67,7.69,1900,0
CHRN.US,5,20260127,161500,7.65,7.65,7.65,7.65,1349,0
CHRN.US,5,20260127,162000,7.6701,7.735,7.6413,7.705,1300,0
CHRN.US,5,20260127,162500,7.7813,7.7813,7.7,7.7,1284,0
CHRN.US,5,20260127,163000,7.75,7.75,7.7,7.7,1100,0
CHRN.US,5,20260127,163500,7.7118,7.7118,7.69,7.69,1200,0
CHRN.US,5,20260127,164000,7.6201,7.68,7.6201,7.68,310,0
CHRN.US,5,20260127,165000,7.67,7.67,7.66,7.66,313,0
CHRN.US,5,20260127,170000,7.74,7.74,7.73,7.73,400,0
CHRN.US,5,20260127,170500,7.75,7.75,7.75,7.75,100,0
CHRN.US,5,20260127,171500,7.74,7.74,7.74,7.74,387,0
CHRN.US,5,20260127,172000,7.7,7.7,7.66,7.66,5373,0
CHRN.US,5,20260127,172500,7.68,7.8,7.68,7.8,2090,0
CHRN.US,5,20260127,173000,7.85,7.85,7.81,7.81,2000,0
