<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHRS.US,5,20260126,153000,2.02,2.1289,2,2.11,429685,0
CHRS.US,5,20260126,153500,2.105,2.11,2.055,2.0972,221419,0
CHRS.US,5,20260126,154000,2.095,2.115,2.07,2.095,133128,0
CHRS.US,5,20260126,154500,2.095,2.11,2.055,2.06,132700,0
CHRS.US,5,20260126,155000,2.0699,2.08,2.06,2.07,31892,0
CHRS.US,5,20260126,155500,2.065,2.09,2.06,2.0709,39941,0
CHRS.US,5,20260126,160000,2.078,2.14,2.0746,2.1261,226028,0
CHRS.US,5,20260126,160500,2.128,2.24,2.1233,2.235,819581,0
CHRS.US,5,20260126,161000,2.23,2.235,2.18,2.19,302143,0
CHRS.US,5,20260126,161500,2.185,2.229,2.16,2.205,222672,0
CHRS.US,5,20260126,162000,2.2005,2.205,2.1701,2.1998,161881,0
CHRS.US,5,20260126,162500,2.2,2.2,2.175,2.185,121307,0
CHRS.US,5,20260126,163000,2.185,2.24,2.185,2.2225,182790,0
CHRS.US,5,20260126,163500,2.225,2.23,2.16,2.195,185127,0
CHRS.US,5,20260126,164000,2.195,2.21,2.18,2.2,56030,0
CHRS.US,5,20260126,164500,2.205,2.2188,2.18,2.2,198799,0
CHRS.US,5,20260126,165000,2.2,2.21,2.19,2.2,98153,0
CHRS.US,5,20260126,165500,2.1988,2.23,2.195,2.21,57956,0
CHRS.US,5,20260126,170000,2.22,2.26,2.2199,2.25,256670,0
CHRS.US,5,20260126,170500,2.25,2.259,2.23,2.2386,75131,0
CHRS.US,5,20260126,171000,2.24,2.24,2.21,2.22,58043,0
CHRS.US,5,20260126,171500,2.215,2.215,2.2,2.2,132676,0
CHRS.US,5,20260126,172000,2.205,2.21,2.19,2.2,122170,0
CHRS.US,5,20260126,172500,2.2,2.22,2.2,2.215,60380,0
CHRS.US,5,20260126,173000,2.22,2.25,2.215,2.245,42989,0
CHRS.US,5,20260126,173500,2.245,2.25,2.215,2.215,56056,0
CHRS.US,5,20260126,174000,2.215,2.23,2.2141,2.23,26904,0
CHRS.US,5,20260126,174500,2.2399,2.24,2.2145,2.215,68409,0
CHRS.US,5,20260126,175000,2.215,2.23,2.2146,2.2255,52118,0
CHRS.US,5,20260126,175500,2.2286,2.26,2.215,2.2298,184996,0
CHRS.US,5,20260126,180000,2.227033,2.27,2.225,2.2545,112513,0
CHRS.US,5,20260126,180500,2.2546,2.27,2.25,2.26,71023,0
CHRS.US,5,20260126,181000,2.25,2.28,2.25,2.275,67864,0
CHRS.US,5,20260126,181500,2.276,2.28,2.2501,2.255,74733,0
CHRS.US,5,20260126,182000,2.259851,2.27,2.25,2.2566,46567,0
CHRS.US,5,20260126,182500,2.25,2.28,2.25,2.28,40589,0
CHRS.US,5,20260126,183000,2.275,2.28,2.265,2.275,48780,0
CHRS.US,5,20260126,183500,2.275,2.285,2.27,2.2709,28505,0
CHRS.US,5,20260126,184000,2.276986,2.3,2.265,2.2882,107085,0
CHRS.US,5,20260126,184500,2.285,2.285,2.27,2.275,23570,0
CHRS.US,5,20260126,185000,2.278,2.29,2.26,2.2653,80815,0
