<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHRW.US,5,20260126,153000,176.9,177.29,175.75,176.725,27428,0
CHRW.US,5,20260126,153500,176.605,177.24,176.32,176.33,16081,0
CHRW.US,5,20260126,154000,176.64,177,176.44,176.625,3400,0
CHRW.US,5,20260126,154500,176.595,176.945,176.31,176.31,8053,0
CHRW.US,5,20260126,155000,176.52,176.77,176.5,176.64,4585,0
CHRW.US,5,20260126,155500,176.64,176.64,176.2,176.265,4099,0
CHRW.US,5,20260126,160000,176.235,177,176.08,176.98,10589,0
CHRW.US,5,20260126,160500,177.17,177.21,176.61,177.21,5806,0
CHRW.US,5,20260126,161000,177.1,177.63,177.04,177.53,15949,0
CHRW.US,5,20260126,161500,177.3,177.63,177.1,177.405,6971,0
CHRW.US,5,20260126,162000,177.405,177.47,177.265,177.47,1500,0
CHRW.US,5,20260126,162500,177.325,177.325,176.96,177.11,4796,0
CHRW.US,5,20260126,163000,177.3,177.37,177.155,177.22,7063,0
CHRW.US,5,20260126,163500,177.41,177.49,177.33,177.45,4059,0
CHRW.US,5,20260126,164000,177.45,177.45,176.95,177.26,6605,0
CHRW.US,5,20260126,164500,177.38,177.38,177.37,177.37,361,0
CHRW.US,5,20260126,165000,177.44,177.69,177.44,177.62,6341,0
CHRW.US,5,20260126,165500,177.55,177.755,177.23,177.24,3571,0
CHRW.US,5,20260126,170000,177.32,177.36,177.23,177.36,1700,0
CHRW.US,5,20260126,170500,177.285,177.46,177.1801,177.45,16760,0
CHRW.US,5,20260126,171000,177.43,177.55,177.39,177.505,7455,0
CHRW.US,5,20260126,171500,177.545,177.64,177.31,177.455,7957,0
CHRW.US,5,20260126,172000,177.52,178.01,177.52,178.01,2400,0
CHRW.US,5,20260126,172500,178.0275,178.1,177.98,177.98,1634,0
CHRW.US,5,20260126,173000,178.095,178.1,177.86,178.07,6524,0
CHRW.US,5,20260126,173500,178.04,178.07,177.87,178,8252,0
CHRW.US,5,20260126,174000,177.93,177.97,177.87,177.89,1824,0
CHRW.US,5,20260126,174500,177.86,177.86,177.86,177.86,101,0
CHRW.US,5,20260126,175000,177.84,177.92,177.7,177.75,3236,0
CHRW.US,5,20260126,175500,177.805,177.805,177.72,177.72,1200,0
CHRW.US,5,20260126,180000,177.69,177.9,177.62,177.855,9079,0
CHRW.US,5,20260126,180500,177.91,177.95,177.86,177.86,1208,0
CHRW.US,5,20260126,181000,177.86,177.97,177.845,177.92,8018,0
CHRW.US,5,20260126,181500,177.92,177.92,177.82,177.87,2000,0
CHRW.US,5,20260126,182000,177.79,177.79,177.35,177.475,8735,0
CHRW.US,5,20260126,182500,177.44,177.475,177.33,177.475,7575,0
CHRW.US,5,20260126,183000,177.51,177.54,177.2208,177.295,12383,0
CHRW.US,5,20260126,183500,177.295,177.44,177.27,177.35,5669,0
CHRW.US,5,20260126,184000,177.35,177.35,177.12,177.21,8503,0
CHRW.US,5,20260126,184500,177.215,177.36,177.2025,177.23,8831,0
CHRW.US,5,20260126,185000,177.295,177.295,176.99,177.19,4200,0
CHRW.US,5,20260126,185500,177.15,177.2,177.09,177.1,6009,0
CHRW.US,5,20260126,190000,177.05,177.26,177.05,177.23,3297,0
CHRW.US,5,20260126,190500,177.23,177.32,177.175,177.32,4435,0
CHRW.US,5,20260126,191000,177.38,177.38,177.1,177.1,909,0
CHRW.US,5,20260126,191500,177.02,177.05,177.01,177.03,3432,0
CHRW.US,5,20260126,192000,177.09,177.41,177.09,177.33,3606,0
