<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIVB.US,5,20260126,153000,22.87,23.435,22.87,23.435,326,0
CIVB.US,5,20260126,154000,23.05,23.05,23.05,23.05,139,0
CIVB.US,5,20260126,155500,22.87,22.88,22.82,22.865,600,0
CIVB.US,5,20260126,160000,22.86,22.905,22.73,22.825,3599,0
CIVB.US,5,20260126,160500,22.94,23.155,22.94,22.94,670,0
CIVB.US,5,20260126,162500,22.8,22.81,22.8,22.81,200,0
CIVB.US,5,20260126,163000,22.855,22.88,22.855,22.88,400,0
CIVB.US,5,20260126,164000,22.84,22.86,22.81,22.82,700,0
CIVB.US,5,20260126,164500,22.82,22.82,22.82,22.82,100,0
CIVB.US,5,20260126,171000,22.76,22.79,22.76,22.79,400,0
CIVB.US,5,20260126,175000,22.63,22.64,22.63,22.64,290,0
CIVB.US,5,20260126,180000,22.69,22.69,22.69,22.69,300,0
CIVB.US,5,20260126,180500,22.735,22.735,22.735,22.735,100,0
CIVB.US,5,20260126,183000,22.74,22.76,22.74,22.76,709,0
CIVB.US,5,20260126,184000,22.74,22.74,22.71,22.71,438,0
CIVB.US,5,20260126,184500,22.72,22.73,22.6805,22.6805,452,0
CIVB.US,5,20260126,190000,22.73,22.73,22.73,22.73,200,0
CIVB.US,5,20260126,192500,22.7144,22.8156,22.7144,22.76,6372,0
CIVB.US,5,20260126,194000,22.84,22.84,22.77,22.77,710,0
CIVB.US,5,20260126,200500,22.83,22.83,22.83,22.83,100,0
CIVB.US,5,20260126,204000,22.86,22.86,22.86,22.86,100,0
CIVB.US,5,20260126,210000,22.9,22.95,22.89,22.94,700,0
CIVB.US,5,20260126,210500,22.98,22.98,22.95,22.95,300,0
CIVB.US,5,20260126,211000,22.98,22.99,22.955,22.955,803,0
CIVB.US,5,20260126,211500,22.96,22.98,22.96,22.98,627,0
CIVB.US,5,20260126,212500,22.94,22.94,22.94,22.94,300,0
CIVB.US,5,20260126,213000,22.97,22.97,22.97,22.97,100,0
CIVB.US,5,20260126,213500,22.98,22.98,22.93,22.93,200,0
CIVB.US,5,20260126,214500,22.94,22.94,22.94,22.94,100,0
CIVB.US,5,20260126,215000,22.97,22.98,22.91,22.92,600,0
CIVB.US,5,20260126,215500,22.92,22.95,22.92,22.92,12347,0
