<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMMB.US,5,20260126,153000,1.8,1.823,1.8,1.823,8876,0
CMMB.US,5,20260126,153500,1.8001,1.827,1.8,1.8,5100,0
CMMB.US,5,20260126,154000,1.825,1.825,1.8,1.8,1500,0
CMMB.US,5,20260126,154500,1.8,1.8,1.8,1.8,600,0
CMMB.US,5,20260126,155000,1.8,1.8,1.77,1.77,2719,0
CMMB.US,5,20260126,160500,1.76,1.76,1.715,1.72,2790,0
CMMB.US,5,20260126,161000,1.715,1.73,1.7,1.7,5424,0
CMMB.US,5,20260126,161500,1.7,1.725,1.7,1.725,620,0
CMMB.US,5,20260126,162000,1.7422,1.745,1.74,1.74,743,0
CMMB.US,5,20260126,162500,1.75,1.75,1.75,1.75,600,0
CMMB.US,5,20260126,163000,1.726,1.726,1.726,1.726,300,0
CMMB.US,5,20260126,163500,1.75,1.76,1.75,1.76,500,0
CMMB.US,5,20260126,164000,1.74229,1.74229,1.7262,1.7262,367,0
CMMB.US,5,20260126,164500,1.736,1.736,1.736,1.736,100,0
CMMB.US,5,20260126,165500,1.74,1.8,1.74,1.8,21429,0
CMMB.US,5,20260126,170000,1.765,1.765,1.765,1.765,500,0
CMMB.US,5,20260126,170500,1.7605,1.765,1.7605,1.765,300,0
CMMB.US,5,20260126,174500,1.74,1.74,1.7254,1.7254,1200,0
CMMB.US,5,20260126,175000,1.735,1.735,1.735,1.735,100,0
CMMB.US,5,20260126,182500,1.74,1.74,1.74,1.74,965,0
CMMB.US,5,20260126,184500,1.76,1.76,1.76,1.76,328,0
CMMB.US,5,20260126,203500,1.74,1.75,1.74,1.74,7195,0
CMMB.US,5,20260126,205000,1.7311,1.7311,1.73,1.73,720,0
CMMB.US,5,20260126,210000,1.73,1.74,1.72,1.72,1500,0
CMMB.US,5,20260126,212000,1.735,1.735,1.735,1.735,100,0
CMMB.US,5,20260126,212500,1.72,1.72,1.72,1.72,100,0
CMMB.US,5,20260126,213000,1.74,1.74,1.73,1.73,300,0
CMMB.US,5,20260126,213500,1.74,1.74,1.735,1.74,800,0
CMMB.US,5,20260126,214000,1.72,1.72,1.72,1.72,100,0
CMMB.US,5,20260126,214500,1.7338,1.7338,1.7338,1.7338,100,0
CMMB.US,5,20260126,215000,1.74,1.74,1.74,1.74,300,0
CMMB.US,5,20260126,215500,1.735,1.76,1.72,1.76,4647,0
CMMB.US,5,20260127,153000,1.8,1.82,1.79,1.805,11493,0
CMMB.US,5,20260127,153500,1.81,1.81,1.81,1.81,100,0
CMMB.US,5,20260127,160500,1.8186,1.8186,1.8186,1.8186,100,0
CMMB.US,5,20260127,161500,1.81,1.81,1.81,1.81,400,0
CMMB.US,5,20260127,163000,1.8,1.805,1.8,1.8,12006,0
CMMB.US,5,20260127,163500,1.8,1.8,1.8,1.8,884,0
CMMB.US,5,20260127,164500,1.8,1.8,1.8,1.8,171,0
CMMB.US,5,20260127,165000,1.8,1.8,1.78,1.7845,1677,0
CMMB.US,5,20260127,173000,1.7846,1.7846,1.7846,1.7846,100,0
CMMB.US,5,20260127,174500,1.78,1.78,1.735,1.735,8430,0
CMMB.US,5,20260127,180000,1.73,1.73,1.7,1.7253,7928,0
CMMB.US,5,20260127,180500,1.7001,1.7235,1.7001,1.71,1300,0
CMMB.US,5,20260127,181000,1.72,1.72,1.72,1.72,100,0
CMMB.US,5,20260127,183000,1.72,1.72,1.72,1.72,200,0
CMMB.US,5,20260127,185000,1.74,1.74,1.74,1.74,825,0
CMMB.US,5,20260127,185500,1.725,1.725,1.725,1.725,300,0
CMMB.US,5,20260127,195000,1.71,1.71,1.71,1.71,200,0
CMMB.US,5,20260127,200000,1.7246,1.7246,1.7246,1.7246,100,0
CMMB.US,5,20260127,200500,1.73,1.73,1.73,1.73,100,0
CMMB.US,5,20260127,202000,1.725,1.7338,1.725,1.7338,200,0
CMMB.US,5,20260127,203000,1.73,1.73,1.73,1.73,100,0
CMMB.US,5,20260127,204000,1.735,1.735,1.735,1.735,100,0
CMMB.US,5,20260127,213500,1.75,1.75,1.73,1.7301,1600,0
CMMB.US,5,20260127,214000,1.74,1.74,1.74,1.74,100,0
CMMB.US,5,20260127,215000,1.74,1.74,1.74,1.74,500,0
CMMB.US,5,20260127,215500,1.74,1.7572,1.72,1.74,3900,0
CMMB.US,5,20260128,153000,1.7,1.74,1.7,1.74,1746,0
CMMB.US,5,20260128,161500,1.7005,1.7005,1.7005,1.7005,820,0
CMMB.US,5,20260128,162500,1.7,1.7,1.6907,1.7,618,0
CMMB.US,5,20260128,171000,1.68,1.68,1.68,1.68,1500,0
CMMB.US,5,20260128,173500,1.7001,1.7001,1.7001,1.7001,2000,0
CMMB.US,5,20260128,174500,1.6801,1.6801,1.6801,1.6801,100,0
CMMB.US,5,20260128,175000,1.72,1.72,1.63,1.638,3788,0
CMMB.US,5,20260128,175500,1.64,1.68,1.6,1.68,10006,0
CMMB.US,5,20260128,180000,1.6514,1.6514,1.6514,1.6514,200,0
CMMB.US,5,20260128,182000,1.68,1.68,1.68,1.68,100,0
CMMB.US,5,20260128,183500,1.67,1.67,1.67,1.67,300,0
CMMB.US,5,20260128,193000,1.66,1.66,1.66,1.66,100,0
CMMB.US,5,20260128,194000,1.6814,1.6814,1.6814,1.6814,2000,0
CMMB.US,5,20260128,195000,1.67,1.67,1.67,1.67,214,0
CMMB.US,5,20260128,200000,1.67,1.67,1.67,1.67,689,0
CMMB.US,5,20260128,200500,1.65,1.6501,1.63,1.63,3156,0
CMMB.US,5,20260128,201000,1.625,1.63,1.61,1.63,2920,0
CMMB.US,5,20260128,202500,1.6547,1.6547,1.6522,1.6522,200,0
CMMB.US,5,20260128,203000,1.6522,1.6522,1.6522,1.6522,100,0
CMMB.US,5,20260128,210000,1.62,1.62,1.62,1.62,300,0
CMMB.US,5,20260128,210500,1.6411,1.6593,1.6411,1.6593,200,0
CMMB.US,5,20260128,213000,1.63,1.63,1.62,1.62,530,0
CMMB.US,5,20260128,214500,1.62,1.6576,1.62,1.6576,1233,0
CMMB.US,5,20260128,215000,1.64,1.654,1.64,1.654,200,0
CMMB.US,5,20260128,215500,1.66,1.66,1.62,1.62,2774,0
CMMB.US,5,20260129,153000,1.62,1.63,1.6,1.6,1312,0
CMMB.US,5,20260129,153500,1.6275,1.6275,1.6275,1.6275,100,0
CMMB.US,5,20260129,154000,1.6304,1.6304,1.6304,1.6304,100,0
CMMB.US,5,20260129,154500,1.6,1.6,1.6,1.6,200,0
CMMB.US,5,20260129,155000,1.62,1.62,1.62,1.62,1000,0
CMMB.US,5,20260129,160000,1.59,1.6,1.59,1.6,200,0
CMMB.US,5,20260129,160500,1.604,1.615,1.604,1.615,200,0
CMMB.US,5,20260129,161000,1.59,1.65,1.59,1.65,348,0
CMMB.US,5,20260129,161500,1.59,1.6856,1.59,1.6856,500,0
CMMB.US,5,20260129,162000,1.63,1.6382,1.61,1.6382,600,0
CMMB.US,5,20260129,165000,1.61,1.61,1.6,1.6,200,0
CMMB.US,5,20260129,170500,1.59,1.59,1.58,1.58,2600,0
CMMB.US,5,20260129,171500,1.59,1.59,1.59,1.59,400,0
CMMB.US,5,20260129,172500,1.55,1.56,1.55,1.56,2100,0
CMMB.US,5,20260129,174000,1.6288,1.6288,1.6288,1.6288,900,0
CMMB.US,5,20260129,174500,1.585,1.585,1.585,1.585,230,0
CMMB.US,5,20260129,182500,1.59,1.59,1.55,1.59,300,0
CMMB.US,5,20260129,191500,1.5626,1.5626,1.5626,1.5626,2500,0
CMMB.US,5,20260129,192000,1.595,1.64,1.595,1.62,4260,0
CMMB.US,5,20260129,192500,1.62,1.64,1.62,1.64,4880,0
CMMB.US,5,20260129,193500,1.63,1.645,1.63,1.64,2465,0
CMMB.US,5,20260129,194500,1.63,1.6366,1.63,1.6366,200,0
CMMB.US,5,20260129,195500,1.63,1.63,1.63,1.63,200,0
CMMB.US,5,20260129,200000,1.635,1.635,1.635,1.635,100,0
CMMB.US,5,20260129,200500,1.6447,1.6447,1.6447,1.6447,300,0
CMMB.US,5,20260129,205000,1.635,1.635,1.635,1.635,120,0
CMMB.US,5,20260129,205500,1.63,1.638,1.63,1.638,200,0
CMMB.US,5,20260129,210000,1.63,1.63,1.55,1.55,12770,0
CMMB.US,5,20260129,210500,1.6197,1.6197,1.6197,1.6197,100,0
CMMB.US,5,20260129,211000,1.6125,1.6125,1.57,1.595,500,0
CMMB.US,5,20260129,211500,1.572,1.572,1.57,1.57,1188,0
CMMB.US,5,20260129,212000,1.562,1.562,1.562,1.562,100,0
CMMB.US,5,20260129,212500,1.572,1.572,1.55,1.55,2243,0
CMMB.US,5,20260129,213000,1.542,1.58,1.525,1.57,7027,0
CMMB.US,5,20260129,213500,1.57,1.5795,1.5548,1.5548,1100,0
CMMB.US,5,20260129,214000,1.575,1.6013,1.575,1.6013,1425,0
CMMB.US,5,20260129,214500,1.58,1.58,1.58,1.58,700,0
CMMB.US,5,20260129,215000,1.57,1.588,1.57,1.57,538,0
CMMB.US,5,20260129,215500,1.552,1.58,1.552,1.57,1961,0
CMMB.US,5,20260130,153000,1.618,1.62,1.618,1.62,200,0
CMMB.US,5,20260130,153500,1.635,1.635,1.635,1.635,100,0
CMMB.US,5,20260130,160000,1.6,1.6092,1.58,1.58,800,0
CMMB.US,5,20260130,160500,1.6,1.6,1.6,1.6,100,0
CMMB.US,5,20260130,172500,1.5527,1.5527,1.55,1.55,700,0
CMMB.US,5,20260130,173000,1.55,1.55,1.55,1.55,2503,0
CMMB.US,5,20260130,173500,1.5597,1.5597,1.5597,1.5597,200,0
CMMB.US,5,20260130,175500,1.55,1.55,1.55,1.55,230,0
CMMB.US,5,20260130,180500,1.55,1.55,1.55,1.55,200,0
CMMB.US,5,20260130,182500,1.55,1.55,1.55,1.55,200,0
CMMB.US,5,20260130,185500,1.555,1.555,1.555,1.555,200,0
CMMB.US,5,20260130,190000,1.56,1.56,1.56,1.56,300,0
CMMB.US,5,20260130,190500,1.55,1.55,1.55,1.55,100,0
CMMB.US,5,20260130,191000,1.555,1.56,1.555,1.56,1000,0
CMMB.US,5,20260130,192000,1.55,1.55,1.55,1.55,400,0
CMMB.US,5,20260130,193500,1.5591,1.5591,1.5591,1.5591,100,0
CMMB.US,5,20260130,200000,1.56,1.56,1.55,1.55,300,0
CMMB.US,5,20260130,200500,1.585,1.585,1.585,1.585,1000,0
CMMB.US,5,20260130,202000,1.585,1.6,1.585,1.6,700,0
CMMB.US,5,20260130,202500,1.59,1.59,1.59,1.59,100,0
CMMB.US,5,20260130,203000,1.6,1.6,1.6,1.6,144,0
CMMB.US,5,20260130,204000,1.5598,1.59,1.5598,1.59,357,0
CMMB.US,5,20260130,211500,1.56,1.575,1.56,1.575,200,0
CMMB.US,5,20260130,213500,1.56,1.565,1.56,1.565,500,0
CMMB.US,5,20260130,215500,1.55,1.55,1.55,1.55,7220,0
CMMB.US,5,20260202,153000,1.58,1.585,1.58,1.585,913,0
CMMB.US,5,20260202,153500,1.5501,1.58,1.5501,1.58,277,0
CMMB.US,5,20260202,154500,1.58,1.58,1.58,1.58,1507,0
CMMB.US,5,20260202,155000,1.5922,1.5996,1.5922,1.5996,1000,0
CMMB.US,5,20260202,160000,1.59,1.59,1.59,1.59,200,0
CMMB.US,5,20260202,160500,1.595,1.61,1.595,1.6,2924,0
CMMB.US,5,20260202,161000,1.6172,1.645,1.6172,1.645,1169,0
CMMB.US,5,20260202,161500,1.6163,1.6385,1.6163,1.6385,700,0
CMMB.US,5,20260202,162000,1.65,1.65,1.65,1.65,213,0
CMMB.US,5,20260202,163000,1.62,1.62,1.62,1.62,700,0
CMMB.US,5,20260202,163500,1.63,1.64,1.63,1.64,467,0
CMMB.US,5,20260202,164000,1.645,1.645,1.645,1.645,100,0
CMMB.US,5,20260202,164500,1.65,1.65,1.65,1.65,100,0
CMMB.US,5,20260202,170000,1.6301,1.6301,1.6301,1.6301,200,0
CMMB.US,5,20260202,170500,1.65,1.65,1.65,1.65,288,0
CMMB.US,5,20260202,172000,1.63,1.63,1.63,1.63,2000,0
CMMB.US,5,20260202,172500,1.65,1.65,1.65,1.65,381,0
CMMB.US,5,20260202,181000,1.66,1.6612,1.66,1.6612,600,0
CMMB.US,5,20260202,182500,1.655,1.655,1.655,1.655,250,0
CMMB.US,5,20260202,192000,1.67,1.6788,1.66,1.66,514,0
CMMB.US,5,20260202,193500,1.669435,1.669435,1.669435,1.669435,1000,0
CMMB.US,5,20260202,194000,1.68,1.68,1.66,1.66,200,0
CMMB.US,5,20260202,195500,1.67,1.67,1.66,1.66,500,0
CMMB.US,5,20260202,203500,1.6799,1.729,1.672556,1.729,13993,0
CMMB.US,5,20260202,204000,1.685,1.69,1.6508,1.69,600,0
CMMB.US,5,20260202,211500,1.68,1.68,1.61,1.643,4726,0
CMMB.US,5,20260202,212500,1.665,1.665,1.665,1.665,300,0
CMMB.US,5,20260202,213000,1.6361,1.6361,1.6361,1.6361,200,0
CMMB.US,5,20260202,213500,1.662,1.71,1.6542,1.71,600,0
CMMB.US,5,20260202,215000,1.65,1.69,1.65,1.67,1660,0
CMMB.US,5,20260202,215500,1.665,1.69,1.665,1.67,5294,0
CMMB.US,5,20260203,153000,1.695,1.695,1.62,1.645,13189,0
CMMB.US,5,20260203,154000,1.645,1.67,1.645,1.6665,1800,0
CMMB.US,5,20260203,155000,1.6351,1.6351,1.6351,1.6351,200,0
CMMB.US,5,20260203,155500,1.655,1.655,1.655,1.655,100,0
CMMB.US,5,20260203,160000,1.6557,1.6557,1.6557,1.6557,1000,0
CMMB.US,5,20260203,162500,1.655,1.655,1.64,1.64,972,0
CMMB.US,5,20260203,163000,1.64,1.645,1.64,1.64,600,0
CMMB.US,5,20260203,163500,1.64,1.6663,1.64,1.6663,200,0
CMMB.US,5,20260203,164500,1.6567,1.66,1.655,1.66,5000,0
CMMB.US,5,20260203,165000,1.64,1.64,1.64,1.64,500,0
CMMB.US,5,20260203,165500,1.6565,1.6565,1.6565,1.6565,100,0
CMMB.US,5,20260203,174000,1.64,1.6423,1.61,1.61,800,0
CMMB.US,5,20260203,174500,1.6,1.602,1.59,1.59,8534,0
CMMB.US,5,20260203,175500,1.62,1.62,1.62,1.62,200,0
CMMB.US,5,20260203,180000,1.6502,1.6502,1.6502,1.6502,100,0
CMMB.US,5,20260203,183500,1.62,1.62,1.62,1.62,500,0
CMMB.US,5,20260203,184000,1.6,1.61,1.6,1.61,300,0
CMMB.US,5,20260203,190000,1.6499,1.65,1.625,1.64,20300,0
CMMB.US,5,20260203,190500,1.65,1.68,1.63,1.63,3885,0
CMMB.US,5,20260203,192500,1.6676,1.6676,1.6676,1.6676,131,0
CMMB.US,5,20260203,194500,1.66,1.66,1.66,1.66,200,0
CMMB.US,5,20260203,195500,1.63,1.63,1.63,1.63,129,0
CMMB.US,5,20260203,200500,1.645,1.645,1.645,1.645,100,0
CMMB.US,5,20260203,202000,1.66,1.66,1.645,1.6599,3100,0
CMMB.US,5,20260203,212000,1.66,1.74,1.595,1.6,15462,0
CMMB.US,5,20260203,213500,1.6,1.6,1.5981,1.6,1700,0
CMMB.US,5,20260203,214000,1.6,1.6,1.5945,1.595,22755,0
CMMB.US,5,20260203,214500,1.6201,1.6201,1.6201,1.6201,200,0
CMMB.US,5,20260203,215000,1.625,1.625,1.625,1.625,300,0
CMMB.US,5,20260203,215500,1.64,1.64,1.62,1.62,2224,0
CMMB.US,5,20260204,153000,1.68,1.68,1.67,1.67,400,0
CMMB.US,5,20260204,154000,1.66,1.66,1.65,1.66,3492,0
CMMB.US,5,20260204,161500,1.63,1.63,1.62,1.62,410,0
CMMB.US,5,20260204,162000,1.635,1.635,1.6275,1.6275,3975,0
CMMB.US,5,20260204,163500,1.62,1.62,1.61,1.61,647,0
CMMB.US,5,20260204,165500,1.6302,1.6302,1.6302,1.6302,100,0
CMMB.US,5,20260204,170000,1.6,1.6101,1.6,1.6,500,0
CMMB.US,5,20260204,173500,1.6049,1.6049,1.59,1.59,300,0
CMMB.US,5,20260204,174000,1.58,1.58,1.58,1.58,600,0
CMMB.US,5,20260204,175000,1.57,1.57,1.57,1.57,100,0
CMMB.US,5,20260204,175500,1.575,1.65,1.575,1.65,10200,0
CMMB.US,5,20260204,181500,1.59,1.59,1.59,1.59,100,0
CMMB.US,5,20260204,184500,1.5937,1.5937,1.58,1.58,2981,0
CMMB.US,5,20260204,185500,1.591,1.591,1.58,1.58,1167,0
CMMB.US,5,20260204,190000,1.58,1.58,1.58,1.58,300,0
CMMB.US,5,20260204,190500,1.59,1.59,1.57,1.57,1500,0
CMMB.US,5,20260204,191000,1.57,1.5805,1.57,1.5805,1000,0
CMMB.US,5,20260204,192000,1.58,1.58,1.58,1.58,100,0
CMMB.US,5,20260204,195500,1.59,1.59,1.59,1.59,100,0
CMMB.US,5,20260204,200000,1.6,1.6,1.6,1.6,500,0
CMMB.US,5,20260204,200500,1.6,1.6,1.6,1.6,400,0
CMMB.US,5,20260204,201000,1.58,1.58,1.58,1.58,100,0
CMMB.US,5,20260204,204500,1.5801,1.5801,1.5801,1.5801,100,0
CMMB.US,5,20260204,210000,1.58,1.59,1.58,1.59,10100,0
CMMB.US,5,20260204,211000,1.6059,1.6059,1.6059,1.6059,202,0
CMMB.US,5,20260204,211500,1.59,1.59,1.55,1.5799,16012,0
CMMB.US,5,20260204,212000,1.5575,1.5575,1.5575,1.5575,2125,0
CMMB.US,5,20260204,213000,1.57,1.57,1.57,1.57,200,0
CMMB.US,5,20260204,213500,1.58,1.58,1.58,1.58,200,0
CMMB.US,5,20260204,214000,1.6051,1.6051,1.6051,1.6051,300,0
CMMB.US,5,20260204,214500,1.64,1.64,1.59,1.59,600,0
CMMB.US,5,20260204,215000,1.61,1.61,1.61,1.61,2000,0
CMMB.US,5,20260204,215500,1.63,1.63,1.6,1.63,807,0
CMMB.US,5,20260205,153000,1.59,1.635,1.59,1.635,1107,0
CMMB.US,5,20260205,155000,1.615,1.615,1.615,1.615,503,0
CMMB.US,5,20260205,155500,1.64,1.64,1.5901,1.604479,8300,0
CMMB.US,5,20260205,160000,1.59,1.59,1.55,1.55,1384,0
CMMB.US,5,20260205,160500,1.55,1.57,1.55,1.55,2458,0
