<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COCH.US,5,20260126,153000,0.6799,0.6799,0.6799,0.6799,300,0
COCH.US,5,20260126,154000,0.6747,0.6747,0.6702,0.6702,570,0
COCH.US,5,20260126,154500,0.6799,0.6799,0.6799,0.6799,148,0
COCH.US,5,20260126,155500,0.6799,0.6799,0.6799,0.6799,100,0
COCH.US,5,20260126,160500,0.6701,0.671,0.6701,0.671,2155,0
COCH.US,5,20260126,161500,0.6745,0.6745,0.6745,0.6745,1762,0
COCH.US,5,20260126,162000,0.6745,0.6745,0.6745,0.6745,100,0
COCH.US,5,20260126,163500,0.6744,0.6744,0.6744,0.6744,100,0
COCH.US,5,20260126,164000,0.67,0.67,0.6627,0.6664,8370,0
COCH.US,5,20260126,170000,0.67,0.674,0.67,0.674,800,0
COCH.US,5,20260126,171500,0.6698,0.6698,0.6698,0.6698,200,0
COCH.US,5,20260126,172500,0.6744,0.6744,0.6744,0.6744,100,0
COCH.US,5,20260126,175500,0.6744,0.6744,0.6744,0.6744,100,0
COCH.US,5,20260126,181000,0.674,0.674,0.674,0.674,5000,0
COCH.US,5,20260126,183000,0.6734,0.6734,0.6734,0.6734,100,0
COCH.US,5,20260126,190500,0.6714,0.6714,0.6714,0.6714,100,0
COCH.US,5,20260126,193000,0.67289,0.67289,0.67289,0.67289,125,0
COCH.US,5,20260126,193500,0.6729,0.6729,0.6729,0.6729,200,0
COCH.US,5,20260126,200500,0.6725,0.6725,0.6713,0.6713,727,0
COCH.US,5,20260126,201500,0.6726,0.6735,0.6726,0.6735,930,0
COCH.US,5,20260126,202000,0.6717,0.6734,0.6717,0.6717,800,0
COCH.US,5,20260126,202500,0.6734,0.6734,0.6734,0.6734,200,0
COCH.US,5,20260126,204500,0.6733,0.6733,0.6717,0.6733,2062,0
COCH.US,5,20260126,210000,0.6732,0.6732,0.6732,0.6732,100,0
COCH.US,5,20260126,210500,0.6709,0.6709,0.6709,0.6709,100,0
COCH.US,5,20260126,212000,0.6722,0.6722,0.6722,0.6722,100,0
COCH.US,5,20260126,213000,0.6727,0.6728,0.6727,0.6728,200,0
