<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COLAR.US,5,20260127,155000,0.4,0.4,0.4,0.4,300,0
COLAR.US,5,20260127,212000,0.4085,0.4085,0.4,0.4,8800,0
COLAR.US,5,20260128,153000,0.45,0.45,0.4462,0.4462,600,0
COLAR.US,5,20260128,172500,0.47,0.4999,0.47,0.4999,9898,0
COLAR.US,5,20260128,174500,0.4345,0.4345,0.4345,0.4345,6700,0
COLAR.US,5,20260128,175500,0.47445,0.48445,0.45,0.47,11845,0
COLAR.US,5,20260128,183000,0.45,0.47,0.45,0.4699,9845,0
COLAR.US,5,20260128,202000,0.4,0.4,0.4,0.4,100,0
COLAR.US,5,20260128,204000,0.45485,0.45485,0.45,0.45,15200,0
COLAR.US,5,20260128,213500,0.36,0.36,0.36,0.36,100,0
COLAR.US,5,20260129,204500,0.4236,0.4236,0.4236,0.4236,1373,0
COLAR.US,5,20260130,160000,0.484799,0.484799,0.47,0.47,9798,0
COLAR.US,5,20260130,161000,0.4658,0.4847,0.4658,0.4763,10774,0
COLAR.US,5,20260130,163000,0.4967,0.4967,0.4967,0.4967,300,0
COLAR.US,5,20260130,164000,0.47,0.47,0.47,0.47,905,0
COLAR.US,5,20260130,164500,0.4698,0.4699,0.4698,0.4699,5201,0
COLAR.US,5,20260130,165500,0.4344,0.47,0.4344,0.4344,6500,0
COLAR.US,5,20260130,193000,0.469,0.469,0.469,0.469,100,0
COLAR.US,5,20260130,200500,0.469,0.469,0.4594,0.4594,11126,0
COLAR.US,5,20260202,164000,0.4787,0.4998,0.4698,0.4802,12033,0
COLAR.US,5,20260202,170000,0.4848,0.4848,0.4848,0.4848,100,0
COLAR.US,5,20260202,173500,0.4849,0.5,0.4849,0.4849,15550,0
COLAR.US,5,20260202,174000,0.47,0.4849,0.4698,0.4698,8967,0
COLAR.US,5,20260202,180000,0.4799,0.4799,0.4799,0.4799,100,0
COLAR.US,5,20260202,181500,0.4799,0.4799,0.4799,0.4799,200,0
COLAR.US,5,20260202,211000,0.4799,0.4799,0.4799,0.4799,100,0
COLAR.US,5,20260203,185500,0.449,0.48,0.449,0.4799,300,0
COLAR.US,5,20260204,181000,0.4002,0.41,0.35,0.35,800,0
COLAR.US,5,20260204,181500,0.4,0.4,0.4,0.4,100,0
COLAR.US,5,20260204,185500,0.35,0.38,0.35,0.38,503,0
COLAR.US,5,20260204,190000,0.38,0.38,0.35,0.38,5800,0
COLAR.US,5,20260204,190500,0.3799,0.3799,0.3799,0.3799,200,0
COLAR.US,5,20260204,191000,0.31,0.31,0.31,0.31,200,0
COLAR.US,5,20260204,191500,0.311,0.311,0.311,0.311,600,0
COLAR.US,5,20260204,192000,0.3455,0.3496,0.3455,0.3496,2000,0
COLAR.US,5,20260204,192500,0.311,0.311,0.311,0.311,1200,0
COLAR.US,5,20260204,193500,0.3455,0.37,0.3455,0.36,1500,0
COLAR.US,5,20260204,194000,0.3625,0.3625,0.3625,0.3625,100,0
COLAR.US,5,20260204,194500,0.363,0.363,0.363,0.363,6000,0
COLAR.US,5,20260204,195000,0.38,0.38,0.38,0.38,2605,0
COLAR.US,5,20260204,200000,0.3801,0.3801,0.3801,0.3801,500,0
COLAR.US,5,20260204,200500,0.3802,0.3802,0.3802,0.3802,807,0
COLAR.US,5,20260204,202500,0.3802,0.3802,0.3802,0.3802,400,0
COLAR.US,5,20260204,203500,0.312,0.312,0.312,0.312,3599,0
COLAR.US,5,20260204,204000,0.38,0.38,0.38,0.38,100,0
COLAR.US,5,20260204,204500,0.32,0.3627,0.32,0.33,6400,0
COLAR.US,5,20260204,205000,0.33,0.3711,0.33,0.3652,900,0
COLAR.US,5,20260204,205500,0.334,0.334,0.334,0.334,1700,0
COLAR.US,5,20260204,210000,0.334,0.3449,0.331,0.331,1300,0
COLAR.US,5,20260204,210500,0.331,0.331,0.331,0.331,300,0
COLAR.US,5,20260204,211500,0.375,0.3769,0.332,0.332,4999,0
COLAR.US,5,20260204,212000,0.3329,0.3555,0.3311,0.3311,4800,0
COLAR.US,5,20260204,214500,0.39,0.39,0.38,0.38,2100,0
COLAR.US,5,20260204,215000,0.4314,0.4314,0.4314,0.4314,100,0
COLAR.US,5,20260204,215500,0.3801,0.3804,0.38,0.38,7734,0
COLAR.US,5,20260205,204000,0.34,0.34,0.34,0.34,2100,0
COLAR.US,5,20260205,213500,0.3401,0.3401,0.3401,0.3401,2000,0
COLAR.US,5,20260206,160500,0.39,0.39,0.39,0.39,2100,0
COLAR.US,5,20260206,203500,0.3877,0.3877,0.31,0.31,8682,0
COLAR.US,5,20260206,214500,0.361,0.381,0.361,0.361,2700,0
COLAR.US,5,20260210,162000,0.42785,0.42785,0.39,0.39,7395,0
COLAR.US,5,20260210,165000,0.346529,0.346529,0.346529,0.346529,4005,0
COLAR.US,5,20260211,201500,0.4499,0.4499,0.4,0.4,535,0
COLAR.US,5,20260212,171500,0.3941,0.463,0.36,0.463,304,0
COLAR.US,5,20260212,173500,0.373,0.373,0.373,0.373,952,0
COLAR.US,5,20260212,174000,0.412201,0.412201,0.364501,0.4122,3200,0
COLAR.US,5,20260212,174500,0.3684,0.3684,0.36,0.36,3898,0
COLAR.US,5,20260213,170000,0.37,0.37,0.37,0.37,1100,0
COLAR.US,5,20260213,175500,0.4,0.4,0.4,0.4,200,0
COLAR.US,5,20260213,194000,0.4076,0.4076,0.4076,0.4076,1000,0
COLAR.US,5,20260213,213500,0.4076,0.4076,0.4076,0.4076,642,0
COLAR.US,5,20260217,210000,0.38,0.4398,0.37,0.4398,46850,0
COLAR.US,5,20260219,153500,0.4,0.4,0.4,0.4,700,0
COLAR.US,5,20260219,155000,0.4,0.4001,0.4,0.4001,1400,0
COLAR.US,5,20260219,215500,0.4102,0.43,0.4102,0.43,200,0
COLAR.US,5,20260220,153000,0.35,0.35,0.35,0.35,258,0
COLAR.US,5,20260223,193500,0.35,0.35,0.35,0.35,500,0
