<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRBP.US,5,20260126,153000,8.64,8.72,8.51,8.51,2548,0
CRBP.US,5,20260126,153500,8.635,8.755,8.635,8.635,1497,0
CRBP.US,5,20260126,154000,8.73,8.76,8.61,8.7,2500,0
CRBP.US,5,20260126,154500,8.715,8.78,8.715,8.77,300,0
CRBP.US,5,20260126,155000,8.72,8.77,8.595,8.655,400,0
CRBP.US,5,20260126,155500,8.66,8.66,8.66,8.66,200,0
CRBP.US,5,20260126,160000,8.64,8.6891,8.6174,8.66,935,0
CRBP.US,5,20260126,160500,8.64,8.6524,8.64,8.65,319,0
CRBP.US,5,20260126,161000,8.655,8.67,8.655,8.67,200,0
CRBP.US,5,20260126,161500,8.68,8.72,8.68,8.72,1136,0
CRBP.US,5,20260126,162000,8.735,8.735,8.735,8.735,100,0
CRBP.US,5,20260126,162500,8.71,8.75,8.71,8.75,253,0
CRBP.US,5,20260126,163500,8.75,8.75,8.75,8.75,100,0
CRBP.US,5,20260126,164000,8.755,8.755,8.695,8.705,400,0
CRBP.US,5,20260126,164500,8.74,8.76,8.74,8.76,400,0
CRBP.US,5,20260126,165000,8.8,8.8,8.8,8.8,1000,0
CRBP.US,5,20260126,165500,8.8,8.8111,8.8,8.8111,579,0
CRBP.US,5,20260126,170000,8.835,8.835,8.835,8.835,188,0
CRBP.US,5,20260126,171000,8.8,8.8,8.76,8.76,490,0
CRBP.US,5,20260126,171500,8.755,8.8216,8.755,8.8216,2784,0
CRBP.US,5,20260126,172000,8.7701,8.78,8.75,8.7791,4757,0
CRBP.US,5,20260126,172500,8.785,8.785,8.785,8.785,100,0
CRBP.US,5,20260126,173000,8.8,8.805,8.8,8.805,208,0
CRBP.US,5,20260126,173500,8.81,8.82,8.81,8.82,300,0
CRBP.US,5,20260126,174500,8.82,8.82,8.82,8.82,100,0
CRBP.US,5,20260126,175000,8.82,8.845,8.82,8.845,592,0
CRBP.US,5,20260126,175500,8.81,8.81,8.81,8.81,100,0
CRBP.US,5,20260126,180000,8.818,8.818,8.818,8.818,100,0
CRBP.US,5,20260126,181000,8.82,8.82,8.81,8.81,200,0
CRBP.US,5,20260126,181500,8.8528,8.885,8.83,8.885,2758,0
CRBP.US,5,20260126,182000,8.87,8.87,8.865,8.865,200,0
CRBP.US,5,20260126,183000,8.9,8.92,8.885,8.9,1600,0
CRBP.US,5,20260126,184000,8.97,8.98,8.97,8.97,1052,0
CRBP.US,5,20260126,184500,8.99,8.99,8.96,8.975,4000,0
CRBP.US,5,20260126,185000,8.98,8.995,8.98,8.995,200,0
CRBP.US,5,20260126,185500,9.045,9.0657,9.045,9.0657,716,0
CRBP.US,5,20260126,191000,9.07,9.1,9.07,9.1,2679,0
CRBP.US,5,20260126,192000,9.09,9.09,9.09,9.09,132,0
CRBP.US,5,20260126,192500,9.075,9.0992,9.07,9.07,511,0
CRBP.US,5,20260126,193000,9.0992,9.1,9.08,9.1,953,0
CRBP.US,5,20260126,193500,9.095,9.095,9.095,9.095,100,0
CRBP.US,5,20260126,194000,9.11,9.11,9.0801,9.0801,1630,0
CRBP.US,5,20260126,194500,9.1299,9.1299,9.07,9.07,307,0
CRBP.US,5,20260126,195000,9.09,9.09,9.0412,9.07,2060,0
CRBP.US,5,20260126,195500,9.0855,9.0855,9.06,9.078,440,0
