<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CREX.US,5,20260126,153000,3.53,3.53,3.38,3.47,1495,0
CREX.US,5,20260126,153500,3.47,3.47,3.47,3.47,300,0
CREX.US,5,20260126,154000,3.47,3.47,3.47,3.47,100,0
CREX.US,5,20260126,160000,3.4197,3.4197,3.4197,3.4197,869,0
CREX.US,5,20260126,162000,3.43,3.43,3.34,3.34,10421,0
CREX.US,5,20260126,162500,3.36,3.36,3.34,3.36,4164,0
CREX.US,5,20260126,163000,3.425,3.425,3.425,3.425,100,0
CREX.US,5,20260126,164500,3.36,3.361,3.24,3.29,18096,0
CREX.US,5,20260126,165000,3.38,3.38,3.38,3.38,300,0
CREX.US,5,20260126,165500,3.39,3.39,3.39,3.39,482,0
CREX.US,5,20260126,170000,3.35,3.35,3.265,3.265,4226,0
CREX.US,5,20260126,170500,3.245,3.27,3.245,3.27,900,0
CREX.US,5,20260126,171000,3.23,3.23,3.23,3.23,1896,0
CREX.US,5,20260126,171500,3.25,3.25,3.17,3.18,6705,0
CREX.US,5,20260126,172000,3.25,3.25,3.15,3.15,14979,0
CREX.US,5,20260126,172500,3.1993,3.2,3.06,3.1,8864,0
CREX.US,5,20260126,173000,3.1,3.1,3.1,3.1,11786,0
CREX.US,5,20260126,174000,3.181,3.26,3.181,3.26,5160,0
CREX.US,5,20260126,174500,3.2391,3.2391,3.2391,3.2391,500,0
CREX.US,5,20260126,175000,3.1843,3.1843,3.1843,3.1843,350,0
CREX.US,5,20260126,180000,3.26,3.26,3.25,3.26,1452,0
CREX.US,5,20260126,182000,3.345,3.345,3.345,3.345,200,0
CREX.US,5,20260126,194500,3.2813,3.365,3.2813,3.365,205,0
CREX.US,5,20260126,203000,3.365,3.365,3.365,3.365,100,0
CREX.US,5,20260126,211500,3.38,3.38,3.35,3.35,323,0
CREX.US,5,20260126,212000,3.36,3.36,3.36,3.36,800,0
CREX.US,5,20260126,213500,3.37,3.37,3.25,3.26,6321,0
CREX.US,5,20260126,215500,3.25,3.25,3.22,3.25,5143,0
CREX.US,5,20260127,153000,3.27,3.27,3.27,3.27,1831,0
CREX.US,5,20260127,155000,3.32,3.32,3.32,3.32,100,0
CREX.US,5,20260127,155500,3.31,3.31,3.3,3.3,1065,0
CREX.US,5,20260127,160000,3.17,3.3,3.17,3.3,1200,0
CREX.US,5,20260127,160500,3.3,3.3,3.3,3.3,880,0
CREX.US,5,20260127,161000,3.3486,3.3486,3.31,3.345,1026,0
CREX.US,5,20260127,165000,3.344,3.344,3.344,3.344,280,0
CREX.US,5,20260127,171000,3.3708,3.3799,3.3001,3.3799,715,0
CREX.US,5,20260127,172000,3.32,3.3799,3.28,3.3799,7200,0
CREX.US,5,20260127,172500,3.3799,3.38,3.36,3.37,6100,0
CREX.US,5,20260127,173500,3.1829,3.1829,3.1829,3.1829,268,0
CREX.US,5,20260127,174500,3.37,3.37,3.37,3.37,100,0
CREX.US,5,20260127,175500,3.31,3.31,3.31,3.31,100,0
CREX.US,5,20260127,180500,3.31,3.31,3.31,3.31,100,0
CREX.US,5,20260127,182500,3.35,3.35,3.35,3.35,100,0
CREX.US,5,20260127,184500,3.2501,3.2501,3.2501,3.2501,350,0
CREX.US,5,20260127,185000,3.35,3.35,3.35,3.35,100,0
CREX.US,5,20260127,191500,3.35,3.35,3.35,3.35,100,0
