<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSAI.US,5,20260126,153000,0.9,0.9,0.8752,0.8768,46404,0
CSAI.US,5,20260126,153500,0.889999,0.9216,0.88,0.92,13402,0
CSAI.US,5,20260126,154000,0.9206,0.9324,0.91475,0.93,45182,0
CSAI.US,5,20260126,154500,0.93245,0.944949,0.9289,0.9424,29138,0
CSAI.US,5,20260126,155000,0.944951,0.949899,0.9267,0.9339,11270,0
CSAI.US,5,20260126,155500,0.93,0.93,0.9209,0.9209,1100,0
CSAI.US,5,20260126,160000,0.9213,0.9321,0.921,0.9218,19239,0
CSAI.US,5,20260126,160500,0.923,0.923,0.8905,0.8905,13340,0
CSAI.US,5,20260126,161000,0.9068,0.9068,0.9068,0.9068,540,0
CSAI.US,5,20260126,161500,0.9023,0.9023,0.9023,0.9023,100,0
CSAI.US,5,20260126,162000,0.9,0.9099,0.89615,0.9099,21696,0
CSAI.US,5,20260126,162500,0.9012,0.9012,0.8926,0.8926,1787,0
CSAI.US,5,20260126,163000,0.9013,0.9255,0.9013,0.9225,19300,0
CSAI.US,5,20260126,163500,0.91,0.9349,0.91,0.912676,5229,0
CSAI.US,5,20260126,164000,0.9101,0.9244,0.91,0.9181,6038,0
CSAI.US,5,20260126,164500,0.9211,0.9212,0.9103,0.91575,5026,0
CSAI.US,5,20260126,165000,0.9212,0.9212,0.92,0.92,1850,0
CSAI.US,5,20260126,165500,0.9201,0.9201,0.9201,0.9201,200,0
CSAI.US,5,20260126,170000,0.9201,0.9202,0.9201,0.9202,13451,0
CSAI.US,5,20260126,170500,0.925,0.93,0.92,0.93,7226,0
CSAI.US,5,20260126,171000,0.92,0.92,0.92,0.92,1100,0
CSAI.US,5,20260126,171500,0.9157,0.9157,0.9157,0.9157,600,0
CSAI.US,5,20260126,172000,0.9104,0.918,0.9104,0.918,5850,0
CSAI.US,5,20260126,172500,0.9188,0.9199,0.9147,0.9199,5100,0
CSAI.US,5,20260126,173000,0.9198,0.9204,0.9151,0.9204,1883,0
CSAI.US,5,20260126,173500,0.9204,0.9244,0.9204,0.9204,5600,0
CSAI.US,5,20260126,174000,0.9103,0.9204,0.8924,0.8924,6159,0
CSAI.US,5,20260126,174500,0.9118,0.9118,0.906799,0.9068,2100,0
CSAI.US,5,20260126,175000,0.9188,0.9188,0.907,0.907,300,0
CSAI.US,5,20260126,175500,0.91,0.91,0.9036,0.9036,810,0
CSAI.US,5,20260126,180000,0.9144,0.9144,0.907,0.9122,14200,0
CSAI.US,5,20260126,180500,0.9103,0.9103,0.9005,0.9061,10447,0
CSAI.US,5,20260126,181000,0.9067,0.9333,0.9067,0.91815,22934,0
CSAI.US,5,20260126,182500,0.9333,0.9333,0.9333,0.9333,100,0
CSAI.US,5,20260126,183000,0.92165,0.92165,0.91,0.9107,1000,0
CSAI.US,5,20260126,183500,0.9332,0.9332,0.91,0.9212,3917,0
CSAI.US,5,20260126,184000,0.9217,0.9217,0.92,0.92,600,0
CSAI.US,5,20260126,184500,0.9101,0.9101,0.9101,0.9101,1518,0
CSAI.US,5,20260126,185000,0.91,0.91,0.91,0.91,329,0
CSAI.US,5,20260126,185500,0.92165,0.92165,0.92165,0.92165,200,0
CSAI.US,5,20260126,190000,0.9333,0.9333,0.9291,0.9332,1300,0
CSAI.US,5,20260126,190500,0.9291,0.935,0.9239,0.925001,9815,0
CSAI.US,5,20260126,191000,0.9399,0.9399,0.925,0.925,1614,0
CSAI.US,5,20260126,191500,0.934,0.934,0.9334,0.934,2900,0
CSAI.US,5,20260126,192000,0.9346,0.94,0.9346,0.94,2500,0
CSAI.US,5,20260126,192500,0.934,0.9346,0.934,0.934,1407,0
CSAI.US,5,20260126,193000,0.934,0.96,0.934,0.953,76231,0
CSAI.US,5,20260126,193500,0.94295,0.9578,0.9429,0.943,631,0
CSAI.US,5,20260126,194000,0.9578,0.9578,0.929,0.929,3979,0
CSAI.US,5,20260126,194500,0.9288,0.9288,0.9288,0.9288,1530,0
CSAI.US,5,20260126,195000,0.9543,0.9578,0.9433,0.95,12700,0
CSAI.US,5,20260126,195500,0.9578,0.9578,0.931,0.931,2925,0
CSAI.US,5,20260126,200000,0.9494,0.96,0.93,0.93,7400,0
CSAI.US,5,20260126,200500,0.94,0.94,0.94,0.94,100,0
CSAI.US,5,20260126,201000,0.933,0.933,0.933,0.933,1586,0
CSAI.US,5,20260126,201500,0.94,0.9445,0.94,0.9445,434,0
CSAI.US,5,20260126,202000,0.9445,0.9445,0.9421,0.9421,900,0
CSAI.US,5,20260126,202500,0.9421,0.9597,0.9421,0.9597,11336,0
CSAI.US,5,20260126,203000,0.9485,0.9599,0.9372,0.95,3959,0
CSAI.US,5,20260126,203500,0.95,0.9599,0.95,0.9544,3763,0
CSAI.US,5,20260126,204000,0.95,0.9598,0.9499,0.95,2425,0
CSAI.US,5,20260126,204500,0.95,0.95,0.949,0.95,2280,0
CSAI.US,5,20260126,205000,0.9574,0.958,0.949,0.9504,11032,0
CSAI.US,5,20260126,205500,0.949,0.9502,0.93,0.93,27937,0
CSAI.US,5,20260126,210000,0.93,0.932,0.93,0.93,8461,0
CSAI.US,5,20260126,210500,0.9313,0.945,0.9288,0.9443,2798,0
CSAI.US,5,20260126,211000,0.9404,0.9404,0.9241,0.9282,5332,0
CSAI.US,5,20260126,211500,0.923776,0.923776,0.923776,0.923776,700,0
CSAI.US,5,20260126,212000,0.9351,0.9351,0.9351,0.9351,1107,0
CSAI.US,5,20260126,212500,0.9277,0.9351,0.9277,0.9351,6952,0
CSAI.US,5,20260126,213000,0.935,0.937,0.924,0.937,6500,0
CSAI.US,5,20260126,213500,0.9474,0.9485,0.9474,0.9485,200,0
CSAI.US,5,20260126,214500,0.931101,0.95,0.931101,0.9491,6515,0
CSAI.US,5,20260126,215000,0.95,0.95,0.931,0.93985,3632,0
CSAI.US,5,20260126,215500,0.9306,0.9382,0.924,0.931,11756,0
CSAI.US,5,20260127,153000,0.927,0.9309,0.9018,0.905,7415,0
CSAI.US,5,20260127,153500,0.9164,0.9164,0.8803,0.8803,9957,0
CSAI.US,5,20260127,154000,0.8814,0.8814,0.8814,0.8814,100,0
CSAI.US,5,20260127,154500,0.8932,0.9,0.885,0.9,7462,0
CSAI.US,5,20260127,155000,0.8932,0.9014,0.8833,0.8988,10447,0
CSAI.US,5,20260127,155500,0.8833,0.902401,0.8833,0.8833,8100,0
CSAI.US,5,20260127,160500,0.8988,0.9025,0.8988,0.9025,300,0
CSAI.US,5,20260127,161000,0.9025,0.90395,0.9025,0.90395,900,0
CSAI.US,5,20260127,161500,0.9063,0.9063,0.9063,0.9063,1300,0
CSAI.US,5,20260127,162000,0.9,0.9,0.89,0.8936,2349,0
CSAI.US,5,20260127,162500,0.91,0.9138,0.91,0.9114,655,0
CSAI.US,5,20260127,163000,0.9138,0.9138,0.9033,0.9033,2733,0
CSAI.US,5,20260127,163500,0.9033,0.9043,0.9033,0.9043,500,0
CSAI.US,5,20260127,164000,0.8948,0.9043,0.8948,0.9043,2219,0
CSAI.US,5,20260127,164500,0.8949,0.899,0.8928,0.8928,7004,0
CSAI.US,5,20260127,165000,0.9081,0.9081,0.9081,0.9081,500,0
CSAI.US,5,20260127,165500,0.8835,0.8859,0.8824,0.8824,7849,0
CSAI.US,5,20260127,170000,0.8923,0.8996,0.8923,0.8996,500,0
CSAI.US,5,20260127,170500,0.8924,0.894,0.8824,0.8824,12350,0
CSAI.US,5,20260127,171500,0.882501,0.882501,0.8824,0.8824,7012,0
CSAI.US,5,20260127,172000,0.8937,0.8937,0.8937,0.8937,292,0
CSAI.US,5,20260127,172500,0.8825,0.8936,0.8825,0.8936,200,0
CSAI.US,5,20260127,173000,0.881,0.8822,0.8757,0.8765,3759,0
CSAI.US,5,20260127,173500,0.8762,0.888199,0.8612,0.8612,9601,0
CSAI.US,5,20260127,174000,0.8624,0.8685,0.8613,0.8613,4950,0
CSAI.US,5,20260127,174500,0.8614,0.869299,0.8614,0.869299,1720,0
CSAI.US,5,20260127,175000,0.8615,0.8615,0.8615,0.8615,360,0
CSAI.US,5,20260127,175500,0.8615,0.8654,0.8615,0.8654,30790,0
CSAI.US,5,20260127,180000,0.865,0.865,0.857,0.857,5451,0
CSAI.US,5,20260127,180500,0.8572,0.863,0.8436,0.8579,17999,0
CSAI.US,5,20260127,181000,0.876,0.876,0.876,0.876,100,0
CSAI.US,5,20260127,182000,0.8619,0.8619,0.8453,0.850051,8318,0
CSAI.US,5,20260127,182500,0.852049,0.8586,0.852049,0.8586,690,0
CSAI.US,5,20260127,183000,0.852051,0.860399,0.8436,0.8436,6798,0
CSAI.US,5,20260127,183500,0.8436,0.8436,0.8436,0.8436,250,0
CSAI.US,5,20260127,184000,0.85205,0.85205,0.85205,0.85205,500,0
CSAI.US,5,20260127,184500,0.8436,0.85525,0.8436,0.85525,1835,0
CSAI.US,5,20260127,185000,0.85205,0.8604,0.8503,0.8521,3221,0
CSAI.US,5,20260127,185500,0.8558,0.8558,0.845,0.85,1293,0
CSAI.US,5,20260127,190000,0.8493,0.855,0.8441,0.85,2450,0
CSAI.US,5,20260127,191000,0.85,0.85,0.85,0.85,990,0
CSAI.US,5,20260127,192000,0.873,0.896,0.85,0.85,6210,0
CSAI.US,5,20260127,192500,0.87,0.87,0.85,0.85,2500,0
CSAI.US,5,20260127,193000,0.87,0.873,0.85,0.873,3660,0
CSAI.US,5,20260127,193500,0.8608,0.8608,0.86075,0.86075,400,0
CSAI.US,5,20260127,194500,0.9,0.9,0.8608,0.8621,914,0
CSAI.US,5,20260127,195000,0.8621,0.8621,0.8621,0.8621,1140,0
CSAI.US,5,20260127,195500,0.9,0.9,0.8608,0.8953,1000,0
CSAI.US,5,20260127,200000,0.863,0.864,0.863,0.864,1160,0
CSAI.US,5,20260127,200500,0.8631,0.8824,0.8631,0.8824,220,0
CSAI.US,5,20260127,201000,0.8651,0.8954,0.8651,0.875,1800,0
CSAI.US,5,20260127,201500,0.8997,0.8997,0.875,0.875,639,0
CSAI.US,5,20260127,202000,0.8997,0.8997,0.87,0.87,2650,0
CSAI.US,5,20260127,202500,0.87,0.87,0.87,0.87,940,0
CSAI.US,5,20260127,203500,0.88,0.88,0.88,0.88,100,0
CSAI.US,5,20260127,204000,0.88929,0.88929,0.8714,0.8714,1560,0
CSAI.US,5,20260127,205000,0.87,0.87,0.8651,0.8651,2253,0
CSAI.US,5,20260127,205500,0.87,0.87,0.8608,0.8651,1411,0
CSAI.US,5,20260127,210000,0.8608,0.8608,0.8598,0.86,1408,0
CSAI.US,5,20260127,211000,0.8737,0.89,0.8613,0.8613,2521,0
CSAI.US,5,20260127,212000,0.875,0.875,0.875,0.875,540,0
CSAI.US,5,20260127,212500,0.86,0.8613,0.86,0.8613,1080,0
CSAI.US,5,20260127,213000,0.86,0.88,0.86,0.88,4595,0
CSAI.US,5,20260127,213500,0.8613,0.8613,0.8601,0.8601,1140,0
CSAI.US,5,20260127,214000,0.8602,0.8751,0.8602,0.8602,3558,0
