<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZR.US,5,20260126,153000,23.215,23.325,23.15,23.19,8302,0
CZR.US,5,20260126,153500,23.155,23.17,23.03,23.08,44010,0
CZR.US,5,20260126,154000,23.09,23.16,23.03,23.095,16885,0
CZR.US,5,20260126,154500,23.095,23.32,23.095,23.28,21946,0
CZR.US,5,20260126,155000,23.26,23.26,23.115,23.15,19925,0
CZR.US,5,20260126,155500,23.11,23.11,22.93,22.93,22638,0
CZR.US,5,20260126,160000,22.95,23.002,22.845,22.85,36770,0
CZR.US,5,20260126,160500,22.85,22.8798,22.77,22.78,26150,0
CZR.US,5,20260126,161000,22.79,22.89,22.78,22.85,12371,0
CZR.US,5,20260126,161500,22.85,22.985,22.8448,22.94,54258,0
CZR.US,5,20260126,162000,22.942,22.97,22.925,22.95,20427,0
CZR.US,5,20260126,162500,22.94,22.94,22.83,22.8453,38216,0
CZR.US,5,20260126,163000,22.845,22.885,22.83,22.84,25169,0
CZR.US,5,20260126,163500,22.84,22.95,22.8347,22.95,46709,0
CZR.US,5,20260126,164000,22.945,23,22.94,22.94,30654,0
CZR.US,5,20260126,164500,22.945,22.9812,22.93,22.965,16477,0
CZR.US,5,20260126,165000,22.965,23,22.935,22.955,23824,0
CZR.US,5,20260126,165500,22.965,22.975,22.895,22.895,13106,0
CZR.US,5,20260126,170000,22.89,22.89,22.825,22.835,22048,0
CZR.US,5,20260126,170500,22.82,22.865,22.76,22.85,20479,0
CZR.US,5,20260126,171000,22.845,22.845,22.815,22.82,8302,0
CZR.US,5,20260126,171500,22.805,22.8087,22.7725,22.775,25158,0
CZR.US,5,20260126,172000,22.775,22.815,22.765,22.81,23028,0
CZR.US,5,20260126,172500,22.815,22.835,22.795,22.83,14860,0
CZR.US,5,20260126,173000,22.825,22.865,22.825,22.86,18923,0
CZR.US,5,20260126,173500,22.85,22.875,22.82,22.85,26777,0
CZR.US,5,20260126,174000,22.84,22.845,22.825,22.835,6527,0
CZR.US,5,20260126,174500,22.83,22.835,22.8125,22.825,11368,0
CZR.US,5,20260126,175000,22.825,22.84,22.815,22.835,8116,0
CZR.US,5,20260126,175500,22.83,22.84,22.805,22.81,6866,0
CZR.US,5,20260126,180000,22.82,22.83,22.77,22.78,62555,0
CZR.US,5,20260126,180500,22.785,22.835,22.78,22.78,16457,0
CZR.US,5,20260126,181000,22.78,22.78,22.665,22.72,57123,0
CZR.US,5,20260126,181500,22.715,22.715,22.67,22.67,20590,0
CZR.US,5,20260126,182000,22.66,22.68,22.66,22.665,23679,0
CZR.US,5,20260126,182500,22.665,22.68,22.635,22.675,40015,0
CZR.US,5,20260126,183000,22.68,22.715,22.6625,22.6625,19582,0
CZR.US,5,20260126,183500,22.665,22.71,22.665,22.69,21468,0
CZR.US,5,20260126,184000,22.685,22.695,22.6701,22.685,7463,0
CZR.US,5,20260126,184500,22.685,22.695,22.67,22.675,13624,0
CZR.US,5,20260126,185000,22.675,22.675,22.645,22.665,12153,0
CZR.US,5,20260126,185500,22.66,22.67,22.61,22.64,38750,0
CZR.US,5,20260126,190000,22.635,22.635,22.6146,22.63,10226,0
CZR.US,5,20260126,190500,22.62,22.625,22.575,22.585,27414,0
