<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAKT.US,5,20260126,153000,21.5,21.56,21.48,21.56,4067,0
DAKT.US,5,20260126,153500,21.555,21.555,21.555,21.555,200,0
DAKT.US,5,20260126,154000,21.49,21.5,21.49,21.5,350,0
DAKT.US,5,20260126,154500,21.51,21.54,21.51,21.525,902,0
DAKT.US,5,20260126,155000,21.63,21.64,21.51,21.51,384,0
DAKT.US,5,20260126,155500,21.61,21.61,21.48,21.52,1009,0
DAKT.US,5,20260126,160000,21.5447,21.5447,21.5447,21.5447,200,0
DAKT.US,5,20260126,160500,21.39,21.39,21.37,21.37,464,0
DAKT.US,5,20260126,161000,21.36,21.41,21.36,21.4,1942,0
DAKT.US,5,20260126,161500,21.41,21.41,21.41,21.41,350,0
DAKT.US,5,20260126,162000,21.43,21.43,21.38,21.43,700,0
DAKT.US,5,20260126,162500,21.3701,21.3701,21.3295,21.3295,500,0
DAKT.US,5,20260126,163000,21.31,21.345,21.31,21.31,1330,0
DAKT.US,5,20260126,163500,21.345,21.345,21.3,21.3,1183,0
DAKT.US,5,20260126,164000,21.24,21.24,21.175,21.19,1302,0
DAKT.US,5,20260126,164500,21.21,21.24,21.2,21.2,1700,0
DAKT.US,5,20260126,165500,21.185,21.185,21.185,21.185,371,0
DAKT.US,5,20260126,170000,21.17,21.17,21.17,21.17,200,0
DAKT.US,5,20260126,170500,21.18,21.18,21.17,21.17,560,0
DAKT.US,5,20260126,171000,21.17,21.17,21.13,21.13,850,0
DAKT.US,5,20260126,172000,21.11,21.15,21.11,21.14,1300,0
DAKT.US,5,20260126,173000,21.15,21.15,21.15,21.15,200,0
DAKT.US,5,20260126,173500,21.18,21.2,21.18,21.2,700,0
DAKT.US,5,20260126,174000,21.19,21.19,21.19,21.19,300,0
DAKT.US,5,20260126,175500,21.14,21.14,21.13,21.13,200,0
DAKT.US,5,20260126,180000,21.125,21.24,21.125,21.24,5836,0
DAKT.US,5,20260126,180500,21.26,21.26,21.26,21.26,100,0
DAKT.US,5,20260126,181000,21.325,21.325,21.325,21.325,231,0
DAKT.US,5,20260126,181500,21.33,21.33,21.33,21.33,200,0
DAKT.US,5,20260126,182000,21.36,21.41,21.36,21.41,300,0
DAKT.US,5,20260126,182500,21.41,21.419,21.3804,21.419,445,0
DAKT.US,5,20260126,183500,21.42,21.42,21.42,21.42,100,0
DAKT.US,5,20260126,184000,21.41,21.41,21.39,21.39,600,0
DAKT.US,5,20260126,184500,21.3801,21.44,21.3801,21.44,1410,0
DAKT.US,5,20260126,185000,21.425,21.425,21.425,21.425,200,0
DAKT.US,5,20260126,185500,21.425,21.425,21.425,21.425,100,0
DAKT.US,5,20260126,190000,21.425,21.425,21.425,21.425,343,0
DAKT.US,5,20260126,190500,21.413,21.413,21.413,21.413,318,0
DAKT.US,5,20260126,191000,21.425,21.425,21.425,21.425,250,0
DAKT.US,5,20260126,191500,21.45,21.47,21.44,21.47,1100,0
DAKT.US,5,20260126,192000,21.485,21.485,21.485,21.485,6074,0
DAKT.US,5,20260126,192500,21.47,21.489,21.45,21.48,1752,0
DAKT.US,5,20260126,193000,21.4668,21.47,21.45,21.45,941,0
DAKT.US,5,20260126,193500,21.46,21.46,21.46,21.46,300,0
DAKT.US,5,20260126,194000,21.44,21.44,21.44,21.44,400,0
DAKT.US,5,20260126,194500,21.435,21.435,21.435,21.435,200,0
DAKT.US,5,20260126,195000,21.41,21.43,21.41,21.43,518,0
DAKT.US,5,20260126,195500,21.41,21.425,21.41,21.41,808,0
DAKT.US,5,20260126,200500,21.41,21.41,21.4,21.4,400,0
DAKT.US,5,20260126,201000,21.405,21.48,21.405,21.445,2147,0
DAKT.US,5,20260126,201500,21.46,21.47,21.46,21.47,575,0
DAKT.US,5,20260126,202500,21.465,21.47,21.465,21.47,200,0
DAKT.US,5,20260126,203000,21.47,21.47,21.45,21.45,500,0
DAKT.US,5,20260126,203500,21.47,21.51,21.47,21.5,2618,0
DAKT.US,5,20260126,204000,21.5,21.5,21.5,21.5,400,0
DAKT.US,5,20260126,204500,21.51,21.52,21.51,21.52,462,0
DAKT.US,5,20260126,205000,21.52,21.54,21.5,21.5,772,0
DAKT.US,5,20260126,205500,21.52,21.56,21.52,21.56,600,0
DAKT.US,5,20260126,210000,21.545,21.58,21.5307,21.58,4234,0
DAKT.US,5,20260126,210500,21.6,21.62,21.6,21.62,300,0
DAKT.US,5,20260126,211000,21.58,21.62,21.58,21.605,1442,0
DAKT.US,5,20260126,211500,21.609,21.609,21.58,21.58,2662,0
DAKT.US,5,20260126,212000,21.57,21.59,21.57,21.59,1100,0
DAKT.US,5,20260126,212500,21.58,21.58,21.56,21.56,1628,0
DAKT.US,5,20260126,213000,21.55,21.58,21.55,21.58,1165,0
DAKT.US,5,20260126,213500,21.589,21.59,21.57,21.58,1609,0
DAKT.US,5,20260126,214000,21.57,21.575,21.56,21.575,800,0
DAKT.US,5,20260126,214500,21.575,21.575,21.49,21.49,8225,0
DAKT.US,5,20260126,215000,21.51,21.53,21.48,21.48,6623,0
DAKT.US,5,20260126,215500,21.4892,21.515,21.48,21.49,66330,0
DAKT.US,5,20260127,153000,21.59,21.65,21.5,21.5428,7435,0
DAKT.US,5,20260127,153500,21.49,21.49,21.49,21.49,100,0
DAKT.US,5,20260127,154000,21.5,21.51,21.48,21.48,4274,0
DAKT.US,5,20260127,154500,21.5,21.54,21.47,21.54,2823,0
DAKT.US,5,20260127,155000,21.51,21.58,21.5,21.58,1105,0
DAKT.US,5,20260127,155500,21.59,21.59,21.55,21.57,300,0
DAKT.US,5,20260127,160000,21.58,21.6,21.56,21.56,2979,0
DAKT.US,5,20260127,160500,21.59,21.59,21.59,21.59,1785,0
DAKT.US,5,20260127,161000,21.61,21.66,21.61,21.66,1050,0
DAKT.US,5,20260127,161500,21.69,21.81,21.68,21.735,1502,0
DAKT.US,5,20260127,162000,21.746,21.79,21.7267,21.755,1137,0
DAKT.US,5,20260127,162500,21.81,21.81,21.79,21.79,1200,0
DAKT.US,5,20260127,163000,21.8,21.8,21.8,21.8,1134,0
DAKT.US,5,20260127,163500,21.825,21.825,21.79,21.79,300,0
DAKT.US,5,20260127,164000,21.74,21.74,21.74,21.74,100,0
DAKT.US,5,20260127,164500,21.73,21.73,21.73,21.73,1146,0
DAKT.US,5,20260127,165000,21.645,21.645,21.645,21.645,100,0
DAKT.US,5,20260127,165500,21.64,21.64,21.64,21.64,100,0
DAKT.US,5,20260127,170000,21.65,21.65,21.61,21.61,753,0
DAKT.US,5,20260127,170500,21.66,21.67,21.66,21.67,244,0
DAKT.US,5,20260127,171000,21.65,21.65,21.61,21.61,210,0
DAKT.US,5,20260127,172000,21.63,21.63,21.625,21.625,420,0
DAKT.US,5,20260127,172500,21.65,21.66,21.65,21.66,1345,0
DAKT.US,5,20260127,173500,21.74,21.74,21.74,21.74,100,0
DAKT.US,5,20260127,174000,21.75,21.82,21.73,21.73,4183,0
DAKT.US,5,20260127,175000,21.86,21.86,21.78,21.79,878,0
DAKT.US,5,20260127,180000,21.79,21.79,21.79,21.79,133,0
DAKT.US,5,20260127,180500,21.805,21.805,21.805,21.805,200,0
DAKT.US,5,20260127,181000,21.81,21.82,21.81,21.82,320,0
DAKT.US,5,20260127,181500,21.7846,21.805,21.7846,21.805,1225,0
DAKT.US,5,20260127,182000,21.82,21.8506,21.7993,21.8506,2684,0
DAKT.US,5,20260127,182500,21.875,21.875,21.86,21.86,900,0
DAKT.US,5,20260127,183500,21.84,21.84,21.83,21.83,200,0
DAKT.US,5,20260127,184000,21.8,21.82,21.79,21.795,2860,0
DAKT.US,5,20260127,184500,21.795,21.795,21.795,21.795,120,0
DAKT.US,5,20260127,185000,21.795,21.795,21.795,21.795,320,0
DAKT.US,5,20260127,185500,21.77,21.795,21.77,21.78,1155,0
DAKT.US,5,20260127,190500,21.78,21.78,21.78,21.78,455,0
DAKT.US,5,20260127,191000,21.78,21.78,21.78,21.78,100,0
DAKT.US,5,20260127,191500,21.78,21.78,21.74,21.745,2415,0
DAKT.US,5,20260127,192000,21.74,21.74,21.74,21.74,577,0
DAKT.US,5,20260127,192500,21.735,21.76,21.73,21.76,952,0
DAKT.US,5,20260127,193000,21.755,21.78,21.755,21.78,217,0
DAKT.US,5,20260127,193500,21.77,21.78,21.75,21.75,1320,0
DAKT.US,5,20260127,194000,21.75,21.75,21.7476,21.75,688,0
DAKT.US,5,20260127,194500,21.75,21.75,21.7279,21.7279,340,0
DAKT.US,5,20260127,195000,21.75,21.75,21.75,21.75,1430,0
DAKT.US,5,20260127,195500,21.74,21.755,21.74,21.755,320,0
DAKT.US,5,20260127,200000,21.755,21.81,21.75,21.81,2109,0
DAKT.US,5,20260127,200500,21.825,21.83,21.82,21.82,700,0
DAKT.US,5,20260127,201000,21.82,21.82,21.82,21.82,100,0
DAKT.US,5,20260127,201500,21.815,21.815,21.815,21.815,162,0
DAKT.US,5,20260127,202000,21.815,21.815,21.815,21.815,100,0
DAKT.US,5,20260127,202500,21.825,21.865,21.825,21.85,1549,0
DAKT.US,5,20260127,203000,21.82,21.83,21.82,21.83,300,0
DAKT.US,5,20260127,203500,21.8,21.82,21.8,21.82,1100,0
DAKT.US,5,20260127,204000,21.795,21.815,21.795,21.815,250,0
DAKT.US,5,20260127,204500,21.815,21.815,21.815,21.815,100,0
DAKT.US,5,20260127,205000,21.8,21.8,21.79,21.79,361,0
DAKT.US,5,20260127,205500,21.805,21.805,21.77,21.79,1710,0
DAKT.US,5,20260127,210000,21.78,21.78,21.775,21.775,1170,0
DAKT.US,5,20260127,210500,21.77,21.855,21.77,21.85,2237,0
DAKT.US,5,20260127,211000,21.86,21.94,21.86,21.9,2207,0
DAKT.US,5,20260127,211500,21.93,21.93,21.9,21.91,1200,0
DAKT.US,5,20260127,212000,21.91,21.91,21.91,21.91,312,0
DAKT.US,5,20260127,212500,21.915,21.915,21.88,21.88,2056,0
DAKT.US,5,20260127,213000,21.87,21.89,21.87,21.88,899,0
DAKT.US,5,20260127,213500,21.9,21.91,21.89,21.895,2207,0
DAKT.US,5,20260127,214000,21.895,21.905,21.89,21.9,3929,0
DAKT.US,5,20260127,214500,21.9,21.92,21.9,21.91,1700,0
DAKT.US,5,20260127,215000,21.92,21.945,21.9,21.94,3267,0
DAKT.US,5,20260127,215500,21.9458,21.98,21.94,21.98,67727,0
