<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DASH.US,5,20260126,153000,207.015,209.165,207,208.085,48519,0
DASH.US,5,20260126,153500,208.085,208.87,207.4,208.01,25887,0
DASH.US,5,20260126,154000,207.9784,209.44,207.9784,208.285,39763,0
DASH.US,5,20260126,154500,208.28,208.38,206.65,206.795,54131,0
DASH.US,5,20260126,155000,206.795,208.34,206.7,208.08,68072,0
DASH.US,5,20260126,155500,208.075,208.535,207.81,207.895,40443,0
DASH.US,5,20260126,160000,208.105,208.74,207.89,208.65,27143,0
DASH.US,5,20260126,160500,208.45,208.98,208.39,208.71,18920,0
DASH.US,5,20260126,161000,208.71,209.12,208.2701,209.1,36960,0
DASH.US,5,20260126,161500,209.065,209.15,208.65,209.1,13113,0
DASH.US,5,20260126,162000,209.15,209.32,208.78,209.025,16522,0
DASH.US,5,20260126,162500,209.025,209.71,209.025,209.6,22190,0
DASH.US,5,20260126,163000,209.555,210.58,209.555,210.02,17209,0
DASH.US,5,20260126,163500,210.005,210.59,210.005,210.2713,11138,0
DASH.US,5,20260126,164000,210.335,211.28,210.26,211.07,25828,0
DASH.US,5,20260126,164500,211.06,211.78,211.05,211.305,29019,0
DASH.US,5,20260126,165000,211.45,211.72,210.8,210.9599,36136,0
DASH.US,5,20260126,165500,210.805,211.18,210.77,210.98,12342,0
DASH.US,5,20260126,170000,211.015,211.25,210.77,210.92,16039,0
DASH.US,5,20260126,170500,210.945,211.15,210.63,211.14,17614,0
DASH.US,5,20260126,171000,211.15,211.15,210.63,210.815,12083,0
DASH.US,5,20260126,171500,210.81,211,210.65,210.84,26635,0
DASH.US,5,20260126,172000,210.785,211.1279,210.4405,211.035,10826,0
DASH.US,5,20260126,172500,211.15,211.41,211.0035,211.35,16097,0
DASH.US,5,20260126,173000,211.37,211.4177,211.18,211.18,6318,0
DASH.US,5,20260126,173500,211.24,211.2602,210.9575,211.075,12641,0
DASH.US,5,20260126,174000,211.065,211.4,211.05,211.27,6912,0
DASH.US,5,20260126,174500,211.27,211.5,211.11,211.3,16263,0
DASH.US,5,20260126,175000,211.39,211.49,211.2522,211.34,7979,0
DASH.US,5,20260126,175500,211.395,211.49,211.07,211.105,12095,0
DASH.US,5,20260126,180000,211.105,211.44,210.86,211.03,15166,0
DASH.US,5,20260126,180500,211.02,211.18,210.92,211.13,5104,0
DASH.US,5,20260126,181000,211.055,211.22,211.05,211.085,3972,0
DASH.US,5,20260126,181500,211.085,211.19,210.85,210.85,15064,0
DASH.US,5,20260126,182000,210.89,211.09,210.835,211.002,7548,0
DASH.US,5,20260126,182500,211.011,211.07,210.8,210.965,9548,0
DASH.US,5,20260126,183000,210.96,211.17,210.93,210.93,11731,0
DASH.US,5,20260126,183500,210.92,211.09,210.84,211.07,6339,0
DASH.US,5,20260126,184000,211.07,211.355,210.97,211.3,19233,0
DASH.US,5,20260126,184500,211.21,211.2899,211.08,211.195,18900,0
DASH.US,5,20260126,185000,211.21,211.4,210.91,211.165,20819,0
DASH.US,5,20260126,185500,211.165,211.18,210.955,211.075,11807,0
DASH.US,5,20260126,190000,211.02,211.199,210.94,211.035,15656,0
DASH.US,5,20260126,190500,211.035,211.28,210.98,211.21,19438,0
DASH.US,5,20260126,191000,211.29,211.29,211.09,211.155,10233,0
DASH.US,5,20260126,191500,211.09,211.265,210.91,210.95,11867,0
DASH.US,5,20260126,192000,210.95,211.01,210.82,210.92,16757,0
DASH.US,5,20260126,192500,210.95,210.96,210.475,210.535,17376,0
DASH.US,5,20260126,193000,210.5374,210.87,210.4,210.55,21895,0
DASH.US,5,20260126,193500,210.55,210.55,210.25,210.295,9302,0
DASH.US,5,20260126,194000,210.25,210.4,210.12,210.225,7636,0
DASH.US,5,20260126,194500,210.225,210.32,210.08,210.315,7410,0
DASH.US,5,20260126,195000,210.37,210.6,210.36,210.49,22718,0
DASH.US,5,20260126,195500,210.49,210.5,210.21,210.5,5566,0
DASH.US,5,20260126,200000,210.39,210.49,210.08,210.22,8125,0
DASH.US,5,20260126,200500,210.2175,210.46,210.02,210.03,11009,0
DASH.US,5,20260126,201000,210.058,210.058,209.7101,209.98,17681,0
DASH.US,5,20260126,201500,210.01,210.06,209.78,209.96,7212,0
DASH.US,5,20260126,202000,209.93,210.1,209.62,209.85,19396,0
DASH.US,5,20260126,202500,209.85,210.11,209.795,210.11,12235,0
DASH.US,5,20260126,203000,210.0101,210.22,210.0101,210.17,9302,0
DASH.US,5,20260126,203500,210.12,210.26,210.06,210.23,10511,0
DASH.US,5,20260126,204000,210.22,210.3,210.13,210.16,11664,0
DASH.US,5,20260126,204500,210.16,210.24,210.01,210.145,31818,0
DASH.US,5,20260126,205000,210.145,210.23,210.07,210.07,10911,0
DASH.US,5,20260126,205500,210.08,210.22,210.07,210.095,17920,0
DASH.US,5,20260126,210000,210.08,210.17,209.795,210.1,28177,0
DASH.US,5,20260126,210500,210.17,210.49,210.08,210.465,13559,0
DASH.US,5,20260126,211000,210.41,210.56,210.29,210.56,44289,0
DASH.US,5,20260126,211500,210.545,210.5869,209.9309,210.485,16855,0
DASH.US,5,20260126,212000,210.44,210.8,210.39,210.655,17981,0
DASH.US,5,20260126,212500,210.635,210.7,210.47,210.675,17710,0
DASH.US,5,20260126,213000,210.76,210.85,210.67,210.78,21838,0
DASH.US,5,20260126,213500,210.78,210.78,210.295,210.38,27116,0
DASH.US,5,20260126,214000,210.39,210.4,210.2,210.3,18591,0
DASH.US,5,20260126,214500,210.3,210.3,210.07,210.16,33962,0
DASH.US,5,20260126,215000,210.19,210.19,209.33,209.35,99638,0
DASH.US,5,20260126,215500,209.32,209.55,209.21,209.41,652678,0
DASH.US,5,20260127,153000,210.055,210.055,206.15,206.15,55910,0
DASH.US,5,20260127,153500,206.33,206.99,205.66,206.99,29267,0
DASH.US,5,20260127,154000,206.76,207.62,206.42,206.795,20493,0
DASH.US,5,20260127,154500,206.91,207.58,206.8214,207.155,33550,0
DASH.US,5,20260127,155000,207.11,207.55,206.9232,207.275,25520,0
DASH.US,5,20260127,155500,207.48,207.48,205.0423,205.63,98061,0
DASH.US,5,20260127,160000,205.75,206.24,204.82,206.03,32330,0
DASH.US,5,20260127,160500,206.03,206.94,205.84,206.72,32250,0
DASH.US,5,20260127,161000,206.62,207.29,206.401,207.16,45159,0
DASH.US,5,20260127,161500,207.15,207.62,206.95,207.52,12338,0
DASH.US,5,20260127,162000,207.495,207.69,206.8626,206.93,12084,0
DASH.US,5,20260127,162500,207.03,207.487,206.84,207.33,20248,0
DASH.US,5,20260127,163000,207.43,208.18,207.43,207.95,23818,0
DASH.US,5,20260127,163500,207.94,208.11,207.395,207.98,23636,0
DASH.US,5,20260127,164000,208,208.7,207.93,208.285,34125,0
DASH.US,5,20260127,164500,208.351,208.36,207.55,207.55,24141,0
DASH.US,5,20260127,165000,207.77,207.84,206.92,207,10745,0
