<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHCNL.US,5,20260126,155500,18.17,18.35,18.16,18.35,599,0
DHCNL.US,5,20260126,161500,18.35,18.35,18.35,18.35,200,0
DHCNL.US,5,20260126,185500,18.3954,18.3954,18.3954,18.3954,360,0
DHCNL.US,5,20260126,211000,18.49,18.49,18.49,18.49,500,0
DHCNL.US,5,20260126,211500,18.52,18.55,18.4901,18.55,600,0
DHCNL.US,5,20260127,153000,18.6,18.6,18.6,18.6,4210,0
DHCNL.US,5,20260127,170000,18.575,18.575,18.575,18.575,100,0
DHCNL.US,5,20260127,201000,18.545,18.64,18.498,18.64,1907,0
DHCNL.US,5,20260127,203500,18.54,18.54,18.54,18.54,500,0
DHCNL.US,5,20260127,205000,18.63,18.63,18.6,18.6,910,0
DHCNL.US,5,20260128,165000,18.6,18.6,18.6,18.6,144,0
DHCNL.US,5,20260128,170000,18.65,18.65,18.65,18.65,850,0
DHCNL.US,5,20260128,175000,18.65,18.65,18.6,18.6,1500,0
DHCNL.US,5,20260128,175500,18.6,18.65,18.6,18.65,600,0
DHCNL.US,5,20260128,180000,18.65,18.65,18.65,18.65,1224,0
DHCNL.US,5,20260128,183000,18.6501,18.6501,18.65,18.65,200,0
DHCNL.US,5,20260128,184000,18.65,18.65,18.65,18.65,474,0
DHCNL.US,5,20260128,193500,18.65,18.65,18.65,18.65,400,0
DHCNL.US,5,20260128,205000,18.8,18.8,18.765,18.8,4600,0
DHCNL.US,5,20260128,215500,19,19,19,19,139,0
DHCNL.US,5,20260129,164500,18.855,18.855,18.855,18.855,100,0
DHCNL.US,5,20260129,172000,18.84,18.84,18.83,18.83,300,0
DHCNL.US,5,20260129,175500,18.85,18.85,18.85,18.85,100,0
DHCNL.US,5,20260129,195000,18.905,18.905,18.905,18.905,301,0
DHCNL.US,5,20260129,200000,18.85,18.85,18.81,18.81,600,0
DHCNL.US,5,20260129,203000,18.8847,18.8847,18.82,18.82,508,0
DHCNL.US,5,20260129,204500,18.9,18.9,18.9,18.9,100,0
DHCNL.US,5,20260129,205500,18.905,18.905,18.905,18.905,267,0
DHCNL.US,5,20260129,215500,19,19,18.89,18.9,1351,0
DHCNL.US,5,20260130,153000,18.81,18.81,18.81,18.81,100,0
DHCNL.US,5,20260130,154500,18.56,18.56,18.56,18.56,3300,0
DHCNL.US,5,20260130,161000,18.55,18.55,18.55,18.55,305,0
DHCNL.US,5,20260130,164500,18.805,18.805,18.805,18.805,150,0
DHCNL.US,5,20260130,181000,18.845,18.845,18.845,18.845,310,0
DHCNL.US,5,20260130,184000,18.9,18.9,18.9,18.9,100,0
DHCNL.US,5,20260130,192000,18.77,18.77,18.57,18.57,805,0
DHCNL.US,5,20260130,193500,18.65,18.73,18.65,18.73,550,0
DHCNL.US,5,20260130,204000,18.695,18.695,18.695,18.695,100,0
DHCNL.US,5,20260130,211500,18.75,18.75,18.75,18.75,123,0
DHCNL.US,5,20260130,212000,18.83,18.83,18.82,18.82,338,0
DHCNL.US,5,20260130,213000,18.83,18.83,18.83,18.83,200,0
DHCNL.US,5,20260130,213500,18.9,18.9,18.9,18.9,100,0
DHCNL.US,5,20260130,214000,18.9,18.9,18.9,18.9,100,0
DHCNL.US,5,20260130,215000,18.95,19,18.95,19,400,0
DHCNL.US,5,20260130,215500,19,19,19,19,2518,0
DHCNL.US,5,20260202,153500,18.97,18.97,18.97,18.97,177,0
DHCNL.US,5,20260202,154000,18.97,18.99,18.97,18.99,423,0
DHCNL.US,5,20260202,162000,18.845,18.845,18.845,18.845,100,0
DHCNL.US,5,20260202,164000,18.77,18.87,18.75,18.75,9004,0
DHCNL.US,5,20260202,164500,18.75,18.75,18.75,18.75,600,0
DHCNL.US,5,20260202,174000,18.6345,18.6345,18.57,18.57,220,0
DHCNL.US,5,20260202,214500,18.61,18.61,18.61,18.61,100,0
DHCNL.US,5,20260202,215500,18.61,18.63,18.61,18.63,300,0
DHCNL.US,5,20260203,153000,18.61,18.61,18.61,18.61,204,0
DHCNL.US,5,20260203,162500,18.58,18.58,18.58,18.58,100,0
DHCNL.US,5,20260203,163000,18.625,18.625,18.625,18.625,992,0
DHCNL.US,5,20260203,164000,18.6,18.6,18.52,18.52,2900,0
DHCNL.US,5,20260203,165500,18.51,18.55,18.51,18.55,1123,0
DHCNL.US,5,20260203,170000,18.5999,18.6,18.59,18.6,1935,0
DHCNL.US,5,20260203,184500,18.52,18.52,18.52,18.52,168,0
DHCNL.US,5,20260203,185500,18.51,18.51,18.5,18.5,1631,0
DHCNL.US,5,20260203,190500,18.5,18.5,18.5,18.5,100,0
DHCNL.US,5,20260203,200000,18.5,18.5,18.5,18.5,100,0
DHCNL.US,5,20260203,205000,18.5,18.5,18.5,18.5,900,0
DHCNL.US,5,20260203,210000,18.51,18.51,18.5,18.5,700,0
DHCNL.US,5,20260203,211000,18.5,18.51,18.5,18.51,200,0
DHCNL.US,5,20260204,153500,18.5,18.5,18.5,18.5,172,0
DHCNL.US,5,20260204,165500,18.5,18.5,18.5,18.5,200,0
DHCNL.US,5,20260204,172000,18.5,18.5,18.5,18.5,100,0
DHCNL.US,5,20260204,172500,18.5,18.5,18.5,18.5,300,0
DHCNL.US,5,20260204,173000,18.5,18.5,18.5,18.5,800,0
DHCNL.US,5,20260204,173500,18.5,18.5,18.5,18.5,500,0
DHCNL.US,5,20260204,182500,18.5,18.5,18.5,18.5,200,0
DHCNL.US,5,20260204,200000,18.58,18.58,18.58,18.58,500,0
DHCNL.US,5,20260204,201000,18.5,18.5,18.5,18.5,1693,0
DHCNL.US,5,20260204,203500,18.5,18.58,18.5,18.58,2778,0
DHCNL.US,5,20260204,210000,18.58,18.58,18.58,18.58,430,0
