<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOO.US,5,20260126,153000,79.76,80.335,79.76,80.32,1076,0
DOO.US,5,20260126,153500,80.33,80.9,80.33,80.86,1694,0
DOO.US,5,20260126,154000,80.86,81.03,80.675,80.675,2000,0
DOO.US,5,20260126,154500,80.79,81.575,80.79,81.49,4660,0
DOO.US,5,20260126,155000,81.488,81.488,81.31,81.355,600,0
DOO.US,5,20260126,155500,81.29,81.29,81.08,81.1,500,0
DOO.US,5,20260126,160000,81.0707,81.205,81.0707,81.205,970,0
DOO.US,5,20260126,160500,81.33,81.38,81.33,81.36,500,0
DOO.US,5,20260126,161000,81.39,81.415,81.35,81.35,600,0
DOO.US,5,20260126,162500,81.44,81.44,81.11,81.11,1282,0
DOO.US,5,20260126,163500,81.08,81.13,80.94,80.98,1365,0
DOO.US,5,20260126,164000,80.97,80.97,80.69,80.74,1421,0
DOO.US,5,20260126,164500,80.84,80.89,80.83,80.89,600,0
DOO.US,5,20260126,165000,80.835,80.93,80.835,80.85,577,0
DOO.US,5,20260126,165500,80.93,80.93,80.89,80.91,1600,0
DOO.US,5,20260126,170000,80.95,80.99,80.94,80.945,927,0
DOO.US,5,20260126,170500,80.955,80.995,80.9,80.99,3783,0
DOO.US,5,20260126,171000,80.95,80.98,80.8,80.91,3254,0
DOO.US,5,20260126,171500,80.91,80.94,80.88,80.93,2200,0
DOO.US,5,20260126,172000,81.01,81.03,81.01,81.03,200,0
DOO.US,5,20260126,172500,81.15,81.29,81.15,81.29,1410,0
DOO.US,5,20260126,173500,81.46,81.46,81.35,81.43,300,0
DOO.US,5,20260126,174000,81.42,81.43,81.36,81.43,3351,0
DOO.US,5,20260126,174500,81.44,81.44,81.39,81.39,500,0
DOO.US,5,20260126,175000,81.43,81.4425,81.28,81.35,1800,0
DOO.US,5,20260126,175500,81.28,81.28,81.28,81.28,100,0
DOO.US,5,20260126,180000,81.25,81.25,81.035,81.09,1400,0
DOO.US,5,20260126,180500,81.1,81.1,80.765,80.765,400,0
DOO.US,5,20260126,181000,80.79,80.81,80.76,80.81,600,0
DOO.US,5,20260126,181500,80.76,80.81,80.72,80.735,778,0
DOO.US,5,20260126,182000,80.79,80.82,80.79,80.8,1029,0
DOO.US,5,20260126,182500,80.74,80.74,80.74,80.74,100,0
DOO.US,5,20260126,183000,80.72,80.76,80.66,80.66,700,0
DOO.US,5,20260126,183500,80.75,80.85,80.75,80.81,600,0
DOO.US,5,20260126,184000,80.885,80.885,80.885,80.885,100,0
DOO.US,5,20260126,184500,80.885,80.885,80.885,80.885,100,0
DOO.US,5,20260126,185000,80.96,80.96,80.87,80.96,1000,0
DOO.US,5,20260126,185500,80.96,81.05,80.96,81.05,500,0
DOO.US,5,20260126,190000,81.04,81.04,81.04,81.04,100,0
DOO.US,5,20260126,190500,81.085,81.085,81.04,81.05,795,0
DOO.US,5,20260126,191000,81.03,81.06,81.01,81.01,400,0
DOO.US,5,20260126,191500,81.05,81.05,81.05,81.05,500,0
DOO.US,5,20260126,192000,80.95,81.035,80.95,81.035,200,0
DOO.US,5,20260126,192500,81.04,81.04,80.97,80.97,351,0
DOO.US,5,20260126,193000,81.06,81.085,81.06,81.085,769,0
DOO.US,5,20260126,193500,81.06,81.14,81.04,81.11,700,0
DOO.US,5,20260126,194000,81.13,81.13,81.13,81.13,100,0
DOO.US,5,20260126,194500,81.19,81.19,81.19,81.19,100,0
DOO.US,5,20260126,195000,81.29,81.29,81.29,81.29,100,0
DOO.US,5,20260126,195500,81.245,81.3,81.18,81.21,1336,0
DOO.US,5,20260126,200500,81.085,81.15,81.085,81.15,454,0
DOO.US,5,20260126,201000,81.15,81.15,81.145,81.145,200,0
DOO.US,5,20260126,201500,81.14,81.25,81.12,81.25,500,0
DOO.US,5,20260126,202000,81.29,81.42,81.18,81.4,4450,0
DOO.US,5,20260126,202500,81.44,81.885,81.44,81.755,2685,0
DOO.US,5,20260126,203000,81.78,81.83,81.76,81.785,1701,0
DOO.US,5,20260126,203500,81.74,81.74,81.56,81.71,700,0
DOO.US,5,20260126,204000,81.55,81.58,81.2,81.3,3200,0
DOO.US,5,20260126,204500,81.29,81.29,81.25,81.25,200,0
DOO.US,5,20260126,205000,81.295,81.35,81.26,81.35,600,0
DOO.US,5,20260126,205500,81.355,81.355,81.3,81.3,1200,0
DOO.US,5,20260126,210000,81.29,81.38,81.29,81.38,556,0
DOO.US,5,20260126,210500,81.38,81.38,81.31,81.32,1214,0
DOO.US,5,20260126,211000,81.3245,81.36,81.3245,81.36,1102,0
DOO.US,5,20260126,211500,81.32,81.36,81.32,81.32,918,0
DOO.US,5,20260126,212000,81.35,81.37,81.34,81.34,1200,0
DOO.US,5,20260126,212500,81.37,81.37,81.275,81.275,1783,0
DOO.US,5,20260126,213000,81.31,81.38,81.085,81.085,1532,0
DOO.US,5,20260126,213500,81.16,81.35,81.16,81.3,701,0
DOO.US,5,20260126,214000,81.31,81.31,81.15,81.15,5137,0
DOO.US,5,20260126,214500,81.19,81.195,81.12,81.15,2388,0
DOO.US,5,20260126,215000,81.16,81.19,81.15,81.17,3527,0
DOO.US,5,20260126,215500,81.185,81.2,80.985,81.15,12749,0
DOO.US,5,20260127,153000,80.9,81.51,80.2044,81.14,1737,0
DOO.US,5,20260127,153500,80.99,80.99,80.99,80.99,100,0
DOO.US,5,20260127,154000,81.14,81.14,81.14,81.14,100,0
DOO.US,5,20260127,154500,80.91,80.91,80.04,80.33,2572,0
DOO.US,5,20260127,155000,79.75,79.78,79.75,79.78,400,0
DOO.US,5,20260127,155500,79.81,79.81,79.26,79.59,2605,0
DOO.US,5,20260127,160000,79.47,79.47,79.47,79.47,100,0
DOO.US,5,20260127,160500,79.74,79.87,79.73,79.87,900,0
DOO.US,5,20260127,161000,79.9,79.99,79.9,79.99,1700,0
DOO.US,5,20260127,161500,79.95,79.95,79.84,79.84,200,0
DOO.US,5,20260127,162000,79.94,79.94,79.94,79.94,100,0
DOO.US,5,20260127,162500,79.9141,80.02,79.81,80.02,1320,0
DOO.US,5,20260127,163000,80.15,80.15,80.15,80.15,100,0
DOO.US,5,20260127,163500,80.04,80.1,79.94,79.94,1197,0
DOO.US,5,20260127,164000,80.04,80.04,80.03,80.04,500,0
DOO.US,5,20260127,164500,80.09,80.11,80.09,80.11,700,0
DOO.US,5,20260127,165000,80.205,80.3,79.95,79.97,3891,0
DOO.US,5,20260127,165500,79.91,79.91,79.91,79.91,100,0
DOO.US,5,20260127,170500,79.96,79.97,79.24,79.42,2400,0
DOO.US,5,20260127,171000,79.5,79.68,79.5,79.68,300,0
DOO.US,5,20260127,172000,79.62,79.62,79.59,79.59,800,0
DOO.US,5,20260127,172500,79.68,79.79,79.68,79.79,200,0
DOO.US,5,20260127,173500,79.7,79.71,79.46,79.46,1439,0
DOO.US,5,20260127,174500,79.29,79.34,79.29,79.34,1300,0
DOO.US,5,20260127,175000,79.24,79.24,78.68,78.78,1315,0
DOO.US,5,20260127,175500,78.79,78.79,78.79,78.79,100,0
DOO.US,5,20260127,180000,78.75,78.75,78.75,78.75,110,0
DOO.US,5,20260127,181000,78.69,78.69,78.64,78.69,500,0
DOO.US,5,20260127,182500,78.49,78.49,78.47,78.47,200,0
DOO.US,5,20260127,183000,78.4,78.5,78.4,78.5,1000,0
DOO.US,5,20260127,183500,78.41,78.41,78.41,78.41,394,0
DOO.US,5,20260127,184000,78.395,78.52,78.395,78.52,1200,0
DOO.US,5,20260127,184500,78.55,78.55,78.55,78.55,100,0
DOO.US,5,20260127,185000,78.61,78.61,78.61,78.61,100,0
DOO.US,5,20260127,185500,78.55,78.63,78.55,78.605,300,0
DOO.US,5,20260127,190000,78.615,78.615,78.28,78.28,2350,0
DOO.US,5,20260127,191000,78.17,78.19,78.155,78.155,300,0
DOO.US,5,20260127,191500,78.155,78.155,78.15,78.15,200,0
DOO.US,5,20260127,192500,78.22,78.5,78.22,78.5,1350,0
DOO.US,5,20260127,193000,78.53,78.53,78.53,78.53,300,0
DOO.US,5,20260127,193500,78.5,78.5,78.43,78.43,1230,0
DOO.US,5,20260127,194000,78.465,78.635,78.465,78.625,3900,0
DOO.US,5,20260127,195000,78.905,78.92,78.89,78.91,1149,0
DOO.US,5,20260127,195500,78.97,78.97,78.91,78.93,1400,0
DOO.US,5,20260127,200000,78.86,78.9,78.86,78.9,400,0
DOO.US,5,20260127,201000,78.995,78.995,78.92,78.92,400,0
DOO.US,5,20260127,202000,78.91,79.03,78.68,78.78,1300,0
DOO.US,5,20260127,202500,78.57,78.68,78.57,78.605,600,0
DOO.US,5,20260127,203000,78.605,78.77,78.605,78.77,300,0
DOO.US,5,20260127,204000,78.8,78.91,78.8,78.91,381,0
DOO.US,5,20260127,204500,78.91,79.06,78.91,79.06,2300,0
DOO.US,5,20260127,205000,79.045,79.045,79.045,79.045,100,0
DOO.US,5,20260127,205500,78.96,78.99,78.91,78.985,1500,0
DOO.US,5,20260127,210000,79.04,79.11,79.04,79.07,400,0
DOO.US,5,20260127,210500,79.23,79.23,79.23,79.23,400,0
DOO.US,5,20260127,211000,79.275,79.275,79.275,79.275,200,0
DOO.US,5,20260127,211500,79.265,79.265,79.19,79.26,1364,0
DOO.US,5,20260127,212000,79.18,79.18,79.075,79.075,500,0
DOO.US,5,20260127,213500,78.775,78.935,78.775,78.935,1242,0
DOO.US,5,20260127,214500,79.01,79.335,79.0025,79.25,2753,0
DOO.US,5,20260127,215000,79.37,79.64,79.37,79.64,1450,0
DOO.US,5,20260127,215500,79.61,79.68,79.51,79.61,16426,0
DOO.US,5,20260128,153500,80.47,80.47,80.1,80.1,300,0
DOO.US,5,20260128,154000,79.85,79.85,79.285,79.53,1262,0
DOO.US,5,20260128,154500,79.61,80.14,79.44,80.14,1048,0
DOO.US,5,20260128,155000,79.98,79.98,79.08,79.095,3426,0
DOO.US,5,20260128,155500,79.17,79.37,79.12,79.37,2334,0
DOO.US,5,20260128,160000,79.29,79.29,79.07,79.07,750,0
DOO.US,5,20260128,160500,79.06,79.06,78.87,78.92,500,0
DOO.US,5,20260128,161500,78.855,78.855,78.75,78.75,400,0
DOO.US,5,20260128,162000,78.73,78.73,78.45,78.45,1700,0
DOO.US,5,20260128,162500,78.43,78.46,78.375,78.39,400,0
DOO.US,5,20260128,163000,78.5,78.74,78.5,78.635,500,0
DOO.US,5,20260128,163500,78.81,78.92,78.52,78.52,1000,0
DOO.US,5,20260128,164000,78.72,78.72,78.72,78.72,100,0
DOO.US,5,20260128,164500,78.65,78.65,78.65,78.65,100,0
DOO.US,5,20260128,165000,78.555,78.555,78.555,78.555,100,0
DOO.US,5,20260128,165500,78.705,78.705,78.705,78.705,100,0
DOO.US,5,20260128,170000,78.6,78.6,78.6,78.6,100,0
DOO.US,5,20260128,170500,78.49,78.49,78.22,78.22,800,0
DOO.US,5,20260128,171000,78.26,78.26,78.26,78.26,100,0
DOO.US,5,20260128,171500,78.4,78.4,78.355,78.355,1192,0
DOO.US,5,20260128,172000,78.25,78.25,78.25,78.25,100,0
DOO.US,5,20260128,172500,78.295,78.45,78.295,78.45,200,0
DOO.US,5,20260128,173000,78.49,78.49,78.33,78.375,800,0
DOO.US,5,20260128,173500,78.345,78.36,78.25,78.25,500,0
DOO.US,5,20260128,174500,78.43,78.43,78.415,78.415,200,0
DOO.US,5,20260128,175000,78.37,78.37,78.33,78.365,400,0
DOO.US,5,20260128,175500,78.465,78.49,78.465,78.49,200,0
DOO.US,5,20260128,180000,78.55,78.575,78.49,78.49,534,0
DOO.US,5,20260128,180500,78.525,78.525,78.495,78.495,383,0
DOO.US,5,20260128,181000,78.57,78.6,78.53,78.53,886,0
DOO.US,5,20260128,181500,78.49,78.53,78.39,78.39,496,0
DOO.US,5,20260128,182000,78.42,78.42,78.275,78.295,500,0
DOO.US,5,20260128,183000,78.24,78.24,78.24,78.24,100,0
DOO.US,5,20260128,183500,78.125,78.125,78.125,78.125,100,0
DOO.US,5,20260128,184000,78,78.1,77.965,77.98,1300,0
DOO.US,5,20260128,184500,77.87,77.87,77.65,77.86,1600,0
DOO.US,5,20260128,185500,77.885,77.885,77.885,77.885,111,0
DOO.US,5,20260128,190500,77.57,77.57,77.57,77.57,100,0
DOO.US,5,20260128,191000,77.48,77.48,77.48,77.48,100,0
DOO.US,5,20260128,191500,77.53,77.72,77.53,77.58,1500,0
DOO.US,5,20260128,192500,77.55,77.55,77.49,77.49,619,0
DOO.US,5,20260128,193000,77.355,77.355,77.355,77.355,100,0
DOO.US,5,20260128,193500,77.325,77.325,77.325,77.325,200,0
DOO.US,5,20260128,194000,77.25,77.375,77.25,77.375,800,0
DOO.US,5,20260128,194500,77.37,77.5,77.37,77.5,1200,0
DOO.US,5,20260128,195000,77.64,77.64,77.55,77.605,1300,0
DOO.US,5,20260128,195500,77.62,77.66,77.62,77.66,400,0
DOO.US,5,20260128,200000,77.695,77.76,77.6,77.65,1300,0
DOO.US,5,20260128,200500,77.73,77.9,77.73,77.89,400,0
DOO.US,5,20260128,201000,77.9,77.915,77.9,77.915,200,0
DOO.US,5,20260128,201500,77.9,77.955,77.9,77.915,500,0
DOO.US,5,20260128,202000,77.95,77.95,77.85,77.85,1099,0
DOO.US,5,20260128,202500,77.83,77.95,77.83,77.86,1100,0
DOO.US,5,20260128,203000,77.77,78.33,77.37,77.49,7350,0
DOO.US,5,20260128,203500,77.545,77.66,77.37,77.37,2030,0
DOO.US,5,20260128,204000,77.42,77.43,77.25,77.25,3423,0
DOO.US,5,20260128,204500,77.275,77.6,77.275,77.6,709,0
DOO.US,5,20260128,205000,77.78,77.78,77.78,77.78,100,0
DOO.US,5,20260128,205500,77.62,77.835,77.6,77.835,1540,0
DOO.US,5,20260128,210000,77.98,78.015,77.96,78,500,0
DOO.US,5,20260128,210500,78.05,78.21,78.05,78.21,1100,0
DOO.US,5,20260128,211000,78.31,78.31,78.06,78.06,2000,0
DOO.US,5,20260128,211500,78.105,78.2,78.1,78.135,1600,0
DOO.US,5,20260128,212000,78.2,78.22,78.2,78.22,600,0
DOO.US,5,20260128,212500,78.15,78.24,78.15,78.24,800,0
DOO.US,5,20260128,213000,78.17,78.24,78.11,78.115,900,0
DOO.US,5,20260128,213500,78.1,78.25,78.1,78.11,1200,0
DOO.US,5,20260128,214000,78.31,78.31,78.2,78.2,400,0
DOO.US,5,20260128,214500,78.26,78.26,78.13,78.13,900,0
DOO.US,5,20260128,215000,78.14,78.34,78.13,78.24,5320,0
DOO.US,5,20260128,215500,78.305,78.65,78.305,78.645,17886,0
DOO.US,5,20260129,153000,79.4,79.4,79.4,79.4,266,0
DOO.US,5,20260129,153500,78.76,78.76,78.48,78.64,1900,0
DOO.US,5,20260129,154000,78.8,78.83,78.345,78.62,1806,0
DOO.US,5,20260129,154500,78.67,78.88,78.67,78.77,1200,0
DOO.US,5,20260129,155000,78.74,78.78,78.375,78.78,1200,0
DOO.US,5,20260129,155500,78.94,78.94,78.68,78.68,500,0
DOO.US,5,20260129,160000,78.51,78.51,78.43,78.45,300,0
DOO.US,5,20260129,160500,78.48,78.67,78.36,78.57,1600,0
DOO.US,5,20260129,161000,78.67,78.67,78.45,78.49,400,0
DOO.US,5,20260129,161500,78.72,78.72,78.66,78.66,200,0
DOO.US,5,20260129,162000,78.62,78.63,78.62,78.62,300,0
DOO.US,5,20260129,163000,78.33,78.33,78.22,78.22,700,0
DOO.US,5,20260129,163500,78.09,78.12,78.03,78.12,700,0
DOO.US,5,20260129,164000,78.05,78.05,77.96,77.96,650,0
DOO.US,5,20260129,164500,77.99,78.17,77.99,78.165,7463,0
DOO.US,5,20260129,165500,78.18,78.285,78.145,78.22,1200,0
DOO.US,5,20260129,170000,78.17,78.18,78.02,78.02,600,0
DOO.US,5,20260129,170500,77.98,77.98,77.78,77.78,500,0
DOO.US,5,20260129,171000,77.6,78.36,77.56,78.19,600,0
DOO.US,5,20260129,172000,78.2,78.22,78.05,78.15,1024,0
DOO.US,5,20260129,173000,78.1405,78.44,78.1405,78.44,1800,0
DOO.US,5,20260129,173500,78.205,78.26,78.18,78.23,600,0
DOO.US,5,20260129,174500,78.4,78.58,78.4,78.58,600,0
DOO.US,5,20260129,175000,78.625,78.625,78.625,78.625,100,0
DOO.US,5,20260129,175500,78.63,78.855,78.63,78.855,800,0
DOO.US,5,20260129,180500,78.95,78.95,78.93,78.93,300,0
DOO.US,5,20260129,181000,78.89,78.89,78.89,78.89,100,0
DOO.US,5,20260129,181500,78.985,78.985,78.985,78.985,130,0
DOO.US,5,20260129,182000,78.995,79.005,78.995,79.005,200,0
DOO.US,5,20260129,182500,78.93,78.93,78.745,78.77,1808,0
DOO.US,5,20260129,183500,78.64,78.64,78.62,78.62,600,0
DOO.US,5,20260129,184000,78.64,78.64,78.55,78.55,400,0
DOO.US,5,20260129,185000,78.4,78.4,78.4,78.4,100,0
DOO.US,5,20260129,185500,78.39,78.39,78.22,78.22,300,0
DOO.US,5,20260129,190000,78.23,78.32,77.96,77.96,1000,0
DOO.US,5,20260129,190500,78.01,78.065,78.01,78.065,200,0
DOO.US,5,20260129,191000,78.02,78.02,78.02,78.02,100,0
DOO.US,5,20260129,191500,77.99,77.99,77.99,77.99,100,0
DOO.US,5,20260129,192000,78.12,78.3,78.02,78.02,1100,0
DOO.US,5,20260129,192500,78.15,78.26,78.1,78.245,800,0
DOO.US,5,20260129,193000,78.22,78.22,77.965,78.02,900,0
DOO.US,5,20260129,193500,77.88,78.045,77.88,78.045,600,0
DOO.US,5,20260129,194000,78.29,78.29,78.075,78.095,1000,0
DOO.US,5,20260129,194500,78.13,78.13,77.98,78.04,400,0
DOO.US,5,20260129,195000,78.03,78.05,78.03,78.05,200,0
DOO.US,5,20260129,195500,78.05,78.05,77.97,77.98,900,0
DOO.US,5,20260129,200000,77.84,77.93,77.74,77.87,900,0
DOO.US,5,20260129,200500,77.9,78.24,77.89,78.19,2400,0
DOO.US,5,20260129,201000,78.3,78.35,78.25,78.35,2102,0
DOO.US,5,20260129,201500,78.34,78.5,78.34,78.5,500,0
DOO.US,5,20260129,202500,78.43,78.51,78.43,78.51,300,0
DOO.US,5,20260129,203000,78.4,78.42,78.04,78.1,3800,0
DOO.US,5,20260129,203500,78.23,78.35,78.205,78.31,4000,0
DOO.US,5,20260129,204000,78.32,78.46,78.31,78.44,1000,0
DOO.US,5,20260129,204500,78.39,78.44,78.29,78.29,1200,0
DOO.US,5,20260129,205000,78.35,78.37,78.32,78.32,1413,0
DOO.US,5,20260129,205500,78.33,78.33,78.23,78.285,1200,0
DOO.US,5,20260129,210000,78.17,78.18,78.16,78.16,422,0
DOO.US,5,20260129,210500,78.24,78.24,78.16,78.16,400,0
DOO.US,5,20260129,211000,78.24,78.24,78.17,78.18,1200,0
DOO.US,5,20260129,211500,78.16,78.28,78.16,78.23,3300,0
DOO.US,5,20260129,212000,78.24,78.34,78.24,78.34,1421,0
DOO.US,5,20260129,212500,78.4,78.4,78.32,78.32,1300,0
DOO.US,5,20260129,213000,78.31,78.4,78.31,78.4,600,0
DOO.US,5,20260129,213500,78.43,78.43,78.39,78.39,300,0
DOO.US,5,20260129,214000,78.37,78.42,78.37,78.39,900,0
DOO.US,5,20260129,214500,78.31,78.32,78.28,78.32,900,0
DOO.US,5,20260129,215000,78.37,78.44,78.3,78.4,4750,0
DOO.US,5,20260129,215500,78.42,78.42,78.14,78.14,10257,0
DOO.US,5,20260130,153000,77.6,77.905,77.6,77.895,726,0
DOO.US,5,20260130,153500,77.975,78.2325,77.975,78.2325,424,0
DOO.US,5,20260130,154000,78.17,78.22,77.98,78.195,1363,0
DOO.US,5,20260130,154500,77.86,77.86,77.56,77.57,400,0
DOO.US,5,20260130,155500,76.87,76.87,76.87,76.87,200,0
DOO.US,5,20260130,160000,76.52,76.83,76.52,76.79,1302,0
DOO.US,5,20260130,160500,77.085,77.12,77.07,77.07,400,0
DOO.US,5,20260130,161000,76.585,76.71,76.585,76.71,500,0
DOO.US,5,20260130,162000,76.86,76.86,76.81,76.81,200,0
DOO.US,5,20260130,162500,76.81,76.81,76.765,76.765,200,0
DOO.US,5,20260130,163000,76.22,76.28,76.07,76.28,800,0
DOO.US,5,20260130,163500,76.275,76.275,76.275,76.275,100,0
DOO.US,5,20260130,164500,76.9,77,76.66,76.66,1096,0
DOO.US,5,20260130,165000,76.7,76.71,76.58,76.58,432,0
DOO.US,5,20260130,165500,76.79,76.79,76.69,76.69,900,0
DOO.US,5,20260130,170000,76.72,76.72,76.53,76.53,200,0
DOO.US,5,20260130,170500,76.395,76.395,76.11,76.11,500,0
DOO.US,5,20260130,171000,76.22,76.24,76.14,76.14,1080,0
DOO.US,5,20260130,171500,76.037,76.085,75.85492,75.85492,2371,0
DOO.US,5,20260130,172000,75.87,75.89,75.76,75.76,500,0
DOO.US,5,20260130,172500,75.76,75.82,75.71,75.71,400,0
DOO.US,5,20260130,173000,75.715,75.79,75.65,75.79,700,0
DOO.US,5,20260130,173500,75.61,75.62,75.55,75.55,400,0
DOO.US,5,20260130,174000,75.515,75.58,75.4,75.4,1570,0
DOO.US,5,20260130,174500,75.33,75.395,75.33,75.35,700,0
DOO.US,5,20260130,175000,75.29,75.47,75.21,75.46,1400,0
DOO.US,5,20260130,175500,75.485,75.485,75.42,75.43,826,0
DOO.US,5,20260130,180000,75.43,75.45,75.41,75.41,1245,0
DOO.US,5,20260130,180500,75.11,75.14,75.11,75.14,317,0
DOO.US,5,20260130,181000,75.145,75.15,75.07,75.07,600,0
DOO.US,5,20260130,181500,75.11,75.29,75.11,75.29,1800,0
DOO.US,5,20260130,182000,75.16,75.185,75.16,75.185,500,0
DOO.US,5,20260130,182500,75.27,75.27,75.17,75.17,200,0
DOO.US,5,20260130,183000,75.15,75.15,75.07,75.07,200,0
DOO.US,5,20260130,183500,74.91,74.91,74.63,74.69,1020,0
DOO.US,5,20260130,184000,74.7,74.8,74.7,74.8,1500,0
DOO.US,5,20260130,184500,74.81,74.81,74.81,74.81,100,0
DOO.US,5,20260130,185000,74.88,74.88,74.88,74.88,100,0
DOO.US,5,20260130,190000,74.79,74.79,74.73,74.755,600,0
DOO.US,5,20260130,190500,74.86,74.88,74.82,74.855,900,0
DOO.US,5,20260130,192000,74.66,74.78,74.58,74.78,1670,0
DOO.US,5,20260130,192500,74.81,74.84,74.81,74.84,500,0
DOO.US,5,20260130,193000,74.82,74.84,74.82,74.84,200,0
DOO.US,5,20260130,193500,74.91,75.15,74.87,75.03,634,0
DOO.US,5,20260130,194000,74.98,75,74.98,75,600,0
DOO.US,5,20260130,194500,75.26,75.26,75.26,75.26,700,0
DOO.US,5,20260130,195000,75.32,75.36,75.32,75.36,688,0
DOO.US,5,20260130,195500,75.46,75.57,75.46,75.57,300,0
DOO.US,5,20260130,200000,75.67,75.86,75.67,75.86,800,0
DOO.US,5,20260130,200500,75.73,75.73,75.73,75.73,100,0
DOO.US,5,20260130,201000,75.575,75.575,75.5,75.5,200,0
DOO.US,5,20260130,201500,75.45,75.48,75.45,75.48,749,0
DOO.US,5,20260130,202000,75.52,75.6,75.48,75.48,500,0
DOO.US,5,20260130,202500,75.45,75.51,75.19,75.19,1400,0
DOO.US,5,20260130,204500,75.47,75.47,75.46,75.46,300,0
DOO.US,5,20260130,205000,75.3,75.465,75.3,75.465,200,0
DOO.US,5,20260130,205500,75.47,75.47,75.47,75.47,200,0
DOO.US,5,20260130,211000,75.265,75.265,75.2,75.2,300,0
DOO.US,5,20260130,211500,75.2,75.2,75.2,75.2,100,0
DOO.US,5,20260130,212000,75.04,75.04,75.04,75.04,200,0
DOO.US,5,20260130,212500,75.21,75.27,75.18,75.27,675,0
DOO.US,5,20260130,213000,75.2,75.2,75.08,75.2,600,0
DOO.US,5,20260130,213500,75.21,75.21,75.21,75.21,100,0
DOO.US,5,20260130,214000,75.17,75.17,75.17,75.17,100,0
DOO.US,5,20260130,214500,75.1406,75.28,75.1406,75.28,525,0
DOO.US,5,20260130,215000,75.28,75.49,75.27,75.46,2350,0
DOO.US,5,20260130,215500,75.485,75.56,75.33,75.39,5802,0
DOO.US,5,20260202,153000,75.4,75.76,75.4,75.76,400,0
DOO.US,5,20260202,154500,76.515,76.535,76.13,76.13,500,0
DOO.US,5,20260202,155000,75.84,76.09,75.84,76.09,600,0
DOO.US,5,20260202,155500,75.81,75.81,75.81,75.81,100,0
DOO.US,5,20260202,160000,75.605,75.86,75.605,75.76,1170,0
DOO.US,5,20260202,160500,75.71,75.71,75.71,75.71,100,0
DOO.US,5,20260202,161000,75.7,75.9,75.7,75.9,400,0
DOO.US,5,20260202,161500,75.82,75.82,75.705,75.705,400,0
DOO.US,5,20260202,162000,75.81,75.82,75.81,75.82,251,0
DOO.US,5,20260202,162500,75.98,75.98,75.83,75.83,200,0
DOO.US,5,20260202,163000,76.05,76.05,75.97,75.97,400,0
DOO.US,5,20260202,164500,76.34,76.45,76.34,76.45,200,0
DOO.US,5,20260202,165000,76.26,76.26,76.19,76.19,820,0
DOO.US,5,20260202,170000,76.125,76.14,76.04,76.14,600,0
DOO.US,5,20260202,170500,76.23,76.28,76.23,76.28,400,0
DOO.US,5,20260202,171000,76.3481,76.3481,76.3481,76.3481,150,0
DOO.US,5,20260202,172500,76.64,76.94,76.64,76.94,752,0
DOO.US,5,20260202,173000,76.87,76.87,76.87,76.87,100,0
DOO.US,5,20260202,173500,76.895,76.895,76.81,76.81,400,0
DOO.US,5,20260202,174000,76.965,76.965,76.73,76.78,2524,0
DOO.US,5,20260202,175000,76.565,76.565,76.555,76.555,257,0
DOO.US,5,20260202,175500,76.5,76.695,76.5,76.695,300,0
DOO.US,5,20260202,180000,76.69,76.82,76.69,76.82,200,0
DOO.US,5,20260202,181500,76.835,76.835,76.835,76.835,100,0
DOO.US,5,20260202,182000,76.845,76.845,76.78,76.78,300,0
DOO.US,5,20260202,182500,76.844,76.86,76.73,76.74,1545,0
DOO.US,5,20260202,183000,76.74,76.83,76.74,76.82,2300,0
DOO.US,5,20260202,184000,76.82,76.82,76.805,76.805,200,0
DOO.US,5,20260202,184500,76.96,77.13,76.96,77.13,619,0
DOO.US,5,20260202,185000,77.08,77.11,76.92,76.98,4481,0
DOO.US,5,20260202,185500,76.95,76.95,76.95,76.95,100,0
DOO.US,5,20260202,190000,77.04,77.11,77.02,77.02,800,0
DOO.US,5,20260202,190500,76.95,77.0993,76.95,77,655,0
DOO.US,5,20260202,191500,77.05,77.175,77.05,77.175,400,0
