<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXST.US,5,20260126,153000,48.5,48.75,46.75,47.125,19976.84,0
DXST.US,5,20260126,153500,47.25,47.25,46.75,46.875,2771.28,0
DXST.US,5,20260126,154000,46.95,47,46.75,46.95,1585.24,0
DXST.US,5,20260126,154500,47,47.5,46.75,47.25,11973.12,0
DXST.US,5,20260126,155000,47.475,47.5,46.75,47.125,6541.2,0
DXST.US,5,20260126,155500,47.25,47.7375,47,47.4675,1515.2,0
DXST.US,5,20260126,160000,47.5,47.9975,47.18,47.5,2237.52,0
DXST.US,5,20260126,160500,47.5,47.625,47.465,47.465,141.6,0
DXST.US,5,20260126,161000,47.5,47.625,47,47.25,1469.2,0
DXST.US,5,20260126,161500,47,47.125,46.75,47,1731.16,0
DXST.US,5,20260126,162000,46.9675,46.9675,46.7975,46.7975,206.8,0
DXST.US,5,20260126,162500,46.75,47,46.75,47,707.16,0
DXST.US,5,20260126,163000,46.9575,47.25,46.9575,47,1387.04,0
DXST.US,5,20260126,163500,47.2475,47.2475,46.875,46.965,1074.92,0
DXST.US,5,20260126,164000,46.875,47,46.75,47,232.32,0
DXST.US,5,20260126,164500,47,47.375,47,47.375,132.6,0
DXST.US,5,20260126,165000,47.4625,47.4625,47,47.125,636.44,0
DXST.US,5,20260126,165500,47,47.125,46.75,47.125,1315.48,0
DXST.US,5,20260126,170000,47.125,47.25,47,47.125,32,0
DXST.US,5,20260126,170500,47.25,47.25,47.125,47.2153,14,0
DXST.US,5,20260126,171000,47.0375,47.205,47,47.125,67.12,0
DXST.US,5,20260126,171500,47.2425,47.25,47,47,181.8,0
DXST.US,5,20260126,172000,47.125,47.25,47.105,47.25,48.2,0
DXST.US,5,20260126,172500,47.25,47.5,47.2475,47.375,1014.72,0
DXST.US,5,20260126,173000,47.375,47.625,47.375,47.625,359.48,0
DXST.US,5,20260126,173500,47.5,47.625,46.75,47,4147.88,0
DXST.US,5,20260126,174000,46.875,47,46.75,46.875,403.08,0
DXST.US,5,20260126,174500,47,47,46.75,46.875,1026.64,0
DXST.US,5,20260126,175000,46.875,46.875,46.75,46.875,1306.1200000000001,0
DXST.US,5,20260126,175500,46.915,46.915,46.875,46.875,20,0
DXST.US,5,20260126,180000,46.875,47,46.875,47,1309.56,0
DXST.US,5,20260126,180500,47,47.25,46.875,47.25,2080.76,0
DXST.US,5,20260126,181000,47.2075,47.25,47.125,47.125,112,0
DXST.US,5,20260126,181500,47.125,47.375,47.025,47.375,2295.08,0
DXST.US,5,20260126,182000,47.2575,47.375,47,47.2175,1612.08,0
DXST.US,5,20260126,182500,47.125,47.25,47.125,47.125,147.6,0
DXST.US,5,20260126,183000,47.125,47.25,47.005,47.125,214,0
DXST.US,5,20260126,183500,47.125,47.2475,47,47.125,1436,0
DXST.US,5,20260126,184000,47,47.0025,46.5,46.625,20335.12,0
DXST.US,5,20260126,184500,46.75,46.75,46.25,46.375,19294.600000000002,0
DXST.US,5,20260126,185000,46.25,47,46,46.5,8656.880000000001,0
DXST.US,5,20260126,185500,46.5,46.625,45.75,45.75,28068.72,0
DXST.US,5,20260126,190000,45.75,46,36.25,36.25,35065.8,0
DXST.US,5,20260126,190500,36.5,40,36.5,37.2125,12017.32,0
DXST.US,5,20260126,191000,37,44.25,36.5,42.44,28376.760000000002,0
DXST.US,5,20260126,191500,42,43.75,40.5,42.125,7355.56,0
DXST.US,5,20260126,192000,42.2425,43.5,41.25,43.125,3285.56,0
DXST.US,5,20260126,192500,43.25,43.75,42.25,43.485,1174.1200000000001,0
DXST.US,5,20260126,193000,43.125,43.1496,41.375,41.5,4408.400000000001,0
DXST.US,5,20260126,193500,42,43.25,41.55,43.25,2536.08,0
DXST.US,5,20260126,194000,43,43.25,42,42,2059.2,0
DXST.US,5,20260126,194500,42,43.245,42,42.75,1848.3600000000001,0
DXST.US,5,20260126,195000,43.05,43.25,43,43.25,906.8000000000001,0
DXST.US,5,20260126,195500,43.125,43.5,43.125,43.25,628.04,0
DXST.US,5,20260126,200000,43.375,44,43.375,44,2925.2400000000002,0
DXST.US,5,20260126,200500,43.875,43.875,43.25,43.625,1178.6000000000001,0
DXST.US,5,20260126,201000,43.75,44,43.625,44,279.04,0
DXST.US,5,20260126,201500,43.7875,44.25,43.5,44,918.12,0
DXST.US,5,20260126,202000,44,44.125,43.5,43.75,1287.96,0
DXST.US,5,20260126,202500,43.75,43.9608,42.75,42.7525,669.08,0
DXST.US,5,20260126,203000,42.995,44.04,42.5,43.25,2493.56,0
DXST.US,5,20260126,203500,42.875,43,42.875,42.9975,214.64000000000001,0
DXST.US,5,20260126,204000,42.75,42.7525,42.25,42.625,300.16,0
DXST.US,5,20260126,204500,42.7475,42.75,40.75,40.75,2084.84,0
DXST.US,5,20260126,205000,40.75,40.75,40,40,4976.6,0
DXST.US,5,20260126,205500,40.125,40.25,38.875,40.125,2432.8,0
DXST.US,5,20260126,210000,40,40.125,38.5,39.7733,2668.2000000000003,0
DXST.US,5,20260126,210500,39.75,40.5,39.375,40.245,1139.16,0
