<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBON.US,5,20260126,153000,3.12,3.12,3.12,3.12,112,0
EBON.US,5,20260126,162000,3.05,3.05,3.05,3.05,302,0
EBON.US,5,20260126,174500,3.211,3.22,3.175,3.175,592,0
EBON.US,5,20260126,181000,3.03,3.03,3,3,1632,0
EBON.US,5,20260126,181500,2.98,3,2.98,3,200,0
EBON.US,5,20260126,182500,3.05,3.05,3.05,3.05,262,0
EBON.US,5,20260126,184500,3.0499,3.05,3.0499,3.05,1500,0
EBON.US,5,20260126,194500,3.1048,3.1048,3.1048,3.1048,273,0
EBON.US,5,20260126,212500,3.1,3.1,3.1,3.1,533,0
EBON.US,5,20260126,213000,3.0787,3.0787,3.0787,3.0787,350,0
EBON.US,5,20260126,214000,3.1,3.1,3.1,3.1,453,0
EBON.US,5,20260127,171000,3.0633,3.0633,3.0633,3.0633,118,0
EBON.US,5,20260127,172000,2.9912,2.9912,2.9912,2.9912,100,0
EBON.US,5,20260127,173500,3.0478,3.0478,3.0478,3.0478,100,0
EBON.US,5,20260127,175500,3.07,3.07,3.07,3.07,350,0
EBON.US,5,20260127,180000,3.07,3.07,3.05,3.05,600,0
EBON.US,5,20260127,181000,3.09,3.09,3.09,3.09,300,0
EBON.US,5,20260127,183000,3.08,3.08,3.08,3.08,570,0
EBON.US,5,20260127,194500,3.08,3.09,3.08,3.09,788,0
EBON.US,5,20260127,212500,3.245,3.245,3.245,3.245,150,0
EBON.US,5,20260128,174000,2.9961,2.9961,2.9961,2.9961,140,0
EBON.US,5,20260128,184000,2.9914,2.9914,2.9914,2.9914,266,0
EBON.US,5,20260128,212000,3.27,3.27,3.27,3.27,437,0
EBON.US,5,20260129,162500,3.005,3.005,3.005,3.005,230,0
EBON.US,5,20260129,164000,2.98,2.9802,2.96,2.96,500,0
EBON.US,5,20260129,165000,2.96,2.98,2.96,2.98,433,0
EBON.US,5,20260129,172000,2.9592,2.98,2.9592,2.98,1709,0
EBON.US,5,20260129,193500,2.98,2.98,2.98,2.98,166,0
EBON.US,5,20260129,202500,3.04,3.04,3.04,3.04,200,0
EBON.US,5,20260129,214000,3.1,3.1,3.1,3.1,235,0
EBON.US,5,20260130,153000,2.98,2.98,2.98,2.98,108,0
EBON.US,5,20260130,154500,3.09,3.09,3.035,3.035,300,0
EBON.US,5,20260130,175000,2.972,2.972,2.972,2.972,180,0
EBON.US,5,20260130,182000,3.09,3.09,3.09,3.09,100,0
EBON.US,5,20260130,191500,3.035,3.035,3.035,3.035,200,0
EBON.US,5,20260130,192000,3.035,3.035,3.035,3.035,150,0
EBON.US,5,20260130,193500,2.97,2.97,2.97,2.97,282,0
EBON.US,5,20260130,194500,3.035,3.035,2.98,2.98,800,0
EBON.US,5,20260130,212000,2.98,2.98,2.98,2.98,124,0
EBON.US,5,20260130,212500,2.9801,2.9801,2.9801,2.9801,200,0
EBON.US,5,20260202,153000,2.97,2.97,2.97,2.97,155,0
EBON.US,5,20260202,154000,3.09,3.09,3.0481,3.0481,296,0
EBON.US,5,20260202,163000,3.035,3.035,3.035,3.035,100,0
EBON.US,5,20260202,193500,3,3.0009,2.97,3.0009,458,0
EBON.US,5,20260202,195000,2.96,2.96,2.96,2.96,490,0
EBON.US,5,20260202,200500,2.9919,2.9919,2.9919,2.9919,300,0
EBON.US,5,20260202,211000,2.99,3.06,2.99,3.06,2060,0
EBON.US,5,20260202,213000,2.95,2.95,2.93,2.93,665,0
EBON.US,5,20260203,153000,2.9,2.9,2.9,2.9,117,0
EBON.US,5,20260203,154500,2.95,2.95,2.95,2.95,100,0
EBON.US,5,20260203,162500,2.95,2.95,2.95,2.95,369,0
EBON.US,5,20260203,170000,2.96,2.96,2.96,2.96,100,0
EBON.US,5,20260203,170500,2.95,2.95,2.95,2.95,100,0
EBON.US,5,20260203,175500,2.93,2.93,2.93,2.93,100,0
EBON.US,5,20260203,184000,2.8572,2.8572,2.8572,2.8572,200,0
EBON.US,5,20260203,191500,2.8572,2.8572,2.8572,2.8572,200,0
EBON.US,5,20260203,192000,2.9,2.9,2.9,2.9,350,0
EBON.US,5,20260203,194000,2.89,2.89,2.89,2.89,100,0
EBON.US,5,20260203,194500,2.88,2.88,2.88,2.88,100,0
EBON.US,5,20260203,203000,2.8806,2.8806,2.8806,2.8806,150,0
EBON.US,5,20260203,215500,2.89,2.89,2.89,2.89,100,0
EBON.US,5,20260204,153000,2.89,2.89,2.89,2.89,513,0
EBON.US,5,20260204,160500,2.6701,2.6701,2.6701,2.6701,239,0
EBON.US,5,20260204,161000,2.7015,2.78,2.7015,2.78,400,0
EBON.US,5,20260204,163500,2.77,2.77,2.77,2.77,100,0
EBON.US,5,20260204,164000,2.78,2.825,2.78,2.825,400,0
EBON.US,5,20260204,171000,2.78,2.84,2.78,2.84,2500,0
EBON.US,5,20260204,172000,2.8,2.8,2.8,2.8,780,0
EBON.US,5,20260204,182000,2.802908,2.802908,2.802908,2.802908,100,0
EBON.US,5,20260204,183000,2.8,2.8,2.8,2.8,200,0
EBON.US,5,20260204,195000,2.8,2.8,2.8,2.8,200,0
EBON.US,5,20260204,201000,2.74,2.74,2.74,2.74,100,0
EBON.US,5,20260204,215500,2.79,2.79,2.74,2.74,278,0
EBON.US,5,20260205,153500,2.83,2.83,2.83,2.83,200,0
EBON.US,5,20260205,163500,2.74,2.74,2.66,2.66,674,0
EBON.US,5,20260205,164500,2.5,2.5,2.5,2.5,105,0
EBON.US,5,20260205,173500,2.5,2.5,2.5,2.5,6001,0
EBON.US,5,20260205,185500,2.61,2.61,2.61,2.61,100,0
EBON.US,5,20260205,191000,2.5191,2.5191,2.51,2.511,400,0
EBON.US,5,20260205,191500,2.5,2.5,2.5,2.5,100,0
EBON.US,5,20260205,194500,2.5,2.5,2.5,2.5,100,0
EBON.US,5,20260205,195000,2.5,2.5,2.5,2.5,117,0
EBON.US,5,20260205,200500,2.506025,2.506025,2.506025,2.506025,100,0
EBON.US,5,20260205,202000,2.5,2.5,2.5,2.5,1250,0
EBON.US,5,20260205,203000,2.5099,2.5099,2.37,2.37,2294,0
EBON.US,5,20260205,203500,2.4,2.4,2.4,2.4,100,0
EBON.US,5,20260205,204500,2.355,2.355,2.355,2.355,200,0
EBON.US,5,20260205,210000,2.3801,2.3801,2.3801,2.3801,100,0
EBON.US,5,20260205,210500,2.3996,2.3996,2.3996,2.3996,100,0
EBON.US,5,20260205,213000,2.34,2.3895,2.34,2.38,660,0
EBON.US,5,20260205,214000,2.3787,2.3787,2.3787,2.3787,141,0
EBON.US,5,20260205,215500,2.3,2.3,2.3,2.3,200,0
EBON.US,5,20260206,153000,2.45,2.45,2.45,2.45,152,0
EBON.US,5,20260206,153500,2.5,2.5,2.5,2.5,513,0
EBON.US,5,20260206,161000,2.57,2.57,2.57,2.57,200,0
EBON.US,5,20260206,171500,2.52,2.6,2.52,2.6,861,0
EBON.US,5,20260206,173500,2.5001,2.5001,2.5001,2.5001,1000,0
EBON.US,5,20260206,181000,2.67,2.67,2.49,2.49,208,0
EBON.US,5,20260206,183000,2.76,2.76,2.76,2.76,286,0
EBON.US,5,20260206,183500,2.8339,2.8339,2.8339,2.8339,100,0
EBON.US,5,20260206,185000,2.63,2.63,2.63,2.63,100,0
EBON.US,5,20260206,185500,2.62,2.71,2.62,2.71,2090,0
EBON.US,5,20260206,190500,2.605,2.605,2.605,2.605,332,0
EBON.US,5,20260206,191000,2.7374,2.7374,2.7299,2.7299,576,0
EBON.US,5,20260206,192500,2.6,2.73,2.4701,2.4701,1150,0
EBON.US,5,20260206,195000,2.48,2.48,2.45,2.45,200,0
EBON.US,5,20260206,200500,2.54,2.54,2.54,2.54,100,0
EBON.US,5,20260206,210000,2.6,2.6,2.47,2.47,200,0
EBON.US,5,20260206,210500,2.6,2.6,2.6,2.6,100,0
EBON.US,5,20260206,215500,2.54,2.54,2.54,2.54,200,0
EBON.US,5,20260209,153000,2.64,2.64,2.64,2.64,761,0
EBON.US,5,20260209,160000,2.795,2.795,2.795,2.795,100,0
EBON.US,5,20260209,160500,2.795,2.795,2.68,2.68,396,0
EBON.US,5,20260209,162500,2.695,2.695,2.695,2.695,100,0
EBON.US,5,20260209,172500,2.6,2.6,2.6,2.6,100,0
EBON.US,5,20260209,181000,2.6924,2.6924,2.655,2.655,305,0
EBON.US,5,20260209,181500,2.66,2.73,2.66,2.715,1174,0
EBON.US,5,20260209,182000,2.695,2.695,2.695,2.695,500,0
EBON.US,5,20260209,194500,2.63,2.6301,2.63,2.6301,224,0
