<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAC.US,5,20260126,153000,10.24,10.245,10.24,10.24,7024,0
FAC.US,5,20260126,154500,10.2596,10.26,10.2596,10.26,300,0
FAC.US,5,20260126,160500,10.25,10.25,10.25,10.25,3250,0
FAC.US,5,20260126,161000,10.25,10.25,10.25,10.25,1100,0
FAC.US,5,20260126,162000,10.2453,10.2453,10.2453,10.2453,100,0
FAC.US,5,20260126,162500,10.24,10.245,10.2301,10.2399,31031,0
FAC.US,5,20260126,163500,10.24,10.24,10.2356,10.24,1300,0
FAC.US,5,20260126,164500,10.2399,10.24,10.2356,10.24,800,0
FAC.US,5,20260126,165000,10.24,10.24,10.24,10.24,100,0
FAC.US,5,20260126,172000,10.24,10.24,10.24,10.24,100,0
FAC.US,5,20260126,174500,10.235,10.235,10.23,10.235,5000,0
FAC.US,5,20260126,180500,10.24,10.24,10.24,10.24,646,0
FAC.US,5,20260126,192500,10.24,10.24,10.235,10.24,2400,0
FAC.US,5,20260126,193000,10.24,10.24,10.235,10.24,1000,0
FAC.US,5,20260126,193500,10.24,10.24,10.2399,10.24,800,0
FAC.US,5,20260126,195000,10.24,10.24,10.24,10.24,100,0
FAC.US,5,20260126,200500,10.24,10.24,10.24,10.24,100,0
FAC.US,5,20260126,202500,10.24,10.24,10.24,10.24,100,0
FAC.US,5,20260126,204000,10.24,10.24,10.2399,10.2399,19532,0
FAC.US,5,20260126,204500,10.2399,10.24,10.2399,10.2399,900,0
FAC.US,5,20260126,205000,10.24,10.24,10.24,10.24,21471,0
FAC.US,5,20260126,205500,10.24,10.24,10.24,10.24,212,0
FAC.US,5,20260126,210000,10.24,10.24,10.239,10.24,32900,0
FAC.US,5,20260126,210500,10.24,10.24,10.235,10.24,7900,0
FAC.US,5,20260126,211000,10.235,10.235,10.235,10.235,400,0
FAC.US,5,20260126,213000,10.235,10.235,10.235,10.235,123,0
FAC.US,5,20260126,215000,10.24,10.24,10.235,10.235,268,0
FAC.US,5,20260126,215500,10.24,10.24,10.23,10.23,1898,0
FAC.US,5,20260127,153000,10.25,10.25,10.25,10.25,1340,0
FAC.US,5,20260127,154000,10.26,10.26,10.26,10.26,971,0
FAC.US,5,20260127,155000,10.27,10.27,10.26,10.26,1100,0
FAC.US,5,20260127,155500,10.2601,10.2725,10.26,10.2625,2394,0
FAC.US,5,20260127,160000,10.2625,10.2687,10.26,10.2601,3500,0
FAC.US,5,20260127,161500,10.26,10.26,10.26,10.26,200,0
FAC.US,5,20260127,162000,10.26,10.26,10.26,10.26,100,0
FAC.US,5,20260127,170500,10.25,10.25,10.25,10.25,100,0
FAC.US,5,20260127,172000,10.24,10.245,10.24,10.24,900,0
FAC.US,5,20260127,173000,10.25,10.25,10.24,10.2401,1100,0
FAC.US,5,20260127,174500,10.2456,10.25,10.245,10.25,21560,0
FAC.US,5,20260127,175000,10.26,10.27,10.26,10.26,4000,0
FAC.US,5,20260127,175500,10.27,10.27,10.26,10.2639,8617,0
FAC.US,5,20260127,180000,10.2601,10.2601,10.26,10.26,400,0
FAC.US,5,20260127,180500,10.2634,10.2634,10.25,10.26,8200,0
FAC.US,5,20260127,182500,10.26,10.265,10.26,10.265,1260,0
FAC.US,5,20260127,183000,10.265,10.265,10.26,10.261,2840,0
FAC.US,5,20260127,184000,10.265,10.2734,10.265,10.2728,14840,0
FAC.US,5,20260127,184500,10.28,10.285,10.275,10.2834,29267,0
FAC.US,5,20260127,185000,10.28,10.285,10.275,10.28,82715,0
FAC.US,5,20260127,185500,10.2806,10.285,10.28,10.28,12025,0
FAC.US,5,20260127,190000,10.28,10.28,10.28,10.28,57835,0
FAC.US,5,20260127,191000,10.2801,10.2801,10.2801,10.2801,3800,0
FAC.US,5,20260127,191500,10.2857,10.2857,10.2807,10.2807,3500,0
FAC.US,5,20260127,192000,10.28,10.285,10.28,10.2801,500,0
FAC.US,5,20260127,194000,10.2834,10.2844,10.28,10.2842,4100,0
FAC.US,5,20260127,195000,10.285,10.285,10.285,10.285,685,0
FAC.US,5,20260127,201000,10.285,10.285,10.285,10.285,500,0
FAC.US,5,20260127,201500,10.28,10.28,10.275,10.275,50070,0
FAC.US,5,20260127,202000,10.275,10.275,10.2701,10.2737,5800,0
FAC.US,5,20260127,202500,10.2701,10.275,10.27,10.27,1200,0
FAC.US,5,20260127,204000,10.27,10.2737,10.27,10.2701,2100,0
FAC.US,5,20260127,204500,10.28,10.28,10.275,10.275,9400,0
FAC.US,5,20260127,205000,10.2763,10.284,10.2701,10.284,244359,0
FAC.US,5,20260127,211000,10.29,10.29,10.28,10.2825,600,0
FAC.US,5,20260127,211500,10.2801,10.285,10.28,10.2801,3900,0
