<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAST.US,5,20260126,153000,43.67,43.945,43.425,43.5,47061,0
FAST.US,5,20260126,153500,43.49,43.635,43.425,43.61,48738,0
FAST.US,5,20260126,154000,43.62,43.62,43.47,43.54,49497,0
FAST.US,5,20260126,154500,43.535,43.82,43.51,43.805,51836,0
FAST.US,5,20260126,155000,43.8,43.805,43.69,43.735,43888,0
FAST.US,5,20260126,155500,43.74,43.94,43.69,43.885,81911,0
FAST.US,5,20260126,160000,43.89,43.91,43.825,43.865,43980,0
FAST.US,5,20260126,160500,43.86,43.905,43.845,43.895,57640,0
FAST.US,5,20260126,161000,43.9,43.98,43.9,43.975,29876,0
FAST.US,5,20260126,161500,43.98,44.06,43.965,43.995,43268,0
FAST.US,5,20260126,162000,43.995,44.0099,43.915,43.925,63206,0
FAST.US,5,20260126,162500,43.92,43.92,43.825,43.825,37528,0
FAST.US,5,20260126,163000,43.825,43.915,43.81,43.9,65458,0
FAST.US,5,20260126,163500,43.895,43.895,43.845,43.855,26016,0
FAST.US,5,20260126,164000,43.855,43.855,43.805,43.825,21488,0
FAST.US,5,20260126,164500,43.83,43.865,43.825,43.825,25408,0
FAST.US,5,20260126,165000,43.825,43.87,43.81,43.855,20636,0
FAST.US,5,20260126,165500,43.85,43.85,43.785,43.81,30243,0
FAST.US,5,20260126,170000,43.805,43.825,43.795,43.82,26388,0
FAST.US,5,20260126,170500,43.83,43.835,43.8,43.82,20907,0
FAST.US,5,20260126,171000,43.82,43.82,43.78,43.8,27683,0
FAST.US,5,20260126,171500,43.795,43.84,43.78,43.83,26201,0
FAST.US,5,20260126,172000,43.825,43.86,43.82,43.84,35666,0
FAST.US,5,20260126,172500,43.845,43.86,43.795,43.8,59330,0
FAST.US,5,20260126,173000,43.8,43.8,43.725,43.73,39952,0
FAST.US,5,20260126,173500,43.73,43.75,43.68,43.7,34351,0
FAST.US,5,20260126,174000,43.69,43.69,43.645,43.66,21942,0
FAST.US,5,20260126,174500,43.6599,43.6599,43.575,43.575,28071,0
FAST.US,5,20260126,175000,43.57,43.595,43.55,43.595,60990,0
FAST.US,5,20260126,175500,43.59,43.6,43.565,43.57,49745,0
FAST.US,5,20260126,180000,43.56,43.585,43.535,43.555,30494,0
FAST.US,5,20260126,180500,43.56,43.565,43.545,43.555,20851,0
FAST.US,5,20260126,181000,43.555,43.565,43.51,43.525,71400,0
