<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCNCO.US,5,20260126,153000,22.27,22.27,22.27,22.27,414,0
FCNCO.US,5,20260126,154000,22.26,22.26,22.26,22.26,100,0
FCNCO.US,5,20260126,170000,22.27,22.27,22.21,22.21,324,0
FCNCO.US,5,20260126,173000,22.35,22.35,22.35,22.35,277,0
FCNCO.US,5,20260126,174000,22.245,22.245,22.245,22.245,200,0
FCNCO.US,5,20260126,183000,22.21,22.21,22.21,22.21,300,0
FCNCO.US,5,20260126,184500,22.25,22.25,22.25,22.25,100,0
FCNCO.US,5,20260126,191500,22.25,22.25,22.25,22.25,940,0
FCNCO.US,5,20260126,194000,22.26,22.26,22.26,22.26,100,0
FCNCO.US,5,20260126,204000,22.22,22.22,22.21,22.21,200,0
FCNCO.US,5,20260126,205000,22.26,22.26,22.26,22.26,100,0
FCNCO.US,5,20260127,153000,22.17,22.17,22.17,22.17,2172,0
FCNCO.US,5,20260127,163500,22.25,22.25,22.25,22.25,600,0
FCNCO.US,5,20260127,164500,22.28,22.292,22.28,22.292,475,0
FCNCO.US,5,20260127,165500,22.3,22.3,22.29,22.29,500,0
FCNCO.US,5,20260127,170000,22.3,22.3,22.3,22.3,300,0
FCNCO.US,5,20260127,171500,22.3199,22.3199,22.3,22.3,2056,0
FCNCO.US,5,20260127,174000,22.26,22.26,22.23,22.23,200,0
FCNCO.US,5,20260127,174500,22.2202,22.2202,22.2202,22.2202,600,0
FCNCO.US,5,20260127,180000,22.26,22.26,22.2202,22.2202,308,0
FCNCO.US,5,20260127,193500,22.22,22.22,22.22,22.22,200,0
FCNCO.US,5,20260127,211000,22.2884,22.2884,22.2884,22.2884,200,0
FCNCO.US,5,20260127,212500,22.26,22.26,22.26,22.26,100,0
FCNCO.US,5,20260127,215000,22.2781,22.2781,22.2781,22.2781,211,0
FCNCO.US,5,20260127,215500,22.28,22.28,22.28,22.28,100,0
FCNCO.US,5,20260128,153000,22.3,22.3,22.3,22.3,349,0
FCNCO.US,5,20260128,154000,22.25,22.25,22.25,22.25,1281,0
FCNCO.US,5,20260128,154500,22.25,22.25,22.25,22.25,600,0
FCNCO.US,5,20260128,202000,22.27,22.2896,22.27,22.2896,918,0
FCNCO.US,5,20260128,212500,22.29,22.29,22.29,22.29,100,0
FCNCO.US,5,20260128,213000,22.2601,22.2601,22.2601,22.2601,500,0
FCNCO.US,5,20260129,153000,22.28,22.28,22.25,22.25,3737,0
FCNCO.US,5,20260129,153500,22.15,22.18,22.06,22.06,3700,0
FCNCO.US,5,20260129,170000,22.145,22.145,22.145,22.145,100,0
FCNCO.US,5,20260129,170500,22.15,22.15,22.15,22.15,1696,0
FCNCO.US,5,20260129,171000,22.155,22.16,22.155,22.16,760,0
FCNCO.US,5,20260129,174500,22.16,22.16,22.16,22.16,445,0
FCNCO.US,5,20260129,175500,22.1848,22.1848,22.1848,22.1848,105,0
FCNCO.US,5,20260129,180500,22.1295,22.1295,22.1295,22.1295,100,0
FCNCO.US,5,20260129,183000,22.155,22.23,22.155,22.2299,2153,0
FCNCO.US,5,20260129,184500,22.155,22.16,22.08,22.1109,4320,0
FCNCO.US,5,20260129,185000,22.14,22.14,22.14,22.14,850,0
FCNCO.US,5,20260129,191500,22.2,22.2,22.2,22.2,400,0
FCNCO.US,5,20260129,202000,22.08,22.09,22.07,22.09,1799,0
FCNCO.US,5,20260129,204000,22.07,22.07,22.07,22.07,200,0
FCNCO.US,5,20260129,204500,22.0769,22.0769,22.0769,22.0769,1132,0
FCNCO.US,5,20260129,211500,22.07,22.07,22.07,22.07,100,0
FCNCO.US,5,20260129,213000,22.08,22.0801,22.08,22.08,600,0
FCNCO.US,5,20260129,213500,22.0946,22.0946,22.07,22.07,3772,0
FCNCO.US,5,20260129,215500,22.09,22.09,22.07,22.07,418,0
FCNCO.US,5,20260130,153000,22.07,22.07,22.07,22.07,514,0
FCNCO.US,5,20260130,160500,22.0701,22.084,22.07,22.07,2372,0
FCNCO.US,5,20260130,161500,22.07,22.07,22.07,22.07,200,0
FCNCO.US,5,20260130,162500,22.07,22.07,22.07,22.07,100,0
FCNCO.US,5,20260130,163000,22.07,22.07,22.07,22.07,100,0
FCNCO.US,5,20260130,172500,22.07,22.07,22.07,22.07,1000,0
FCNCO.US,5,20260130,173500,22.11,22.11,22.11,22.11,150,0
FCNCO.US,5,20260130,185000,22.09,22.09,22.09,22.09,100,0
FCNCO.US,5,20260130,195500,22.0701,22.0701,22.06,22.07,1004,0
FCNCO.US,5,20260130,201500,22.06,22.06,22.05,22.05,2050,0
FCNCO.US,5,20260130,204000,22.05,22.05,22.05,22.05,800,0
FCNCO.US,5,20260130,205500,22.05,22.05,22.035,22.0385,1741,0
FCNCO.US,5,20260130,211000,22,22,22,22,400,0
FCNCO.US,5,20260130,212000,22.01,22.035,22.01,22.035,200,0
FCNCO.US,5,20260130,213000,22,22,22,22,400,0
FCNCO.US,5,20260130,214000,22,22,22,22,342,0
FCNCO.US,5,20260130,215000,22,22,22,22,9637,0
FCNCO.US,5,20260130,215500,21.94,22.02,21.94,22,15362,0
FCNCO.US,5,20260202,154000,22,22,22,22,800,0
FCNCO.US,5,20260202,162000,22.05,22.05,22.05,22.05,500,0
FCNCO.US,5,20260202,162500,22.05,22.05,22.05,22.05,200,0
FCNCO.US,5,20260202,170500,22.03,22.115,22.03,22.115,700,0
FCNCO.US,5,20260202,172000,22.0303,22.0303,22.0301,22.0301,600,0
FCNCO.US,5,20260202,181500,22.03,22.03,22.03,22.03,300,0
FCNCO.US,5,20260202,195500,22.1621,22.1621,22.1621,22.1621,100,0
FCNCO.US,5,20260202,200000,22.05,22.05,22.05,22.05,941,0
FCNCO.US,5,20260203,153000,22.07,22.07,22.05,22.05,730,0
FCNCO.US,5,20260203,153500,22.1,22.1,22.1,22.1,200,0
FCNCO.US,5,20260203,155000,22.12,22.12,22.12,22.12,274,0
FCNCO.US,5,20260203,160000,22.17,22.17,22.15,22.15,578,0
FCNCO.US,5,20260203,162000,22.17,22.17,22.17,22.17,100,0
FCNCO.US,5,20260203,162500,22.17,22.17,22.17,22.17,100,0
FCNCO.US,5,20260203,163500,22.1699,22.1699,22.1699,22.1699,1130,0
FCNCO.US,5,20260203,164000,22.16,22.16,22.16,22.16,100,0
FCNCO.US,5,20260203,164500,22.16,22.16,22.16,22.16,100,0
FCNCO.US,5,20260203,165000,22.17,22.17,22.17,22.17,100,0
FCNCO.US,5,20260203,170500,22.11,22.11,22.1,22.1,500,0
FCNCO.US,5,20260203,171500,22.15,22.15,22.15,22.15,1100,0
FCNCO.US,5,20260203,172000,22.17,22.17,22.17,22.17,400,0
FCNCO.US,5,20260203,172500,22.15,22.15,22.15,22.15,200,0
FCNCO.US,5,20260203,174500,22.125,22.125,22.1,22.1,1141,0
FCNCO.US,5,20260203,180500,22.1,22.1,22.1,22.1,500,0
FCNCO.US,5,20260203,181000,22.1,22.1,22.1,22.1,2448,0
FCNCO.US,5,20260203,190500,22.03,22.03,22.03,22.03,100,0
FCNCO.US,5,20260203,193000,22.04,22.04,21.9301,21.9301,11149,0
FCNCO.US,5,20260203,194500,21.94,21.95,21.94,21.94,424,0
FCNCO.US,5,20260203,202000,21.97,21.9701,21.92,21.9201,578,0
FCNCO.US,5,20260203,210000,21.93,21.93,21.9104,21.911,685,0
FCNCO.US,5,20260203,211000,22,22,22,22,100,0
FCNCO.US,5,20260204,153000,21.92,21.92,21.92,21.92,175,0
FCNCO.US,5,20260204,162000,22.1,22.1099,22.08,22.1099,2275,0
FCNCO.US,5,20260204,165000,22.0632,22.0632,22.0632,22.0632,1000,0
FCNCO.US,5,20260204,165500,22,22,22,22,300,0
FCNCO.US,5,20260204,170000,21.93,21.93,21.92,21.92,950,0
FCNCO.US,5,20260204,175000,21.87,21.87,21.82,21.82,901,0
FCNCO.US,5,20260204,180500,21.82,21.87,21.82,21.87,300,0
FCNCO.US,5,20260204,181500,21.9,21.9,21.9,21.9,550,0
FCNCO.US,5,20260204,183500,21.83,21.83,21.82,21.82,967,0
FCNCO.US,5,20260204,185500,21.81,21.86,21.81,21.86,3000,0
FCNCO.US,5,20260204,192000,21.86,21.87,21.82,21.82,3317,0
FCNCO.US,5,20260204,193000,21.85,21.85,21.85,21.85,165,0
FCNCO.US,5,20260204,193500,21.8683,21.8683,21.8683,21.8683,200,0
FCNCO.US,5,20260204,215500,21.9,21.9,21.9,21.9,166,0
FCNCO.US,5,20260205,160500,21.95,21.95,21.95,21.95,2000,0
FCNCO.US,5,20260205,164500,22,22,22,22,1000,0
FCNCO.US,5,20260205,170000,21.95,21.95,21.95,21.95,165,0
FCNCO.US,5,20260205,172000,21.9125,21.9125,21.9125,21.9125,894,0
FCNCO.US,5,20260205,182500,21.875,21.875,21.875,21.875,201,0
FCNCO.US,5,20260205,184500,21.9,21.9,21.9,21.9,1050,0
FCNCO.US,5,20260205,191500,21.88,21.88,21.88,21.88,300,0
FCNCO.US,5,20260205,193000,21.94,21.94,21.94,21.94,1000,0
FCNCO.US,5,20260205,214500,21.9,21.9,21.9,21.9,345,0
FCNCO.US,5,20260205,215000,21.94,21.95,21.93,21.95,3252,0
FCNCO.US,5,20260206,153000,21.95,22,21.95,22,289,0
FCNCO.US,5,20260206,153500,22,22,22,22,309,0
FCNCO.US,5,20260206,160000,22.03,22.03,21.994,21.994,750,0
