<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEED.US,5,20260126,153000,1.15,1.15,1.07,1.075,29857,0
FEED.US,5,20260126,153500,1.07,1.09,1.07,1.09,1257,0
FEED.US,5,20260126,154000,1.09,1.09,1.07,1.07,6758,0
FEED.US,5,20260126,155000,1.085,1.085,1.06,1.07,8099,0
FEED.US,5,20260126,155500,1.065,1.08,1.06,1.07,1500,0
FEED.US,5,20260126,160000,1.06,1.065,1.06,1.06,4960,0
FEED.US,5,20260126,160500,1.06,1.06,1.0501,1.0501,427,0
FEED.US,5,20260126,161000,1.08,1.08,1.0601,1.0675,650,0
FEED.US,5,20260126,161500,1.0601,1.065,1.06,1.0617,1433,0
FEED.US,5,20260126,162000,1.065,1.065,1.065,1.065,100,0
FEED.US,5,20260126,162500,1.0658,1.0658,1.06,1.06,1861,0
FEED.US,5,20260126,163000,1.0572,1.0702,1.05,1.05,6484,0
FEED.US,5,20260126,163500,1.06,1.06,1.0551,1.0551,1100,0
FEED.US,5,20260126,164000,1.0522,1.06,1.0522,1.06,1042,0
FEED.US,5,20260126,164500,1.0589,1.07,1.0589,1.07,1893,0
FEED.US,5,20260126,165500,1.06,1.0791,1.06,1.0791,2032,0
FEED.US,5,20260126,170000,1.05,1.05,1.05,1.05,2152,0
FEED.US,5,20260126,170500,1.05,1.06,1.05,1.06,869,0
FEED.US,5,20260126,172000,1.0413,1.045,1.04,1.04,8060,0
FEED.US,5,20260126,172500,1.04,1.04,1,1.01,31932,0
FEED.US,5,20260126,173000,1.026284,1.026284,1.02,1.02,2884,0
FEED.US,5,20260126,173500,1.0299,1.03,1.02,1.02,2992,0
FEED.US,5,20260126,174000,1.025,1.025,0.99,1.0194,24346,0
FEED.US,5,20260126,174500,1.01,1.02,1.0046,1.02,5929,0
FEED.US,5,20260126,175000,1.02,1.02,1.02,1.02,764,0
FEED.US,5,20260126,175500,1.02,1.02,1.02,1.02,478,0
FEED.US,5,20260126,180000,1.0298,1.03,1.025,1.03,5425,0
FEED.US,5,20260126,180500,1.03,1.041,1.03,1.041,3550,0
FEED.US,5,20260126,181000,1.03,1.03,1.03,1.03,100,0
FEED.US,5,20260126,181500,1.0302,1.0302,1.0302,1.0302,160,0
FEED.US,5,20260126,182000,1.03,1.03,1.03,1.03,500,0
FEED.US,5,20260126,182500,1.03,1.03,1.03,1.03,550,0
FEED.US,5,20260126,183500,1.04,1.045,1.04,1.045,700,0
FEED.US,5,20260126,184000,1.045,1.045,1.04,1.04,1233,0
FEED.US,5,20260126,184500,1.0308,1.04,1.0308,1.04,1180,0
FEED.US,5,20260126,185000,1.03,1.03,1.03,1.03,242,0
FEED.US,5,20260126,185500,1.04,1.04,1.04,1.04,600,0
FEED.US,5,20260126,190000,1.035,1.035,1.035,1.035,100,0
FEED.US,5,20260126,192000,1.0393,1.0393,1.0393,1.0393,100,0
FEED.US,5,20260126,192500,1.035,1.0399,1.035,1.0399,500,0
FEED.US,5,20260126,194000,1.04,1.04,1.04,1.04,100,0
FEED.US,5,20260126,194500,1.03,1.0345,1.03,1.0345,1915,0
