<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FHB.US,5,20260126,153000,26.1,27.56,26.1,27.43,8834,0
FHB.US,5,20260126,153500,27.43,27.46,27.23,27.355,4448,0
FHB.US,5,20260126,154000,27.295,27.37,27.28,27.37,7372,0
FHB.US,5,20260126,154500,27.39,27.54,27.39,27.485,16912,0
FHB.US,5,20260126,155000,27.48,27.51,27.44,27.45,8759,0
FHB.US,5,20260126,155500,27.46,27.46,27.32,27.39,33216,0
FHB.US,5,20260126,160000,27.385,27.39,27.33,27.33,12350,0
FHB.US,5,20260126,160500,27.325,27.345,27.28,27.34,14900,0
FHB.US,5,20260126,161000,27.34,27.4,27.34,27.34,9996,0
FHB.US,5,20260126,161500,27.35,27.41,27.345,27.3968,16751,0
FHB.US,5,20260126,162000,27.43,27.48,27.39,27.44,9213,0
FHB.US,5,20260126,162500,27.43,27.43,27.32,27.32,3881,0
FHB.US,5,20260126,163000,27.29,27.3,27.24,27.3,15654,0
FHB.US,5,20260126,163500,27.3,27.325,27.27,27.275,8915,0
FHB.US,5,20260126,164000,27.27,27.36,27.27,27.355,75075,0
FHB.US,5,20260126,164500,27.36,27.37,27.305,27.305,31678,0
FHB.US,5,20260126,165000,27.31,27.345,27.3,27.33,33495,0
FHB.US,5,20260126,165500,27.33,27.36,27.33,27.33,27011,0
FHB.US,5,20260126,170000,27.31,27.355,27.27,27.35,27562,0
FHB.US,5,20260126,170500,27.36,27.37,27.31,27.335,25580,0
FHB.US,5,20260126,171000,27.34,27.34,27.3,27.31,11862,0
FHB.US,5,20260126,171500,27.3,27.34,27.275,27.34,22438,0
FHB.US,5,20260126,172000,27.345,27.345,27.29,27.3,8919,0
FHB.US,5,20260126,172500,27.3,27.34,27.235,27.245,19530,0
FHB.US,5,20260126,173000,27.24,27.24,27.16,27.22,16643,0
FHB.US,5,20260126,173500,27.23,27.25,27.17,27.17,6363,0
FHB.US,5,20260126,174000,27.17,27.17,27.09,27.115,10220,0
FHB.US,5,20260126,174500,27.11,27.145,27.11,27.13,15546,0
FHB.US,5,20260126,175000,27.12,27.14,27.12,27.14,2800,0
FHB.US,5,20260126,175500,27.135,27.18,27.09,27.16,12573,0
FHB.US,5,20260126,180000,27.15,27.15,27.105,27.12,6564,0
FHB.US,5,20260126,180500,27.12,27.165,27.115,27.14,2310,0
FHB.US,5,20260126,181000,27.13,27.13,27.09,27.11,4631,0
FHB.US,5,20260126,181500,27.11,27.13,27.11,27.13,1972,0
FHB.US,5,20260126,182000,27.12,27.135,27.12,27.125,6191,0
FHB.US,5,20260126,182500,27.12,27.14,27.11,27.14,4903,0
FHB.US,5,20260126,183000,27.15,27.17,27.14,27.15,9129,0
FHB.US,5,20260126,183500,27.15,27.16,27.125,27.13,5404,0
FHB.US,5,20260126,184000,27.13,27.13,27.11,27.12,4954,0
FHB.US,5,20260126,184500,27.115,27.12,27.09,27.115,4954,0
FHB.US,5,20260126,185000,27.115,27.115,27.075,27.075,2905,0
FHB.US,5,20260126,185500,27.08,27.09,27.07,27.075,5425,0
FHB.US,5,20260126,190000,27.075,27.115,27.06,27.115,8365,0
FHB.US,5,20260126,190500,27.115,27.115,27.07,27.105,8178,0
FHB.US,5,20260126,191000,27.11,27.125,27.09,27.105,4762,0
FHB.US,5,20260126,191500,27.11,27.2,27.11,27.2,6062,0
FHB.US,5,20260126,192000,27.2,27.24,27.2,27.24,2980,0
FHB.US,5,20260126,192500,27.24,27.27,27.225,27.25,19095,0
FHB.US,5,20260126,193000,27.25,27.26,27.2285,27.26,5070,0
FHB.US,5,20260126,193500,27.26,27.27,27.23,27.26,9872,0
FHB.US,5,20260126,194000,27.27,27.31,27.26,27.29,6580,0
FHB.US,5,20260126,194500,27.29,27.34,27.285,27.32,11581,0
FHB.US,5,20260126,195000,27.33,27.355,27.325,27.355,9619,0
FHB.US,5,20260126,195500,27.35,27.38,27.34,27.36,8987,0
FHB.US,5,20260126,200000,27.37,27.49,27.36,27.47,18833,0
FHB.US,5,20260126,200500,27.48,27.5,27.465,27.5,9313,0
FHB.US,5,20260126,201000,27.5,27.56,27.49,27.54,23800,0
FHB.US,5,20260126,201500,27.54,27.58,27.54,27.58,15457,0
FHB.US,5,20260126,202000,27.57,27.57,27.53,27.54,16588,0
FHB.US,5,20260126,202500,27.54,27.57,27.535,27.56,6989,0
FHB.US,5,20260126,203000,27.565,27.595,27.56,27.585,14638,0
FHB.US,5,20260126,203500,27.585,27.585,27.53,27.535,12791,0
FHB.US,5,20260126,204000,27.54,27.54,27.45,27.46,69754,0
