<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIZZ.US,5,20260126,153000,33.72,33.72,33.72,33.72,1857,0
FIZZ.US,5,20260126,154500,33.655,33.655,33.655,33.655,100,0
FIZZ.US,5,20260126,155000,33.655,33.655,33.655,33.655,300,0
FIZZ.US,5,20260126,155500,33.725,33.725,33.475,33.6,1300,0
FIZZ.US,5,20260126,160000,33.335,33.61,33.312,33.61,1958,0
FIZZ.US,5,20260126,160500,33.6,33.64,33.55,33.55,3702,0
FIZZ.US,5,20260126,161000,33.55,33.55,33.55,33.55,200,0
FIZZ.US,5,20260126,161500,33.5735,33.5735,33.545,33.545,929,0
FIZZ.US,5,20260126,162000,33.4994,33.545,33.4994,33.513,1073,0
FIZZ.US,5,20260126,162500,33.71,33.74,33.48,33.48,1448,0
FIZZ.US,5,20260126,163000,33.61,33.61,33.535,33.535,800,0
FIZZ.US,5,20260126,164000,33.51,33.51,33.51,33.51,100,0
FIZZ.US,5,20260126,164500,33.43,33.51,33.43,33.51,200,0
FIZZ.US,5,20260126,165000,33.485,33.485,33.395,33.435,1230,0
FIZZ.US,5,20260126,165500,33.49,33.49,33.46,33.46,200,0
FIZZ.US,5,20260126,170000,33.455,33.46,33.455,33.46,200,0
FIZZ.US,5,20260126,171000,33.41,33.41,33.36,33.36,300,0
FIZZ.US,5,20260126,171500,33.35,33.35,33.325,33.325,683,0
FIZZ.US,5,20260126,172000,33.2849,33.36,33.2849,33.36,744,0
FIZZ.US,5,20260126,172500,33.33,33.35,33.33,33.35,1000,0
FIZZ.US,5,20260126,173500,33.27,33.29,33.27,33.29,300,0
FIZZ.US,5,20260126,174000,33.32,33.34,33.31,33.31,1020,0
FIZZ.US,5,20260126,174500,33.315,33.315,33.315,33.315,100,0
FIZZ.US,5,20260126,175000,33.34,33.34,33.34,33.34,115,0
FIZZ.US,5,20260126,180000,33.27,33.27,33.25,33.26,965,0
FIZZ.US,5,20260126,181000,33.26,33.26,33.26,33.26,400,0
FIZZ.US,5,20260126,181500,33.255,33.255,33.255,33.255,100,0
FIZZ.US,5,20260126,182000,33.25,33.264,33.24,33.264,1086,0
FIZZ.US,5,20260126,182500,33.25,33.42,33.25,33.305,5242,0
FIZZ.US,5,20260126,183000,33.305,33.35,33.305,33.31,960,0
FIZZ.US,5,20260126,183500,33.26,33.35,33.205,33.205,3714,0
FIZZ.US,5,20260126,184000,33.21,33.21,33.21,33.21,800,0
FIZZ.US,5,20260126,184500,33.21,33.325,33.174,33.174,4981,0
FIZZ.US,5,20260126,185000,33.2299,33.23,33.18,33.21,1511,0
FIZZ.US,5,20260126,185500,33.23,33.24,33.21,33.24,483,0
FIZZ.US,5,20260126,190000,33.25,33.25,33.25,33.25,280,0
FIZZ.US,5,20260126,190500,33.22,33.25,33.22,33.25,340,0
FIZZ.US,5,20260126,191000,33.25,33.265,33.24,33.24,1029,0
FIZZ.US,5,20260126,191500,33.19,33.21,33.19,33.21,817,0
FIZZ.US,5,20260126,192000,33.215,33.215,33.215,33.215,220,0
FIZZ.US,5,20260126,192500,33.19,33.2125,33.19,33.2,1109,0
FIZZ.US,5,20260126,193000,33.2,33.2,33.2,33.2,100,0
FIZZ.US,5,20260126,193500,33.18,33.18,33.09,33.125,1400,0
FIZZ.US,5,20260126,194000,33.15,33.17,33.15,33.17,1651,0
FIZZ.US,5,20260126,195000,33.14,33.205,33.14,33.14,2787,0
FIZZ.US,5,20260126,200000,33.17,33.18,33.17,33.17,2183,0
FIZZ.US,5,20260126,200500,33.2,33.21,33.175,33.205,2463,0
FIZZ.US,5,20260126,201000,33.22,33.22,33.185,33.22,620,0
FIZZ.US,5,20260126,201500,33.22,33.27,33.215,33.27,1240,0
FIZZ.US,5,20260126,202000,33.28,33.28,33.25,33.26,2258,0
FIZZ.US,5,20260126,202500,33.28,33.41,33.27,33.41,5205,0
FIZZ.US,5,20260126,203000,33.38,33.38,33.34,33.35,1422,0
FIZZ.US,5,20260126,203500,33.37,33.3791,33.36,33.3791,480,0
FIZZ.US,5,20260126,204000,33.38,33.38,33.35,33.35,200,0
FIZZ.US,5,20260126,205000,33.35,33.35,33.35,33.35,100,0
FIZZ.US,5,20260126,205500,33.355,33.42,33.355,33.42,2592,0
FIZZ.US,5,20260126,210000,33.405,33.43,33.405,33.43,200,0
FIZZ.US,5,20260126,210500,33.43,33.48,33.43,33.48,300,0
FIZZ.US,5,20260126,211000,33.46,33.61,33.46,33.53,1821,0
FIZZ.US,5,20260126,211500,33.525,33.54,33.51,33.525,2144,0
FIZZ.US,5,20260126,212000,33.54,33.55,33.46,33.46,2002,0
FIZZ.US,5,20260126,212500,33.475,33.475,33.475,33.475,100,0
FIZZ.US,5,20260126,213000,33.465,33.58,33.465,33.58,1343,0
FIZZ.US,5,20260126,213500,33.57,33.58,33.53,33.54,1691,0
FIZZ.US,5,20260126,214500,33.56,33.56,33.56,33.56,200,0
FIZZ.US,5,20260126,215000,33.57,33.59,33.52,33.52,6054,0
FIZZ.US,5,20260126,215500,33.51,33.53,33.48,33.51,47920,0
FIZZ.US,5,20260127,153000,33.34,33.34,33.34,33.34,1127,0
FIZZ.US,5,20260127,153500,33.42,33.42,33.42,33.42,100,0
FIZZ.US,5,20260127,154000,33.245,33.245,33.24,33.24,300,0
FIZZ.US,5,20260127,154500,33.245,33.27,33.22,33.27,600,0
FIZZ.US,5,20260127,155000,33.21,33.21,33.21,33.21,100,0
FIZZ.US,5,20260127,155500,33.1,33.1,33.01,33.01,300,0
FIZZ.US,5,20260127,160500,33.18,33.18,33.18,33.18,1823,0
FIZZ.US,5,20260127,161000,33.17,33.17,33.17,33.17,200,0
FIZZ.US,5,20260127,161500,33.1925,33.255,33.17,33.17,418,0
FIZZ.US,5,20260127,162000,33.23,33.23,33.23,33.23,383,0
FIZZ.US,5,20260127,162500,33.23,33.23,33.23,33.23,240,0
FIZZ.US,5,20260127,163000,33.3,33.3,33.3,33.3,100,0
FIZZ.US,5,20260127,163500,33.225,33.225,33.225,33.225,100,0
FIZZ.US,5,20260127,164000,33.3029,33.3029,33.19,33.19,6417,0
FIZZ.US,5,20260127,164500,33.15,33.18,33.13,33.18,1170,0
FIZZ.US,5,20260127,165000,33.18,33.18,33.13,33.13,800,0
FIZZ.US,5,20260127,165500,33.17,33.17,33.17,33.17,100,0
FIZZ.US,5,20260127,170000,33.1,33.14,33.1,33.1,736,0
FIZZ.US,5,20260127,170500,33.1,33.195,33.1,33.195,1642,0
FIZZ.US,5,20260127,171000,33.21,33.21,33.21,33.21,100,0
FIZZ.US,5,20260127,171500,33.2,33.24,33.2,33.23,318,0
FIZZ.US,5,20260127,172000,33.3,33.3,33.3,33.3,210,0
FIZZ.US,5,20260127,173000,33.295,33.295,33.28,33.28,300,0
FIZZ.US,5,20260127,173500,33.34,33.34,33.34,33.34,100,0
FIZZ.US,5,20260127,174000,33.3,33.3,33.28,33.3,800,0
FIZZ.US,5,20260127,174500,33.24,33.24,33.24,33.24,100,0
FIZZ.US,5,20260127,175000,33.235,33.25,33.235,33.25,200,0
FIZZ.US,5,20260127,180500,33.23,33.26,33.22,33.26,434,0
FIZZ.US,5,20260127,181000,33.24,33.24,33.2,33.2,900,0
FIZZ.US,5,20260127,181500,33.13,33.13,33.13,33.13,200,0
FIZZ.US,5,20260127,182000,33.16,33.17,33.16,33.17,1158,0
FIZZ.US,5,20260127,183000,33.1901,33.195,33.1901,33.195,835,0
FIZZ.US,5,20260127,183500,33.23,33.23,33.23,33.23,100,0
FIZZ.US,5,20260127,184000,33.18,33.24,33.14,33.24,2800,0
FIZZ.US,5,20260127,184500,33.203,33.225,33.203,33.225,649,0
FIZZ.US,5,20260127,185000,33.26,33.26,33.25,33.26,477,0
FIZZ.US,5,20260127,185500,33.25,33.28,33.25,33.28,200,0
FIZZ.US,5,20260127,190000,33.2731,33.2731,33.24,33.24,305,0
FIZZ.US,5,20260127,191000,33.28,33.28,33.28,33.28,200,0
FIZZ.US,5,20260127,191500,33.28,33.36,33.28,33.295,1300,0
FIZZ.US,5,20260127,192000,33.29,33.32,33.29,33.32,656,0
FIZZ.US,5,20260127,192500,33.36,33.36,33.325,33.34,400,0
FIZZ.US,5,20260127,193000,33.335,33.335,33.335,33.335,100,0
FIZZ.US,5,20260127,193500,33.325,33.325,33.24,33.32,1896,0
FIZZ.US,5,20260127,194000,33.285,33.285,33.285,33.285,2300,0
