<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNKO.US,5,20260126,153000,4.232,4.35,4.23,4.23,11840,0
FNKO.US,5,20260126,153500,4.21,4.22,4.13,4.145,5590,0
FNKO.US,5,20260126,154000,4.14,4.21,4.14,4.21,5451,0
FNKO.US,5,20260126,154500,4.22,4.28,4.22,4.245,6747,0
FNKO.US,5,20260126,155000,4.22,4.22,4.175,4.18,8688,0
FNKO.US,5,20260126,155500,4.18,4.18,4.07,4.09,44353,0
FNKO.US,5,20260126,160000,4.1,4.165,4.1,4.155,33369,0
FNKO.US,5,20260126,160500,4.145,4.165,4.135,4.16,15347,0
FNKO.US,5,20260126,161000,4.15,4.165,4.14,4.1613,5050,0
FNKO.US,5,20260126,161500,4.17,4.205,4.155,4.18,23771,0
FNKO.US,5,20260126,162000,4.19,4.19,4.19,4.19,600,0
FNKO.US,5,20260126,162500,4.195,4.205,4.18,4.205,5252,0
FNKO.US,5,20260126,163000,4.2093,4.25,4.205,4.245,7110,0
FNKO.US,5,20260126,163500,4.245,4.3,4.23,4.3,38691,0
FNKO.US,5,20260126,164000,4.3,4.305,4.23,4.23,32891,0
FNKO.US,5,20260126,164500,4.23,4.25,4.19,4.19,23725,0
FNKO.US,5,20260126,165000,4.19,4.23,4.18,4.195,27245,0
FNKO.US,5,20260126,165500,4.19,4.195,4.165,4.18,18863,0
FNKO.US,5,20260126,170000,4.18,4.18,4.17,4.17,5962,0
FNKO.US,5,20260126,170500,4.17,4.17,4.17,4.17,1000,0
FNKO.US,5,20260126,171000,4.17,4.17,4.155,4.155,1700,0
FNKO.US,5,20260126,171500,4.16,4.175,4.16,4.175,4046,0
FNKO.US,5,20260126,172000,4.1713,4.2,4.1713,4.195,7514,0
FNKO.US,5,20260126,172500,4.2,4.22,4.2,4.215,3300,0
FNKO.US,5,20260126,173000,4.215,4.26,4.215,4.245,13112,0
FNKO.US,5,20260126,173500,4.25,4.26,4.235,4.245,8619,0
FNKO.US,5,20260126,174000,4.245,4.265,4.235,4.245,25825,0
FNKO.US,5,20260126,174500,4.245,4.25,4.245,4.245,3210,0
FNKO.US,5,20260126,175000,4.245,4.25,4.245,4.245,4716,0
FNKO.US,5,20260126,175500,4.245,4.265,4.225,4.25,7570,0
FNKO.US,5,20260126,180000,4.25,4.265,4.235,4.265,9300,0
FNKO.US,5,20260126,180500,4.2655,4.2655,4.235,4.235,11252,0
FNKO.US,5,20260126,181000,4.25,4.31,4.245,4.29,37103,0
FNKO.US,5,20260126,181500,4.29,4.31,4.29,4.305,1400,0
FNKO.US,5,20260126,182000,4.305,4.31,4.29,4.29,8891,0
FNKO.US,5,20260126,182500,4.295,4.298,4.285,4.298,7340,0
