<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTDR.US,5,20260126,153000,57.98,58.8,57.66,58.165,5408,0
FTDR.US,5,20260126,153500,58.165,58.165,58.165,58.165,100,0
FTDR.US,5,20260126,154000,58.105,58.105,58.105,58.105,100,0
FTDR.US,5,20260126,154500,58.16,58.36,57.96,58.245,5259,0
FTDR.US,5,20260126,155000,58.46,58.46,58.05,58.455,1000,0
FTDR.US,5,20260126,155500,58.24,58.3375,57.9101,58.11,2938,0
FTDR.US,5,20260126,160000,58.3,58.36,58.185,58.36,2876,0
FTDR.US,5,20260126,160500,58.185,58.45,58.18,58.45,3443,0
FTDR.US,5,20260126,161000,58.43,58.86,58.31,58.585,9530,0
FTDR.US,5,20260126,161500,58.75,58.86,58.59,58.86,1900,0
FTDR.US,5,20260126,162000,58.59,58.86,58.59,58.8,2354,0
FTDR.US,5,20260126,162500,58.8,58.81,58.555,58.555,900,0
FTDR.US,5,20260126,163000,58.73,58.78,58.71,58.78,900,0
FTDR.US,5,20260126,163500,58.78,58.78,58.76,58.77,709,0
FTDR.US,5,20260126,164000,58.77,58.77,58.294,58.294,5086,0
FTDR.US,5,20260126,164500,58.66,58.66,58.41,58.41,2243,0
FTDR.US,5,20260126,165000,58.53,58.54,58.4475,58.4575,2500,0
FTDR.US,5,20260126,165500,58.47,58.47,58.47,58.47,100,0
FTDR.US,5,20260126,170000,58.405,58.45,58.2103,58.3,3117,0
FTDR.US,5,20260126,170500,58.31,58.31,58.23,58.23,500,0
FTDR.US,5,20260126,171000,58.16,58.21,58.09,58.21,2950,0
FTDR.US,5,20260126,171500,58.16,58.16,58.15,58.16,400,0
FTDR.US,5,20260126,172000,58.15,58.25,58.15,58.21,1789,0
FTDR.US,5,20260126,172500,58.21,58.26,58.16,58.26,527,0
FTDR.US,5,20260126,173000,58.22,58.29,58.22,58.245,3302,0
FTDR.US,5,20260126,173500,58.245,58.33,58.245,58.32,1159,0
FTDR.US,5,20260126,174000,58.245,58.245,58.17,58.23,1741,0
FTDR.US,5,20260126,174500,58.17,58.23,58.145,58.23,1870,0
FTDR.US,5,20260126,175000,58.245,58.43,58.245,58.43,2193,0
FTDR.US,5,20260126,175500,58.42,58.42,58.375,58.375,450,0
FTDR.US,5,20260126,180000,58.375,58.595,58.17,58.2,4250,0
FTDR.US,5,20260126,180500,58.29,58.34,58.29,58.32,1050,0
FTDR.US,5,20260126,181000,58.26,58.29,58.25,58.26,807,0
FTDR.US,5,20260126,181500,58.35,58.35,58.35,58.35,100,0
FTDR.US,5,20260126,182000,58.3,58.36,58.3,58.35,300,0
FTDR.US,5,20260126,182500,58.38,58.44,58.38,58.39,1164,0
FTDR.US,5,20260126,183000,58.38,58.41,58.38,58.41,248,0
FTDR.US,5,20260126,183500,58.43,58.47,58.36,58.47,2965,0
FTDR.US,5,20260126,184000,58.46,58.46,58.4,58.42,730,0
FTDR.US,5,20260126,184500,58.43,58.45,58.41,58.43,658,0
FTDR.US,5,20260126,185000,58.39,58.41,58.31,58.37,2025,0
FTDR.US,5,20260126,185500,58.29,58.41,58.29,58.41,1715,0
FTDR.US,5,20260126,190000,58.37,58.4,58.37,58.4,200,0
FTDR.US,5,20260126,190500,58.43,58.55,58.37,58.455,9597,0
FTDR.US,5,20260126,191000,58.455,58.51,58.45,58.465,4310,0
FTDR.US,5,20260126,191500,58.5,58.5,58.45,58.45,3098,0
FTDR.US,5,20260126,192000,58.41,58.46,58.29,58.38,2234,0
FTDR.US,5,20260126,192500,58.38,58.38,58.27,58.29,1200,0
FTDR.US,5,20260126,193000,58.33,58.35,58.32,58.35,1576,0
FTDR.US,5,20260126,193500,58.28,58.285,58.25,58.285,1790,0
