<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEVG.US,5,20260126,153000,13.53,13.66,13.53,13.66,300,0
GEVG.US,5,20260126,154000,13.9,13.9,13.9,13.9,692,0
GEVG.US,5,20260126,155000,14.465,14.465,14.465,14.465,500,0
GEVG.US,5,20260126,155500,14.485,14.485,14.48,14.48,1100,0
GEVG.US,5,20260126,160000,14.48,14.48,14.475,14.475,2317,0
GEVG.US,5,20260126,160500,14.425,14.425,14.425,14.425,100,0
GEVG.US,5,20260126,161000,14.25,14.36,14.25,14.36,300,0
GEVG.US,5,20260126,161500,14.34,14.388,14.34,14.388,600,0
GEVG.US,5,20260126,162000,14.33,14.33,14.33,14.33,100,0
GEVG.US,5,20260126,162500,14.34,14.34,14.34,14.34,200,0
GEVG.US,5,20260126,163000,14.245,14.245,14.17,14.2,1020,0
GEVG.US,5,20260126,171000,14.07,14.08,14.07,14.08,200,0
GEVG.US,5,20260126,173000,13.93,13.93,13.93,13.93,100,0
GEVG.US,5,20260126,174500,13.93,13.93,13.93,13.93,100,0
GEVG.US,5,20260126,180500,13.97,13.97,13.97,13.97,100,0
GEVG.US,5,20260126,184000,14.1,14.1,14.1,14.1,100,0
GEVG.US,5,20260126,185000,14.06,14.06,14.06,14.06,100,0
GEVG.US,5,20260126,191500,13.98,13.98,13.98,13.98,300,0
GEVG.US,5,20260126,192500,14.06,14.06,14.06,14.06,100,0
GEVG.US,5,20260126,194000,13.98,13.98,13.96,13.96,200,0
GEVG.US,5,20260126,200500,13.92,13.92,13.92,13.92,200,0
GEVG.US,5,20260126,201500,13.88,13.88,13.88,13.88,152,0
GEVG.US,5,20260126,203500,14.006,14.006,14.006,14.006,200,0
GEVG.US,5,20260126,204500,13.88,13.88,13.85,13.85,509,0
GEVG.US,5,20260126,205000,13.85,13.85,13.82,13.82,300,0
GEVG.US,5,20260126,210500,13.75,13.75,13.72,13.72,2598,0
GEVG.US,5,20260126,213500,13.69,13.69,13.69,13.69,100,0
GEVG.US,5,20260127,153000,14.22,14.35,14.22,14.35,1175,0
