<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GILD.US,5,20260126,153000,135.88,135.91,133.69,134.16,174686,0
GILD.US,5,20260126,153500,134.16,135,133.84,134.91,89797,0
GILD.US,5,20260126,154000,134.94,135.875,134.94,135.537,151493,0
GILD.US,5,20260126,154500,135.6,136.59,135.54,136.55,132581,0
GILD.US,5,20260126,155000,136.56,136.75,136.21,136.21,121541,0
GILD.US,5,20260126,155500,136.21,136.31,135.91,136.23,117063,0
GILD.US,5,20260126,160000,136.23,136.32,135.8,136.32,108088,0
GILD.US,5,20260126,160500,136.28,136.37,135.9194,135.955,32490,0
GILD.US,5,20260126,161000,135.99,136.26,135.98,136.025,28090,0
GILD.US,5,20260126,161500,135.9601,136.3,135.9001,136.13,33415,0
GILD.US,5,20260126,162000,136.16,136.25,136.125,136.23,21733,0
GILD.US,5,20260126,162500,136.23,136.29,136.07,136.2,41525,0
GILD.US,5,20260126,163000,136.18,136.18,135.89,136,56893,0
GILD.US,5,20260126,163500,136,136.05,135.835,135.92,59467,0
GILD.US,5,20260126,164000,135.86,136.11,135.83,136.06,53055,0
GILD.US,5,20260126,164500,136.06,136.349,136.0455,136.18,23619,0
GILD.US,5,20260126,165000,136.22,136.28,136.1,136.135,25591,0
GILD.US,5,20260126,165500,136.13,136.46,136.115,136.44,33583,0
GILD.US,5,20260126,170000,136.41,136.8,136.41,136.57969,41054,0
GILD.US,5,20260126,170500,136.575,136.58,136.22,136.485,35432,0
GILD.US,5,20260126,171000,136.53,136.89,136.475,136.84,65183,0
GILD.US,5,20260126,171500,136.825,137.01,136.8001,136.82,66531,0
GILD.US,5,20260126,172000,136.82,136.939,136.72,136.815,45095,0
GILD.US,5,20260126,172500,136.8273,136.96,136.6,136.96,65380,0
GILD.US,5,20260126,173000,136.97,137.09,136.8,137.05,90534,0
GILD.US,5,20260126,173500,137.07,137.27,137.035,137.07,96373,0
GILD.US,5,20260126,174000,137.07,137.27,137.0648,137.22,41518,0
GILD.US,5,20260126,174500,137.205,137.39,137.18,137.23,49507,0
GILD.US,5,20260126,175000,137.245,137.2625,136.92,137.13,116502,0
GILD.US,5,20260126,175500,137.12,137.15,137.015,137.015,74749,0
GILD.US,5,20260126,180000,137.015,137.26,136.98,137.24,55557,0
GILD.US,5,20260126,180500,137.225,137.31,137.17,137.28,21527,0
GILD.US,5,20260126,181000,137.245,137.42,137.205,137.41,27176,0
GILD.US,5,20260126,181500,137.4084,137.48,137.33,137.47,118195,0
GILD.US,5,20260126,182000,137.48,137.515,137.145,137.36,114984,0
GILD.US,5,20260126,182500,137.355,137.355,137.15,137.19,48211,0
GILD.US,5,20260126,183000,137.17,137.23,137,137.145,49481,0
GILD.US,5,20260126,183500,137.18,137.37,137.13,137.14,51012,0
GILD.US,5,20260126,184000,137.115,137.34,137.0884,137.205,30759,0
GILD.US,5,20260126,184500,137.21,137.43,137.18,137.3999,31157,0
GILD.US,5,20260126,185000,137.38,137.635,137.3107,137.62,37986,0
GILD.US,5,20260126,185500,137.62,137.775,137.6,137.655,37520,0
GILD.US,5,20260126,190000,137.64,137.93,137.62,137.93,37822,0
GILD.US,5,20260126,190500,137.93,137.99,137.815,137.815,35269,0
GILD.US,5,20260126,191000,137.8125,137.86,137.64,137.69,18712,0
GILD.US,5,20260126,191500,137.67,137.825,137.64,137.7601,36133,0
GILD.US,5,20260126,192000,137.792,137.88,137.72,137.84,40595,0
GILD.US,5,20260126,192500,137.855,137.93,137.84,137.885,31460,0
GILD.US,5,20260126,193000,137.885,138.025,137.85,138.015,57572,0
GILD.US,5,20260126,193500,138.0258,138.0285,137.79,137.79,29558,0
GILD.US,5,20260126,194000,137.8,137.92,137.71,137.885,27017,0
GILD.US,5,20260126,194500,137.87,137.935,137.82,137.865,46111,0
GILD.US,5,20260126,195000,137.865,137.865,137.26,137.55,56738,0
GILD.US,5,20260126,195500,137.51,137.53,135.8,136.96,584820,0
GILD.US,5,20260126,200000,136.96,137.33,136.88,137.23,65843,0
GILD.US,5,20260126,200500,137.23,137.41,137.19,137.385,29303,0
GILD.US,5,20260126,201000,137.385,137.43,137.19,137.32,42401,0
GILD.US,5,20260126,201500,137.3,137.3,137.0001,137.0301,27576,0
GILD.US,5,20260126,202000,137.12,137.14,137.04,137.105,28462,0
GILD.US,5,20260126,202500,137.1,137.145,136.97,137.005,50265,0
GILD.US,5,20260126,203000,137,137.02,136.77,136.97,94244,0
GILD.US,5,20260126,203500,136.9897,137.15,136.89,137.14,29389,0
GILD.US,5,20260126,204000,137.135,137.22,136.9963,137.01,35067,0
GILD.US,5,20260126,204500,137.01,137.049,136.94,136.96,50913,0
GILD.US,5,20260126,205000,136.96,137.06,136.9301,137.035,24252,0
GILD.US,5,20260126,205500,137.06,137.22,137.04,137.195,35786,0
GILD.US,5,20260126,210000,137.195,137.21,137.015,137.155,31276,0
GILD.US,5,20260126,210500,137.155,137.4299,137.14,137.31,58035,0
GILD.US,5,20260126,211000,137.31,137.35,137.19,137.235,42901,0
GILD.US,5,20260126,211500,137.24,137.2475,137.045,137.045,42373,0
GILD.US,5,20260126,212000,137.045,137.395,137.045,137.365,43780,0
GILD.US,5,20260126,212500,137.365,137.5599,137.365,137.54,46947,0
GILD.US,5,20260126,213000,137.54,137.64,137.3901,137.53,45565,0
GILD.US,5,20260126,213500,137.5294,137.65,137.43,137.6292,55631,0
GILD.US,5,20260126,214000,137.63,137.655,137.46,137.51,59689,0
GILD.US,5,20260126,214500,137.51,137.65,137.49,137.54,72002,0
GILD.US,5,20260126,215000,137.53,137.99,137.445,137.99,181525,0
GILD.US,5,20260126,215500,137.98,137.98,137.74,137.802,1985868,0
GILD.US,5,20260127,153000,137.54,140.57,137.54,140.19,270175,0
GILD.US,5,20260127,153500,140.22,140.4,139.74,140.025,100779,0
GILD.US,5,20260127,154000,139.9323,140.08,139.45,139.92,84090,0
GILD.US,5,20260127,154500,139.835,139.835,139.0701,139.4728,94361,0
GILD.US,5,20260127,155000,139.445,139.51,139.145,139.31,63999,0
GILD.US,5,20260127,155500,139.37,139.595,139.27,139.38,58481,0
GILD.US,5,20260127,160000,139.445,139.48,139.15,139.2375,46288,0
GILD.US,5,20260127,160500,139.23,139.42,138.92,139.36,40311,0
GILD.US,5,20260127,161000,139.41,139.95,139.25,139.765,71635,0
GILD.US,5,20260127,161500,139.72,139.85,139.645,139.84,42952,0
GILD.US,5,20260127,162000,139.87,140,139.76,139.84,73044,0
GILD.US,5,20260127,162500,139.8,140.75,139.76,140.71,62781,0
GILD.US,5,20260127,163000,140.635,140.73,140.45,140.545,91168,0
GILD.US,5,20260127,163500,140.58,140.71,140.2701,140.685,67707,0
GILD.US,5,20260127,164000,140.63,140.83,140.49,140.5,103691,0
GILD.US,5,20260127,164500,140.5,140.67,140.335,140.41,89586,0
