<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMHS.US,5,20260126,153000,0.955,0.955,0.945001,0.9451,2080,0
GMHS.US,5,20260126,154000,0.965,0.965,0.945,0.945,770,0
GMHS.US,5,20260126,160000,0.9675,0.9675,0.9675,0.9675,100,0
GMHS.US,5,20260126,160500,0.9846,0.99,0.9846,0.99,1900,0
GMHS.US,5,20260126,161000,0.99,0.99,0.99,0.99,100,0
GMHS.US,5,20260126,162000,0.99,0.99,0.99,0.99,100,0
GMHS.US,5,20260126,162500,1,1,1,1,100,0
GMHS.US,5,20260126,163000,0.99,1,0.99,0.99,517,0
GMHS.US,5,20260126,164000,0.99,0.99,0.99,0.99,700,0
GMHS.US,5,20260126,164500,1,1,0.99,0.99,1414,0
GMHS.US,5,20260126,165000,0.9994,1,0.9994,1,200,0
GMHS.US,5,20260126,170500,1,1,1,1,383,0
GMHS.US,5,20260126,173500,1,1,1,1,1717,0
GMHS.US,5,20260126,175500,1.005,1.005,1,1,1000,0
GMHS.US,5,20260126,180000,0.99,0.99,0.99,0.99,360,0
GMHS.US,5,20260126,181000,0.995,0.995,0.995,0.995,400,0
GMHS.US,5,20260126,181500,0.995,1,0.99,0.9982,2150,0
GMHS.US,5,20260126,182000,1,1.01,1,1.01,344,0
GMHS.US,5,20260126,191000,1.0101,1.0101,1,1,955,0
GMHS.US,5,20260126,194000,1.01,1.01,1.01,1.01,180,0
GMHS.US,5,20260126,195500,1.01,1.01,1.01,1.01,500,0
GMHS.US,5,20260126,200000,1.005,1.01,1.005,1.01,301,0
GMHS.US,5,20260126,200500,1.005,1.005,1.005,1.005,100,0
GMHS.US,5,20260126,211000,1,1,1,1,114,0
GMHS.US,5,20260126,215500,1,1,1,1,1400,0
GMHS.US,5,20260127,154000,0.9601,0.9601,0.9601,0.9601,100,0
GMHS.US,5,20260127,162000,0.962,0.962,0.9602,0.9602,201,0
GMHS.US,5,20260127,164000,0.9751,0.99,0.9751,0.99,1826,0
GMHS.US,5,20260127,164500,0.99,0.99,0.99,0.99,174,0
GMHS.US,5,20260127,173000,0.99,0.99,0.99,0.99,1185,0
GMHS.US,5,20260127,173500,0.99,0.9925,0.99,0.9925,3549,0
GMHS.US,5,20260127,174000,0.9925,0.9925,0.9925,0.9925,400,0
GMHS.US,5,20260127,180000,0.9925,0.9925,0.9925,0.9925,459,0
GMHS.US,5,20260127,182000,0.999,0.999,0.999,0.999,102,0
GMHS.US,5,20260127,190000,0.999,0.999,0.999,0.999,2000,0
GMHS.US,5,20260127,191500,0.9991,0.9995,0.9991,0.9995,200,0
GMHS.US,5,20260127,201000,1,1,1,1,11255,0
GMHS.US,5,20260127,215500,1.01,1.01,1.01,1.01,100,0
GMHS.US,5,20260128,153000,1,1,1,1,2771,0
GMHS.US,5,20260128,154000,0.98,0.98,0.98,0.98,545,0
GMHS.US,5,20260128,155000,1,1,1,1,492,0
GMHS.US,5,20260128,161000,0.9801,0.99,0.9706,0.98,3823,0
GMHS.US,5,20260128,175500,0.9853,1,0.9853,1,1099,0
GMHS.US,5,20260128,215500,0.9706,0.9706,0.9706,0.9706,249,0
GMHS.US,5,20260129,153500,0.97,0.97,0.97,0.97,100,0
GMHS.US,5,20260129,155000,0.94,0.97,0.94,0.97,3090,0
GMHS.US,5,20260129,155500,0.951,0.97,0.951,0.97,1200,0
GMHS.US,5,20260129,162000,0.97,0.97,0.97,0.97,120,0
GMHS.US,5,20260129,162500,0.97,0.97,0.97,0.97,260,0
GMHS.US,5,20260129,163000,0.96,0.97,0.96,0.97,990,0
