<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOODO.US,5,20260126,155500,20.695,20.695,20.695,20.695,2162,0
GOODO.US,5,20260126,160000,20.51,20.5401,20.5,20.51,5252,0
GOODO.US,5,20260126,164000,20.58,20.7349,20.58,20.7349,462,0
GOODO.US,5,20260126,175000,20.7,20.7,20.7,20.7,313,0
GOODO.US,5,20260126,180500,20.62,20.62,20.62,20.62,100,0
GOODO.US,5,20260126,182000,20.62,20.6201,20.62,20.6201,200,0
GOODO.US,5,20260126,182500,20.55,20.6049,20.53,20.53,700,0
GOODO.US,5,20260126,192500,20.7799,20.7799,20.7799,20.7799,215,0
GOODO.US,5,20260126,202500,20.58,20.58,20.58,20.58,100,0
GOODO.US,5,20260126,214000,20.7,20.7,20.7,20.7,819,0
GOODO.US,5,20260126,214500,20.615,20.615,20.615,20.615,200,0
GOODO.US,5,20260127,153000,20.76,20.76,20.76,20.76,400,0
GOODO.US,5,20260127,165500,20.66,20.66,20.62,20.62,300,0
GOODO.US,5,20260127,171500,20.61,20.61,20.61,20.61,300,0
GOODO.US,5,20260127,175500,20.6,20.6,20.6,20.6,500,0
GOODO.US,5,20260127,192000,20.62,20.62,20.62,20.62,200,0
GOODO.US,5,20260127,192500,20.55,20.565,20.4,20.4,1925,0
GOODO.US,5,20260127,193500,20.42,20.42,20.3725,20.3725,871,0
GOODO.US,5,20260127,194000,20.3,20.37,19.89,20.32,5189,0
GOODO.US,5,20260127,194500,20.32,20.35,20.32,20.35,624,0
GOODO.US,5,20260127,195000,20.32,20.32,20.32,20.32,100,0
GOODO.US,5,20260127,200000,20.32,20.32,20.32,20.32,820,0
GOODO.US,5,20260127,200500,20.46,20.46,20.46,20.46,1000,0
GOODO.US,5,20260127,204000,20.31,20.31,20.27,20.27,897,0
GOODO.US,5,20260127,205000,20.4915,20.4915,20.4915,20.4915,200,0
GOODO.US,5,20260127,213500,20.43,20.43,20.43,20.43,200,0
GOODO.US,5,20260128,171000,20.4,20.4,20.4,20.4,200,0
GOODO.US,5,20260128,183000,20.3551,20.3551,20.3551,20.3551,450,0
GOODO.US,5,20260128,183500,20.35,20.35,20.3,20.3,840,0
GOODO.US,5,20260128,192500,20.25,20.25,20.25,20.25,300,0
GOODO.US,5,20260128,193000,20.31,20.31,20.31,20.31,100,0
GOODO.US,5,20260128,200000,20.25,20.25,20.25,20.25,395,0
